,Unnamed: 0,Unnamed: 0.1,品番,日付,日量数,当月必要数,当月稼働日数,仕入先名/工場名,箱種類,収容数,基準在庫日数,基準在庫枚数,A,B,C,日量数（箱）,日量数（箱）_切り上げ,平均日量数（箱）,検収数,入庫数（箱）,出庫数（箱）,在庫数（箱）,不等ピッチ係数日,設計値MIN,設計値MAX,入庫数（箱）＞検収数,入庫数（箱）＞日量数（箱）,入庫数（箱）＜検収数,入庫数（箱）＜日量数（箱）
894,894,877,9161140614,12,15120.0,301024,21.0,（株）青山製作所,TP-331 ﾊﾝﾖｳ,2500,0.52,3,1,6,5.76,6.047999999999999,7,5.733790476190476,5,6.0,7.0,2.0,0.08,0.6460070603174604,2.0603420444444445,0,0,0,0
895,895,878,9167180618,12,2835.0,56442,21.0,（株）青山製作所,TP-331 ﾊﾝﾖｳ,1000,0.53,3,1,6,5.76,2.835,3,2.6877142857142857,3,3.0,3.0,3.0,0.08,0.3028158095238096,0.9657853333333332,0,0,0,0
896,896,879,G1163ECB010,12,738.0,15168,21.0,（株）青山製作所,TP-331 ﾊﾝﾖｳ,80,0.54,1,1,6,5.76,9.225,10,9.028571428571428,7,8.0,10.0,1.0,0.08,1.0172190476190477,3.244266666666667,0,0,0,0
897,897,880,G1163ECE010,12,2097.0,41274,21.0,（株）青山製作所,TP-331 ﾊﾝﾖｳ,100,0.53,1,1,6,5.76,20.97,21,19.654285714285713,18,15.0,22.0,6.0,0.08,2.214382857142857,7.06244,0,0,0,0
898,898,881,35145ECE020,12,534.0,10578,21.0,（株）浅賀井製作所,TP-131 ﾊﾝﾖｳ,100,0.65,1,1,4,6.88,5.34,6,5.0371428571428565,6,5.0,5.0,6.0,0.13,0.9923171428571428,2.906431428571428,0,0,0,0
899,899,882,35174ECB010,12,411.0,8236,21.0,（株）浅賀井製作所,TP-332 ﾊﾝﾖｳ,20,0.87,1,1,4,6.88,20.55,21,19.609523809523807,20,18.0,22.0,16.0,0.13,3.86307619047619,11.314695238095233,0,0,0,0
900,900,883,35174ECE010,12,534.0,10578,21.0,（株）浅賀井製作所,TP-332 ﾊﾝﾖｳ,40,0.87,1,1,4,6.88,13.35,14,12.592857142857143,13,12.0,13.0,16.0,0.13,2.480792857142857,7.2660785714285705,0,0,0,0
901,901,884,35174ECE020,12,534.0,10578,21.0,（株）浅賀井製作所,TP-331 ﾊﾝﾖｳ,90,0.63,3,1,4,6.88,5.933333333333334,6,5.5968253968253965,6,6.0,6.0,8.0,0.13,1.102574603174603,3.2293682539682536,0,0,0,0
902,902,885,35312ECB010,12,411.0,8236,21.0,（株）旭工業所,TP-331 ﾊﾝﾖｳ,63,0.59,1,1,1,1.9,6.523809523809524,7,6.2252456538170815,7,0.0,7.0,3.0,0.0,1.8053212396069536,8.030566893424037,0,0,1,1
903,903,886,01912ECB040,12,945.0,18814,26.0,愛産樹脂工業（株）,TP-342 ﾊﾝﾖｳ,50,0.25,1,1,1,2.12,18.9,19,14.472307692307696,19,18.0,19.0,33.0,0.0,4.515360000000001,18.987667692307696,0,0,0,0
904,904,887,019128GA010,12,945.0,18814,26.0,石黒ゴム工業（株）,TP-342 ﾊﾝﾖｳ,50,1.07,1,1,2,3.64,18.9,19,14.472307692307696,19,24.0,19.0,48.0,0.29,3.357575384615386,14.790698461538465,0,0,0,0
905,905,888,01912ECB010,12,1890.0,37620,26.0,石黒ゴム工業（株）,TP-332 ﾊﾝﾖｳ,300,0.85,1,1,2,3.64,6.3,7,4.823076923076923,6,6.0,7.0,15.0,0.29,1.1189538461538462,4.929184615384616,0,0,0,0
906,906,889,82821CWA030,12,945.0,18810,26.0,石黒ゴム工業（株）,TP-332 ﾊﾝﾖｳ,200,0.83,1,1,2,3.64,4.725,5,3.6173076923076923,4,4.0,5.0,11.0,0.29,0.8392153846153847,3.6968884615384616,0,0,0,0
907,907,890,82821ECB010,12,945.0,18814,26.0,石黒ゴム工業（株）,TP-332 ｾﾝﾖｳ,400,0.83,1,1,2,3.64,2.3625,3,1.8090384615384616,3,4.0,3.0,6.0,0.29,0.4196969230769232,1.848837307692308,0,1,0,0
908,908,891,82821ECB020,12,945.0,18814,26.0,石黒ゴム工業（株）,TP-131 ﾊﾝﾖｳ,200,0.87,1,1,2,3.64,4.725,5,3.618076923076924,5,7.0,5.0,12.0,0.29,0.8393938461538465,3.697674615384616,0,0,0,0
909,909,892,82821ECB040,12,411.0,8236,21.0,石黒ゴム工業（株）,TP-342 ｾﾝﾖｳ,100,0.83,1,1,2,3.64,4.11,5,3.921904761904762,5,6.0,4.0,6.0,0.29,0.9098819047619048,4.008186666666667,0,0,0,0
910,910,893,82821ECB050,12,945.0,18810,26.0,石黒ゴム工業（株）,TP-332 ﾊﾝﾖｳ,100,0.83,1,1,2,3.64,9.45,10,7.234615384615385,9,9.0,10.0,21.0,0.29,1.6784307692307696,7.393776923076923,0,0,0,0
911,911,894,82821ECE010,12,534.0,10577,26.0,石黒ゴム工業（株）,TP-332 ﾊﾝﾖｳ,50,1.07,1,1,2,3.64,10.68,11,8.136153846153848,11,11.0,11.0,38.0,0.29,1.887587692307693,8.315149230769233,0,0,0,0
912,912,895,82821XAE010,12,945.0,18814,26.0,石黒ゴム工業（株）,TP-131 ﾊﾝﾖｳ,100,0.87,1,1,2,3.64,9.45,10,7.236153846153848,10,9.0,9.0,23.0,0.29,1.678787692307693,7.395349230769233,0,0,0,0
913,913,896,82821XAE020,12,411.0,8236,21.0,石黒ゴム工業（株）,TP-332 ﾊﾝﾖｳ,400,0.81,1,1,2,3.64,1.0275,2,0.9804761904761904,1,1.0,1.0,2.0,0.29,0.2274704761904762,1.0020466666666663,0,0,0,0
914,914,897,2030045013L,12,2424.0,48206,21.0,伊藤金属工業（株）,TP-331 ﾊﾝﾖｳ,2000,0.53,3,1,1,1.96,1.212,2,1.1477619047619048,1,1.0,2.0,3.0,0.0,0.3397375238095238,1.4874994285714287,0,0,0,0
915,915,898,36108ECB010,12,411.0,8236,21.0,（株）オーハシテクニカ,TP-331-5 ﾊﾝﾖｳ,150,0.64,1,1,1,1.97,2.74,3,2.614603174603175,3,3.0,3.0,5.0,0.0,0.7765371428571428,3.3911403174603176,0,0,0,0
916,916,899,35501ECB010,12,411.0,8236,21.0,大橋鉄工（株）,TP-331 ﾊﾝﾖｳ,100,0.6,1,1,1,1.38,4.11,5,3.921904761904762,4,4.0,5.0,6.0,0.0,0.9334133333333334,4.855318095238095,0,0,0,0
917,917,900,9036345A004,12,945.0,18814,21.0,岡谷鋼機（株）,ｻﾝﾎﾞｯｸｽ#9T,90,0.64,1,1,1,2.29,10.5,11,9.954497354497354,11,10.0,11.0,10.0,0.0,3.2750296296296297,13.229526984126984,0,0,0,0
918,918,901,35557ECB010,12,411.0,8236,21.0,小川工業（株）,TP-131 ﾊﾝﾖｳ,46,0.89,1,1,2,4.94,8.934782608695652,9,8.525879917184268,5,9.0,9.0,9.0,0.05,2.532186335403728,7.221420289855075,1,0,0,0
919,919,902,41310ECB010,12,411.0,8236,21.0,（株）オンド,ｻﾝﾎﾞｯｸｽ#24-A,2,0.69,2,1,4,4.0,205.5,206,196.09523809523807,148,219.0,217.0,28.0,0.05,24.51190476190476,83.3404761904762,0,0,0,0
920,920,903,41310ECE010,12,534.0,10578,21.0,（株）オンド,ｻﾝﾎﾞｯｸｽ#24-A,2,0.7,3,1,4,4.0,267.0,267,251.85714285714286,181,187.0,280.0,50.0,0.05,31.482142857142854,107.03928571428571,0,0,0,0
921,921,904,1040043104R,12,1890.0,37628,21.0,（株）ギフ加藤製作所,AW-131 ｾﾝﾖｳ,1000,0.75,3,1,2,3.8,1.89,2,1.7918095238095242,1,2.0,2.0,3.0,0.12,0.4300342857142858,1.5409561904761908,1,0,0,0
922,922,905,35556ECB010,12,411.0,8236,21.0,（株）ギフ加藤製作所,TP-131 ﾊﾝﾖｳ,100,0.75,1,1,2,3.8,4.11,5,3.921904761904762,2,4.0,5.0,3.0,0.12,0.9412571428571428,3.3728380952380954,1,0,0,0
923,923,906,33490ECB010,12,411.0,8236,21.0,マレリ（株）,TP-332 ﾊﾝﾖｳ,4,0.82,3,1,2,3.92,102.75,103,98.04761904761904,107,107.0,105.0,47.0,0.23,24.119714285714284,95.6944761904762,0,0,0,0
924,924,907,33490ECE010,12,534.0,10578,21.0,マレリ（株）,TP-332 ﾊﾝﾖｳ,4,0.81,3,1,2,3.92,133.5,134,125.92857142857143,145,133.0,141.0,68.0,0.23,30.97842857142857,122.90628571428572,0,0,0,0
925,925,908,9036628A005,12,411.0,8236,21.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,60,0.62,1,1,1,1.9,6.85,7,6.536507936507936,7,7.0,8.0,8.0,0.0,1.8955873015873013,8.432095238095236,0,0,0,0
926,926,909,9036628A006,12,411.0,8236,21.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,80,0.62,1,1,1,1.9,5.1375,6,4.902380952380953,5,5.0,5.0,6.0,0.0,1.4216904761904765,6.324071428571429,0,0,0,0
927,927,910,9036628A007,12,534.0,10578,21.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,72,0.57,1,1,1,1.9,7.416666666666668,8,6.996031746031746,8,0.0,7.0,4.0,0.0,2.0288492063492067,9.024880952380952,0,0,1,1
928,928,911,9036628A008,12,534.0,10578,21.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,100,0.58,1,1,1,1.9,5.34,6,5.0371428571428565,5,0.0,6.0,3.0,0.0,1.4607714285714284,6.497914285714286,0,0,1,1
929,929,912,9036630A017,12,945.0,18814,21.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,72,0.6,1,1,1,1.9,13.125,14,12.443121693121693,14,13.0,12.0,17.0,0.0,3.6085052910052906,16.051626984126987,0,0,0,0
930,930,913,9036630A018,12,945.0,18814,21.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,38,0.34,3,1,1,1.9,24.86842105263158,25,23.576441102756892,26,26.0,26.0,26.0,0.0,6.837167919799497,30.41360902255639,0,0,0,0
931,931,914,9036652A003,12,534.0,10578,21.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,60,0.57,1,1,1,1.9,8.9,9,8.395238095238097,9,0.0,9.0,4.0,0.0,2.4346190476190483,10.829857142857144,0,0,1,1
932,932,915,9036652A004,12,534.0,10578,21.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,63,0.57,1,1,1,1.9,8.476190476190476,9,7.995464852607711,10,0.0,9.0,2.0,0.0,2.318684807256236,10.314149659863947,0,0,1,1
933,933,916,9036658A001,12,411.0,8236,21.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,45,0.57,1,1,1,1.9,9.133333333333333,10,8.715343915343915,9,9.0,10.0,9.0,0.0,2.527449735449736,11.24279365079365,0,0,0,0
934,934,917,9036658A002,12,411.0,8236,21.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,36,0.59,1,1,1,1.9,11.416666666666664,12,10.894179894179898,12,12.0,11.0,9.0,0.0,3.159312169312169,14.053492063492065,0,0,0,0
935,935,918,9036659A009,12,945.0,18814,21.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,36,0.59,1,1,1,1.9,26.25,27,24.886243386243386,27,27.0,27.0,32.0,0.0,7.217010582010581,32.10325396825397,0,0,0,0
936,936,919,9036659A010,12,945.0,18814,21.0,（株）ジェイテクト,PT- 9 ｾﾝﾖｳ,36,0.59,1,1,1,1.9,26.25,27,24.886243386243386,27,27.0,27.0,32.0,0.0,7.217010582010581,32.10325396825397,0,0,0,0
937,937,920,35352ECB010,12,411.0,8236,21.0,五興商事（株）,TP-331 ﾊﾝﾖｳ,504,0.64,1,1,1,1.97,0.8154761904761905,1,0.7781557067271353,1,1.0,0.0,1.0,0.0,0.2311122448979592,1.0092679516250944,0,0,0,0
938,938,921,G9201ECB030,12,411.0,8235,21.0,佐藤工業（株）,ｻﾝﾎﾞｯｸｽ#20B,8,0.78,2,1,2,5.82,51.375,52,49.01785714285714,47,80.0,50.0,42.0,0.05,16.715089285714285,43.67491071428571,1,1,0,0
939,939,922,G9201ECE010,12,534.0,10577,21.0,佐藤工業（株）,ｻﾝﾎﾞｯｸｽ#20B,8,0.86,2,1,2,5.82,66.75,67,62.95833333333334,62,75.0,66.0,17.0,0.05,21.46879166666667,56.09587500000002,0,0,0,0
940,940,923,35198ECE010,12,534.0,10578,21.0,サトープレス工業（株）,AW-331 ｾﾝﾖｳ,200,0.58,1,1,1,1.78,2.67,3,2.5185714285714287,3,3.0,3.0,7.0,0.0,0.7001628571428573,3.218734285714286,0,0,0,0
941,941,924,3548255A010,12,534.0,10578,21.0,サトープレス工業（株）,AW-131 ｾﾝﾖｳ,300,0.57,1,1,1,1.78,1.78,2,1.6790476190476191,2,2.0,1.0,5.0,0.0,0.4667752380952382,2.145822857142857,0,0,0,0
942,942,925,35482TFA010,12,411.0,8236,21.0,サトープレス工業（株）,TP-131 ﾊﾝﾖｳ,1000,0.66,1,1,1,1.78,0.411,1,0.3921904761904762,1,1.0,0.0,1.0,0.0,0.1090289523809524,0.5012194285714286,0,1,0,0
943,943,926,35595ECB010,12,411.0,8236,21.0,サトープレス工業（株）,TP-131 ｾﾝﾖｳ,40,0.57,1,1,1,1.78,10.275,11,9.804761904761904,10,10.0,11.0,10.0,0.0,2.7257238095238097,12.530485714285714,0,0,0,0
944,944,927,5040056001E,12,2055.0,41180,21.0,サトープレス工業（株）,AW-131 ｾﾝﾖｳ,300,0.58,3,1,1,1.78,6.85,7,6.536507936507936,7,7.0,7.0,7.0,0.0,1.8171492063492063,8.353657142857143,0,0,0,0
945,945,928,9033904A002,12,945.0,18814,21.0,サトープレス工業（株）,AW-131 ｾﾝﾖｳ,1000,0.61,1,1,1,1.78,0.945,1,0.8959047619047621,1,1.0,1.0,1.0,0.0,0.2490615238095239,1.1449662857142857,0,0,0,0
946,946,929,35145ECB010,12,411.0,8236,21.0,三共鋼業（株）,AW-131 ｾﾝﾖｳ,100,0.62,3,1,1,1.74,4.11,5,3.921904761904762,5,5.0,5.0,7.0,0.0,1.0746019047619049,4.996506666666667,0,0,0,0
947,947,930,35145ECE010,12,534.0,10578,21.0,三共鋼業（株）,AW-131 ｾﾝﾖｳ,100,0.65,1,1,1,1.74,5.34,6,5.0371428571428565,5,5.0,5.0,7.0,0.0,1.3801771428571428,6.417319999999999,0,0,0,0
948,948,931,35195ECE010,12,1068.0,21156,21.0,三共鋼業（株）,TP-131 ﾊﾝﾖｳ,400,0.62,3,1,1,1.74,2.67,3,2.5185714285714287,3,3.0,2.0,8.0,0.0,0.6900885714285715,3.20866,0,0,0,0
949,949,932,35195TFG010,12,1068.0,21156,21.0,三共鋼業（株）,TP-131 ﾊﾝﾖｳ,400,0.62,1,1,1,1.74,2.67,3,2.5185714285714287,3,3.0,2.0,6.0,0.0,0.6900885714285715,3.20866,0,0,0,0
950,950,933,35771ECB010,12,411.0,8236,21.0,アイシン機工（株）,TP-341 ﾊﾝﾖｳ,4,0.79,3,1,6,4.92,102.75,103,98.04761904761904,65,86.0,105.0,10.0,0.12,9.674031746031744,37.78101587301587,0,0,0,0
951,951,934,35771ECE010,12,534.0,10578,21.0,アイシン機工（株）,TP-341 ﾊﾝﾖｳ,6,0.79,2,1,6,4.92,89.0,89,83.95238095238095,54,73.0,91.0,41.0,0.12,8.283301587301588,32.349650793650795,0,0,0,0
952,952,935,01912ECB060,12,411.0,8236,21.0,新光ゴム工業（株）,TP-331 ﾊﾝﾖｳ,400,0.78,1,1,1,3.25,1.0275,2,0.9804761904761904,1,1.0,1.0,2.0,0.0,0.41670238095238094,1.3971785714285714,0,0,0,0
953,953,936,2030052002N,12,945.0,18814,21.0,（株）杉浦製作所,TP-331 ﾊﾝﾖｳ,300,0.5,3,1,2,1.06,3.15,4,2.9863492063492063,3,3.0,4.0,3.0,0.12,0.3075939682539683,2.1591304761904757,0,0,0,0
954,954,937,9034108A006,12,4191.0,83492,21.0,（株）杉浦製作所,TP-331 ﾊﾝﾖｳ,1000,0.53,3,1,2,1.06,4.191,5,3.975809523809524,5,5.0,5.0,4.0,0.12,0.40950838095238096,2.874510285714286,0,0,0,0
955,955,938,9034118090,12,945.0,18814,21.0,（株）杉浦製作所,TP-331 ﾊﾝﾖｳ,300,0.54,3,1,2,1.06,3.15,4,2.9863492063492063,3,3.0,3.0,7.0,0.12,0.3075939682539683,2.1591304761904757,0,0,0,0
956,956,939,3559850A010,12,411.0,8236,21.0,アイコー（株）,AW-131 ｾﾝﾖｳ,100,0.9,1,1,2,3.92,4.11,5,3.921904761904762,4,4.0,5.0,1.0,0.32,0.9647885714285714,4.180750476190476,0,0,0,0
957,957,940,9034118060,12,534.0,10578,26.0,住友商事（株）鉄鋼部輸送機材,TP-331 ﾊﾝﾖｳ,300,0.74,1,1,1,3.0,1.78,2,1.3561538461538465,2,2.0,1.0,8.0,0.0,0.5424615384615387,1.8986153846153853,0,0,0,0
958,958,941,G1174ECB010,12,411.0,8236,21.0,住友電装（株）,TP-362 ﾊﾝﾖｳ,50,0.85,1,1,1,2.28,8.22,9,7.843809523809524,9,8.0,9.0,5.0,0.0,2.572769523809524,10.416579047619047,0,0,0,0
959,959,941,G1174ECB010,12,411.0,8236,21.0,住友電装（株）,TP-362 ﾊﾝﾖｳ,50,0.85,1,1,1,2.28,8.22,9,7.843809523809524,9,8.0,9.0,5.0,0.0,2.572769523809524,10.416579047619047,0,0,0,0
960,960,942,G1174ECE010,12,534.0,10578,21.0,住友電装（株）,TP-362 ﾊﾝﾖｳ,50,0.87,1,1,1,2.28,10.68,11,10.074285714285717,11,10.0,10.0,12.0,0.0,3.3043657142857152,13.378651428571432,0,0,0,0
961,961,942,G1174ECE010,12,534.0,10578,21.0,住友電装（株）,TP-362 ﾊﾝﾖｳ,50,0.87,1,1,1,2.28,10.68,11,10.074285714285717,11,10.0,10.0,12.0,0.0,3.3043657142857152,13.378651428571432,0,0,0,0
962,962,943,82824ECE010,12,534.0,10578,21.0,住友電装（株）,TP-332 ﾊﾝﾖｳ,45,0.36,1,1,1,3.25,11.866666666666667,12,11.193650793650797,14,11.0,12.0,19.0,0.0,4.757301587301588,15.950952380952385,0,0,0,0
963,963,943,82824ECE010,12,534.0,10578,21.0,住友電装（株）,TP-332 ﾊﾝﾖｳ,45,0.36,1,1,1,3.25,11.866666666666667,12,11.193650793650797,14,11.0,12.0,19.0,0.0,4.757301587301588,15.950952380952385,0,0,0,0
964,964,944,G1144ECB010,12,411.0,8236,21.0,住友電気工業（株）,TP-331 ﾊﾝﾖｳ,6,0.63,2,1,1,2.28,68.5,69,65.36507936507937,68,66.0,72.0,15.0,0.0,21.439746031746033,86.80482539682541,0,0,0,0
965,965,945,G117362010,12,945.0,18814,21.0,多摩川精機販売（株）,TP-331-5 ﾊﾝﾖｳ,18,0.85,1,1,1,3.05,52.5,53,49.77248677248677,53,47.0,54.0,37.0,0.0,20.157857142857143,69.93034391534391,0,0,0,0
966,966,946,3519510A010,12,411.0,8236,21.0,中庸スプリング（株）,AW-131 ｾﾝﾖｳ,600,0.63,1,1,2,2.34,0.685,1,0.6536507936507937,1,1.0,1.0,3.0,0.1,0.10915968253968254,0.5013501587301588,0,0,0,0
967,967,947,35505ECB010,12,411.0,8236,21.0,中庸スプリング（株）,AW-131 ｾﾝﾖｳ,24,0.81,1,1,2,2.34,17.125,18,16.341269841269842,17,16.0,20.0,9.0,0.1,2.7289920634920635,12.533753968253968,0,0,0,0
968,968,948,9094906A012,12,3246.0,64678,21.0,中庸スプリング（株）,TP-131 ﾊﾝﾖｳ,500,0.59,3,1,2,2.34,6.492000000000001,7,6.159809523809524,6,7.0,8.0,6.0,0.1,1.0286881904761904,4.724573904761905,0,0,0,0
969,969,949,34989ECB020,12,945.0,18812,26.0,（株）槌屋,TP-131 ﾊﾝﾖｳ,500,0.81,1,1,1,2.33,1.89,2,1.4470769230769231,3,1.0,2.0,5.0,0.0,0.4818766153846154,1.9289535384615384,0,0,1,1
970,970,950,34989ECB030,12,945.0,18812,26.0,（株）槌屋,TP-131 ﾊﾝﾖｳ,1000,0.8,1,1,1,2.33,0.945,1,0.7235384615384616,1,1.0,1.0,3.0,0.0,0.2409383076923077,0.9644767692307692,0,0,0,0
971,971,951,34989ECE020,12,246.0,4785,21.0,（株）槌屋,TP-131 ﾊﾝﾖｳ,500,0.82,1,1,1,2.33,0.4920000000000001,1,0.4557142857142858,1,1.0,0.0,2.0,0.0,0.1517528571428572,0.6074671428571429,0,1,0,0
972,972,952,34989ECE030,12,126.0,2581,21.0,（株）槌屋,TP-131 ﾊﾝﾖｳ,500,0.8,3,1,1,2.33,0.252,1,0.24580952380952376,1,0.0,1.0,1.0,0.0,0.08185457142857143,0.32766409523809514,0,0,1,1
973,973,953,9050827A011,12,411.0,8236,21.0,（株）東郷製作所,TP-331 ﾊﾝﾖｳ,200,0.78,1,1,8,11.12,2.055,3,1.960952380952381,1,1.0,3.0,2.0,0.08,0.2970842857142857,0.6990795238095239,0,0,0,1
974,974,954,2030044001J,12,411.0,8236,21.0,ＮＯＫ（株）,TP-131 ﾊﾝﾖｳ,400,0.54,1,1,2,3.52,1.0275,2,0.9804761904761904,1,1.0,1.0,1.0,0.03,0.22158761904761906,0.74124,0,0,0,0
975,975,955,9030106A018,12,5013.0,99964,21.0,ＮＯＫ（株）,TP-131 ﾊﾝﾖｳ,2000,0.56,3,1,2,3.52,2.5065,3,2.380095238095238,1,1.0,2.0,2.0,0.03,0.5379015238095238,1.7993519999999998,0,0,0,1
976,976,956,9030111A014,12,4725.0,94070,21.0,ＮＯＫ（株）,TP-131 ﾊﾝﾖｳ,1000,0.56,3,1,2,3.52,4.725,5,4.479523809523808,5,5.0,6.0,6.0,0.03,1.0123723809523806,3.3865199999999986,0,0,0,0
977,977,957,9030115A011,12,1068.0,21156,21.0,ＮＯＫ（株）,TP-131 ﾊﾝﾖｳ,1000,0.56,1,1,2,3.52,1.068,2,1.0074285714285711,1,1.0,1.0,3.0,0.03,0.2276788571428571,0.7616159999999997,0,0,0,0
978,978,958,9030117A010,12,1356.0,27050,21.0,ＮＯＫ（株）,TP-131 ﾊﾝﾖｳ,1000,0.54,3,1,2,3.52,1.356,2,1.2880952380952382,2,2.0,2.0,4.0,0.03,0.2911095238095238,0.9738,0,0,0,0
979,979,959,9030119A010,12,1068.0,21156,21.0,ＮＯＫ（株）,TP-131 ﾊﾝﾖｳ,1000,0.58,1,1,2,3.52,1.068,2,1.0074285714285711,1,2.0,1.0,2.0,0.03,0.2276788571428571,0.7616159999999997,1,1,0,0
980,980,960,9030119A011,12,822.0,16472,21.0,ＮＯＫ（株）,TP-131 ﾊﾝﾖｳ,200,0.54,1,1,2,3.52,4.11,5,3.921904761904762,4,5.0,4.0,4.0,0.03,0.8863504761904761,2.96496,0,0,0,0
981,981,961,9031150A014,12,945.0,18814,21.0,ＮＯＫ（株）,B-24,84,0.54,1,1,2,3.52,11.25,12,10.665532879818594,11,12.0,13.0,6.0,0.03,2.4104104308390024,8.063142857142857,0,0,0,0
982,982,962,9031150A015,12,945.0,18814,21.0,ＮＯＫ（株）,B-24,84,0.53,1,1,2,3.52,11.25,12,10.665532879818594,11,13.0,12.0,6.0,0.03,2.4104104308390024,8.063142857142857,0,0,0,0
983,983,963,G1250ECB010,12,246.0,5056,21.0,（株）バルカー,TP-332.5ｾﾝﾖｳ,60,0.87,1,1,2,6.2,4.1,5,4.0126984126984135,5,4.0,4.0,4.0,0.24,1.4445714285714288,4.413968253968255,0,0,0,0
984,984,964,G1250ECC010,12,165.0,3180,21.0,（株）バルカー,TP-332.5ｾﾝﾖｳ,60,0.87,1,1,2,6.2,2.75,3,2.5238095238095237,2,2.0,3.0,2.0,0.24,0.9085714285714288,2.776190476190477,0,0,0,0
985,985,965,G1250ECE010,12,534.0,10578,21.0,（株）バルカー,TP-332.5ｾﾝﾖｳ,60,0.88,1,1,2,6.2,8.9,9,8.395238095238097,8,7.0,9.0,11.0,0.24,3.0222857142857147,9.234761904761909,0,0,0,0
986,986,966,9036324A003,12,411.0,8236,21.0,日本精工（株）,T-10 ﾊﾝﾖｳ,22,0.74,1,1,8,9.0,18.681818181818183,19,17.826839826839823,12,14.0,20.0,6.0,0.09,2.2283549783549783,6.06112554112554,0,0,0,0
987,987,967,9036324A004,12,945.0,18814,21.0,日本精工（株）,T-10 ﾊﾝﾖｳ,30,0.74,1,1,8,9.0,31.5,32,29.863492063492064,19,23.0,34.0,17.0,0.09,3.732936507936509,10.153587301587304,0,0,0,0
988,988,968,9036324A005,12,534.0,10578,21.0,日本精工（株）,T-10 ｾﾝﾖｳ,22,0.69,1,1,8,9.0,24.272727272727273,25,22.89610389610389,15,19.0,27.0,16.0,0.09,2.8620129870129865,7.784675324675324,0,0,0,0
989,989,969,9036340A010,12,1890.0,37628,21.0,日本精工（株）,T-10 ｾﾝﾖｳ,80,0.74,3,1,8,9.0,23.625,24,22.39761904761905,16,18.0,24.0,15.0,0.09,2.799702380952382,7.615190476190477,0,0,0,0
990,990,970,35165ECE010,12,534.0,10578,21.0,（株）松尾製作所,TP-131 ﾊﾝﾖｳ,200,0.63,1,1,1,1.21,2.67,3,2.5185714285714287,2,2.0,3.0,5.0,0.0,0.5566042857142858,3.0751757142857143,0,0,0,0
991,991,971,9025006027,12,945.0,18814,21.0,（株）水野鉄工所,TP-131 ﾊﾝﾖｳ,2000,0.62,3,1,1,1.81,0.4725,1,0.44795238095238105,2,2.0,1.0,1.0,0.0,0.12587461904761907,0.5738270000000001,0,1,0,0
992,992,972,82125ECB010,12,411.0,8236,21.0,矢崎総業（株）,TP-332 ﾊﾝﾖｳ,100,0.58,1,1,1,1.79,4.11,5,3.921904761904762,4,4.0,4.0,4.0,0.0,1.0942114285714286,5.0161161904761915,0,0,0,0
993,993,973,82125ECE010,12,534.0,10578,21.0,矢崎総業（株）,TP-332 ﾊﾝﾖｳ,100,0.58,1,1,1,1.79,5.34,6,5.0371428571428565,6,6.0,5.0,9.0,0.0,1.4053628571428571,6.442505714285714,0,0,0,0
994,994,974,82824ECB010,12,411.0,8236,21.0,矢崎総業（株）,TP-331 ﾊﾝﾖｳ,32,0.57,1,1,1,1.79,12.84375,13,12.25595238095238,13,13.0,13.0,11.0,0.0,3.419410714285714,15.675363095238097,0,0,0,0
995,995,975,82824ECB020,12,945.0,18814,21.0,矢崎総業（株）,TP-331 ｾﾝﾖｳ,40,0.58,1,1,1,1.79,23.625,24,22.39761904761905,25,25.0,24.0,29.0,0.0,6.248935714285716,28.64655476190477,0,0,0,0
996,996,976,G1144ECE010,12,534.0,10578,21.0,矢崎総業（株）,TP-331 ﾊﾝﾖｳ,8,0.58,2,1,1,1.79,66.75,67,62.964285714285715,71,71.0,69.0,92.0,0.0,17.567035714285716,80.53132142857143,0,0,0,0
997,997,977,35441ECB010,12,945.0,18814,21.0,（株）ニフコ,TP-331 ﾊﾝﾖｳ,48,0.67,3,1,1,2.14,19.6875,20,18.664682539682538,22,0.0,21.0,13.0,0.0,5.860710317460318,24.525392857142855,0,0,1,1
998,998,978,35441TFA010,12,411.0,8236,21.0,（株）ニフコ,TP-331 ﾊﾝﾖｳ,100,0.67,1,1,1,2.14,4.11,5,3.921904761904762,4,0.0,5.0,2.0,0.0,1.2314780952380957,5.153382857142859,0,0,1,1
999,999,979,35409ECB010,12,411.0,8236,21.0,サンコール（株）,AW-131 ｾﾝﾖｳ,200,0.66,1,1,1,2.26,2.055,3,1.960952380952381,2,2.0,3.0,4.0,0.0,0.6392704761904762,2.600222857142857,0,0,0,0
