,Unnamed: 0,Unnamed: 0.1,品番,日付,日量数,当月必要数,当月稼働日数,仕入先名/工場名,箱種類,収容数,基準在庫日数,基準在庫枚数,A,B,C,日量数（箱）,日量数（箱）_切り上げ,平均日量数（箱）,検収数,入庫数（箱）,出庫数（箱）,在庫数（箱）,不等ピッチ係数日,設計値MIN,設計値MAX,入庫数（箱）＞検収数,入庫数（箱）＞日量数（箱）,入庫数（箱）＜検収数,入庫数（箱）＜日量数（箱）
23,23,23,35145ECE020,4,535.0,10578,21.0,（株）浅賀井製作所,TP-131 ﾊﾝﾖｳ,100,0.65,1,1,4,6.88,5.35,6,5.0371428571428565,5,4.0,3.0,8.0,0.13,0.9923171428571428,2.906431428571428,0,0,0,0
24,24,24,35174ECB010,4,411.0,8236,21.0,（株）浅賀井製作所,TP-332 ﾊﾝﾖｳ,20,0.87,1,1,4,6.88,20.55,21,19.609523809523807,18,8.0,12.0,18.0,0.13,3.86307619047619,11.314695238095233,0,0,1,1
25,25,25,35174ECE010,4,535.0,10578,21.0,（株）浅賀井製作所,TP-332 ﾊﾝﾖｳ,40,0.87,1,1,4,6.88,13.375,14,12.592857142857143,13,6.0,7.0,20.0,0.13,2.480792857142857,7.2660785714285705,0,0,1,1
26,26,26,35174ECE020,4,535.0,10578,21.0,（株）浅賀井製作所,TP-331 ﾊﾝﾖｳ,90,0.63,3,1,4,6.88,5.9444444444444455,6,5.5968253968253965,7,5.0,4.0,13.0,0.13,1.102574603174603,3.2293682539682536,0,0,0,0
27,27,27,35312ECB010,4,411.0,8236,21.0,（株）旭工業所,TP-331 ﾊﾝﾖｳ,63,0.59,1,1,1,1.9,6.523809523809524,7,6.2252456538170815,5,5.0,4.0,10.0,0.0,1.8053212396069536,8.030566893424037,0,0,0,0
28,28,28,01912ECB040,4,946.0,18814,26.0,愛産樹脂工業（株）,TP-342 ﾊﾝﾖｳ,50,0.25,1,1,1,2.12,18.92,19,14.472307692307696,19,19.0,11.0,39.0,0.0,4.515360000000001,18.987667692307696,0,0,0,0
29,29,29,019128GA010,4,946.0,18814,26.0,石黒ゴム工業（株）,TP-342 ﾊﾝﾖｳ,50,1.07,1,1,2,3.64,18.92,19,14.472307692307696,17,17.0,11.0,54.0,0.29,3.357575384615386,14.790698461538465,0,0,0,0
30,30,30,01912ECB010,4,1892.0,37620,26.0,石黒ゴム工業（株）,TP-332 ﾊﾝﾖｳ,300,0.85,1,1,2,3.64,6.306666666666668,7,4.823076923076923,6,6.0,4.0,16.0,0.29,1.1189538461538462,4.929184615384616,0,0,0,0
31,31,31,82821CWA030,4,946.0,18810,26.0,石黒ゴム工業（株）,TP-332 ﾊﾝﾖｳ,200,0.83,1,1,2,3.64,4.73,5,3.6173076923076923,5,5.0,3.0,14.0,0.29,0.8392153846153847,3.6968884615384616,0,0,0,0
32,32,32,82821ECB010,4,946.0,18814,26.0,石黒ゴム工業（株）,TP-332 ｾﾝﾖｳ,400,0.83,1,1,2,3.64,2.365,3,1.8090384615384616,3,3.0,1.0,6.0,0.29,0.4196969230769232,1.848837307692308,0,0,0,0
33,33,33,82821ECB020,4,946.0,18814,26.0,石黒ゴム工業（株）,TP-131 ﾊﾝﾖｳ,200,0.87,1,1,2,3.64,4.73,5,3.618076923076924,4,4.0,3.0,13.0,0.29,0.8393938461538465,3.697674615384616,0,0,0,0
34,34,34,82821ECB040,4,411.0,8236,21.0,石黒ゴム工業（株）,TP-342 ｾﾝﾖｳ,100,0.83,1,1,2,3.64,4.11,5,3.921904761904762,3,3.0,2.0,7.0,0.29,0.9098819047619048,4.008186666666667,0,0,0,0
35,35,35,82821ECB050,4,946.0,18810,26.0,石黒ゴム工業（株）,TP-332 ﾊﾝﾖｳ,100,0.83,1,1,2,3.64,9.46,10,7.234615384615385,9,9.0,6.0,25.0,0.29,1.6784307692307696,7.393776923076923,0,0,0,0
36,36,36,82821ECE010,4,535.0,10577,26.0,石黒ゴム工業（株）,TP-332 ﾊﾝﾖｳ,50,1.07,1,1,2,3.64,10.7,11,8.136153846153848,10,10.0,6.0,41.0,0.29,1.887587692307693,8.315149230769233,0,0,0,0
37,37,37,82821XAE010,4,946.0,18814,26.0,石黒ゴム工業（株）,TP-131 ﾊﾝﾖｳ,100,0.87,1,1,2,3.64,9.46,10,7.236153846153848,9,9.0,6.0,26.0,0.29,1.678787692307693,7.395349230769233,0,0,0,0
38,38,38,82821XAE020,4,411.0,8236,21.0,石黒ゴム工業（株）,TP-332 ﾊﾝﾖｳ,400,0.81,1,1,2,3.64,1.0275,2,0.9804761904761904,1,1.0,0.0,3.0,0.29,0.2274704761904762,1.0020466666666663,0,0,0,0
39,39,39,2030045013L,4,2427.0,48206,21.0,伊藤金属工業（株）,TP-331 ﾊﾝﾖｳ,2000,0.53,3,1,1,1.96,1.2135,2,1.1477619047619048,2,0.0,0.0,2.0,0.0,0.3397375238095238,1.4874994285714287,0,0,1,1
