LINE_DATE,JIKANWARI_KBN,KUMI_CD,TYOKU_KBN(1),PRODUCT_CNT,PLAN_PRODUCT_CNT
2023/10/9 0:00,1,NH12,1,0,0
2023/10/9 0:00,1,NH12,2,,
2023/10/9 0:00,2,NH11,1,,
2023/10/9 0:00,2,NH11,2,120,120
2023/10/9 0:00,2,NH12,1,108,132
2023/10/9 0:00,2,NH12,2,,
2023/10/9 0:00,3,NH11,1,,
2023/10/9 0:00,3,NH11,2,130,130
2023/10/9 0:00,3,NH12,1,108,108
2023/10/9 0:00,3,NH12,2,,
2023/10/9 0:00,4,NH11,1,,
2023/10/9 0:00,4,NH11,2,108,108
2023/10/9 0:00,4,NH12,1,128,128
2023/10/9 0:00,4,NH12,2,,
2023/10/9 0:00,5,NH11,1,,
2023/10/9 0:00,5,NH11,2,128,128
2023/10/9 0:00,5,NH12,1,0,0
2023/10/9 0:00,5,NH12,2,,
2023/10/9 0:00,6,NH11,1,,
2023/10/9 0:00,6,NH11,2,0,0
2023/10/9 0:00,6,NH12,1,68,100
2023/10/9 0:00,6,NH12,2,,
2023/10/9 0:00,7,NH11,1,,
2023/10/9 0:00,7,NH11,2,122,122
2023/10/9 0:00,7,NH12,1,62,128
2023/10/9 0:00,7,NH12,2,,
2023/10/9 0:00,8,NH11,1,,
2023/10/9 0:00,8,NH11,2,130,130
2023/10/9 0:00,8,NH12,1,82,108
2023/10/9 0:00,8,NH12,2,,
2023/10/9 0:00,9,NH11,1,,
2023/10/9 0:00,9,NH11,2,106,106
2023/10/9 0:00,9,NH12,1,116,118
2023/10/9 0:00,9,NH12,2,,
2023/10/9 0:00,10,NH11,1,,
2023/10/9 0:00,10,NH11,2,98,98
2023/10/9 0:00,10,NH12,1,0,0
2023/10/9 0:00,10,NH12,2,,
2023/10/9 0:00,11,NH11,1,,
2023/10/9 0:00,11,NH11,2,0,0
2023/10/9 0:00,11,NH12,1,0,0
2023/10/9 0:00,11,NH12,2,,
2023/10/9 0:00,12,NH11,1,,
2023/10/9 0:00,12,NH11,2,0,0
2023/10/9 0:00,12,NH12,1,0,0
2023/10/9 0:00,12,NH12,2,,
2023/10/9 0:00,13,NH11,1,,
2023/10/9 0:00,13,NH11,2,0,0
2023/10/9 0:00,13,NH12,1,0,0
2023/10/9 0:00,13,NH12,2,,
2023/10/10 0:00,1,NH11,1,,
2023/10/10 0:00,1,NH11,2,0,0
2023/10/10 0:00,1,NH12,1,116,120
2023/10/10 0:00,1,NH12,2,,
2023/10/10 0:00,2,NH11,1,,
2023/10/10 0:00,2,NH11,2,74,120
2023/10/10 0:00,2,NH12,1,130,130
2023/10/10 0:00,2,NH12,2,,
2023/10/10 0:00,3,NH11,1,,
2023/10/10 0:00,3,NH11,2,84,130
2023/10/10 0:00,3,NH12,1,108,108
2023/10/10 0:00,3,NH12,2,,
2023/10/10 0:00,4,NH11,1,,
2023/10/10 0:00,4,NH11,2,88,108
2023/10/10 0:00,4,NH12,1,126,130
2023/10/10 0:00,4,NH12,2,,
2023/10/10 0:00,5,NH11,1,,
2023/10/10 0:00,5,NH11,2,106,128
2023/10/10 0:00,5,NH12,1,0,0
2023/10/10 0:00,5,NH12,2,,
2023/10/10 0:00,6,NH11,1,,
2023/10/10 0:00,6,NH11,2,0,0
2023/10/10 0:00,6,NH12,1,98,98
2023/10/10 0:00,6,NH12,2,,
2023/10/10 0:00,7,NH11,1,,
2023/10/10 0:00,7,NH11,2,122,122
2023/10/10 0:00,7,NH12,1,126,130
2023/10/10 0:00,7,NH12,2,,
2023/10/10 0:00,8,NH11,1,,
2023/10/10 0:00,8,NH11,2,130,130
2023/10/10 0:00,8,NH12,1,106,106
2023/10/10 0:00,8,NH12,2,,
2023/10/10 0:00,9,NH11,1,,
2023/10/10 0:00,9,NH11,2,102,106
2023/10/10 0:00,9,NH12,1,121,125
2023/10/10 0:00,9,NH12,2,,
2023/10/10 0:00,10,NH11,1,,
2023/10/10 0:00,10,NH11,2,94,98
2023/10/10 0:00,10,NH12,1,0,0
2023/10/10 0:00,10,NH12,2,,
2023/10/10 0:00,11,NH11,1,,
2023/10/10 0:00,11,NH11,2,0,0
2023/10/10 0:00,11,NH12,1,0,0
2023/10/10 0:00,11,NH12,2,,
2023/10/10 0:00,12,NH11,1,,
2023/10/10 0:00,12,NH11,2,0,0
2023/10/10 0:00,12,NH12,1,0,0
2023/10/10 0:00,12,NH12,2,,
2023/10/10 0:00,13,NH11,1,,
2023/10/10 0:00,13,NH11,2,0,0
2023/10/10 0:00,13,NH12,1,0,0
2023/10/10 0:00,13,NH12,2,,
2023/10/11 0:00,1,NH11,1,,
2023/10/11 0:00,1,NH11,2,0,0
2023/10/11 0:00,1,NH12,1,120,120
2023/10/11 0:00,1,NH12,2,,
2023/10/11 0:00,2,NH11,1,,
2023/10/11 0:00,2,NH11,2,120,120
2023/10/11 0:00,2,NH12,1,130,130
2023/10/11 0:00,2,NH12,2,,
2023/10/11 0:00,3,NH11,1,,
2023/10/11 0:00,3,NH11,2,130,130
2023/10/11 0:00,3,NH12,1,108,108
2023/10/11 0:00,3,NH12,2,,
2023/10/11 0:00,4,NH11,1,,
2023/10/11 0:00,4,NH11,2,108,108
2023/10/11 0:00,4,NH12,1,130,130
2023/10/11 0:00,4,NH12,2,,
2023/10/11 0:00,5,NH11,1,,
2023/10/11 0:00,5,NH11,2,128,128
2023/10/11 0:00,5,NH12,1,0,0
2023/10/11 0:00,5,NH12,2,,
2023/10/11 0:00,6,NH11,1,,
2023/10/11 0:00,6,NH11,2,0,0
2023/10/11 0:00,6,NH12,1,0,0
2023/10/11 0:00,6,NH12,2,,
2023/10/11 0:00,7,NH11,1,,
2023/10/11 0:00,7,NH11,2,122,122
2023/10/11 0:00,7,NH12,1,96,96
2023/10/11 0:00,7,NH12,2,,
