,KOTEI_ID,WORK_ID,JISEKI_DT,JISEKI_DT2,TYOKU
239,02,05,2023-10-21 01:45:36.557,2023-10-21 02:23:54.463,0
241,02,02,2023-10-21 05:05:22.907,2023-10-23 09:16:18.843,0
243,02,01,2023-10-23 09:16:19.637,2023-10-23 09:44:22.053,0
245,02,02,2023-10-23 13:47:44.580,2023-10-23 14:26:10.747,0
249,02,03,2023-10-23 17:05:09.853,2023-10-23 17:42:57.737,0
252,02,04,2023-10-23 21:19:20.170,2023-10-23 21:50:22.610,0
255,02,05,2023-10-24 01:49:37.883,2023-10-24 02:40:07.630,0
257,02,06,2023-10-24 05:04:37.760,2023-10-24 05:50:26.480,0
259,02,01,2023-10-24 09:14:49.503,2023-10-24 09:46:09.233,0
261,02,02,2023-10-24 13:46:01.697,2023-10-24 14:25:25.627,0
265,02,03,2023-10-24 17:04:59.830,2023-10-24 17:38:17.040,0
268,02,04,2023-10-24 21:20:02.260,2023-10-24 21:51:10.610,0
271,02,05,2023-10-25 01:50:48.013,2023-10-25 02:40:09.353,0
273,02,06,2023-10-25 05:08:48.943,2023-10-25 05:49:22.860,0
275,02,01,2023-10-25 09:14:34.903,2023-10-25 09:46:10.303,0
277,02,02,2023-10-25 13:45:50.297,2023-10-25 14:22:24.047,0
281,02,03,2023-10-25 17:05:26.227,2023-10-25 17:36:42.770,0
284,02,04,2023-10-25 21:17:44.483,2023-10-25 21:49:05.650,0
287,02,05,2023-10-26 01:50:37.410,2023-10-26 02:40:28.703,0
289,02,06,2023-10-26 05:06:01.717,2023-10-26 05:51:54.067,0
291,02,01,2023-10-26 09:14:03.067,2023-10-26 09:51:29.353,0
293,02,02,2023-10-26 13:50:03.457,2023-10-26 17:06:35.760,0
297,02,03,2023-10-26 17:06:36.487,2023-10-26 17:43:14.473,0
300,02,04,2023-10-26 21:16:34.013,2023-10-26 21:52:53.997,0
303,02,05,2023-10-27 01:50:05.467,2023-10-27 02:40:04.877,0
305,02,06,2023-10-27 05:10:13.863,2023-10-27 05:51:21.777,0
307,02,01,2023-10-27 09:14:46.810,2023-10-27 09:45:35.140,0
309,02,02,2023-10-27 14:28:46.733,2023-10-27 14:28:55.647,0
313,02,03,2023-10-27 17:06:54.243,2023-10-27 17:40:04.600,0
316,02,04,2023-10-27 21:52:29.317,2023-10-27 21:52:38.537,0
319,02,05,2023-10-28 01:50:22.053,2023-10-28 02:38:06.307,0
321,02,06,2023-10-28 05:48:45.907,2023-10-28 05:48:56.790,0
323,02,01,2023-10-30 09:15:03.143,2023-10-30 09:48:44.247,0
325,02,02,2023-10-30 13:45:21.873,2023-10-30 14:38:42.607,0
329,02,03,2023-10-30 17:06:05.300,2023-10-30 17:51:06.393,0
332,02,04,2023-10-30 21:13:29.707,2023-10-30 23:36:06.557,0
335,02,05,2023-10-31 01:46:35.807,2023-10-31 02:26:43.347,0
337,02,06,2023-10-31 05:05:57.077,2023-10-31 05:47:16.293,0
339,02,01,2023-10-31 09:20:58.893,2023-10-31 09:49:39.600,0
341,02,02,2023-10-31 13:47:44.803,2023-10-31 14:39:53.137,0
345,02,03,2023-10-31 17:07:17.660,2023-10-31 18:04:22.380,0
348,02,04,2023-10-31 21:13:56.490,2023-10-31 21:35:00.997,0
351,02,05,2023-11-01 01:43:55.720,2023-11-01 02:30:06.927,0
353,02,06,2023-11-01 05:03:46.707,2023-11-01 05:38:00.847,0
355,02,01,2023-11-01 09:19:29.747,2023-11-01 09:49:38.350,0
357,02,02,2023-11-01 13:49:41.083,2023-11-01 14:37:42.297,0
361,02,03,2023-11-01 17:47:07.880,2023-11-01 17:47:17.530,0
364,02,04,2023-11-01 21:23:13.920,2023-11-01 23:38:36.420,0
367,02,05,2023-11-02 01:44:33.237,2023-11-02 02:28:41.720,0
369,02,06,2023-11-02 05:08:15.827,2023-11-02 05:35:29.870,0
371,02,01,2023-11-02 09:20:40.457,2023-11-02 09:48:24.457,0
373,02,02,2023-11-02 13:50:04.473,2023-11-02 14:39:19.387,0
377,02,03,2023-11-02 17:48:31.883,2023-11-02 17:48:41.850,0
380,02,04,2023-11-02 21:14:49.927,2023-11-02 23:30:38.237,0
383,02,05,2023-11-03 01:45:51.097,2023-11-03 02:27:43.940,0
385,02,06,2023-11-03 05:07:21.060,2023-11-03 05:38:23.907,0
387,02,01,2023-11-03 09:15:35.837,2023-11-03 09:50:10.097,0
389,02,02,2023-11-03 13:47:56.380,2023-11-03 14:37:49.077,0
393,02,03,2023-11-03 17:07:16.660,2023-11-03 17:48:10.690,0
396,02,04,2023-11-03 21:19:35.663,2023-11-03 23:31:32.827,0
399,02,05,2023-11-04 01:46:03.903,2023-11-04 02:31:05.557,0
401,02,06,2023-11-04 05:05:55.353,2023-11-04 05:36:54.600,0
404,02,01,2023-11-06 09:10:22.217,2023-11-06 13:47:40.613,0
406,02,02,2023-11-06 13:47:41.513,2023-11-06 14:24:01.767,0
410,02,03,2023-11-06 17:05:50.307,2023-11-06 17:41:11.413,0
415,02,04,2023-11-06 21:16:16.083,2023-11-06 21:51:42.737,0
418,02,05,2023-11-07 01:49:27.627,2023-11-07 02:39:33.550,0
420,02,06,2023-11-07 05:11:04.080,2023-11-07 05:48:53.667,0
423,02,01,2023-11-07 09:14:25.117,2023-11-07 09:42:53.763,0
425,02,02,2023-11-07 13:44:24.427,2023-11-07 14:30:03.420,0
429,02,03,2023-11-07 17:04:14.230,2023-11-07 17:41:44.823,0
432,02,04,2023-11-07 21:19:35.523,2023-11-07 21:54:27.163,0
435,02,05,2023-11-08 01:49:54.627,2023-11-08 02:44:02.827,0
437,02,06,2023-11-08 05:07:42.647,2023-11-08 05:51:07.630,0
440,02,01,2023-11-08 09:12:59.103,2023-11-08 09:53:03.453,0
442,02,02,2023-11-08 13:45:14.090,2023-11-08 14:18:21.400,0
446,02,03,2023-11-08 17:05:29.983,2023-11-08 17:47:37.093,0
449,02,04,2023-11-08 21:16:45.070,2023-11-08 21:49:06.040,0
452,02,05,2023-11-09 01:52:15.993,2023-11-09 02:40:16.487,0
454,02,06,2023-11-09 05:05:41.973,2023-11-09 05:49:08.643,0
457,02,01,2023-11-09 09:13:14.343,2023-11-09 09:46:08.963,0
459,02,02,2023-11-09 13:46:27.540,2023-11-09 14:28:34.197,0
463,02,03,2023-11-09 17:08:03.357,2023-11-09 17:47:44.557,0
466,02,04,2023-11-09 21:51:09.423,2023-11-09 21:51:19.430,0
469,02,05,2023-11-10 01:49:21.257,2023-11-10 02:40:06.057,0
471,02,06,2023-11-10 05:05:09.783,2023-11-10 05:51:09.867,0
474,02,01,2023-11-10 09:15:25.890,2023-11-10 09:46:56.487,0
476,02,02,2023-11-10 13:44:42.163,2023-11-10 14:28:21.627,0
480,02,03,2023-11-10 17:08:05.063,2023-11-10 17:41:01.353,0
483,02,04,2023-11-10 21:21:03.200,2023-11-10 21:51:41.403,0
486,02,05,2023-11-11 01:49:34.253,2023-11-11 02:39:51.250,0
488,02,06,2023-11-11 05:05:04.803,2023-11-11 05:52:48.447,0
490,02,01,2023-11-13 09:19:18.203,2023-11-13 09:51:08.233,0
492,02,02,2023-11-13 13:47:49.797,2023-11-13 14:36:18.757,0
496,02,03,2023-11-13 17:05:18.077,2023-11-13 17:48:04.953,0
499,02,04,2023-11-13 21:15:18.500,2023-11-14 09:18:39.413,0
504,02,01,2023-11-14 09:18:41.337,2023-11-14 09:51:24.703,0
506,02,02,2023-11-14 13:47:56.893,2023-11-14 14:37:08.287,0
510,02,03,2023-11-14 17:46:24.097,2023-11-14 17:46:34.373,0
