,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,かんばん数,実績LT/設計値LT,順立装置在庫量/設計値MIN,不等ピッチ,順立装置在庫量/設計値MAX,OPERATION_RATE,KAKO_CNT
20,35145ECE010    ,2023,36,7.0,0.0,0.0,0.65,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,100,1.0,2.5300000000000002,5.29,三共鋼業（株）,24,3.8923076923076927,4.829384736384584,0.0,0.6741215043992514,97.81,480.0
21,35145ECE020    ,2023,36,6.0,0.0,0.0,0.65,1.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,100,3.0,1.8549999999999998,5.34,（株）浅賀井製作所,26,2.8538461538461535,5.703530485370443,0.13,0.8212955940729,97.81,480.0
22,35165ECE010    ,2023,36,7.0,0.0,0.0,0.63,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.21,200,1.0,3.215,2.67,（株）松尾製作所,10,5.103174603174603,11.862999305167184,0.0,0.47727817349937185,97.81,480.0
23,35174ECB010    ,2023,36,16.0,0.0,1.0,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,20,3.0,1.17,20.55,（株）浅賀井製作所,98,1.3448275862068966,3.952227450689787,0.13,1.5814609366036472,97.81,480.0
24,35174ECE010    ,2023,36,15.5,0.0,0.5,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,40,3.0,2.12,13.225,（株）浅賀井製作所,61,2.4367816091954024,5.949353727462024,0.13,1.5629957268681873,97.81,480.0
25,35174ECE020    ,2023,36,9.0,0.0,0.0,0.63,3.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,90,3.0,2.6100000000000003,5.877777777777778,（株）浅賀井製作所,27,4.142857142857143,7.77254277297458,0.13,0.943804208408975,97.81,480.0
26,3519510A010    ,2023,36,3.0,0.0,0.0,0.63,1.0,ＡＷ１３１フタナシ,1.0,2.0,2.34,600,2.0,6.995,0.6575,中庸スプリング（株）,2,11.103174603174603,27.32178229093145,0.1,0.10836816322760755,97.81,480.0
27,35195ECE010    ,2023,36,7.0,0.0,0.0,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400,1.0,3.045,2.6550000000000002,三共鋼業（株）,12,4.911290322580645,9.622389926732371,0.0,0.5640548810349411,97.81,480.0
28,35195TFG010    ,2023,36,6.0,0.0,0.0,0.62,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400,1.0,3.8499999999999996,2.5075000000000003,三共鋼業（株）,12,6.209677419354838,8.73292531165627,0.0,0.5278994734622129,97.81,480.0
29,35198ECE010    ,2023,36,6.0,0.0,0.0,0.58,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,200,1.0,3.05,2.6574999999999998,サトープレス工業（株）,12,5.258620689655173,8.121442638927428,0.0,0.5498625617234716,97.81,480.0
30,35300ECB010    ,2023,36,121.5,0.0,3.5,0.91,3.0,TP341ﾌﾀﾅｼ,1.0,4.0,8.04,12,3.0,2.36,78.75,アイシン精機（株）,376,2.593406593406593,6.826801517067004,0.14,3.989911727616646,97.81,480.0
31,35312ECB010    ,2023,36,6.0,0.0,0.0,0.59,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.9,63,1.0,1.6300000000000001,6.523809523809524,（株）旭工業所,30,2.76271186440678,3.1714069972313115,0.0,0.598718323849901,97.81,480.0
32,35352ECB010    ,2023,36,2.0,0.0,0.0,0.64,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.97,504,1.0,5.86,0.7361111111111112,五興商事（株）,3,9.15625,9.148084619782734,0.0,0.2015925552526336,97.81,480.0
33,3539450A010    ,2023,36,2.0,0.0,0.0,0.71,3.0,サンボックスＣ３フタナシ,1.0,1.0,1.88,2000,1.0,6.005,0.8959999999999999,ミズショー（株）,4,8.45774647887324,7.750496031746032,0.0,0.2301152777094179,97.81,480.0
34,35409ECB010    ,2023,36,5.0,0.0,0.0,0.66,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.26,200,1.0,3.3200000000000003,2.055,サンコール（株）,7,5.03030303030303,7.4634663323033745,0.0,0.519684811910156,97.81,480.0
35,35441ECB010    ,2023,36,27.0,0.0,1.0,0.67,3.0,ＴＰ３３１フタナシ,1.0,1.0,2.14,48,1.0,2.0300000000000002,19.6875,（株）ニフコ,89,3.029850746268657,4.367606915377616,0.0,1.0782970706521833,97.81,480.0
36,35441TFA010    ,2023,36,6.0,0.0,0.0,0.67,1.0,ＴＰ３３１フタナシ,1.0,1.0,2.14,100,1.0,2.880000000000001,4.11,（株）ニフコ,16,4.298507462686568,4.649216607001719,0.0,0.6692905378976303,97.81,480.0
37,3548255A010    ,2023,36,6.0,0.0,0.0,0.57,1.0,ＡＷ１３１フタナシ,1.0,1.0,1.78,300,1.0,5.06,1.7116666666666667,サトープレス工業（株）,6,8.87719298245614,12.609192101041657,0.0,0.416480346633689,97.81,480.0
38,35501ECB010    ,2023,36,5.0,0.0,0.0,0.6,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.38,100,1.0,2.2800000000000002,4.11,大橋鉄工（株）,19,3.8000000000000007,5.111533664560715,0.0,0.5303895348116371,97.81,480.0
39,35505ECB010    ,2023,36,14.5,0.0,1.0,0.81,1.0,ＴＰ１３１フタナシ,1.0,2.0,2.34,24,1.0,1.2050000000000003,17.125,中庸スプリング（株）,82,1.4876543209876545,5.070151667467983,0.1,1.0007659885329292,97.81,480.0
40,35556ECB010    ,2023,36,4.0,0.0,0.0,0.75,1.0,ＡＷ１３１フタナシ,1.0,2.0,3.8,100,2.0,1.4300000000000004,4.11,（株）ギフ加藤製作所,20,1.9066666666666672,4.055150040551499,0.12,0.6333473156867174,97.81,480.0
41,35557ECB010    ,2023,36,9.0,0.0,0.0,0.89,1.0,ＴＰ１３１フタナシ,1.0,2.0,4.94,46,1.0,1.67,8.934782608695652,小川工業（株）,41,1.8764044943820224,3.3915800339157998,0.05,1.083591829250267,97.81,480.0
42,35580ECB011    ,2023,36,54.0,0.0,3.0,0.9,3.0,ＴＰ３４２フタアリ,1.0,4.0,8.04,6,3.0,1.5700000000000003,68.5,アイシン精機（株）,335,1.7444444444444447,3.488146760545185,0.14,2.2464294164570315,97.81,480.0
43,35595ECB010    ,2023,36,10.0,0.0,0.0,0.57,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,40,1.0,1.2400000000000002,10.275,サトープレス工業（株）,45,2.1754385964912286,3.500848955871798,0.0,0.699809702909182,97.81,480.0
44,3559850A010    ,2023,36,1.0,0.0,0.0,0.9,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.92,100,1.0,1.7299999999999995,4.11,アイコー（株）,19,1.9222222222222216,0.9890609855003659,0.32,0.3077338768104456,97.81,480.0
45,35771ECB010    ,2023,36,27.0,0.0,4.0,0.79,3.0,ＴＰ３４１フタナシ,1.0,6.0,4.92,4,4.0,0.55,102.75,アイシン機工（株）,508,0.6962025316455697,2.6632471887946343,0.12,1.083217277118892,97.81,480.0
46,35771ECE010    ,2023,36,47.0,0.0,4.0,0.79,2.0,ＴＰ３４１フタナシ,1.0,6.0,4.92,6,4.0,0.8500000000000001,88.16666666666667,アイシン機工（株）,440,1.0759493670886076,5.402850865988861,0.12,1.9179267213761164,97.81,480.0
47,35847ECB010    ,2023,36,7.0,0.0,0.0,0.51,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,80,1.0,2.1800000000000006,5.2125,（株）メタルテック,27,4.274509803921569,4.6307781361117994,0.0,0.6928015743719562,97.81,480.0
48,35847ECB020    ,2023,36,8.0,0.0,0.0,0.5,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,70,1.0,1.7700000000000005,5.871428571428571,（株）メタルテック,23,3.540000000000001,4.69838073663898,0.0,0.7364190019611813,97.81,480.0
49,35847ECE010    ,2023,36,18.0,0.0,0.5,0.5,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,40,1.0,2.1,13.225,（株）メタルテック,60,4.2,4.693305521152467,0.0,0.9688068145390965,97.81,480.0
50,35847ECE020    ,2023,36,14.0,0.0,0.0,0.49,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,60,1.0,2.3499999999999996,8.816666666666666,（株）メタルテック,41,4.795918367346938,5.4755231080112114,0.0,0.9502462527454651,97.81,480.0
51,35882ECB010    ,2023,36,10.0,0.0,0.0,0.5,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,50,1.0,1.5300000000000005,8.22,（株）メタルテック,40,3.060000000000001,4.194982800570517,0.0,0.7796673483419287,97.81,480.0
52,36108ECB010    ,2023,36,5.0,0.0,0.0,0.64,1.0,ＴＰ３３１．５フタナシ,1.0,1.0,1.97,150,1.0,2.1649999999999996,2.743333333333333,（株）オーハシテクニカ,12,3.382812499999999,6.136701154927159,0.0,0.5544957813509473,97.81,480.0
53,41310ECB010    ,2023,36,55.0,0.0,9.0,0.69,2.0,サンボックス＃２４Ａフタアリ,1.0,4.0,4.0,2,3.0,0.78,205.5,（株）オンド,1011,1.1304347826086958,2.1411192214111923,0.05,0.8621889797716468,97.81,480.0
54,41310ECE010    ,2023,36,136.0,0.0,12.0,0.7,3.0,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1.0,4.0,4.0,2,3.0,1.0700000000000003,264.5,（株）オンド,1293,1.5285714285714291,4.113421550094518,0.05,1.6294563231915093,97.81,480.0
55,5040056001E    ,2023,36,5.0,0.0,0.0,0.58,3.0,AW131ﾌﾀﾅｼ,1.0,1.0,1.78,300,1.0,1.79,6.85,サトープレス工業（株）,32,3.086206896551724,2.6256367169038493,0.0,0.5092615986281306,97.81,480.0
56,82125ECB010    ,2023,36,5.0,0.0,0.0,0.58,1.0,ＴＰ３３２フタアリ,1.0,1.0,1.79,100,1.0,2.42,4.11,矢崎総業（株）,16,4.172413793103448,4.360376387689785,0.0,0.5763106545748516,97.81,480.0
57,82125ECE010    ,2023,36,8.0,0.0,0.0,0.58,1.0,ＴＰ３３２フタアリ,1.0,1.0,1.79,100,1.0,2.14,5.285,矢崎総業（株）,24,3.6896551724137936,5.425512795732834,0.0,0.7289451397628867,97.81,480.0
58,82821CWA030    ,2023,36,10.0,0.0,0.0,0.83,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,200,1.0,4.199999999999999,4.725,石黒ゴム工業（株）,21,5.060240963855421,9.122422915526363,0.29,0.8531569384795592,97.81,480.0
59,82821ECB010    ,2023,36,5.0,0.0,0.0,0.83,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,400,1.0,3.96,2.3625,石黒ゴム工業（株）,11,4.771084337349397,9.122422915526363,0.29,0.4797636684694313,97.81,480.0
60,82821ECB020    ,2023,36,11.0,0.0,0.0,0.87,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.64,200,2.0,4.319999999999999,4.725,石黒ゴム工業（株）,21,4.96551724137931,10.034665207079,0.29,0.8707067582039311,97.81,480.0
61,82821ECB040    ,2023,36,4.0,0.0,0.0,0.83,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,100,1.5,2.04,4.11,石黒ゴム工業（株）,18,2.457831325301205,4.194982800570517,0.29,0.6196283258080234,97.81,480.0
62,82821ECB050    ,2023,36,19.0,0.0,0.0,0.83,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,100,2.0,2.9749999999999996,9.45,石黒ゴム工業（株）,42,3.58433734939759,8.666301769750046,0.29,1.3704754522281775,97.81,480.0
63,82821ECE010    ,2023,36,34.0,0.0,0.0,1.07,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,50,1.0,5.58,10.56,石黒ゴム工業（株）,49,5.214953271028037,13.878004179728315,0.29,1.7271153500521725,97.81,480.0
64,82821XAE010    ,2023,36,21.0,0.0,0.0,0.87,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.64,100,1.0,3.59,9.45,石黒ゴム工業（株）,45,4.126436781609195,9.578544061302681,0.29,1.421219367841314,97.81,480.0
65,82821XAE020    ,2023,36,2.0,0.0,0.0,0.81,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,400,1.5,3.8399999999999994,0.9775,石黒ゴム工業（株）,4,4.74074074074074,8.819119851838785,0.29,0.21374954983484032,97.81,480.0
66,82824ECB010    ,2023,36,11.0,0.0,0.0,0.57,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.79,32,1.0,1.23,12.84375,矢崎総業（株）,57,2.1578947368421053,3.0697049769336084,0.0,0.6644260417755404,97.81,480.0
67,82824ECB020    ,2023,36,24.0,0.0,1.0,0.58,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.79,40,1.0,1.5799999999999996,23.625,矢崎総業（株）,110,2.724137931034482,3.6411219206918126,0.0,0.8436631709568602,97.81,480.0
68,82824ECE010    ,2023,36,17.5,0.0,0.0,0.36,1.0,ＴＰ３３２,1.0,1.0,3.25,45,1.0,1.5,11.755555555555556,住友電装（株）,53,4.166666666666667,3.5027243411542304,0.0,1.1043756345892464,97.81,480.0
69,9010506A003    ,2023,36,2.0,0.0,0.0,0.52,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,2000,6.0,6.28,0.756,（株）青山製作所,4,12.076923076923077,23.480792711561943,0.08,0.08458593575274494,97.81,480.0
70,9010506A089    ,2023,36,3.0,0.0,0.0,0.5,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,1500,4.0,4.88,1.128,（株）青山製作所,5,9.76,23.605690545134085,0.08,0.12578568598399148,97.81,480.0
71,9010508A014    ,2023,36,23.0,0.0,1.0,0.54,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,4.0,0.94,71.49,（株）青山製作所,352,1.7407407407407405,2.8555324078097573,0.08,1.2537454003193014,97.81,480.0
72,9010508A042    ,2023,36,2.0,0.0,0.0,0.53,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,300,3.0,0.69,6.85,（株）青山製作所,33,1.3018867924528301,2.591456830648296,0.08,0.4907224627882355,97.81,480.0
73,9010512A018    ,2023,36,34.0,0.0,3.0,0.74,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,200,4.0,0.9400000000000002,64.92,（株）青山製作所,321,1.2702702702702706,4.648415710551357,0.08,1.8167812731033057,97.81,480.0
74,9011906A065    ,2023,36,3.0,0.0,0.0,0.53,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,1000,3.5,1.9700000000000002,2.835,（株）青山製作所,12,3.716981132075472,9.392317084624777,0.08,0.29980311675614907,97.81,480.0
75,9014908A008    ,2023,36,5.0,0.0,0.0,0.52,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,800,2.0,1.7349999999999999,3.54375,（株）青山製作所,23,3.3365384615384612,12.523089446166367,0.08,0.3761971926549501,97.81,480.0
76,9015905A007    ,2023,36,4.0,0.0,0.0,0.53,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,2000,3.0,2.13,2.835,（株）青山製作所,13,4.018867924528301,12.523089446166368,0.08,0.3044756525011042,97.81,480.0
77,9015906A021    ,2023,36,4.0,0.0,0.0,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,1200,3.0,1.295,6.6425,（株）青山製作所,33,2.490384615384615,5.34481875496901,0.08,0.5896202871738493,97.81,480.0
78,9015906A022    ,2023,36,6.0,0.0,0.0,0.51,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,1500,4.0,1.1199999999999997,9.45,（株）青山製作所,44,2.1960784313725483,5.635390250774866,0.08,0.7809560990923778,97.81,480.0
79,9015906A023    ,2023,36,5.0,0.0,0.0,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,1300,2.0,3.37,2.1807692307692306,（株）青山製作所,11,6.480769230769231,20.350020350020355,0.08,0.24012463025375852,97.81,480.0
80,9020150A002    ,2023,36,5.0,0.0,0.0,0.73,1.0,ＴＰ１３１フタナシ,1.0,1.0,0.73,100,1.0,2.0999999999999996,4.11,（株）ムロコーポレーション,21,2.876712328767123,7.032052093441908,0.0,0.440623665688184,97.81,480.0
81,9020156A001    ,2023,36,5.0,0.0,0.0,0.75,1.0,ＴＰ１３１フタナシ,1.0,1.0,0.73,100,1.0,2.04,4.11,（株）ムロコーポレーション,19,2.72,7.032052093441908,0.0,0.440623665688184,97.81,480.0
82,9020156A002    ,2023,36,4.0,0.0,0.0,0.73,1.0,ＴＰ１３１フタナシ,1.0,1.0,0.73,100,1.0,1.8600000000000003,5.34,（株）ムロコーポレーション,25,2.5479452054794525,4.329847805849624,0.0,0.4025421419502148,97.81,480.0
83,9025006A007    ,2023,36,2.0,0.0,0.0,0.76,1.0,ＡＷ１３１フタナシ,1.0,2.0,3.8,200,1.0,2.02,3.91,（株）ギフ加藤製作所,23,2.6578947368421053,2.1312872975277064,0.12,0.46709466421996143,97.81,480.0
84,9030106A018    ,2023,36,3.0,0.0,0.0,0.56,3.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,2000,2.0,3.87,2.512,ＮＯＫ（株）,11,6.910714285714286,5.28436953948481,0.03,0.45004706100590125,97.81,480.0
85,9030111A014    ,2023,36,6.0,0.0,0.0,0.56,3.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,1000,2.0,2.765,4.725,ＮＯＫ（株）,22,4.9375,5.618766680713585,0.03,0.7301475899747097,97.81,480.0
86,9030115A011    ,2023,36,3.0,0.0,0.0,0.56,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,1000,1.0,2.65,1.062,ＮＯＫ（株）,6,4.732142857142857,12.499375031248437,0.03,0.22929687967721346,97.81,480.0
87,9030117A010    ,2023,36,4.0,0.0,0.0,0.54,3.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,1000,2.0,5.470000000000001,1.256,ＮＯＫ（株）,7,10.12962962962963,14.091652105292825,0.03,0.2705911016324422,97.81,480.0
88,9030119A010    ,2023,36,2.0,0.0,0.0,0.58,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,1000,2.0,5.51,0.95,ＮＯＫ（株）,4,9.5,9.315323707498836,0.03,0.20329699529739584,97.81,480.0
89,9030119A011    ,2023,36,4.0,0.0,0.0,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,200,2.0,1.2999999999999998,4.11,ＮＯＫ（株）,18,2.407407407407407,4.306354025364425,0.03,0.6091196765681146,97.81,480.0
90,9031150A014    ,2023,36,6.0,0.0,0.0,0.54,1.0,サンボックス＃２４Ｂフタナシ,1.0,2.0,3.52,84,2.0,1.08,11.25,ＮＯＫ（株）,54,2.0,2.359882005899705,0.03,0.7019693276676517,97.81,480.0
91,9031150A015    ,2023,36,5.0,0.0,0.0,0.53,1.0,サンボックス＃２４Ｂフタナシ,1.0,2.0,3.52,84,2.0,0.8650000000000002,11.25,ＮＯＫ（株）,54,1.6320754716981136,1.9665683382497543,0.03,0.6131908383138759,97.81,480.0
92,9033904A002    ,2023,36,3.0,0.0,0.0,0.61,1.0,AW131ﾌﾀﾅｼ,1.0,1.0,1.78,1000,1.0,4.53,0.945,サトープレス工業（株）,5,7.426229508196722,11.419435879867535,0.0,0.24170769620154275,97.81,480.0
93,9033904A003    ,2023,36,3.0,0.0,0.0,0.6,3.0,AW131ﾌﾀﾅｼ,1.0,1.0,1.78,2000,1.0,11.540000000000001,0.378,サトープレス工業（株）,3,19.233333333333334,28.548589699668835,0.0,0.1036430902060131,97.81,480.0
94,9034108A006    ,2023,36,3.0,0.0,0.0,0.53,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,1000,1.0,1.75,4.191,（株）杉浦製作所,17,3.30188679245283,6.949704985023386,0.12,0.3241576902743276,97.81,480.0
95,9034108A010    ,2023,36,1.0,0.0,0.0,0.47,1.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,1000,1.5,4.6000000000000005,0.822,（株）杉浦製作所,4,9.787234042553193,11.811116622965535,0.12,0.08154467386046846,97.81,480.0
96,9034114A004    ,2023,36,1.0,0.0,0.0,0.5,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,3.5,3.7250000000000005,0.823,（株）青山製作所,4,7.450000000000001,10.784616822564294,0.08,0.0912164614500593,97.81,480.0
97,9034118A024    ,2023,36,4.0,0.0,0.0,0.52,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200,3.0,3.2300000000000004,2.67,（株）青山製作所,12,6.211538461538463,13.296988232165413,0.08,0.28827814438467214,97.81,480.0
98,9036324A003    ,2023,36,7.0,0.0,1.0,0.74,1.0,テンバコ１０フタナシ,1.0,8.0,9.0,22,5.0,0.7899999999999998,18.681818181818183,日本精工（株）,92,1.0675675675675673,2.997566909975669,0.09,1.1169823440940576,97.81,480.0
99,9036324A004    ,2023,36,19.0,0.0,1.0,0.74,1.0,テンバコ１０フタナシ,1.0,8.0,9.0,30,5.0,0.8999999999999999,31.5,日本精工（株）,156,1.216216216216216,4.825396825396825,0.09,1.837898009711533,97.81,480.0
100,9036324A005    ,2023,36,18.0,0.0,1.0,0.69,1.0,サンボックス＃Ｋ１０Ｂフタナシ,1.0,8.0,9.0,22,5.0,1.0200000000000002,24.045454545454547,日本精工（株）,120,1.478260869565218,5.988657844990548,0.09,1.7652921686880245,97.81,480.0
101,9036340A010    ,2023,36,15.0,0.0,1.0,0.74,3.0,ｻﾝﾎﾞｯｸｽ＃K-10Bﾌﾀﾅｼ,1.0,8.0,9.0,80,5.0,1.02,23.625,日本精工（株）,115,1.3783783783783785,5.079365079365079,0.09,1.628003380906492,97.81,480.0
102,9036345A004    ,2023,36,16.0,0.0,0.0,0.64,1.0,サンボックス＃９Ｂフタナシ,1.0,1.0,2.29,90,1.0,2.1,10.5,岡谷鋼機（株）,48,3.28125,4.631639889998552,0.0,1.0219306385286913,97.81,480.0
