,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,かんばん数,実績LT/設計値LT,順立装置在庫量/設計値MIN,不等ピッチ,順立装置在庫量/設計値MAX,OPERATION_RATE,KAKO_CNT,先週からの順立装置在庫量増加率,先週からの社内LT増加率,先週からのかんばん増加率,使用工程
309,01912ECB060    ,2023,38,1.0,0.0,0.0,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400,1.0,3.4749999999999996,0.95625,新光ゴム工業（株）,4,4.455128205128204,2.460592079969242,0.0,0.2886290615467005,97.085,450.0,-0.5,-0.3063872255489022,-0.19999999999999996,8.ファイナル後半
453,01912ECB060    ,2023,39,1.0,0.0,0.0,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400,1.0,2.5700000000000003,0.96875,新光ゴム工業（株）,2,3.294871794871795,2.428842504743833,0.0,0.29018899969628587,99.44999999999999,464.0,0.0,-0.26043165467625884,-0.5,8.ファイナル後半
155,1040043104R    ,2023,37,3.0,0.0,0.0,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000,1.5,5.9,1.754,（株）ギフ加藤製作所,10,7.866666666666667,7.126567844925884,0.12,0.3707700767663167,93.505,462.0,-0.25,0.12167300380228152,0.25,2.MGケース
310,1040043104R    ,2023,38,4.0,0.0,0.0,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000,1.5,5.93,1.756,（株）ギフ加藤製作所,8,7.906666666666666,9.491268033409265,0.12,0.38251639821223393,97.085,450.0,0.33333333333333326,0.005084745762711673,-0.19999999999999996,2.MGケース
454,1040043104R    ,2023,39,5.0,0.0,0.0,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000,1.5,3.7249999999999996,0.938,（株）ギフ加藤製作所,2,4.966666666666666,22.210376687988628,0.12,0.22000964208284138,99.44999999999999,464.0,0.25,-0.3718381112984823,-0.75,2.MGケース
156,1040052001Z    ,2023,37,3.0,0.0,0.0,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200,3.0,3.4200000000000004,2.435,（株）青山製作所,12,6.452830188679246,10.93520284801283,0.08,0.2617164756053826,93.505,462.0,0.0,0.13621262458471772,-0.07692307692307687,2.MGケース
311,1040052001Z    ,2023,38,3.0,0.0,0.0,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200,4.0,3.055,2.48,（株）青山製作所,13,5.764150943396227,10.736781828593243,0.08,0.26609627069725134,97.085,450.0,0.0,-0.10672514619883045,0.08333333333333326,2.MGケース
455,1040052001Z    ,2023,39,3.0,0.0,0.0,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200,4.0,2.8599999999999994,2.34,（株）青山製作所,5,5.396226415094338,11.37915339098771,0.08,0.25239452170242493,99.44999999999999,464.0,0.0,-0.06382978723404276,-0.6153846153846154,2.MGケース
157,1040183011P    ,2023,37,1.0,0.0,0.0,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,3.0,1.1600000000000001,2.232,（株）青山製作所,12,2.1481481481481484,3.9765858624419415,0.08,0.22420590326083456,93.505,462.0,0.0,-0.025210084033613245,0.0,8.ファイナル後半
312,1040183011P    ,2023,38,1.0,0.0,0.0,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,3.5,1.44,2.271,（株）青山製作所,12,2.6666666666666665,3.908295748555885,0.08,0.2272548697629458,97.085,450.0,0.0,0.2413793103448274,0.0,8.ファイナル後半
456,1040183011P    ,2023,39,2.0,0.0,0.0,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,4.0,1.2200000000000002,2.322,（株）青山製作所,9,2.2592592592592595,7.644909254927144,0.08,0.2454587295406654,99.44999999999999,464.0,1.0,-0.15277777777777757,-0.25,8.ファイナル後半
158,2030044001J    ,2023,37,1.0,0.0,0.0,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400,2.0,3.72,0.945,ＮＯＫ（株）,5,6.888888888888888,4.68230556726132,0.03,0.19223170284712301,93.505,462.0,0.0,0.572938689217759,0.25,4.TA・カバー・メイン
313,2030044001J    ,2023,38,1.0,0.0,0.0,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400,1.5,2.595,0.94625,ＮＯＫ（株）,4,4.805555555555555,4.676120223050934,0.03,0.19243507977678984,97.085,450.0,0.0,-0.30241935483870963,-0.19999999999999996,4.TA・カバー・メイン
457,2030044001J    ,2023,39,1.0,0.0,0.0,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400,2.0,1.8599999999999999,0.9675,ＮＯＫ（株）,3,3.444444444444444,4.573414740115707,0.03,0.19586567746064337,99.44999999999999,464.0,0.0,-0.2832369942196533,-0.25,4.TA・カバー・メイン
159,2030045013L    ,2023,37,2.0,0.0,0.0,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000,1.0,7.220000000000001,1.1235,伊藤金属工業（株）,6,13.622641509433963,6.01402470561349,0.0,0.2780210575706033,93.505,462.0,-0.33333333333333337,0.7355769230769231,-0.1428571428571429,3.ギヤサブ・共通部品
314,2030045013L    ,2023,38,2.0,0.0,0.0,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000,1.0,3.829999999999999,1.161,伊藤金属工業（株）,4,7.226415094339621,5.819773261633727,0.0,0.2841384029204614,97.085,450.0,0.0,-0.46952908587257636,-0.33333333333333337,3.ギヤサブ・共通部品
