,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）
0,019120LC030    ,2023,36,12.0,0.0,0.0
1,019120LC030    ,2023,37,11.5,0.0,0.0
2,019120LC030    ,2023,38,11.0,0.0,0.0
3,019120LC030    ,2023,39,11.0,0.0,0.0
4,019120LC040    ,2023,36,3.0,0.0,0.0
5,019120LC040    ,2023,37,1.0,0.0,0.0
6,019120LC050    ,2023,36,5.0,0.0,0.0
7,019120LC050    ,2023,37,4.0,0.0,0.0
8,019120LC050    ,2023,38,5.0,0.0,0.0
9,019120LC050    ,2023,39,6.0,0.0,0.0
10,019120LC060    ,2023,36,8.0,0.0,0.0
11,019120LC060    ,2023,37,8.0,0.0,0.0
12,019120LC060    ,2023,38,9.0,0.0,0.0
13,019120LC060    ,2023,39,9.0,0.0,0.0
14,019120LC070    ,2023,36,8.0,0.0,0.0
15,019120LC070    ,2023,37,8.0,0.0,0.0
16,019120LC070    ,2023,38,8.0,0.0,0.0
17,019120LC070    ,2023,39,8.0,0.0,0.0
18,019128GA010    ,2023,36,41.0,0.0,1.0
19,019128GA010    ,2023,37,40.0,0.0,1.0
20,019128GA010    ,2023,38,37.0,0.0,1.0
21,019128GA010    ,2023,39,40.0,0.0,1.0
22,01912ECB010    ,2023,36,13.0,0.0,0.0
23,01912ECB010    ,2023,37,13.0,0.0,0.0
24,01912ECB010    ,2023,38,12.0,0.0,0.0
25,01912ECB010    ,2023,39,14.0,0.0,0.0
26,01912ECB040    ,2023,36,30.5,0.0,1.0
27,01912ECB040    ,2023,37,26.0,0.0,1.0
28,01912ECB040    ,2023,38,27.0,0.0,1.0
29,01912ECB040    ,2023,39,26.5,0.0,1.0
30,01912ECB060    ,2023,36,3.0,0.0,0.0
31,01912ECB060    ,2023,37,2.0,0.0,0.0
32,01912ECB060    ,2023,38,1.0,0.0,0.0
33,01912ECB060    ,2023,39,1.0,0.0,0.0
34,01912TFA050    ,2023,36,7.0,0.0,0.0
35,01912TFA050    ,2023,37,7.0,0.0,0.0
36,01912TFA050    ,2023,38,7.0,0.0,0.0
37,01912TFA050    ,2023,39,7.0,0.0,0.0
38,0355045013U    ,2023,36,1.0,0.0,0.0
39,0355045013U    ,2023,37,1.0,0.0,0.0
40,0355045013U    ,2023,38,2.0,0.0,0.0
