,品番,Year,Week_Number,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,かんばん数
0,019128GA010    ,2023,35,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50,2.0,3.3199999999999994,18.9,石黒ゴム工業（株）,91
1,019128GA010    ,2023,36,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50,2.0,3.86,18.9,石黒ゴム工業（株）,85
2,019128GA010    ,2023,37,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50,1.5,3.53,17.54,石黒ゴム工業（株）,92
3,019128GA010    ,2023,38,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50,2.0,3.425,17.54,石黒ゴム工業（株）,84
4,019128GA010    ,2023,39,1.07,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,50,1.0,2.255,16.44,石黒ゴム工業（株）,52
5,01912ECB010    ,2023,35,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300,2.0,4.62,6.306666666666667,石黒ゴム工業（株）,29
6,01912ECB010    ,2023,36,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300,1.0,3.52,6.3,石黒ゴム工業（株）,31
7,01912ECB010    ,2023,37,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300,1.0,3.25,5.846666666666667,石黒ゴム工業（株）,30
8,01912ECB010    ,2023,38,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300,1.5,3.625,5.846666666666667,石黒ゴム工業（株）,30
9,01912ECB010    ,2023,39,0.85,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,300,2.0,2.875,5.48,石黒ゴム工業（株）,16
10,01912ECB040    ,2023,35,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50,1.0,2.34,18.9,愛産樹脂工業（株）,89
11,01912ECB040    ,2023,36,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50,1.0,2.335,18.9,愛産樹脂工業（株）,86
12,01912ECB040    ,2023,37,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50,1.0,1.5299999999999998,17.54,愛産樹脂工業（株）,93
13,01912ECB040    ,2023,38,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50,1.0,2.195,17.54,愛産樹脂工業（株）,84
14,01912ECB040    ,2023,39,0.25,1.0,ＴＰ３４２フタナシ,1.0,1.0,2.12,50,1.0,1.7999999999999998,17.56,愛産樹脂工業（株）,64
15,01912ECB060    ,2023,35,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400,1.0,7.575000000000001,,新光ゴム工業（株）,4
16,01912ECB060    ,2023,36,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400,1.0,6.1450000000000005,1.02875,新光ゴム工業（株）,4
17,01912ECB060    ,2023,37,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400,1.0,5.01,0.945,新光ゴム工業（株）,5
18,01912ECB060    ,2023,38,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400,1.0,3.4749999999999996,0.95625,新光ゴム工業（株）,4
19,01912ECB060    ,2023,39,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400,1.0,2.5700000000000003,0.96875,新光ゴム工業（株）,2
20,1040043104R    ,2023,35,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000,2.0,3.6400000000000006,1.89,（株）ギフ加藤製作所,10
21,1040043104R    ,2023,36,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000,2.0,5.26,1.89,（株）ギフ加藤製作所,8
22,1040043104R    ,2023,37,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000,1.5,5.9,1.754,（株）ギフ加藤製作所,10
23,1040043104R    ,2023,38,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000,1.5,5.93,1.756,（株）ギフ加藤製作所,8
24,1040043104R    ,2023,39,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000,1.5,3.7249999999999996,0.938,（株）ギフ加藤製作所,2
25,1040052001Z    ,2023,35,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200,4.0,3.45,2.67,（株）青山製作所,13
26,1040052001Z    ,2023,36,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200,4.0,3.0100000000000002,2.64,（株）青山製作所,13
27,1040052001Z    ,2023,37,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200,3.0,3.4200000000000004,2.435,（株）青山製作所,12
28,1040052001Z    ,2023,38,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200,4.0,3.055,2.48,（株）青山製作所,13
29,1040052001Z    ,2023,39,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200,4.0,2.8599999999999994,2.34,（株）青山製作所,5
30,1040183011P    ,2023,35,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,2.0,1.79,2.466,（株）青山製作所,10
31,1040183011P    ,2023,36,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,3.0,1.19,2.466,（株）青山製作所,12
32,1040183011P    ,2023,37,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,3.0,1.1600000000000001,2.232,（株）青山製作所,12
33,1040183011P    ,2023,38,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,3.5,1.44,2.271,（株）青山製作所,12
34,1040183011P    ,2023,39,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,4.0,1.2200000000000002,2.322,（株）青山製作所,9
35,2030044001J    ,2023,35,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400,1.5,5.430000000000001,1.0275,ＮＯＫ（株）,4
36,2030044001J    ,2023,36,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400,2.0,2.365,1.03625,ＮＯＫ（株）,4
37,2030044001J    ,2023,37,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400,2.0,3.72,0.945,ＮＯＫ（株）,5
38,2030044001J    ,2023,38,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400,1.5,2.595,0.94625,ＮＯＫ（株）,4
39,2030044001J    ,2023,39,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,400,2.0,1.8599999999999999,0.9675,ＮＯＫ（株）,3
40,2030045013L    ,2023,35,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000,1.0,6.5200000000000005,1.2105,伊藤金属工業（株）,6
41,2030045013L    ,2023,36,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000,1.0,4.16,1.212,伊藤金属工業（株）,7
42,2030045013L    ,2023,37,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000,1.0,7.220000000000001,1.1235,伊藤金属工業（株）,6
43,2030045013L    ,2023,38,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000,1.0,3.829999999999999,1.161,伊藤金属工業（株）,4
44,2030045013L    ,2023,39,0.53,3.0,ＴＰ３３１フタナシ,1.0,1.0,1.96,2000,1.0,3.3899999999999997,0.56175,伊藤金属工業（株）,2
45,2030052002N    ,2023,35,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300,2.0,1.9800000000000002,3.1516666666666664,（株）杉浦製作所,14
46,2030052002N    ,2023,36,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300,1.5,2.1350000000000002,3.15,（株）杉浦製作所,16
47,2030052002N    ,2023,37,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300,1.0,2.27,2.925,（株）杉浦製作所,18
48,2030052002N    ,2023,38,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300,1.0,1.7000000000000002,2.9233333333333333,（株）杉浦製作所,13
49,2030052002N    ,2023,39,0.5,3.0,ＴＰ３３１フタナシ,1.0,2.0,1.06,300,1.0,1.845,2.9266666666666667,（株）杉浦製作所,8
50,3040052001B    ,2023,35,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,4.0,0.9750000000000001,8.628,（株）青山製作所,41
51,3040052001B    ,2023,36,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,3.0,0.9550000000000002,8.626,（株）青山製作所,43
52,3040052001B    ,2023,37,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,3.0,0.7,8.628,（株）青山製作所,32
53,3040052001B    ,2023,38,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,2.5,0.8099999999999998,8.014,（株）青山製作所,40
54,3040052001B    ,2023,39,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,2.0,0.9199999999999999,8.006,（株）青山製作所,34
55,33490ECB010    ,2023,35,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.0,1.3399999999999999,102.75,マレリ（株）,463
56,33490ECB010    ,2023,36,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.0,0.9899999999999998,102.75,マレリ（株）,491
57,33490ECB010    ,2023,37,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,2.0,0.9199999999999999,94.5,マレリ（株）,504
58,33490ECB010    ,2023,38,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,2.0,0.96,94.5,マレリ（株）,464
59,33490ECB010    ,2023,39,0.82,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.0,1.11,96.75,マレリ（株）,458
60,33490ECE010    ,2023,35,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.0,1.2999999999999998,133.75,マレリ（株）,687
61,33490ECE010    ,2023,36,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.0,1.17,132.25,マレリ（株）,654
62,33490ECE010    ,2023,37,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,2.0,1.1400000000000001,124.75,マレリ（株）,667
63,33490ECE010    ,2023,38,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,2.0,1.19,124.75,マレリ（株）,610
64,33490ECE010    ,2023,39,0.81,3.0,ＴＰ３３１．５フタアリ,1.0,2.0,3.92,4,1.0,1.2850000000000001,122.75,マレリ（株）,548
65,34989ECB010    ,2023,35,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,13.82,,（株）槌屋,2
66,34989ECB010    ,2023,36,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,15.04,0.468,（株）槌屋,1
67,34989ECB010    ,2023,37,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,8.055,0.234,（株）槌屋,2
68,34989ECB010    ,2023,38,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,7.23,0.486,（株）槌屋,2
69,34989ECB020    ,2023,35,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,5.609999999999999,1.89,（株）槌屋,11
70,34989ECB020    ,2023,36,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,6.299999999999999,1.89,（株）槌屋,8
71,34989ECB020    ,2023,37,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,7.12,1.754,（株）槌屋,10
72,34989ECB020    ,2023,38,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,6.055,1.814,（株）槌屋,10
73,34989ECB020    ,2023,39,0.81,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,1.87,1.756,（株）槌屋,1
74,34989ECB030    ,2023,35,0.8,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,1000,1.0,9.379999999999999,0.846,（株）槌屋,3
75,34989ECB030    ,2023,36,0.8,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,1000,1.0,8.5,0.877,（株）槌屋,3
76,34989ECB030    ,2023,37,0.8,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,1000,1.0,7.029999999999999,0.877,（株）槌屋,5
77,34989ECB030    ,2023,38,0.8,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,1000,1.0,5.965,0.8775,（株）槌屋,4
78,34989ECC010    ,2023,35,0.78,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,21.53,,（株）槌屋,1
79,34989ECC010    ,2023,36,0.78,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,22.700000000000003,0.3,（株）槌屋,1
80,34989ECC010    ,2023,37,0.78,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,16.28,0.0,（株）槌屋,1
81,34989ECE010    ,2023,35,0.72,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,24.455,0.3,（株）槌屋,2
82,34989ECE020    ,2023,35,0.82,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,13.380000000000003,,（株）槌屋,1
83,34989ECE020    ,2023,36,0.82,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,9.4,0.494,（株）槌屋,1
84,34989ECE020    ,2023,37,0.82,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,9.450000000000001,0.43,（株）槌屋,3
85,34989ECE020    ,2023,38,0.82,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,5.9,0.47,（株）槌屋,1
86,34989ECE030    ,2023,35,0.8,3.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,23.470000000000002,,（株）槌屋,1
87,34989ECE030    ,2023,36,0.8,3.0,ＴＰ１３１フタナシ,1.0,1.0,2.33,500,1.0,23.630000000000003,0.252,（株）槌屋,1
88,35141ECB010    ,2023,35,0.62,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,16,12.0,,,（株）アイシン福井,70
89,35141ECB010    ,2023,36,0.62,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,16,15.0,,,（株）アイシン福井,82
90,35141ECB010    ,2023,37,0.62,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,16,13.0,,,（株）アイシン福井,78
91,35141ECB010    ,2023,38,0.62,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,16,14.0,3.0300000000000002,26.25,（株）アイシン福井,96
92,35141ECB010    ,2023,39,0.62,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,16,11.0,0.5699999999999998,24.1875,（株）アイシン福井,106
93,35141ECE010    ,2023,35,0.63,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,20,8.0,,,（株）アイシン福井,55
94,35141ECE010    ,2023,36,0.63,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,20,12.0,,,（株）アイシン福井,34
95,35141ECE010    ,2023,37,0.63,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,20,12.0,,,（株）アイシン福井,49
96,35141ECE010    ,2023,38,0.63,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,20,8.0,3.0300000000000002,25.85,（株）アイシン福井,61
97,35141ECE010    ,2023,39,0.63,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,20,10.5,1.03,24.55,（株）アイシン福井,94
