品番,加工図符号,設変符号,品名,ステータス,発注区分,整備室,整備室名,手配区分,工程内外製,工程コード,仕入先名/工場名,発送場所,発送場所名,受給区分,後工程内外製,後工程コード,後工程仕入先名/工場名,受入場所,受入場所名,箱種類,収容数,基準在庫日数,基準在庫枚数,サイクル間隔,サイクル回数,サイクル情報,更新,更新者,最終更新日時,マイナス必要数有無,当月必要数,当月稼働日数,翌月必要数,翌月稼働日数,翌々月必要数,翌々月稼働日数,翌々々月必要数,翌々々月稼働日数,1(金),2(土),3(日),4(月),5(火),6(水),7(木),8(金),9(土),10(日),11(月),12(火),13(水),14(木),15(金),16(土),17(日),18(月),19(火),20(水),21(木),22(金),23(土),24(日),25(月),26(火),27(水),28(木),29(金),30(土),,当月計算数,翌月計算数,翌々月計算数,翌々々月計算数,1(金),2(土),3(日),4(月),5(火),6(水),7(木),8(金),9(土),10(日),11(月),12(火),13(水),14(木),15(金),16(土),17(日),18(月),19(火),20(水),21(木),22(金),23(土),24(日),25(月),26(火),27(水),28(木),29(金),30(土)
90105-12A018,,,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,200,0.74,3,1,06,5.76,,,,,"258,712",21.0,"252,176",22.0,"275,060",22.0,"237,340",20.0,"12,132",0,0,"12,996","12,984","13,020","12,984","13,008",0,0,"11,624","12,984","11,636","13,012","11,640",0,0,"12,048","12,036","12,064","12,036","11,220",0,0,"12,060","12,924","12,084","12,940","11,280",0,,"258,712","252,176","275,060","237,340","12,132",0,0,"12,996","12,984","13,020","12,984","13,008",0,0,"11,624","12,984","11,636","13,012","11,640",0,0,"12,048","12,036","12,064","12,036","11,220",0,0,"12,060","12,924","12,084","12,940","11,280",0
90119-06908,, A,"BOLT, W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"2,000",0.54,3,1,06,5.76,,,,,"27,050",21.0,"26,290",22.0,"28,707",22.0,"24,883",20.0,"1,273",0,0,"1,357","1,356","1,363","1,356","1,362",0,0,"1,216","1,356","1,217","1,359","1,218",0,0,"1,256","1,255","1,258","1,255","1,175",0,0,"1,261","1,357","1,265","1,359","1,176",0,,"27,050","26,290","28,707","24,883","1,273",0,0,"1,357","1,356","1,363","1,356","1,362",0,0,"1,216","1,356","1,217","1,359","1,218",0,0,"1,256","1,255","1,258","1,255","1,175",0,0,"1,261","1,357","1,265","1,359","1,176",0
90119-06A065,,,"BOLT, FLANGE W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,000",0.53,1,1,06,5.76,,,,,"56,442",21.0,"55,131",22.0,"60,087",22.0,"51,678",20.0,"2,640",0,0,"2,838","2,835","2,838","2,835","2,835",0,0,"2,535","2,835","2,538","2,841","2,538",0,0,"2,634","2,631","2,637","2,631","2,445",0,0,"2,631","2,811","2,634","2,814","2,466",0,,"56,442","55,131","60,087","51,678","2,640",0,0,"2,838","2,835","2,838","2,835","2,835",0,0,"2,535","2,835","2,538","2,841","2,538",0,0,"2,634","2,631","2,637","2,631","2,445",0,0,"2,631","2,811","2,634","2,814","2,466",0
90148-60027,, B,"SCREW, HEX LOBULAR",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"2,000",0.56,1,1,06,5.76,,,,,"8,236",21.0,"7,913",22.0,"8,678",22.0,"7,657",20.0,393,0,0,411,411,417,411,417,0,0,371,411,371,412,372,0,0,378,378,379,378,360,0,0,384,420,387,421,354,0,,"8,236","7,913","8,678","7,657",393,0,0,411,411,417,411,417,0,0,371,411,371,412,372,0,0,378,378,379,378,360,0,0,384,420,387,421,354,0
90149-08A008,, B,SCREW,使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,800,0.52,1,1,06,5.76,,,,,"56,442",21.0,"55,131",22.0,"60,213",22.0,"51,780",20.0,"2,640",0,0,"2,838","2,835","2,838","2,835","2,835",0,0,"2,535","2,835","2,538","2,841","2,538",0,0,"2,634","2,631","2,637","2,631","2,445",0,0,"2,631","2,811","2,634","2,814","2,466",0,,"56,442","55,131","60,213","51,780","2,640",0,0,"2,838","2,835","2,838","2,835","2,835",0,0,"2,535","2,835","2,538","2,841","2,538",0,0,"2,634","2,631","2,637","2,631","2,445",0,0,"2,631","2,811","2,634","2,814","2,466",0
90159-05A007,,,"SCREW, W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"2,000",0.53,3,1,06,5.76,,,,,"112,860",21.0,"110,238",22.0,"120,402",22.0,"103,560",20.0,"5,280",0,0,"5,676","5,670","5,676","5,670","5,670",0,0,"5,070","5,670","5,070","5,676","5,070",0,0,"5,262","5,262","5,274","5,262","4,890",0,0,"5,262","5,622","5,268","5,628","4,932",0,,"112,860","110,238","120,402","103,560","5,280",0,0,"5,676","5,670","5,676","5,670","5,670",0,0,"5,070","5,670","5,070","5,676","5,070",0,0,"5,262","5,262","5,274","5,262","4,890",0,0,"5,262","5,622","5,268","5,628","4,932",0
90159-06A017,,,"SCREW, W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,000",0.53,3,1,06,5.76,,,,,0,21.0,0,22.0,126,22.0,102,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,126,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90159-06A021,,,"SCREW, W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,200",0.52,3,1,06,5.76,,,,,"158,714",21.0,"154,895",22.0,"169,212",22.0,"145,737",20.0,"7,433",0,0,"7,979","7,971","7,985","7,971","7,977",0,0,"7,131","7,971","7,131","7,979","7,131",0,0,"7,394","7,394","7,411","7,394","6,880",0,0,"7,400","7,916","7,411","7,925","6,930",0,,"158,714","154,895","169,212","145,737","7,433",0,0,"7,979","7,971","7,985","7,971","7,977",0,0,"7,131","7,971","7,131","7,979","7,131",0,0,"7,394","7,394","7,411","7,394","6,880",0,0,"7,400","7,916","7,411","7,925","6,930",0
90159-06A022,,,"SCREW, W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,500",0.51,3,1,06,5.76,,,,,"282,180",21.0,"275,625",22.0,"301,035",22.0,"258,900",20.0,"13,200",0,0,"14,190","14,175","14,190","14,175","14,175",0,0,"12,675","14,175","12,690","14,190","12,690",0,0,"13,155","13,155","13,185","13,155","12,225",0,0,"13,155","14,055","13,170","14,070","12,330",0,,"282,180","275,625","301,035","258,900","13,200",0,0,"14,190","14,175","14,190","14,175","14,175",0,0,"12,675","14,175","12,690","14,190","12,690",0,0,"13,155","13,155","13,185","13,155","12,225",0,0,"13,155","14,055","13,170","14,070","12,330",0
90159-06A023,, A,"SCREW, W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,300",0.52,3,1,06,5.76,,,,,"56,430",21.0,"55,119",22.0,"60,201",22.0,"51,780",20.0,"2,640",0,0,"2,838","2,835","2,838","2,835","2,835",0,0,"2,535","2,835","2,535","2,838","2,535",0,0,"2,631","2,631","2,637","2,631","2,445",0,0,"2,631","2,811","2,634","2,814","2,466",0,,"56,430","55,119","60,201","51,780","2,640",0,0,"2,838","2,835","2,838","2,835","2,835",0,0,"2,535","2,835","2,535","2,838","2,535",0,0,"2,631","2,631","2,637","2,631","2,445",0,0,"2,631","2,811","2,634","2,814","2,466",0
90341-14A004,,,"PLUG, W/HEAD STRAIGHT SCREW",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,500,0.5,1,1,06,5.76,,,,,"8,236",21.0,"7,913",22.0,"8,720",22.0,"7,691",20.0,393,0,0,411,411,417,411,417,0,0,371,411,371,412,372,0,0,378,378,379,378,360,0,0,384,420,387,421,354,0,,"8,236","7,913","8,720","7,691",393,0,0,411,411,417,411,417,0,0,371,411,371,412,372,0,0,378,378,379,378,360,0,0,384,420,387,421,354,0
90341-18A024,,,"PLUG, W/HEAD STRAIGHT SCREW",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,200,0.52,3,1,06,5.76,,,,,"10,578",21.0,"10,464",22.0,"11,351",22.0,"9,569",20.0,487,0,0,535,534,529,534,528,0,0,474,534,475,535,474,0,0,500,499,500,499,455,0,0,493,517,491,517,468,0,,"10,578","10,464","11,351","9,569",487,0,0,535,534,529,534,528,0,0,474,534,475,535,474,0,0,500,499,500,499,455,0,0,493,517,491,517,468,0
90930-03179,, A,"PLUG, BREATHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,500,0.5,1,1,06,5.76,,,,,"18,814",26.0,"19,021",22.0,"21,821",22.0,"19,052",20.0,880,0,0,946,945,946,945,945,0,0,845,945,846,947,846,0,0,878,877,879,877,815,0,0,877,937,878,938,822,0,,"18,814","19,021","21,821","19,052",880,0,0,946,945,946,945,945,0,0,845,945,846,947,846,0,0,878,877,879,877,815,0,0,877,937,878,938,822,0
91551-80614,,,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,500",0.54,3,1,06,5.76,,,,,"91,728",21.0,"89,334",22.0,"98,144",22.0,"84,762",20.0,"4,306",0,0,"4,606","4,602","4,618","4,602","4,614",0,0,"4,122","4,602","4,126","4,612","4,128",0,0,"4,268","4,264","4,274","4,264","3,980",0,0,"4,276","4,588","4,286","4,594","3,996",0,,"91,728","89,334","98,144","84,762","4,306",0,0,"4,606","4,602","4,618","4,602","4,614",0,0,"4,122","4,602","4,126","4,612","4,128",0,0,"4,268","4,264","4,274","4,264","3,980",0,0,"4,276","4,588","4,286","4,594","3,996",0
91551-80640,,,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,000",0.54,3,1,06,5.76,,,,,"37,628",21.0,"36,754",22.0,"40,226",22.0,"34,588",20.0,"1,760",0,0,"1,892","1,890","1,892","1,890","1,890",0,0,"1,690","1,890","1,692","1,894","1,692",0,0,"1,756","1,754","1,758","1,754","1,630",0,0,"1,754","1,874","1,756","1,876","1,644",0,,"37,628","36,754","40,226","34,588","1,760",0,0,"1,892","1,890","1,892","1,890","1,890",0,0,"1,690","1,890","1,692","1,894","1,692",0,0,"1,756","1,754","1,758","1,754","1,630",0,0,"1,754","1,874","1,756","1,876","1,644",0
91611-40614,,,"BOLT, W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"2,500",0.52,3,1,06,5.76,,,,,"301,024",21.0,"294,032",22.0,"320,464",22.0,"275,616",20.0,"14,080",0,0,"15,136","15,120","15,136","15,120","15,120",0,0,"13,520","15,120","13,536","15,152","13,536",0,0,"14,048","14,032","14,064","14,032","13,040",0,0,"14,032","14,992","14,048","15,008","13,152",0,,"301,024","294,032","320,464","275,616","14,080",0,0,"15,136","15,120","15,136","15,120","15,120",0,0,"13,520","15,120","13,536","15,152","13,536",0,0,"14,048","14,032","14,064","14,032","13,040",0,0,"14,032","14,992","14,048","15,008","13,152",0
91671-80618,,,"BOLT, FLANGE W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,000",0.53,3,1,06,5.76,,,,,"56,442",21.0,"55,131",22.0,"60,213",22.0,"51,780",20.0,"2,640",0,0,"2,838","2,835","2,838","2,835","2,835",0,0,"2,535","2,835","2,538","2,841","2,538",0,0,"2,634","2,631","2,637","2,631","2,445",0,0,"2,631","2,811","2,634","2,814","2,466",0,,"56,442","55,131","60,213","51,780","2,640",0,0,"2,838","2,835","2,838","2,835","2,835",0,0,"2,535","2,835","2,538","2,841","2,538",0,0,"2,634","2,631","2,637","2,631","2,445",0,0,"2,631","2,811","2,634","2,814","2,466",0
G1163-ECA010,, A,"BOLT, MOTOR STATOR YOKE",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,70,0.53,3,1,06,5.76,,,,,0,21.0,0,22.0,126,22.0,102,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,126,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G1163-ECB010,,,"BOLT, MOTOR STATOR YOKE",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,80,0.54,1,1,06,5.76,,,,,"15,168",21.0,"14,325",22.0,"12,114",22.0,"11,250",20.0,726,0,0,765,765,783,765,783,0,0,654,738,654,738,675,0,0,702,702,702,702,648,0,0,720,792,711,777,666,0,,"15,168","14,325","12,114","11,250",726,0,0,765,765,783,765,783,0,0,654,738,654,738,675,0,0,702,702,702,702,648,0,0,720,792,711,777,666,0
G1163-ECE010,,,"BOLT, MOTOR STATOR YOKE",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,100,0.53,1,1,06,5.76,,,,,"41,274",21.0,"40,806",22.0,"47,973",22.0,"40,428",20.0,"1,914",0,0,"2,073","2,070","2,055","2,070","2,052",0,0,"1,881","2,097","1,884","2,103","1,863",0,0,"1,932","1,929","1,935","1,929","1,797",0,0,"1,911","2,019","1,923","2,037","1,800",0,,"41,274","40,806","47,973","40,428","1,914",0,0,"2,073","2,070","2,055","2,070","2,052",0,0,"1,881","2,097","1,884","2,103","1,863",0,0,"1,932","1,929","1,935","1,929","1,797",0,0,"1,911","2,019","1,923","2,037","1,800",0
35145-ECE020,,,"PLATE, OIL",使用中,かんばん,1Y,第１工場,手配,Ｐ,0030,（株）浅賀井製作所,01,安城工場,――,Ｍ,01,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,100,0.65,1,1,04,6.88,,,,,"10,578",21.0,"10,464",22.0,"11,351",22.0,"9,569",20.0,487,0,0,535,534,529,534,528,0,0,474,534,475,535,474,0,0,500,499,500,499,455,0,0,493,517,491,517,468,0,,"10,578","10,464","11,351","9,569",487,0,0,535,534,529,534,528,0,0,474,534,475,535,474,0,0,500,499,500,499,455,0,0,493,517,491,517,468,0
35174-ECA020,,,"PLATE, OIL RESERVOIR LOCK",使用中,かんばん,1Y,第１工場,手配,Ｐ,0030,（株）浅賀井製作所,01,安城工場,――,Ｍ,01,第１,1Y,安城第１工場,TP-332 ﾊﾝﾖｳ,60,0.66,3,1,04,6.88,,,,,0,21.0,0,22.0,42,22.0,34,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,42,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35174-ECB010,, A,"PLATE, OIL RESERVOIR LOCK",使用中,かんばん,1Y,第１工場,手配,Ｐ,0030,（株）浅賀井製作所,01,安城工場,――,Ｍ,01,第１,1Y,安城第１工場,TP-332 ﾊﾝﾖｳ,20,0.87,1,1,04,6.88,,,,,"8,236",21.0,"7,913",22.0,"8,678",22.0,"7,657",20.0,393,0,0,411,411,417,411,417,0,0,371,411,371,412,372,0,0,378,378,379,378,360,0,0,384,420,387,421,354,0,,"8,236","7,913","8,678","7,657",393,0,0,411,411,417,411,417,0,0,371,411,371,412,372,0,0,378,378,379,378,360,0,0,384,420,387,421,354,0
35174-ECE010,,,"PLATE, OIL RESERVOIR LOCK",使用中,かんばん,1Y,第１工場,手配,Ｐ,0030,（株）浅賀井製作所,01,安城工場,――,Ｍ,01,第１,1Y,安城第１工場,TP-332 ﾊﾝﾖｳ,40,0.87,1,1,04,6.88,,,,,"10,578",21.0,"10,464",22.0,"11,351",22.0,"9,569",20.0,487,0,0,535,534,529,534,528,0,0,474,534,475,535,474,0,0,500,499,500,499,455,0,0,493,517,491,517,468,0,,"10,578","10,464","11,351","9,569",487,0,0,535,534,529,534,528,0,0,474,534,475,535,474,0,0,500,499,500,499,455,0,0,493,517,491,517,468,0
35174-ECE020,,,"PLATE, OIL RESERVOIR LOCK",使用中,かんばん,1Y,第１工場,手配,Ｐ,0030,（株）浅賀井製作所,01,安城工場,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,90,0.63,3,1,04,6.88,,,,,"10,578",21.0,"10,464",22.0,"11,351",22.0,"9,569",20.0,487,0,0,535,534,529,534,528,0,0,474,534,475,535,474,0,0,500,499,500,499,455,0,0,493,517,491,517,468,0,,"10,578","10,464","11,351","9,569",487,0,0,535,534,529,534,528,0,0,474,534,475,535,474,0,0,500,499,500,499,455,0,0,493,517,491,517,468,0
35312-ECB010,,,"COVER, TRANSMISSION, OIL PUMP",使用中,かんばん,1Y,第１工場,手配,Ｐ,0038,（株）旭工業所,01,本社工場,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,63,0.59,1,1,01,1.9,,,,,"8,236",21.0,"7,913",22.0,"8,678",22.0,"7,657",20.0,393,0,0,411,411,417,411,417,0,0,371,411,371,412,372,0,0,378,378,379,378,360,0,0,384,420,387,421,354,0,,"8,236","7,913","8,678","7,657",393,0,0,411,411,417,411,417,0,0,371,411,371,412,372,0,0,378,378,379,378,360,0,0,384,420,387,421,354,0
