KUMI_CD,LINE_CD,LINE_SUB_CD,KANRIBAN_CD,LINE_DATE,TYOKU_KBN,OFFICE_HOURS,WORKING_HOURS,LINE_START_TIME,LINE_END_TIME,LINE_STOP_HOURS,MACHINE_STOP_HOURS,HINPATU_STOP_CNT,HINPATU_STOP_TIME,HURYOU_QUANT_CNT,HURYOU_WEIGHT_CNT,TENAOSHI_CNT,HORYUU_CNT,LAST_SERIAL_NO,OPERATION_RATE,SPEC_OPERATION_RATE,OVERALL_EQUIPMENT_EFFICIENCY,TARGET_AVAILABLE_RATE,AVAILABLE_HOURS,KAKO_CNT,AVAILABLE_RATE,HURYOU_RATE,CHOKO_RATE,KANKEN_NG_RATE,SYUTUKEN_NG_RATE,DIRECT_MANHOURS,TOTAL_MANHOURS,TOTAL_TIME,DIRECT_TIME,INDIRECT_TIME,NOTES,KANRIBAN_STAFF_CD,CREATE_STAFF_CD,CREATE_TIME,UPDATE_STAFF_CD,UPDATE_TIME,FIRST_SERIAL_NO,KANSEI_SHOUNIN_STAFF,AUTHOR,PDF_NAME,HUB_CD
S331,MA3522,A,M01,2024/01/22 00:00:00,2,690,42.6,2024/01/23 00:19:06,2024/01/23 01:01:42,0,0,< NULL >,< NULL >,0,0,0,0,3J150064,100.0,99.96,99.96,< NULL >,0,50,99.96,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,< NULL >,M01,2024/01/22 08:00:03,< NULL >,2024/01/23 12:23:20,3J150013,0123529,0141610,< NULL >,IS000
S331,MA3522,A,M01,2024/01/23 00:00:00,2,690,0.0,2024/01/23 22:00:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2024/01/23 08:00:06,SYS_TT,2024/01/23 08:15:01,< NULL >,< NULL >,< NULL >,< NULL >,IS000
S331,MA3522,A,M01,2024/01/24 00:00:00,2,690,0.0,2024/01/24 22:00:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2024/01/24 08:00:03,SYS_TT,2024/01/24 08:15:01,< NULL >,< NULL >,< NULL >,< NULL >,IS000
S331,MA3522,A,M01,2024/01/25 00:00:00,2,690,0.0,2024/01/25 22:00:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2024/01/25 08:00:04,SYS_TT,2024/01/25 08:15:01,< NULL >,< NULL >,< NULL >,< NULL >,IS000
S331,MA3522,A,M01,2024/01/26 00:00:00,2,690,0.0,< NULL >,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0.0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,M01,M01,2024/01/25 08:00:05,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,IS000
