,品番,年,週番号,在庫数（箱）,入庫数（箱）,出庫数（箱）,日量数（箱数）,発注～印刷LT,発注～検収LT,発注～順立装置入庫LT,発注～順立装置出庫LT,発注～回収LT,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,収容数,納入かんばん数,合計日量数（箱数）,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,不等ピッチ係数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,順立装置在庫量/設計値MAX,時間稼働率,加工数,回収かんばん数,先週からの順立装置在庫量増加率,先週からの社内LT増加率,先週からの回収かんばん増加率,納入数/日量数（箱数）,入庫数/納入数（箱数）,出庫数/入庫数（箱数）,回収数/出庫数（箱数）,回収数/納入数（箱数）,出庫数/納入数（箱数）,便Ave,仕入先名_アイコー（株）,仕入先名_アイシン機工（株）,仕入先名_アイシン精機（株）,仕入先名_サトープレス工業（株）,仕入先名_サンコール（株）,仕入先名_マレリ（株）,仕入先名_三共鋼業（株）,仕入先名_中庸スプリング（株）,仕入先名_住友商事（株）鉄鋼部輸送機材,仕入先名_住友電気工業（株）,仕入先名_住友電装（株）,仕入先名_佐藤工業（株）,仕入先名_多摩川精機販売（株）,仕入先名_大橋鉄工（株）,仕入先名_小川工業（株）,仕入先名_岡谷鋼機（株）,仕入先名_愛産樹脂工業（株）,仕入先名_日本精工（株）,仕入先名_矢崎総業（株）,仕入先名_石黒ゴム工業（株）,仕入先名_（株）オンド,仕入先名_（株）オーハシテクニカ,仕入先名_（株）ギフ加藤製作所,仕入先名_（株）ジェイテクト,仕入先名_（株）ニフコ,仕入先名_（株）バルカー,仕入先名_（株）ムロコーポレーション,仕入先名_（株）メタルテック,仕入先名_（株）旭工業所,仕入先名_（株）杉浦製作所,仕入先名_（株）東郷製作所,仕入先名_（株）松尾製作所,仕入先名_（株）槌屋,仕入先名_（株）浅賀井製作所,仕入先名_（株）青山製作所,仕入先名_ＮＯＫ（株）,箱種類_アイコー（株）,箱種類_アイシン機工（株）,箱種類_アイシン精機（株）,箱種類_サトープレス工業（株）,箱種類_サンコール（株）,箱種類_マレリ（株）,箱種類_三共鋼業（株）,箱種類_中庸スプリング（株）,箱種類_住友商事（株）鉄鋼部輸送機材,箱種類_住友電気工業（株）,箱種類_住友電装（株）,箱種類_佐藤工業（株）,箱種類_多摩川精機販売（株）,箱種類_大橋鉄工（株）,箱種類_小川工業（株）,箱種類_岡谷鋼機（株）,箱種類_愛産樹脂工業（株）,箱種類_日本精工（株）,箱種類_矢崎総業（株）,箱種類_石黒ゴム工業（株）,箱種類_（株）オンド,箱種類_（株）オーハシテクニカ,箱種類_（株）ギフ加藤製作所,箱種類_（株）ジェイテクト,箱種類_（株）ニフコ,箱種類_（株）バルカー,箱種類_（株）ムロコーポレーション,箱種類_（株）メタルテック,箱種類_（株）旭工業所,箱種類_（株）杉浦製作所,箱種類_（株）東郷製作所,箱種類_（株）松尾製作所,箱種類_（株）槌屋,箱種類_（株）浅賀井製作所,箱種類_（株）青山製作所,箱種類_ＮＯＫ（株）,使用工程_1.デフ・大物ギヤ・Brg,使用工程_2.MGケース,使用工程_3.ギヤサブ・共通部品,使用工程_4.TA・カバー・メイン,使用工程_7.ファイナル前半,使用工程_8.ファイナル後半
67,01912ECB040    ,2023,51,31.0,110.0,95.0,19.925,0.26,4.39,4.36,5.98,6.23,0.25,0.3062587904360056,1.0,1.0,4.0,4.0,40.0,95.0,97.3,4.13,-0.029999999999999364,1.62,0.25,1.8400000000000007,0.0,7.360000000000002,6.007990815154996,12.446675031367626,1.6825719440475195,100.0,371.5,98,0.03333333333333344,0.06358381502890254,-0.08411214953271029,0.9763617677286742,1.1578947368421053,0.8636363636363636,1.0315789473684212,1.0315789473684212,1.0,4.98125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110,1040043104R    ,2023,49,1.0,5.0,2.0,1.493,0.14,2.03,2.495,3.49,5.82,0.75,2.7486675549633577,3.0,1.0,4.0,4.0,1000.0,4.0,4.478,1.89,0.4650000000000003,0.995,2.33,3.790000000000002,0.12,5.053333333333334,1.3788499060776829,5.358338914936369,0.17222853118006065,98.915,386.0,7,0.0,-0.4368499257057946,-0.125,0.8932559178204557,1.25,0.4,3.5,1.75,0.5,0.37325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
111,1040043104R    ,2023,50,1.0,8.0,3.0,1.494,0.21,3.97,4.33,4.45,6.48,0.75,2.7486675549633577,3.0,1.0,4.0,4.0,1000.0,7.0,7.476000000000001,3.76,0.3599999999999999,0.1200000000000001,2.03,2.51,0.12,3.3466666666666667,0.9131697267163548,5.3547523427041535,0.1723260748913896,99.77,390.0,8,0.0,-0.3377308707124014,0.1428571428571428,0.9363295880149812,1.1428571428571428,0.375,2.6666666666666665,1.1428571428571428,0.42857142857142855,0.3735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
112,1040043104R    ,2023,51,1.0,6.0,4.0,1.493,0.195,3.0,3.235,5.05,6.675,0.75,2.7486675549633577,3.0,1.0,4.0,4.0,1000.0,6.0,7.484,2.805,0.2349999999999999,1.815,1.625,3.675,0.12,4.9,1.3370114524631884,5.358338914936369,0.17222853118006065,100.0,371.5,7,0.0,0.4641434262948208,-0.125,0.8017103153393907,1.0,0.6666666666666666,1.75,1.1666666666666667,0.6666666666666666,0.37325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
133,1040052001Z    ,2023,48,3.0,4.0,2.0,2.055,0.32,1.215,1.375,3.045,4.44,1.07,2.5480145338095825,3.0,1.0,6.0,4.92,200.0,2.0,2.055,0.8949999999999998,0.16000000000000014,1.67,1.3949999999999996,3.225,0.08,3.0140186915887845,1.2656913676148636,14.795817715525743,0.19683660331381936,94.615,369.5,13,0.0,0.0,0.30000000000000004,0.9732360097323599,2.0,0.5,6.5,6.5,1.0,0.3425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
134,1040052001Z    ,2023,49,3.0,10.0,10.0,2.11,0.31,1.21,1.43,5.24,7.0,1.07,2.5480145338095825,3.0,1.0,6.0,4.92,200.0,9.0,8.395,0.8999999999999999,0.22,3.8100000000000014,1.7599999999999998,5.79,0.08,5.411214953271028,2.2723575251131973,14.410144741898296,0.20178497090413533,98.915,386.0,11,0.0,0.7953488372093023,-0.15384615384615385,1.072066706372841,1.1111111111111112,1.0,1.1,1.2222222222222223,1.1111111111111112,0.3516666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
135,1040052001Z    ,2023,50,2.0,9.0,10.0,1.95,0.31,1.23,1.56,5.09,5.7,1.07,2.5480145338095825,3.0,1.0,6.0,4.92,200.0,9.0,7.800000000000002,0.92,0.3300000000000001,3.53,0.6100000000000003,4.4700000000000015,0.08,4.177570093457945,1.7543071048801369,10.395010395010393,0.18488542436922506,99.77,390.0,11,-0.33333333333333337,-0.22797927461139866,0.0,1.1538461538461535,1.0,1.1111111111111112,1.1,1.2222222222222223,1.1111111111111112,0.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
136,1040052001Z    ,2023,51,1.0,11.0,5.0,2.0475,0.305,1.24,1.525,4.88,6.375,1.07,2.5480145338095825,3.0,1.0,6.0,4.92,200.0,8.0,10.145,0.935,0.2849999999999999,3.355,1.495,5.135,0.08,4.799065420560747,2.01529462719452,4.95000495000495,0.1854038948295076,100.0,371.5,9,-0.5,0.14876957494407114,-0.18181818181818174,0.7885657959586003,1.375,0.4545454545454545,1.8,1.125,0.625,0.34125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
158,1040183011P    ,2023,49,1.0,9.0,2.0,1.95,0.29,1.215,1.485,1.755,2.75,1.04,1.5237227301310887,1.0,1.0,6.0,4.92,500.0,8.0,7.8359999999999985,0.9249999999999998,0.27,0.27,0.995,1.535,0.08,1.4759615384615383,1.0074011299076318,5.197505197505199,0.17793577850139974,98.915,386.0,10,0.0,-0.5771349862258953,0.0,1.0209290454313429,1.125,0.2222222222222222,5.0,1.25,0.25,0.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
159,1040183011P    ,2023,50,1.0,8.0,2.0,2.136,0.305,1.18,1.6,1.7,2.51,1.04,1.5237227301310887,1.0,1.0,6.0,4.92,500.0,10.0,10.662,0.875,0.42000000000000015,0.09999999999999988,0.8099999999999998,1.3299999999999998,0.08,1.2788461538461535,0.8728622167929315,4.744913452778621,0.19202285399678454,99.77,390.0,11,0.0,-0.1335504885993486,0.10000000000000007,0.9379103357719,0.8,0.25,5.5,1.1,0.2,0.35600000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
