,品番,年,週番号,在庫数（箱）,入庫数（箱）,出庫数（箱）,日量数（箱数）,発注～印刷LT,発注～検収LT,発注～順立装置入庫LT,発注～順立装置出庫LT,発注～回収LT,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,収容数,納入かんばん数,合計日量数（箱数）,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,不等ピッチ係数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,順立装置在庫量/設計値MAX,時間稼働率,加工数,回収かんばん数,先週からの順立装置在庫量増加率,先週からの社内LT増加率,先週からの回収かんばん増加率,納入数/日量数（箱数）,入庫数/納入数（箱数）,出庫数/入庫数（箱数）,回収数/出庫数（箱数）,回収数/納入数（箱数）,出庫数/納入数（箱数）,便Ave,仕入先名_アイコー（株）,仕入先名_アイシン機工（株）,仕入先名_アイシン精機（株）,仕入先名_サトープレス工業（株）,仕入先名_サンコール（株）,仕入先名_マレリ（株）,仕入先名_三共鋼業（株）,仕入先名_中庸スプリング（株）,仕入先名_住友商事（株）鉄鋼部輸送機材,仕入先名_住友電気工業（株）,仕入先名_住友電装（株）,仕入先名_佐藤工業（株）,仕入先名_多摩川精機販売（株）,仕入先名_大橋鉄工（株）,仕入先名_小川工業（株）,仕入先名_岡谷鋼機（株）,仕入先名_愛産樹脂工業（株）,仕入先名_日本精工（株）,仕入先名_矢崎総業（株）,仕入先名_石黒ゴム工業（株）,仕入先名_（株）オンド,仕入先名_（株）オーハシテクニカ,仕入先名_（株）ギフ加藤製作所,仕入先名_（株）ジェイテクト,仕入先名_（株）ニフコ,仕入先名_（株）バルカー,仕入先名_（株）ムロコーポレーション,仕入先名_（株）メタルテック,仕入先名_（株）旭工業所,仕入先名_（株）杉浦製作所,仕入先名_（株）東郷製作所,仕入先名_（株）松尾製作所,仕入先名_（株）槌屋,仕入先名_（株）浅賀井製作所,仕入先名_（株）青山製作所,仕入先名_ＮＯＫ（株）,箱種類_アイコー（株）,箱種類_アイシン機工（株）,箱種類_アイシン精機（株）,箱種類_サトープレス工業（株）,箱種類_サンコール（株）,箱種類_マレリ（株）,箱種類_三共鋼業（株）,箱種類_中庸スプリング（株）,箱種類_住友商事（株）鉄鋼部輸送機材,箱種類_住友電気工業（株）,箱種類_住友電装（株）,箱種類_佐藤工業（株）,箱種類_多摩川精機販売（株）,箱種類_大橋鉄工（株）,箱種類_小川工業（株）,箱種類_岡谷鋼機（株）,箱種類_愛産樹脂工業（株）,箱種類_日本精工（株）,箱種類_矢崎総業（株）,箱種類_石黒ゴム工業（株）,箱種類_（株）オンド,箱種類_（株）オーハシテクニカ,箱種類_（株）ギフ加藤製作所,箱種類_（株）ジェイテクト,箱種類_（株）ニフコ,箱種類_（株）バルカー,箱種類_（株）ムロコーポレーション,箱種類_（株）メタルテック,箱種類_（株）旭工業所,箱種類_（株）杉浦製作所,箱種類_（株）東郷製作所,箱種類_（株）松尾製作所,箱種類_（株）槌屋,箱種類_（株）浅賀井製作所,箱種類_（株）青山製作所,箱種類_ＮＯＫ（株）,使用工程_1.デフ・大物ギヤ・Brg,使用工程_2.MGケース,使用工程_3.ギヤサブ・共通部品,使用工程_4.TA・カバー・メイン,使用工程_7.ファイナル前半,使用工程_8.ファイナル後半
786,35300ECB010    ,2023,50,86.0,259.0,290.0,62.25,0.19,1.18,1.59,4.7,4.97,0.91,0.9579680213191206,3.0,1.0,6.0,4.92,12.0,311.0,311.5,0.99,0.41000000000000014,3.1100000000000003,0.2699999999999996,3.79,0.14,4.164835164835165,3.956290727514239,14.001953760989904,3.128472495224405,99.77,390.0,319,-0.08510638297872343,0.0,0.025723472668810254,0.9983948635634028,0.8327974276527331,1.1196911196911197,1.1,1.0257234726688105,0.932475884244373,10.375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
787,35300ECB010    ,2023,51,93.5,282.0,280.0,62.25,0.2,1.18,1.68,5.02,5.28,0.91,0.9579680213191206,3.0,1.0,6.0,4.92,12.0,285.0,311.8333333333333,0.98,0.5,3.34,0.2600000000000007,4.1000000000000005,0.14,4.5054945054945055,4.279892343748913,15.223054379680887,3.2566420962658973,100.0,371.5,279,0.08720930232558133,0.08179419525065977,-0.12539184952978055,0.9139497594869056,0.9894736842105264,0.9929078014184396,0.9964285714285714,0.9789473684210528,0.9824561403508772,10.375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
807,35312ECB010    ,2023,48,7.0,10.0,7.0,5.349206349206349,0.66,2.01,2.25,5.215,5.29,0.59,0.7728471919895515,1.0,1.0,4.0,4.0,63.0,4.0,5.349206349206349,1.3499999999999996,0.2400000000000002,2.965,0.07500000000000018,3.28,0.0,5.5593220338983045,4.2440472502154645,10.468842729970326,0.5797771429307074,94.615,369.5,25,0.0,0.0,-0.21875,0.7477744807121662,2.5,0.7,3.571428571428572,6.25,1.75,1.3373015873015872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
808,35312ECB010    ,2023,49,7.0,27.0,27.0,5.158730158730159,0.675,2.03,2.25,4.77,5.15,0.59,0.7728471919895515,1.0,1.0,4.0,4.0,63.0,22.0,20.73015873015873,1.3549999999999998,0.2200000000000002,2.52,0.3800000000000008,3.120000000000001,0.0,5.28813559322034,4.0370205550830045,10.855384615384617,0.5643794189047909,98.915,386.0,26,0.0,-0.04878048780487765,0.040000000000000036,1.0612557427258804,1.2272727272727273,1.0,0.9629629629629628,1.181818181818182,1.2272727272727273,1.2896825396825398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
809,35312ECB010    ,2023,50,5.0,22.0,26.0,5.650793650793651,0.66,2.03,2.34,4.7,5.04,0.59,0.7728471919895515,1.0,1.0,4.0,4.0,63.0,27.0,28.20634920634921,1.3699999999999997,0.31000000000000005,2.3600000000000003,0.33999999999999986,3.01,0.0,5.101694915254238,3.894689702179437,7.078651685393258,0.5698726705044396,99.77,390.0,29,-0.2857142857142857,-0.035256410256410686,0.11538461538461542,0.9572312886888013,0.8148148148148148,1.181818181818182,1.1153846153846154,1.0740740740740742,0.9629629629629628,1.4126984126984128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
810,35312ECB010    ,2023,51,6.0,30.0,25.0,5.4603174603174605,0.65,2.04,2.29,4.99,5.45,0.59,0.7728471919895515,1.0,1.0,4.0,4.0,63.0,29.0,27.190476190476193,1.39,0.25,2.7,0.46,3.41,0.0,5.779661016949151,4.412256440010591,8.790697674418603,0.5753302467824831,100.0,371.5,24,0.2,0.1328903654485052,-0.1724137931034483,1.0665499124343256,1.0344827586206895,0.8333333333333334,0.96,0.8275862068965517,0.8620689655172413,1.3650793650793651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
877,35409ECB010    ,2023,48,1.0,2.0,5.0,1.685,0.13,2.4,6.44,6.74,7.47,0.7,1.2804672761573066,1.0,1.0,4.0,4.0,200.0,1.0,1.685,2.27,4.040000000000001,0.2999999999999998,0.7299999999999995,5.07,0.0,7.242857142857144,3.9594920498203705,4.747774480712166,0.19035746250678187,94.615,369.5,8,0.0,0.0,-0.11111111111111116,0.5934718100890207,2.0,2.5,1.6,8.0,5.0,0.42125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
878,35409ECB010    ,2023,49,3.0,12.0,5.0,1.625,0.12,3.39,3.66,5.86,6.255,0.7,1.2804672761573066,1.0,1.0,4.0,4.0,200.0,8.0,6.53,3.27,0.2700000000000005,2.2,0.3949999999999996,2.865,0.0,4.092857142857143,2.2374644423541152,14.769230769230768,0.19663452448477967,98.915,386.0,8,2.0,-0.4349112426035503,0.0,1.2251148545176107,1.5,0.4166666666666667,1.6,1.0,0.625,0.40625,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
879,35409ECB010    ,2023,50,3.0,6.0,8.0,1.78,0.12,4.38,4.63,6.105,6.555,0.7,1.2804672761573066,1.0,1.0,4.0,4.0,200.0,8.0,8.885,4.26,0.25,1.4750000000000003,0.4499999999999993,2.175,0.0,3.1071428571428568,1.6985986604258982,13.483146067415724,0.21402359550021405,99.77,390.0,9,0.0,-0.2408376963350787,0.125,0.9003939223410242,0.75,1.3333333333333333,1.125,1.125,1.0,0.445,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
880,35409ECB010    ,2023,51,3.0,10.0,8.0,1.72,0.12,4.39,4.64,6.35,7.19,0.7,1.2804672761573066,1.0,1.0,4.0,4.0,200.0,9.0,8.565000000000001,4.27,0.25,1.71,0.8400000000000007,2.8000000000000007,0.0,4.000000000000001,2.1867017237666744,13.953488372093025,0.20733283187718185,100.0,371.5,7,0.0,0.2873563218390809,-0.2222222222222222,1.0507880910683012,1.1111111111111112,0.8,0.875,0.7777777777777778,0.8888888888888888,0.43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
900,35441ECB010    ,2023,48,25.0,29.0,22.0,15.583333333333336,0.09,2.23,2.62,5.815,5.92,0.71,0.9018720852764824,3.0,1.0,4.0,4.0,48.0,16.0,15.583333333333336,2.14,0.3900000000000001,3.1949999999999994,0.10500000000000044,3.69,0.0,5.19718309859155,4.091489314550383,12.834224598930476,1.4278187968145135,94.615,369.5,79,0.0,0.0,-0.15053763440860213,1.0267379679144384,1.8125,0.7586206896551724,3.5909090909090913,4.9375,1.375,3.895833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
901,35441ECB010    ,2023,49,20.0,73.0,78.0,15.541666666666664,0.09,2.24,2.6,5.19,5.3,0.71,0.9018720852764824,3.0,1.0,4.0,4.0,48.0,58.0,62.18749999999999,2.1500000000000004,0.3599999999999999,2.5899999999999994,0.11000000000000032,3.06,0.0,4.309859154929576,3.3929423584076344,10.29490616621984,1.337130233527286,98.915,386.0,78,-0.2,-0.1707317073170731,-0.012658227848101222,0.9326633165829148,1.2586206896551724,1.0684931506849316,1.0,1.3448275862068966,1.3448275862068966,3.885416666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
902,35441ECB010    ,2023,50,15.0,58.0,72.0,15.5625,0.09,2.23,2.72,4.965,5.09,0.71,0.9018720852764824,3.0,1.0,4.0,4.0,48.0,76.0,77.875,2.14,0.4900000000000002,2.245,0.125,2.86,0.0,4.028169014084507,3.17118141994962,7.710843373493978,1.2116714618524218,99.77,390.0,79,-0.25,-0.06535947712418311,0.012820512820512777,0.9759229534510432,0.7631578947368421,1.2413793103448276,1.0972222222222223,1.0394736842105263,0.9473684210526316,3.890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
903,35441ECB010    ,2023,51,19.0,82.0,69.0,15.5625,0.09,2.23,2.62,5.58,5.67,0.71,0.9018720852764824,3.0,1.0,4.0,4.0,48.0,75.0,77.95833333333333,2.14,0.3900000000000001,2.96,0.08999999999999986,3.44,0.0,4.845070422535211,3.814288141477864,9.767068273092368,1.316170627848304,100.0,371.5,71,0.2666666666666666,0.20279720279720287,-0.10126582278481013,0.9620523784072688,1.0933333333333333,0.8414634146341463,1.0289855072463767,0.9466666666666668,0.92,3.890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
923,35441TFA010    ,2023,48,6.0,5.0,5.0,3.37,0.09,2.23,2.62,5.76,5.84,0.71,1.0002336380786532,1.0,1.0,4.0,4.0,100.0,3.0,3.37,2.14,0.3900000000000001,3.14,0.08000000000000007,3.61,0.0,5.084507042253522,3.609156763548208,14.243323442136495,0.39333111184901226,94.615,369.5,16,0.0,0.0,-0.1578947368421053,0.8902077151335311,1.6666666666666667,1.0,3.2,5.333333333333333,1.6666666666666667,0.8425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
924,35441TFA010    ,2023,49,6.0,16.0,16.0,3.26,0.09,2.24,2.6,6.09,6.25,0.71,1.0002336380786532,1.0,1.0,4.0,4.0,100.0,13.0,13.06,2.1500000000000004,0.3599999999999999,3.49,0.16000000000000014,4.01,0.0,5.647887323943663,4.009063330146345,14.723926380368097,0.3821187193631042,98.915,386.0,17,0.0,0.11080332409972304,0.0625,0.9954058192955588,1.2307692307692308,1.0,1.0625,1.3076923076923077,1.2307692307692308,0.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
925,35441TFA010    ,2023,50,4.0,14.0,16.0,3.56,0.09,2.23,2.72,5.3,5.66,0.71,1.0002336380786532,1.0,1.0,4.0,4.0,100.0,17.0,17.77,2.14,0.4900000000000002,2.58,0.3600000000000003,3.43,0.0,4.830985915492958,3.4291988085790437,8.988764044943817,0.3977422540813271,99.77,390.0,18,-0.33333333333333337,-0.1446384039900248,0.058823529411764726,0.9566685424873382,0.8235294117647058,1.1428571428571428,1.125,1.0588235294117647,0.9411764705882352,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
926,35441TFA010    ,2023,51,6.0,18.0,16.0,3.44,0.09,2.23,2.62,6.025,6.245,0.71,1.0002336380786532,1.0,1.0,4.0,4.0,100.0,16.0,17.130000000000006,2.14,0.3900000000000001,3.405,0.21999999999999967,4.0150000000000015,0.0,5.6549295774647925,4.014062162228823,13.953488372093025,0.4003873514842266,100.0,371.5,14,0.5,0.17055393586005874,-0.2222222222222222,0.9340338587273784,1.125,0.8888888888888888,0.875,0.875,1.0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
946,3548255A010    ,2023,48,2.0,2.0,2.0,1.37,0.12,1.94,2.125,7.005,8.575,0.61,1.3490072669047912,1.0,1.0,1.0,1.79,300.0,2.0,1.37,1.82,0.18500000000000005,4.88,1.5699999999999994,6.635,0.0,10.877049180327866,4.918431622109472,5.2324516652277415,0.2998072989233271,94.615,369.5,8,0.0,0.0,0.0,1.45985401459854,1.0,1.0,4.0,4.0,1.0,1.37,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
947,3548255A010    ,2023,49,1.0,5.0,5.0,1.39,0.12,1.95,2.1,2.92,6.11,0.61,1.3490072669047912,1.0,1.0,1.0,1.79,300.0,5.0,5.586666666666668,1.83,0.15000000000000013,0.8199999999999998,3.1900000000000004,4.16,0.0,6.819672131147541,3.0837491406142283,2.5785822954539594,0.2476423031610307,98.915,386.0,7,-0.5,-0.3730218538055764,-0.125,0.8949880668257755,1.0,1.0,1.4,1.4,1.0,1.39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
948,3548255A010    ,2023,50,1.0,8.0,4.0,1.3,0.12,1.935,2.21,4.895,6.645,0.61,1.3490072669047912,1.0,1.0,1.0,1.79,300.0,8.0,6.536666666666667,1.815,0.2749999999999999,2.685,1.75,4.709999999999999,0.0,7.721311475409834,3.4914563587242826,2.7570995312930795,0.24259482150017506,99.77,390.0,7,0.0,0.1322115384615381,0.0,1.2238653748087711,1.0,0.5,1.75,0.875,0.5,1.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
949,3548255A010    ,2023,51,2.0,7.0,6.0,1.3333333333333337,0.11,1.94,2.21,4.355,7.0600000000000005,0.61,1.3490072669047912,1.0,1.0,1.0,1.79,300.0,6.0,6.763333333333334,1.83,0.27,2.1450000000000005,2.705,5.120000000000001,0.0,8.393442622950822,3.7953835576790516,5.376344086021504,0.295144398603618,100.0,371.5,6,1.0,0.08704883227176262,-0.1428571428571429,0.8871365204534253,1.1666666666666667,0.8571428571428571,1.0,1.0,1.0,1.3333333333333337,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
991,35501ECB010    ,2023,48,6.0,8.0,5.0,3.37,0.12,1.45,1.72,5.495,5.72,0.64,0.9302336380786532,1.0,1.0,4.0,4.0,100.0,4.0,3.37,1.33,0.27,3.775,0.22499999999999964,4.27,0.0,6.671874999999999,4.590244671026358,14.243323442136495,0.39333111184901226,94.615,369.5,15,0.0,0.0,-0.25,1.1869436201780414,2.0,0.625,3.0,3.75,1.25,0.8425,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
992,35501ECB010    ,2023,49,5.0,18.0,18.0,3.25,0.115,1.455,1.75,4.305,4.445,0.64,0.9302336380786532,1.0,1.0,4.0,4.0,100.0,14.0,13.06,1.34,0.29499999999999993,2.555,0.14000000000000054,2.99,0.0,4.671875,3.2142462684704483,12.307692307692307,0.3764297089908788,98.915,386.0,18,-0.16666666666666666,-0.2997658079625292,0.2,1.0719754977029097,1.2857142857142858,1.0,1.0,1.2857142857142858,1.2857142857142858,0.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
993,35501ECB010    ,2023,50,4.0,15.0,17.0,3.56,0.13,1.46,1.75,4.81,4.93,0.64,0.9302336380786532,1.0,1.0,4.0,4.0,100.0,17.0,17.77,1.33,0.29000000000000004,3.06,0.1200000000000001,3.47,0.0,5.421874999999999,3.7302456694289137,8.988764044943817,0.3977422540813271,99.77,390.0,18,-0.2,0.16053511705685608,0.0,0.9566685424873382,0.8823529411764706,1.1333333333333333,1.0588235294117647,1.0588235294117647,1.0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
994,35501ECB010    ,2023,51,5.0,19.0,17.0,3.44,0.12,1.46,1.7,5.05,5.29,0.64,0.9302336380786532,1.0,1.0,4.0,4.0,100.0,17.0,17.130000000000006,1.34,0.24,3.35,0.2400000000000002,3.83,0.0,5.984375,4.117245220147764,11.627906976744184,0.39494760974032656,100.0,371.5,15,0.25,0.10374639769452454,-0.16666666666666666,0.9924109748978396,1.1176470588235294,0.8947368421052632,0.8823529411764706,0.8823529411764706,1.0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1015,35505ECB010    ,2023,48,9.0,23.0,20.0,14.041666666666664,0.24,1.3050000000000002,1.4700000000000002,4.04,4.375,0.85,0.9196560731388768,1.0,1.0,2.0,3.92,24.0,16.0,14.041666666666664,1.0650000000000002,0.16500000000000006,2.57,0.335,3.07,0.1,3.611764705882353,3.3382044545433027,2.6054859955127743,0.8713835328047592,94.615,369.5,66,0.0,0.0,-0.2142857142857143,1.13946587537092,1.4375,0.8695652173913043,3.3,4.125,1.25,7.020833333333332,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1016,35505ECB010    ,2023,49,11.0,72.0,70.0,13.583333333333336,0.33,1.33,1.6,2.54,2.925,0.85,0.9196560731388768,1.0,1.0,2.0,3.92,24.0,58.0,54.41666666666667,1.0,0.27,0.94,0.3849999999999998,1.5949999999999998,0.1,1.876470588235294,1.7343440081422044,3.2919347598383952,1.022041904533721,98.915,386.0,67,0.22222222222222232,-0.48045602605863197,0.015151515151515138,1.0658499234303216,1.2413793103448276,0.9722222222222222,0.9571428571428572,1.1551724137931034,1.206896551724138,6.791666666666668,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1017,35505ECB010    ,2023,50,10.0,69.0,71.0,14.833333333333336,0.32,1.35,1.64,2.88,3.09,0.85,0.9196560731388768,1.0,1.0,2.0,3.92,24.0,73.0,74.04166666666666,1.03,0.2899999999999998,1.24,0.21,1.7399999999999998,0.1,2.047058823529412,1.8920116452460407,2.7404768429706765,0.9175313486734372,99.77,390.0,76,-0.09090909090909094,0.09090909090909084,0.13432835820895514,0.9859313449634216,0.9452054794520548,1.0289855072463767,1.0704225352112675,1.0410958904109588,0.9726027397260274,7.416666666666668,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1018,35505ECB010    ,2023,51,12.0,69.0,64.0,14.333333333333336,0.33,1.34,1.62,3.62,3.885,0.85,0.9196560731388768,1.0,1.0,2.0,3.92,24.0,74.0,71.375,1.01,0.28,2.0,0.2649999999999997,2.545,0.1,2.994117647058824,2.7673388719259626,3.403289846851956,1.063205514034269,100.0,371.5,65,0.2,0.4626436781609198,-0.14473684210526316,1.0367775831873904,0.9324324324324323,0.927536231884058,1.015625,0.8783783783783784,0.8648648648648649,7.166666666666668,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
