,品番,年,週番号,在庫数（箱）,入庫数（箱）,出庫数（箱）,仕入先名,日量数（箱数）,発注～印刷LT,発注～検収LT,発注～順立装置入庫LT,発注～順立装置出庫LT,発注～回収LT,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,収容数,納入かんばん数,合計日量数（箱数）,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,不等ピッチ係数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,設計値MIN,順立装置在庫量/設計値MIN,順立装置在庫量/設計値MAX,時間稼働率,加工数
11,35141ECE010    ,2023,48,30.0,28.0,30.0,（株）アイシン福井,20.55,0.26,0.975,1.035,4.605,4.775,0.63,0.7778014533809583,3.0,（株）アイシン福井,1.0,24.0,19.68,20,20,20.55,0.715,0.060000000000000164,3.5700000000000003,0.16999999999999993,3.8,,6.0317460317460325,4.885565568799218,1.770725,16.942212935379576,8.209113484152992,94.61500000000001,369.5
12,35145ECB010    ,2023,48,7.0,3.0,5.0,三共鋼業（株）,3.37,0.1,1.86,2.14,7.54,7.74,0.62,1.49070091423596,3.0,三共鋼業（株）,1.0,1.0,1.74,100,3,3.37,1.76,0.28,5.4,0.20000000000000015,5.88,0.0,9.483870967741936,3.944453205768456,0.92338,7.580844289458294,1.5688454194196169,94.61500000000001,369.5
13,35145ECE010    ,2023,48,6.0,4.0,6.0,三共鋼業（株）,4.11,0.1,1.86,2.14,5.865,6.32,0.65,0.8963357556349304,1.0,三共鋼業（株）,1.0,1.0,1.74,100,4,4.11,1.76,0.28,3.725,0.4550000000000001,4.46,0.0,6.861538461538461,4.975813998227377,1.12614,5.327934359848687,1.1026087723553928,94.61500000000001,369.5
14,35145ECE020    ,2023,48,5.0,9.0,6.0,（株）浅賀井製作所,4.11,0.29,1.74,1.98,4.86,5.29,0.65,0.8963357556349304,1.0,（株）浅賀井製作所,1.0,4.0,6.88,100,5,4.11,1.45,0.24,2.8800000000000003,0.4299999999999997,3.55,0.13,5.461538461538462,3.960569438050938,0.8096700000000001,6.175355391702793,2.447776684437525,94.61500000000001,369.5
15,35165ECE010    ,2023,48,4.0,3.0,3.0,（株）松尾製作所,2.055,0.06,1.3,1.65,1.86,4.42,0.63,1.1226715112698609,1.0,（株）松尾製作所,1.0,1.0,1.21,200,1,2.055,1.24,0.3499999999999999,0.2100000000000002,2.56,3.12,0.0,4.9523809523809526,2.7790853946858847,0.454155,8.807565698935385,1.5314492678715343,94.61500000000001,369.5
16,35174ECB010    ,2023,48,13.0,28.0,23.0,（株）浅賀井製作所,16.85,0.58,1.83,1.99,4.56,4.88,0.91,0.9680467276157309,1.0,（株）浅賀井製作所,1.0,4.0,6.88,20,19,16.85,1.25,0.15999999999999992,2.5699999999999994,0.3200000000000003,3.05,0.13,3.3516483516483517,3.1506743558878147,3.3194500000000007,3.916311437135669,1.552340750735869,94.61500000000001,369.5
17,35174ECE010    ,2023,48,15.0,16.0,15.0,（株）浅賀井製作所,10.275,0.435,1.785,1.99,4.585,4.8450000000000015,0.87,0.9685343022539722,1.0,（株）浅賀井製作所,1.0,4.0,6.88,40,10,10.275,1.35,0.20499999999999985,2.595,0.2600000000000007,3.0600000000000005,0.13,3.5172413793103456,3.15941313888292,2.024175,7.410426470043352,2.9373320213250302,94.61500000000001,369.5
18,35174ECE020    ,2023,48,8.0,8.0,7.0,（株）浅賀井製作所,4.566666666666666,0.29,1.74,1.99,6.0,6.34,0.63,1.295106540214312,3.0,（株）浅賀井製作所,1.0,4.0,6.88,90,5,4.566666666666666,1.45,0.25,4.01,0.33999999999999986,4.6,0.13,7.3015873015873005,3.5518313414113396,0.8996333333333333,8.892511764052024,3.5247984255900366,94.61500000000001,369.5
19,35195ECE010    ,2023,48,6.0,2.0,3.0,三共鋼業（株）,2.055,0.1,1.86,2.135,9.24,12.0,0.66,2.1380145338095824,3.0,三共鋼業（株）,1.0,1.0,1.74,400,2,2.055,1.76,0.2749999999999997,7.105,2.76,10.14,0.0,15.363636363636365,4.742717993563975,0.5630700000000001,10.655868719697374,2.2052175447107856,94.61500000000001,369.5
20,35195TFG010    ,2023,48,4.0,3.0,3.0,三共鋼業（株）,2.055,0.1,1.86,2.14,6.64,7.96,0.62,1.1126715112698609,1.0,三共鋼業（株）,1.0,1.0,1.74,400,3,2.055,1.76,0.28,4.5,1.3200000000000005,6.1,0.0,9.838709677419354,5.482300875159678,0.5630700000000001,7.103912479798247,1.4701450298071903,94.61500000000001,369.5
21,35198ECE010    ,2023,48,5.0,2.0,3.0,サトープレス工業（株）,2.055,0.12,1.94,2.13,5.925000000000002,6.205,0.58,1.0726715112698608,1.0,サトープレス工業（株）,1.0,1.0,1.78,200,2,2.055,1.82,0.18999999999999995,3.7950000000000013,0.27999999999999936,4.2650000000000015,0.0,7.35344827586207,3.976054136975229,0.5712900000000002,8.752122389679494,1.8321461026588104,94.61500000000001,369.5
22,35300ECB010    ,2023,48,90.0,93.0,92.0,アイシン精機（株）,62.33333333333334,0.16,1.19,1.51,4.94,5.15,0.91,0.9579680213191206,3.0,アイシン精機（株）,1.0,4.0,8.04,12,59,62.33333333333334,1.03,0.3200000000000001,3.4300000000000006,0.21,3.96,0.14,4.351648351648352,4.1337496783526095,14.087333333333332,6.388717997255218,2.7449624855126977,94.61500000000001,369.5
23,35312ECB010    ,2023,48,7.0,10.0,7.0,（株）旭工業所,5.349206349206349,0.66,2.01,2.25,5.215,5.29,0.59,0.7728471919895515,1.0,（株）旭工業所,1.0,1.0,1.9,63,4,5.349206349206349,1.3499999999999996,0.2400000000000002,2.965,0.07500000000000018,3.28,0.0,5.5593220338983045,4.2440472502154645,1.5512698412698411,4.512432211194106,0.9765711501837993,94.61500000000001,369.5
24,35409ECB010    ,2023,48,1.0,2.0,5.0,サンコール（株）,1.685,0.13,2.4,6.44,6.74,7.47,0.7,1.2804672761573066,1.0,サンコール（株）,1.0,1.0,2.26,200,1,1.685,2.27,4.040000000000001,0.2999999999999998,0.7299999999999995,5.07,0.0,7.242857142857144,3.9594920498203705,0.5493100000000001,1.8204656751196957,0.4313021875646953,94.61500000000001,369.5
25,35441ECB010    ,2023,48,25.0,29.0,22.0,（株）ニフコ,15.583333333333336,0.09,2.23,2.62,5.815,5.92,0.71,0.9018720852764824,3.0,（株）ニフコ,1.0,1.0,2.14,48,16,15.583333333333336,2.14,0.3900000000000001,3.1949999999999994,0.10500000000000044,3.69,0.0,5.19718309859155,4.091489314550383,4.893166666666668,5.109165843523278,1.1761569463829251,94.61500000000001,369.5
26,35441TFA010    ,2023,48,6.0,5.0,5.0,（株）ニフコ,3.37,0.09,2.23,2.62,5.76,5.84,0.71,1.0002336380786532,1.0,（株）ニフコ,1.0,1.0,2.14,100,3,3.37,2.14,0.3900000000000001,3.14,0.08000000000000007,3.61,0.0,5.084507042253522,3.6091567635482074,1.05818,5.670112835245421,1.3052899048878757,94.61500000000001,369.5
27,3548255A010    ,2023,48,2.0,2.0,2.0,サトープレス工業（株）,1.37,0.12,1.94,2.125,7.005,8.575,0.61,1.3490072669047912,1.0,サトープレス工業（株）,1.0,1.0,1.78,300,2,1.37,1.82,0.18500000000000005,4.88,1.5699999999999994,6.635,0.0,10.877049180327868,4.918431622109472,0.3808600000000001,5.251273433807698,1.0992876615952858,94.61500000000001,369.5
28,35501ECB010    ,2023,48,6.0,8.0,5.0,大橋鉄工（株）,3.37,0.12,1.45,1.72,5.495,5.72,0.64,0.9302336380786532,1.0,大橋鉄工（株）,1.0,1.0,1.38,100,4,3.37,1.33,0.27,3.775,0.22499999999999964,4.27,0.0,6.671874999999999,4.590244671026358,0.80206,7.480737101962447,1.3823101166669738,94.61500000000001,369.5
29,35505ECB010    ,2023,48,9.0,23.0,20.0,中庸スプリング（株）,14.041666666666664,0.24,1.3050000000000002,1.4700000000000002,4.04,4.375,0.85,0.9196560731388768,1.0,中庸スプリング（株）,1.0,2.0,2.34,24,16,14.041666666666664,1.0650000000000002,0.16500000000000006,2.57,0.335,3.07,0.1,3.611764705882353,3.3382044545433027,2.344958333333333,3.8380212868032486,0.8939324336068935,94.61500000000001,369.5
30,35556ECB010    ,2023,48,4.0,5.0,5.0,（株）ギフ加藤製作所,3.37,0.185,2.02,2.4450000000000003,2.805,2.87,0.79,1.0802336380786532,1.0,（株）ギフ加藤製作所,1.0,2.0,3.8,100,4,3.37,1.835,0.42500000000000027,0.35999999999999943,0.06500000000000039,0.8500000000000001,0.12,1.0759493670886076,0.7868668129163651,0.8088,4.9455984174085055,1.5024602787063817,94.61500000000001,369.5
31,35557ECB010    ,2023,48,13.0,14.0,10.0,小川工業（株）,7.3260869565217375,0.33,2.52,2.91,3.81,5.61,0.93,1.0635074735161805,1.0,小川工業（株）,1.0,2.0,4.94,46,7,7.3260869565217375,2.19,0.3900000000000001,0.8999999999999999,1.8000000000000005,3.0900000000000003,0.05,3.3225806451612905,2.9054802875844468,2.1758478260869563,5.9746825325460335,2.0950185503732848,94.61500000000001,369.5
32,35580ECB011    ,2023,48,59.0,98.0,81.0,アイシン精機（株）,56.16666666666666,0.16,1.19,1.42,4.81,5.02,0.9,0.9522420548541576,3.0,アイシン精機（株）,1.0,4.0,8.04,6,57,56.16666666666666,1.03,0.23,3.39,0.21,3.83,0.14,4.2555555555555555,4.0220865907740135,12.693666666666665,4.647987185210473,1.9970439236835875,94.61500000000001,369.5
33,35595ECB010    ,2023,48,5.0,7.0,12.0,サトープレス工業（株）,8.425,0.12,1.94,2.12,2.71,4.92,0.61,0.7260934552314613,1.0,サトープレス工業（株）,1.0,1.0,1.78,40,7,8.425,1.82,0.18000000000000016,0.5899999999999999,2.21,2.98,0.0,4.885245901639344,4.104154883271943,2.3421500000000006,2.134790683773456,0.4468914232598048,94.61500000000001,369.5
34,3559850A010    ,2023,48,4.0,3.0,5.0,アイコー（株）,3.37,0.14,2.13,2.22,5.57,5.96,0.94,1.2302336380786532,1.0,アイコー（株）,1.0,2.0,3.92,100,3,3.37,1.99,0.0900000000000003,3.35,0.3899999999999997,3.83,0.32,4.074468085106384,3.113229781280891,0.8290200000000001,4.824974065764396,1.4911352012286954,94.61500000000001,369.5
35,35771ECB010    ,2023,48,23.0,118.0,120.0,アイシン機工（株）,84.25,0.38,1.16,1.31,1.57,1.72,0.79,0.8248280365694385,3.0,アイシン機工（株）,1.0,6.0,4.92,4,87,84.25,0.7799999999999999,0.15000000000000013,0.26,0.1499999999999999,0.56,0.07,0.7088607594936709,0.6789293951853396,8.312666666666667,2.7668618173069213,0.8657411183116793,94.61500000000001,369.5
36,35771ECE010    ,2023,48,43.0,96.0,104.0,アイシン機工（株）,68.5,0.38,1.16,1.31,2.12,4.03,0.79,0.8195602906761917,2.0,アイシン機工（株）,1.0,6.0,4.92,6,67,68.5,0.7799999999999999,0.15000000000000013,0.81,1.91,2.87,0.07,3.632911392405063,3.501877815031837,6.7586666666666675,6.36220161767607,1.9907100199071002,94.61500000000001,369.5
37,35847ECB010    ,2023,48,3.0,7.0,7.0,（株）メタルテック,4.2125,0.09,2.02,2.13,2.87,5.35,0.55,0.7821869104629227,1.0,（株）メタルテック,1.0,1.0,1.9,80,5,4.2125,1.93,0.10999999999999988,0.7400000000000002,2.4799999999999995,3.33,0.0,6.054545454545454,4.257294459235071,1.2216250000000002,2.4557454210580167,0.5314672926170334,94.61500000000001,369.5
38,35847ECB020    ,2023,48,3.0,4.0,7.0,（株）メタルテック,4.814285714285714,0.09,2.02,2.13,5.78,6.0,0.5,0.7031635466550573,1.0,（株）メタルテック,1.0,1.0,1.9,70,5,4.814285714285714,1.93,0.10999999999999988,3.65,0.21999999999999972,3.98,0.0,7.96,5.660134145083068,1.3961428571428571,2.148777243425765,0.4650338810399043,94.61500000000001,369.5
39,35847ECE010    ,2023,48,12.0,11.0,15.0,（株）メタルテック,10.275,0.09,2.02,2.13,5.7,5.87,0.5,0.5985343022539722,1.0,（株）メタルテック,1.0,1.0,1.9,40,11,10.275,1.93,0.10999999999999988,3.5700000000000003,0.16999999999999993,3.85,0.0,7.7,6.432379874472683,2.97975,4.0271834885476965,0.8715546355812179,94.61500000000001,369.5
40,35847ECE020    ,2023,48,9.0,8.0,10.0,（株）メタルテック,6.85,0.09,2.02,2.13,6.67,6.95,0.53,0.6778014533809582,1.0,（株）メタルテック,1.0,1.0,1.9,60,8,6.85,1.93,0.10999999999999988,4.54,0.28000000000000025,4.93,0.0,9.301886792452828,7.273516419017023,1.9865,4.530581424616159,0.9804989650288704,94.61500000000001,369.5
41,35882ECB010    ,2023,48,5.0,8.0,10.0,（株）メタルテック,6.74,0.09,2.02,2.13,2.69,2.87,0.54,0.6851168190393266,1.0,（株）メタルテック,1.0,1.0,1.9,50,6,6.74,1.93,0.10999999999999988,0.56,0.18000000000000016,0.8500000000000001,0.0,1.5740740740740742,1.24066433107258,1.9546,2.558068146935434,0.5536117631427432,94.61500000000001,369.5
42,36108ECB010    ,2023,48,4.0,3.0,4.0,（株）オーハシテクニカ,2.2466666666666666,0.72,2.01,2.29,5.975,6.545,0.64,1.07535045711798,1.0,（株）オーハシテクニカ,1.0,1.0,1.97,150,2,2.2466666666666666,1.2899999999999998,0.28000000000000025,3.685,0.5700000000000003,4.535,0.0,7.0859375,4.217229806322063,0.6672600000000001,5.994664748373947,1.3217634968575072,94.61500000000001,369.5
43,39171ECB010    ,2023,48,12.0,31.0,30.0,（株）アイシン福井,21.0625,0.275,0.99,1.06,1.6949999999999998,1.82,0.62,0.7593121462777536,3.0,（株）アイシン福井,1.0,24.0,19.68,16,24,21.0625,0.715,0.07000000000000006,0.6349999999999998,0.12500000000000022,0.8300000000000001,,1.338709677419355,1.0930945910305367,1.8148854166666668,6.611987671397988,3.2037466036670663,94.61500000000001,369.5
44,39171ECE010    ,2023,48,17.0,25.0,30.0,（株）アイシン福井,20.55,0.23,0.975,1.03,3.975,4.1,0.63,0.7778014533809583,3.0,（株）アイシン福井,1.0,24.0,19.68,20,20,20.55,0.745,0.05500000000000005,2.9450000000000003,0.12499999999999956,3.125,,4.96031746031746,4.017734842762514,1.770725,9.600587330048427,4.651830974353362,94.61500000000001,369.5
45,41310ECB010    ,2023,48,64.0,276.0,233.0,（株）オンド,168.5,0.13,1.09,1.44,1.72,1.89,0.69,0.7016093455231461,2.0,（株）オンド,1.0,4.0,4.0,2,163,168.5,0.96,0.3499999999999999,0.28,0.16999999999999993,0.7999999999999998,0.05,1.1594202898550725,1.1402356669059046,21.0625,3.0385756676557865,0.8936987257811136,94.61500000000001,369.5
46,41310ECE010    ,2023,48,191.0,367.0,299.0,（株）オンド,205.5,0.13,1.13,1.43,4.08,4.26,0.7,0.7147801453380958,3.0,（株）オンド,1.0,4.0,4.0,2,197,205.5,1.0,0.30000000000000004,2.6500000000000004,0.17999999999999972,3.13,0.05,4.471428571428572,4.378968862543726,25.6875,7.435523114355232,2.186918563045656,94.61500000000001,369.5
47,5040056001E    ,2023,48,4.0,6.0,8.0,サトープレス工業（株）,5.616666666666666,0.12,1.94,2.13,5.05,5.65,0.58,1.102420548541576,3.0,サトープレス工業（株）,1.0,1.0,1.78,300,6,5.616666666666666,1.82,0.18999999999999995,2.92,0.6000000000000005,3.71,0.0,6.396551724137932,3.3653218863781764,1.5614333333333337,2.561748820528147,0.5362697079117658,94.61500000000001,369.5
48,82125ECB010    ,2023,48,5.0,3.0,5.0,矢崎総業（株）,3.37,0.14,1.98,2.14,6.18,6.6,0.58,0.8702336380786533,1.0,矢崎総業（株）,1.0,1.0,1.79,100,3,3.37,1.84,0.16000000000000014,4.039999999999999,0.4199999999999999,4.619999999999999,0.0,7.96551724137931,5.308919119927694,0.94023,5.317847760654306,1.116387904606886,94.61500000000001,369.5
49,82125ECE010    ,2023,48,8.0,5.0,6.0,矢崎総業（株）,4.11,0.14,1.98,2.14,6.55,6.74,0.62,0.8663357556349304,1.0,矢崎総業（株）,1.0,1.0,1.79,100,5,4.11,1.84,0.16000000000000014,4.41,0.1900000000000004,4.76,0.0,7.677419354838709,5.49440556855631,1.1466900000000002,6.976602220303656,1.4646140101314673,94.61500000000001,369.5
50,82821CWA030    ,2023,48,6.0,7.0,7.0,石黒ゴム工業（株）,3.74,0.215,1.775,2.085,5.35,5.8,0.83,1.1113104377893688,1.0,石黒ゴム工業（株）,1.0,2.0,3.64,200,4,3.74,1.5599999999999998,0.31000000000000005,3.265,0.4500000000000002,4.025,0.29,4.8493975903614475,3.62185026175636,0.8676800000000002,6.914991702009956,2.0515064895988617,94.61500000000001,369.5
51,82821ECB010    ,2023,48,3.0,3.0,3.0,石黒ゴム工業（株）,1.87,0.215,1.775,2.095,3.835,5.6,0.83,1.3925879043600562,1.0,石黒ゴム工業（株）,1.0,2.0,3.64,400,2,1.87,1.5599999999999998,0.31999999999999984,1.7400000000000002,1.7649999999999997,3.825,0.29,4.608433734939759,2.7466847787664244,0.4338400000000001,6.914991702009956,2.0515064895988617,94.61500000000001,369.5
52,82821ECB020    ,2023,48,9.0,4.0,6.0,石黒ゴム工業（株）,3.74,0.215,1.775,2.09,6.5150000000000015,6.985,0.87,1.151293952180028,1.0,石黒ゴム工業（株）,1.0,2.0,3.64,200,4,3.74,1.5599999999999998,0.31499999999999995,4.425000000000002,0.4699999999999998,5.210000000000001,0.29,5.988505747126437,4.525342976165754,0.8676800000000002,10.372487553014931,3.077259734398293,94.61500000000001,369.5
53,82821ECB040    ,2023,48,3.0,5.0,4.0,石黒ゴム工業（株）,3.37,0.09,1.94,2.16,5.18,5.67,0.83,1.1782803656943839,1.0,石黒ゴム工業（株）,1.0,2.0,3.64,100,3,3.37,1.85,0.2200000000000002,3.02,0.4900000000000002,3.73,0.29,4.493975903614458,3.165630276629312,0.7818400000000002,3.837102220403151,1.1383730372551548,94.61500000000001,369.5
54,82821ECB050    ,2023,48,11.0,9.0,15.0,石黒ゴム工業（株）,7.48,0.215,1.775,2.095,5.4849999999999985,5.7,0.83,0.9706552188946844,1.0,石黒ゴム工業（株）,1.0,2.0,3.64,100,8,7.48,1.5599999999999998,0.31999999999999984,3.39,0.21500000000000075,3.925,0.29,4.7289156626506035,4.043660327164903,1.7353600000000005,6.338742393509127,1.8805476154656235,94.61500000000001,369.5
55,82821ECE010    ,2023,48,19.0,10.0,22.0,石黒ゴム工業（株）,8.22,0.215,1.775,2.085,6.445,6.63,1.07,1.1879593040401062,1.0,石黒ゴム工業（株）,1.0,2.0,3.64,50,8,8.22,1.5599999999999998,0.31000000000000005,4.36,0.1849999999999996,4.855,0.29,4.537383177570094,4.086840334924548,1.9070400000000003,9.96308415135498,2.955799901680761,94.61500000000001,369.5
56,82821XAE010    ,2023,48,13.0,8.0,16.0,石黒ゴム工業（株）,7.48,0.215,1.775,2.09,5.68,6.01,0.87,1.010646976090014,1.0,石黒ゴム工業（株）,1.0,2.0,3.64,100,8,7.48,1.5599999999999998,0.31499999999999995,3.59,0.3300000000000001,4.2349999999999985,0.29,4.867816091954023,4.190385070348052,1.7353600000000005,7.491241010510786,2.222465363732101,94.61500000000001,369.5
57,82824ECB010    ,2023,48,8.0,12.0,16.0,矢崎総業（株）,10.53125,0.14,1.98,2.15,5.05,5.24,0.57,0.662874764185169,1.0,矢崎総業（株）,1.0,1.0,1.79,32,11,10.53125,1.84,0.16999999999999993,2.9,0.1900000000000004,3.26,0.0,5.719298245614036,4.91797270938096,2.9382187500000003,2.7227380534550054,0.5715906071587258,94.61500000000001,369.5
58,82824ECB020    ,2023,48,15.0,19.0,27.0,矢崎総業（株）,18.7,0.14,1.98,2.14,5.09,5.38,0.58,0.6332978014656895,1.0,矢崎総業（株）,1.0,1.0,1.79,40,18,18.7,1.84,0.16000000000000014,2.95,0.29000000000000004,3.4,0.0,5.862068965517242,5.368722253781903,5.217300000000002,2.875050313380484,0.6035658671430814,94.61500000000001,369.5
59,82824ECE010    ,2023,48,14.0,8.0,13.0,住友電装（株）,9.133333333333333,1.45,3.41,3.4,6.8900000000000015,7.115,0.36,0.4708510900357187,1.0,住友電装（株）,1.0,1.0,3.25,45,8,9.133333333333333,1.96,-0.010000000000000231,3.4900000000000007,0.22499999999999964,3.705,0.0,10.291666666666668,7.8687297925102815,3.8816666666666655,3.6066981537140412,1.0392181120870965,94.61500000000001,369.5
60,9010506A089    ,2023,48,4.0,1.0,1.0,（株）青山製作所,0.9973333333333332,0.31,1.21,1.64,5.19,5.85,1.0,3.9980013324450367,3.0,（株）青山製作所,1.0,6.0,5.76,1500,1,0.9973333333333332,0.8999999999999999,0.43,3.5500000000000007,0.6599999999999993,4.64,0.08,4.64,1.1605799033494415,0.1123662222222222,35.59788627661931,12.178224252527661,94.61500000000001,369.5
61,9010508A014    ,2023,48,21.0,40.0,38.0,（株）青山製作所,56.47,0.31,1.21,1.48,1.83,4.04,1.08,1.133008684589492,3.0,（株）青山製作所,1.0,6.0,5.76,500,59,56.47,0.8999999999999999,0.27,0.3500000000000001,2.21,2.83,0.08,2.6203703703703702,2.497774322908528,6.362286666666666,3.300700062765693,1.1291868635777371,94.61500000000001,369.5
62,9010508A042    ,2023,48,2.0,7.0,7.0,（株）青山製作所,5.616666666666666,0.31,1.16,1.27,2.09,4.36,1.07,1.244140182847192,1.0,（株）青山製作所,1.0,6.0,5.76,300,5,5.616666666666666,0.8499999999999999,0.1100000000000001,0.8199999999999998,2.2700000000000005,3.2,0.08,2.9906542056074765,2.5720574289923333,0.6328111111111111,3.1605007637876845,1.0812239455063133,94.61500000000001,369.5
63,9010512A018    ,2023,48,36.0,81.0,77.0,（株）青山製作所,51.62,0.31,1.21,1.46,1.865,3.895,1.04,1.0977800889813372,3.0,（株）青山製作所,1.0,6.0,5.76,200,52,51.62,0.8999999999999999,0.25,0.40500000000000025,2.03,2.685,0.08,2.581730769230769,2.4458450530756948,5.815853333333332,6.1899772804907975,2.117623806483693,94.61500000000001,369.5
64,9011906A065    ,2023,48,1.0,3.0,3.0,（株）青山製作所,2.244,0.34,1.21,1.35,2.97,4.66,1.07,1.5141483455474132,1.0,（株）青山製作所,1.0,6.0,5.76,1000,2,2.244,0.87,0.14000000000000012,1.6199999999999997,1.6900000000000004,3.45,0.08,3.2242990654205608,2.278508582164527,0.25282400000000005,3.955320697402144,1.3531360280586284,94.61500000000001,369.5
65,9014908A008    ,2023,48,1.0,4.0,1.0,（株）青山製作所,2.805,0.31,1.21,1.43,1.79,4.41,1.02,1.3753186764379302,1.0,（株）青山製作所,1.0,6.0,5.76,800,3,2.805,0.8999999999999999,0.22,0.3600000000000001,2.62,3.2,0.08,3.1372549019607843,2.3267334726290403,0.31603000000000003,3.164256557921717,1.0825088224469028,94.61500000000001,369.5
66,9015905A007    ,2023,48,3.0,3.0,4.0,（株）青山製作所,2.244,0.34,1.235,1.535,5.575,6.619999999999999,1.03,2.362533813045506,3.0,（株）青山製作所,1.0,6.0,5.76,2000,2,2.244,0.8949999999999999,0.30000000000000004,4.04,1.044999999999999,5.385,0.08,5.2281553398058245,2.2793324566467383,0.25282400000000005,11.865962092206436,4.059408084175884,94.61500000000001,369.5
67,9015906A021    ,2023,48,6.0,9.0,7.0,（株）青山製作所,5.2675,0.31,1.21,1.46,4.165,4.4350000000000005,1.02,1.587094350322535,3.0,（株）青山製作所,1.0,6.0,5.76,1200,6,5.2675,0.8999999999999999,0.25,2.705,0.2700000000000005,3.2250000000000005,0.08,3.1617647058823533,2.032015298488464,0.5934716666666667,10.11000244325059,3.458685046375202,94.61500000000001,369.5
68,9015906A022    ,2023,48,3.0,12.0,10.0,（株）青山製作所,7.48,0.31,1.21,1.43,1.79,3.89,1.01,1.4097335109926716,3.0,（株）青山製作所,1.0,6.0,5.76,1500,7,7.48,0.8999999999999999,0.22,0.3600000000000001,2.1,2.68,0.08,2.6534653465346536,1.9010685204701299,0.8427466666666666,3.559788627661931,1.2178224252527658,94.61500000000001,369.5
69,9015906A023    ,2023,48,4.0,3.0,2.0,（株）青山製作所,1.7261538461538461,0.3,1.185,1.42,5.300000000000002,5.85,1.02,2.752293956959158,3.0,（株）青山製作所,1.0,6.0,5.76,1300,2,1.7261538461538461,0.885,0.2349999999999999,3.8800000000000012,0.5499999999999989,4.664999999999999,0.08,4.573529411764706,1.694949766613619,0.19448,20.56766762649116,7.036307345904871,94.61500000000001,369.5
70,9020150A002    ,2023,48,7.0,7.0,5.0,（株）ムロコーポレーション,3.37,0.1,0.86,1.14,3.12,4.665,0.73,1.0202336380786532,1.0,（株）ムロコーポレーション,1.0,1.0,0.73,100,4,3.37,0.76,0.2799999999999999,1.98,1.545,3.805,0.0,5.212328767123288,3.7295378803288,0.58301,12.006655117407934,1.6984066519309666,94.61500000000001,369.5
71,9020156A001    ,2023,48,4.0,7.0,3.0,（株）ムロコーポレーション,3.37,0.1,0.86,1.15,1.74,4.78,0.75,1.0402336380786532,1.0,（株）ムロコーポレーション,1.0,1.0,0.73,100,3,3.37,0.76,0.2899999999999999,0.5900000000000001,3.04,3.92,0.0,5.226666666666668,3.768384194189657,0.58301,6.860945781375962,0.9705180868176956,94.61500000000001,369.5
72,9020156A002    ,2023,48,7.0,10.0,6.0,（株）ムロコーポレーション,4.11,0.1,0.86,1.15,1.98,4.38,0.73,0.9763357556349304,1.0,（株）ムロコーポレーション,1.0,1.0,0.73,100,5,4.11,0.76,0.2899999999999999,0.8300000000000001,2.4,3.52,0.0,4.821917808219178,3.605317104985953,0.71103,9.84487293081867,1.3926108070577514,94.61500000000001,369.5
73,9025006A007    ,2023,48,2.0,4.0,3.0,（株）ギフ加藤製作所,3.37,0.23,1.98,2.35,3.055,5.99,0.76,1.0502336380786534,1.0,（株）ギフ加藤製作所,1.0,2.0,3.8,200,2,3.37,1.75,0.3700000000000001,0.7050000000000001,2.935,4.01,0.12,5.276315789473684,3.818198022428687,0.8088,2.4727992087042527,0.7512301393531908,94.61500000000001,369.5
74,9030106A018    ,2023,48,5.0,3.0,3.0,ＮＯＫ（株）,2.0015,0.235,1.885,2.1,6.575,6.8100000000000005,0.56,2.046749346449767,3.0,ＮＯＫ（株）,1.0,2.0,3.52,2000,2,2.0015,1.65,0.21499999999999966,4.4750000000000005,0.2350000000000003,4.925000000000002,0.03,8.794642857142858,2.4062545853710744,0.4523390000000001,11.053656660159746,3.2192350582424005,94.61500000000001,369.5
75,9030111A014    ,2023,48,3.0,6.0,5.0,ＮＯＫ（株）,3.74,0.235,1.885,2.1,4.95,5.395,0.56,1.3594670219853433,3.0,ＮＯＫ（株）,1.0,2.0,3.52,1000,4,3.74,1.65,0.21499999999999966,2.8500000000000005,0.4449999999999994,3.51,0.03,6.2678571428571415,2.581894185909749,0.84524,3.5492877762528985,1.0336843265891174,94.61500000000001,369.5
76,9030117A010    ,2023,48,3.0,1.0,1.0,ＮＯＫ（株）,1.085,0.14,1.94,2.09,6.73,11.92,0.58,3.3196009314643167,3.0,ＮＯＫ（株）,1.0,2.0,3.52,1000,1,1.085,1.7999999999999998,0.1499999999999999,4.6400000000000015,5.19,9.98,0.03,17.206896551724142,3.006385468026032,0.24521,12.234411320908608,3.5631146372749303,94.61500000000001,369.5
77,9030119A011    ,2023,48,4.0,6.0,4.0,ＮＯＫ（株）,3.37,0.33,1.83,2.11,5.14,5.23,0.54,0.8302336380786534,1.0,ＮＯＫ（株）,1.0,2.0,3.52,200,3,3.37,1.5,0.2799999999999998,3.03,0.09000000000000075,3.4000000000000004,0.03,6.296296296296298,4.095232768294431,0.76162,5.251962921141778,1.5295665208479916,94.61500000000001,369.5
