,品番,仕入先名,年,月,週番号,日,印刷～検収LT,検収～入庫LT,入庫～出庫LT,出庫～回収LT,社内LT（検収～回収LT）,納入かんばん数,回収かんばん数,実績納入回数,時間稼働率,加工数,不等ピッチ係数【日】,使用工程,曜日_番号,曜日_名前,在庫数（箱）_1日の中央値,入庫数（箱）_1日の合計値,出庫数（箱）_1日の合計値,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,箱重量,箱種類,基準在庫日数,基準在庫枚数,収容数,日量数,日量数（箱数）,月平均日量数,月平均日量数（箱数）,基準在庫枚数（日数）,基準在庫日数（基準在庫枚数込み）,週最大日量数（箱数）,週最大日量数（箱数）_繰り上げ,実績最小納入回数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,社内LT-設計値LT,社内LT-設計値LT（基準在庫枚数込み）,便Ave,便Ave_実績便数使用,便Ave_繰り上げ,便Ave_実績便数使用_繰り上げ,設計納入回数-実績納入回数,不等ピッチ在庫,不等ピッチ在庫_繰り上げ,設計値MIN,設計値MIN_実績便数使用,設計値MIN_繰り上げ,設計値MIN_実績便数使用_繰り上げ,設計値MAX,設計値MAX_実績便数使用,設計値MAX_繰り上げ,設計値MAX_実績便数使用_繰り上げ,順立装置在庫量/設計値MIN_繰り上げ,順立装置在庫量/設計値MIN_実績便数使用_繰り上げ,順立装置在庫量-設計値MIN_繰り上げ,順立装置在庫量-設計値MIN_実績便数使用_繰り上げ,順立装置在庫量/設計値MAX_繰り上げ,順立装置在庫量/設計値MAX_実績便数使用_繰り上げ,順立装置在庫量-設計値MAX_繰り上げ,順立装置在庫量-設計値MAX_実績便数使用_繰り上げ
10,019128GA010    ,石黒ゴム工業（株）,2023.0,12.0,50.0,11.0,3.84,0.29000000000000004,1.489999999999999,0.3700000000000001,2.33,15.0,23.0,2.0,99.22,388.0,0.29,8.ファイナル後半,0.0,月曜日,25.5,15.0,16.0,1.0,2.0,3.64,2.11,TP-342 ﾊﾝﾖｳ,1.07,1.0,50.0,797.0,15.94,711.0,14.22,0.07032348804500703,1.140323488045007,15.98,16.0,2.0,2.177570093457944,2.043279845085536,1.26,1.189676511954993,7.99,7.99,8.0,8.0,0.0,4.6342,5.0,3.7120000000000006,3.7120000000000006,4.0,4.0,17.0,17.0,17.0,17.0,6.375,6.375,21.5,21.5,1.5,1.5,8.5,8.5
11,019128GA010    ,石黒ゴム工業（株）,2023.0,12.0,50.0,12.0,1.27,0.3900000000000001,1.395,0.3599999999999999,2.3400000000000003,16.0,16.0,2.0,99.85,390.0,0.29,8.ファイナル後半,1.0,火曜日,23.0,16.0,18.0,1.0,2.0,3.64,2.11,TP-342 ﾊﾝﾖｳ,1.07,1.0,50.0,747.0,14.94,711.0,14.22,0.07032348804500703,1.140323488045007,15.98,16.0,2.0,2.1869158878504673,2.052049286480753,1.2700000000000002,1.1996765119549933,7.99,7.99,8.0,8.0,0.0,4.6342,5.0,3.7120000000000006,3.7120000000000006,4.0,4.0,17.0,17.0,17.0,17.0,5.75,5.75,19.0,19.0,1.3529411764705883,1.3529411764705883,6.0,6.0
12,019128GA010    ,石黒ゴム工業（株）,2023.0,12.0,50.0,13.0,1.555,0.51,0.9999999999999998,0.3350000000000002,1.795,16.0,15.0,2.0,99.92,361.5,0.29,8.ファイナル後半,2.0,水曜日,20.0,16.0,14.0,1.0,2.0,3.64,2.11,TP-342 ﾊﾝﾖｳ,1.07,1.0,50.0,797.0,15.94,711.0,14.22,0.07032348804500703,1.140323488045007,15.98,16.0,2.0,1.6775700934579438,1.5741147304414322,0.7249999999999999,0.6546765119549929,7.99,7.99,8.0,8.0,0.0,4.6342,5.0,3.7120000000000006,3.7120000000000006,4.0,4.0,17.0,17.0,17.0,17.0,5.0,5.0,16.0,16.0,1.1764705882352942,1.1764705882352942,3.0,3.0
13,019128GA010    ,石黒ゴム工業（株）,2023.0,12.0,50.0,14.0,1.84,0.22000000000000064,0.8900000000000001,0.3550000000000004,3.76,24.0,16.0,2.0,99.605,389.0,0.29,8.ファイナル後半,3.0,木曜日,31.0,25.0,17.0,1.0,2.0,3.64,2.11,TP-342 ﾊﾝﾖｳ,1.07,1.0,50.0,799.0,15.98,711.0,14.22,0.07032348804500703,1.140323488045007,15.98,16.0,2.0,3.5140186915887845,3.2973099646015513,2.6899999999999995,2.6196765119549927,7.99,7.99,8.0,8.0,0.0,4.6342,5.0,3.7120000000000006,3.7120000000000006,4.0,4.0,17.0,17.0,17.0,17.0,7.75,7.75,27.0,27.0,1.8235294117647058,1.8235294117647058,14.0,14.0
14,019128GA010    ,石黒ゴム工業（株）,2023.0,12.0,50.0,15.0,1.27,0.33999999999999986,3.01,0.3600000000000003,3.655,16.0,10.0,2.0,99.85,390.0,0.29,8.ファイナル後半,4.0,金曜日,31.5,6.0,15.0,1.0,2.0,3.64,2.11,TP-342 ﾊﾝﾖｳ,1.07,1.0,50.0,748.0,14.96,711.0,14.22,0.07032348804500703,1.140323488045007,15.98,16.0,2.0,3.415887850467289,3.205230829951774,2.585,2.5146765119549928,7.99,7.99,8.0,8.0,0.0,4.6342,5.0,3.7120000000000006,3.7120000000000006,4.0,4.0,17.0,17.0,17.0,17.0,7.875,7.875,27.5,27.5,1.8529411764705883,1.8529411764705883,14.5,14.5
15,019128GA010    ,石黒ゴム工業（株）,2023.0,11.0,48.0,30.0,,,,,,,6.0,,,,0.29,8.ファイナル後半,3.0,木曜日,32.0,10.0,7.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,01912ECB010    ,石黒ゴム工業（株）,2023.0,12.0,48.0,1.0,1.85,0.2200000000000002,3.3999999999999995,0.3700000000000001,4.0299999999999985,5.0,6.0,2.0,94.615,369.5,0.29,8.ファイナル後半,4.0,金曜日,8.0,5.0,7.0,1.0,2.0,3.64,3.21,TP-332 ﾊﾝﾖｳ,0.85,1.0,300.0,1496.0,4.986666666666666,1421.916666666667,4.7397222222222215,0.21098282834202656,1.0609828283420266,4.986666666666666,5.0,2.0,4.7411764705882335,3.7983649615683097,3.1799999999999984,2.969017171657972,2.493333333333333,2.493333333333333,3.0,3.0,0.0,1.446133333333333,2.0,1.1600000000000001,1.1600000000000001,2.0,2.0,7.0,7.0,7.0,7.0,4.0,4.0,6.0,6.0,1.1428571428571428,1.1428571428571428,1.0,1.0
17,01912ECB010    ,,2023.0,12.0,48.0,2.0,,,,,,,,,,,,,5.0,土曜日,8.0,0.0,0.0,1.0,2.0,3.64,3.21,TP-332 ﾊﾝﾖｳ,0.85,1.0,300.0,752.0,2.506666666666667,1421.916666666667,4.7397222222222215,0.21098282834202656,1.0609828283420266,4.986666666666666,5.0,2.0,,,,,2.493333333333333,2.493333333333333,3.0,3.0,,,,1.1600000000000001,1.1600000000000001,2.0,2.0,,,,,4.0,4.0,6.0,6.0,,,,
18,01912ECB010    ,,2023.0,12.0,48.0,3.0,,,,,,,,,,,,,6.0,日曜日,8.0,0.0,0.0,1.0,2.0,3.64,3.21,TP-332 ﾊﾝﾖｳ,0.85,1.0,300.0,0.0,0.0,1421.916666666667,4.7397222222222215,0.21098282834202656,1.0609828283420266,4.986666666666666,5.0,2.0,,,,,2.493333333333333,2.493333333333333,3.0,3.0,,,,1.1600000000000001,1.1600000000000001,2.0,2.0,,,,,4.0,4.0,6.0,6.0,,,,
19,01912ECB010    ,石黒ゴム工業（株）,2023.0,12.0,49.0,4.0,3.85,0.2450000000000001,1.04,0.2999999999999998,1.805,3.0,7.0,2.0,96.84,378.5,0.29,8.ファイナル後半,0.0,月曜日,6.0,3.0,6.0,1.0,2.0,3.64,3.21,TP-332 ﾊﾝﾖｳ,0.85,1.0,300.0,1594.0,5.3133333333333335,1421.916666666667,4.7397222222222215,0.21098282834202656,1.0609828283420266,5.3133333333333335,6.0,2.0,2.123529411764706,1.7012527929604966,0.955,0.7440171716579733,2.6566666666666667,2.6566666666666667,3.0,3.0,0.0,1.5408666666666666,2.0,1.3920000000000003,1.3920000000000003,2.0,2.0,7.0,7.0,7.0,7.0,3.0,3.0,4.0,4.0,0.8571428571428571,0.8571428571428571,-1.0,-1.0
20,01912ECB010    ,石黒ゴム工業（株）,2023.0,12.0,49.0,5.0,1.29,0.2999999999999998,1.0200000000000005,0.3700000000000001,1.59,5.0,6.0,2.0,99.01,386.0,0.29,8.ファイナル後半,1.0,火曜日,4.0,5.0,6.0,1.0,2.0,3.64,3.21,TP-332 ﾊﾝﾖｳ,0.85,1.0,300.0,1492.0,4.973333333333334,1421.916666666667,4.7397222222222215,0.21098282834202656,1.0609828283420266,5.3133333333333335,6.0,2.0,1.8705882352941179,1.4986104935219888,0.7400000000000001,0.5290171716579735,2.6566666666666667,2.6566666666666667,3.0,3.0,0.0,1.5408666666666666,2.0,1.3920000000000003,1.3920000000000003,2.0,2.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0,0.5714285714285714,0.5714285714285714,-3.0,-3.0
21,01912ECB010    ,石黒ゴム工業（株）,2023.0,12.0,49.0,6.0,1.54,0.34,0.815,0.5050000000000001,1.735,6.0,5.0,2.0,99.455,388.5,0.29,8.ファイナル後半,2.0,水曜日,5.0,6.0,5.0,1.0,2.0,3.64,3.21,TP-332 ﾊﾝﾖｳ,0.85,1.0,300.0,1592.0,5.306666666666667,1421.916666666667,4.7397222222222215,0.21098282834202656,1.0609828283420266,5.3133333333333335,6.0,2.0,2.0411764705882356,1.6352762303526105,0.8850000000000001,0.6740171716579735,2.6566666666666667,2.6566666666666667,3.0,3.0,0.0,1.5408666666666666,2.0,1.3920000000000003,1.3920000000000003,2.0,2.0,7.0,7.0,7.0,7.0,2.5,2.5,3.0,3.0,0.7142857142857143,0.7142857142857143,-2.0,-2.0
