,仕入先名,品番,検収日,納入便,かんばん数
5243,（株）浅賀井製作所,35174ECE020    ,18,4,2
5244,（株）浅賀井製作所,35174ECE020    ,19,1,2
5245,（株）浅賀井製作所,35174ECE020    ,19,2,1
5246,（株）浅賀井製作所,35174ECE020    ,19,3,1
5247,（株）浅賀井製作所,35174ECE020    ,19,4,1
5248,（株）浅賀井製作所,35174ECE020    ,20,1,1
5249,（株）浅賀井製作所,35174ECE020    ,20,2,1
5250,（株）浅賀井製作所,35174ECE020    ,20,3,1
5251,（株）浅賀井製作所,35174ECE020    ,20,4,1
5252,（株）浅賀井製作所,35174ECE020    ,21,1,2
5253,（株）浅賀井製作所,35174ECE020    ,21,2,1
5254,（株）浅賀井製作所,35174ECE020    ,21,3,1
5255,（株）浅賀井製作所,35174ECE020    ,21,4,1
5256,（株）浅賀井製作所,35174ECE020    ,22,1,1
5257,（株）浅賀井製作所,35174ECE020    ,22,2,1
5258,（株）浅賀井製作所,35174ECE020    ,22,3,2
5259,（株）浅賀井製作所,35174ECE020    ,25,1,2
5260,（株）浅賀井製作所,35174ECE020    ,25,2,1
5261,（株）浅賀井製作所,35174ECE020    ,25,3,1
5262,（株）浅賀井製作所,35174ECE020    ,25,4,1
5263,（株）浅賀井製作所,35174ECE020    ,26,2,1
5264,（株）浅賀井製作所,35174ECE020    ,26,3,1
5265,（株）浅賀井製作所,35174ECE020    ,27,1,1
5266,（株）浅賀井製作所,35174ECE020    ,27,2,2
5267,（株）浅賀井製作所,35174ECE020    ,27,3,1
5268,（株）浅賀井製作所,35174ECE020    ,27,4,1
5269,（株）浅賀井製作所,35174ECE020    ,28,1,2
5270,（株）浅賀井製作所,35174ECE020    ,28,3,2
5271,（株）浅賀井製作所,35174ECE020    ,28,4,1
5272,（株）青山製作所,1040052001Z    ,1,1,1
5273,（株）青山製作所,1040052001Z    ,1,4,1
