,仕入先名,品番,検収日,納入便,かんばん数
5212,（株）浅賀井製作所,35174ECE020    ,6,2,2
5213,（株）浅賀井製作所,35174ECE020    ,6,3,1
5214,（株）浅賀井製作所,35174ECE020    ,6,4,1
5215,（株）浅賀井製作所,35174ECE020    ,7,1,1
5216,（株）浅賀井製作所,35174ECE020    ,7,2,1
5217,（株）浅賀井製作所,35174ECE020    ,7,3,2
5218,（株）浅賀井製作所,35174ECE020    ,7,4,1
5219,（株）浅賀井製作所,35174ECE020    ,8,1,1
5220,（株）浅賀井製作所,35174ECE020    ,8,2,1
5221,（株）浅賀井製作所,35174ECE020    ,8,3,2
5222,（株）浅賀井製作所,35174ECE020    ,8,4,1
5223,（株）浅賀井製作所,35174ECE020    ,11,1,1
5224,（株）浅賀井製作所,35174ECE020    ,11,3,2
5225,（株）浅賀井製作所,35174ECE020    ,11,4,1
5226,（株）浅賀井製作所,35174ECE020    ,12,1,1
5227,（株）浅賀井製作所,35174ECE020    ,12,2,1
5228,（株）浅賀井製作所,35174ECE020    ,12,3,2
5229,（株）浅賀井製作所,35174ECE020    ,12,4,1
5230,（株）浅賀井製作所,35174ECE020    ,13,2,1
5231,（株）浅賀井製作所,35174ECE020    ,13,3,1
5232,（株）浅賀井製作所,35174ECE020    ,13,4,1
5233,（株）浅賀井製作所,35174ECE020    ,14,1,1
5234,（株）浅賀井製作所,35174ECE020    ,14,2,1
5235,（株）浅賀井製作所,35174ECE020    ,14,3,2
5236,（株）浅賀井製作所,35174ECE020    ,14,4,1
5237,（株）浅賀井製作所,35174ECE020    ,15,1,1
5238,（株）浅賀井製作所,35174ECE020    ,15,3,2
5239,（株）浅賀井製作所,35174ECE020    ,15,4,2
5240,（株）浅賀井製作所,35174ECE020    ,18,1,2
5241,（株）浅賀井製作所,35174ECE020    ,18,2,1
5242,（株）浅賀井製作所,35174ECE020    ,18,3,1
