,仕入先名,品番,検収日,納入便,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,かんばん数,最大日量数（箱数）,日量数（箱数）2,ユニークな納入便の数,不等ピッチ係数,日在庫数（箱）,合計入庫数（箱）,合計出庫数（箱）,不等ピッチ在庫,最大便Ave,便Ave+不等ピッチ在庫,差分,設計値MIN,設計値MAX,在庫数/設計値MAX
22,アイコー（株）,3559850A010    ,19,2.0,1.0,2.0,3.92,2.0,3.77,3.44,1.0,0.32,3.375,2.0,4.0,1.2064000000000001,1.885,3.0914,-1.0914000000000001,1.0,5.0,0.675
23,アイコー（株）,3559850A010    ,20,1.0,1.0,2.0,3.92,2.0,3.77,3.3,2.0,0.32,2.6666666666666665,4.0,3.0,1.2064000000000001,1.885,3.0914,-1.0914000000000001,1.0,5.0,0.5333333333333333
24,アイコー（株）,3559850A010    ,20,2.0,1.0,2.0,3.92,2.0,3.77,3.3,2.0,0.32,2.6666666666666665,4.0,3.0,1.2064000000000001,1.885,3.0914,-1.0914000000000001,1.0,5.0,0.5333333333333333
25,アイコー（株）,3559850A010    ,21,1.0,1.0,2.0,3.92,2.0,3.77,3.66,2.0,0.32,3.25,4.0,4.0,1.2064000000000001,1.885,3.0914,-1.0914000000000001,1.0,5.0,0.65
26,アイコー（株）,3559850A010    ,21,2.0,1.0,2.0,3.92,2.0,3.77,3.66,2.0,0.32,3.25,4.0,4.0,1.2064000000000001,1.885,3.0914,-1.0914000000000001,1.0,5.0,0.65
27,アイコー（株）,3559850A010    ,22,1.0,1.0,2.0,3.92,2.0,3.77,3.24,2.0,0.32,4.333333333333333,4.0,3.0,1.2064000000000001,1.885,3.0914,-1.0914000000000001,1.0,5.0,0.8666666666666666
28,アイコー（株）,3559850A010    ,22,2.0,1.0,2.0,3.92,2.0,3.77,3.24,2.0,0.32,4.333333333333333,4.0,3.0,1.2064000000000001,1.885,3.0914,-1.0914000000000001,1.0,5.0,0.8666666666666666
29,アイコー（株）,3559850A010    ,25,1.0,1.0,2.0,3.92,2.0,3.77,3.4500000000000006,2.0,0.32,,,,1.2064000000000001,1.885,3.0914,-1.0914000000000001,1.0,5.0,
30,アイコー（株）,3559850A010    ,25,2.0,1.0,2.0,3.92,1.0,3.77,3.4500000000000006,2.0,0.32,,,,1.2064000000000001,1.885,3.0914,-2.0914,1.0,5.0,
31,アイコー（株）,3559850A010    ,26,1.0,1.0,2.0,3.92,2.0,3.77,3.77,2.0,0.32,,,,1.2064000000000001,1.885,3.0914,-1.0914000000000001,1.0,5.0,
32,アイコー（株）,3559850A010    ,26,2.0,1.0,2.0,3.92,1.0,3.77,3.77,2.0,0.32,,,,1.2064000000000001,1.885,3.0914,-2.0914,1.0,5.0,
33,アイコー（株）,3559850A010    ,27,1.0,1.0,2.0,3.92,2.0,3.77,3.56,1.0,0.32,,,,1.2064000000000001,1.885,3.0914,-1.0914000000000001,1.0,5.0,
34,アイコー（株）,3559850A010    ,28,1.0,1.0,2.0,3.92,2.0,3.77,3.5,2.0,0.32,,,,1.2064000000000001,1.885,3.0914,-1.0914000000000001,1.0,5.0,
35,アイコー（株）,3559850A010    ,28,2.0,1.0,2.0,3.92,2.0,3.77,3.5,2.0,0.32,,,,1.2064000000000001,1.885,3.0914,-1.0914000000000001,1.0,5.0,
