,品番,年月日,年,月,週番号,日,曜日_番号,曜日_名前,手配）品名,手配）仕入先名,手配）手配区分,手配）仕入先発送場所名,手配）受入場所,手配）受入場所名,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,箱重量,箱種類,基準在庫日数,基準在庫枚数,収容数,日量数,日量計算数,日量数（箱数）,日量計算数（箱数）,月平均日量数,月平均日量数（箱数）,基準在庫枚数（日数）,基準在庫日数（基準在庫枚数込み）,印刷～検収LT,検収～入庫LT,入庫～出庫LT,出庫～回収LT,社内LT（検収～回収LT）,納入かんばん数,回収かんばん数,仕入先名,実績納入回数,在庫数（箱）_1日の平均値,入庫数（箱）_1日の合計値,出庫数（箱）_1日の合計値,時間稼働率,加工数,発送場所名,不等ピッチ係数【日】,使用工程,週最大日量数（箱数）,実績最小納入回数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,社内LT-設計値LT,社内LT-設計値LT（基準在庫枚数込み）,便Ave,便Ave_実績便数使用,不等ピッチ在庫,日量数（箱数）_繰り上げ,週最大日量数（箱数）_繰り上げ,便Ave_繰り上げ,便Ave_実績便数使用_繰り上げ,不等ピッチ在庫_繰り上げ,設計納入回数-実績納入回数,納入数-日量数（箱数）,納入数-週最大日量数（箱数）,入庫数-日量数（箱数）,入庫数-週最大日量数（箱数）,納入数/日量数（箱数）,回収数/日量数（箱数）,設計値MIN,設計値MIN_実績便数使用,設計値MIN_繰り上げ,設計値MIN_実績便数使用_繰り上げ,設計値MAX,設計値MAX_実績便数使用,設計値MAX_繰り上げ,設計値MAX_実績便数使用_繰り上げ,順立装置在庫量/設計値MIN_繰り上げ,順立装置在庫量/設計値MIN_実績便数使用_繰り上げ,順立装置在庫量-設計値MIN_繰り上げ,順立装置在庫量-設計値MIN_実績便数使用_繰り上げ,順立装置在庫量/設計値MAX_繰り上げ,順立装置在庫量/設計値MAX_実績便数使用_繰り上げ,順立装置在庫量-設計値MAX_繰り上げ,順立装置在庫量-設計値MAX_実績便数使用_繰り上げ,便数ズレ
0,35300ECB010,2023-12-01,2023,12,48,1,4,金曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,748.0,748.0,62.33333333333334,62.33333333333334,750.5,62.54166666666666,0.047968021319120584,0.9579680213191206,0.98,0.46,3.28,0.20000000000000015,3.9700000000000006,57.0,65.0,アイシン精機（株）,4.0,88.08333333333331,60.0,61.0,94.615,369.5,半田工場,0.14,3.ギヤサブ・共通部品,62.33333333333334,2.0,4.362637362637363,4.144188440166631,3.0600000000000005,3.01203197868088,15.583333333333336,31.16666666666667,8.726666666666668,63.0,63.0,16.0,32.0,9.0,0.0,-6.0,-6.0,-3.0,-6.0,0.9047619047619048,1.0317460317460319,14.238,28.476,15.0,29.0,40.0,70.0,40.0,70.0,5.872222222222221,3.0373563218390798,73.08333333333331,59.083333333333314,2.202083333333333,1.258333333333333,48.083333333333314,18.083333333333314,1
3,35300ECB010,2023-12-04,2023,12,49,4,0,月曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,747.0,747.0,62.25,62.25,750.5,62.54166666666666,0.047968021319120584,0.9579680213191206,3.0,0.2599999999999998,1.37,0.21499999999999986,1.95,64.0,61.0,アイシン精機（株）,4.0,86.5,64.0,65.0,96.84,378.5,半田工場,0.14,3.ギヤサブ・共通部品,62.25,2.0,2.142857142857143,2.0355585537342393,1.04,0.9920319786808793,15.5625,31.125,8.715000000000002,63.0,63.0,16.0,32.0,9.0,0.0,1.0,1.0,0.0,1.0,1.0158730158730158,0.9682539682539683,14.238,28.476,15.0,29.0,40.0,70.0,40.0,70.0,5.766666666666667,2.9827586206896552,71.5,57.5,2.1625,1.2357142857142858,46.5,16.5,1
4,35300ECB010,2023-12-05,2023,12,49,5,1,火曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,746.0,746.0,62.16666666666666,62.16666666666666,750.5,62.54166666666666,0.047968021319120584,0.9579680213191206,0.99,0.5,1.22,0.1900000000000004,1.94,63.0,65.0,アイシン精機（株）,4.0,82.79166666666667,58.0,64.0,99.01,386.0,半田工場,0.14,3.ギヤサブ・共通部品,62.25,2.0,2.131868131868132,2.0251197919202175,1.0299999999999998,0.9820319786808793,15.5625,31.125,8.715000000000002,63.0,63.0,16.0,32.0,9.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0317460317460319,14.238,28.476,15.0,29.0,40.0,70.0,40.0,70.0,5.519444444444445,2.8548850574712645,67.79166666666667,53.79166666666667,2.0697916666666667,1.1827380952380953,42.79166666666667,12.791666666666671,1
5,35300ECB010,2023-12-06,2023,12,49,6,2,水曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,746.0,746.0,62.16666666666666,62.16666666666666,750.5,62.54166666666666,0.047968021319120584,0.9579680213191206,0.98,0.26,1.535,0.20000000000000015,2.04,64.0,65.0,アイシン精機（株）,4.0,91.25,82.0,63.0,99.455,388.5,半田工場,0.14,3.ギヤサブ・共通部品,62.25,2.0,2.241758241758242,2.1295074100604348,1.13,1.0820319786808794,15.5625,31.125,8.715000000000002,63.0,63.0,16.0,32.0,9.0,0.0,1.0,1.0,-18.0,1.0,1.0158730158730158,1.0317460317460319,14.238,28.476,15.0,29.0,40.0,70.0,40.0,70.0,6.083333333333333,3.146551724137931,76.25,62.25,2.28125,1.3035714285714286,51.25,21.25,1
6,35300ECB010,2023-12-07,2023,12,49,7,3,木曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,747.0,747.0,62.25,62.25,750.5,62.54166666666666,0.047968021319120584,0.9579680213191206,0.97,0.27,3.39,0.21,4.0,63.0,55.0,アイシン精機（株）,4.0,93.29166666666669,63.0,56.0,43.725,130.0,半田工場,0.14,3.ギヤサブ・共通部品,62.25,2.0,4.395604395604395,4.175504725608696,3.09,3.042031978680879,15.5625,31.125,8.715000000000002,63.0,63.0,16.0,32.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.873015873015873,14.238,28.476,15.0,29.0,40.0,70.0,40.0,70.0,6.219444444444446,3.2169540229885065,78.29166666666669,64.29166666666669,2.3322916666666673,1.3327380952380956,53.291666666666686,23.291666666666686,1
7,35300ECB010,2023-12-08,2023,12,49,8,4,金曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,746.0,746.0,62.16666666666666,62.16666666666666,750.5,62.54166666666666,0.047968021319120584,0.9579680213191206,0.96,0.29000000000000004,3.465,0.21999999999999972,3.975000000000001,56.0,65.0,アイシン精機（株）,4.0,96.375,54.0,64.0,99.77,390.0,半田工場,0.14,3.ギヤサブ・共通部品,62.25,2.0,4.3681318681318695,4.149407821073642,3.065000000000001,3.0170319786808806,15.5625,31.125,8.715000000000002,63.0,63.0,16.0,32.0,9.0,0.0,-7.0,-7.0,2.0,-7.0,0.8888888888888888,1.0317460317460319,14.238,28.476,15.0,29.0,40.0,70.0,40.0,70.0,6.425,3.3232758620689653,81.375,67.375,2.409375,1.3767857142857143,56.375,26.375,1
10,35300ECB010,2023-12-11,2023,12,50,11,0,月曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,747.0,747.0,62.25,62.25,750.5,62.54166666666666,0.047968021319120584,0.9579680213191206,2.96,0.2999999999999998,1.2999999999999998,0.2400000000000002,1.85,66.0,64.0,アイシン精機（株）,4.0,82.25,47.0,67.0,99.22,388.0,半田工場,0.14,3.ギヤサブ・共通部品,62.41666666666666,2.0,2.032967032967033,1.9311709355940219,0.9400000000000001,0.8920319786808795,15.604166666666664,31.20833333333333,8.738333333333333,63.0,63.0,16.0,32.0,9.0,0.0,3.0,3.0,19.0,3.0,1.0476190476190477,1.0158730158730158,14.238,28.476,15.0,29.0,40.0,70.0,40.0,70.0,5.483333333333333,2.836206896551724,67.25,53.25,2.05625,1.175,42.25,12.25,1
11,35300ECB010,2023-12-12,2023,12,50,12,1,火曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,747.0,747.0,62.25,62.25,750.5,62.54166666666666,0.047968021319120584,0.9579680213191206,0.96,0.22,1.4099999999999997,0.21,1.96,63.0,65.0,アイシン精機（株）,4.0,86.16666666666669,81.0,66.0,99.85,390.0,半田工場,0.14,3.ギヤサブ・共通部品,62.41666666666666,2.0,2.1538461538461537,2.0459973155482607,1.0499999999999998,1.0020319786808793,15.604166666666664,31.20833333333333,8.738333333333333,63.0,63.0,16.0,32.0,9.0,0.0,0.0,0.0,-18.0,0.0,1.0,1.0317460317460319,14.238,28.476,15.0,29.0,40.0,70.0,40.0,70.0,5.744444444444445,2.971264367816093,71.16666666666669,57.166666666666686,2.1541666666666672,1.2309523809523812,46.166666666666686,16.166666666666686,1
12,35300ECB010,2023-12-13,2023,12,50,13,2,水曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,747.0,747.0,62.25,62.25,750.5,62.54166666666666,0.047968021319120584,0.9579680213191206,0.97,0.3800000000000001,1.255,0.21,1.94,66.0,60.0,アイシン精機（株）,4.0,78.45833333333333,65.0,59.0,99.92,361.5,半田工場,0.14,3.ギヤサブ・共通部品,62.41666666666666,2.0,2.131868131868132,2.0251197919202175,1.0299999999999998,0.9820319786808793,15.604166666666664,31.20833333333333,8.738333333333333,63.0,63.0,16.0,32.0,9.0,0.0,3.0,3.0,1.0,3.0,1.0476190476190477,0.9523809523809523,14.238,28.476,15.0,29.0,40.0,70.0,40.0,70.0,5.230555555555555,2.7054597701149423,63.45833333333333,49.45833333333333,1.9614583333333333,1.1208333333333333,38.45833333333333,8.458333333333329,1
13,35300ECB010,2023-12-14,2023,12,50,14,3,木曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,749.0,749.0,62.41666666666666,62.41666666666666,750.5,62.54166666666666,0.047968021319120584,0.9579680213191206,0.96,0.25,3.3599999999999994,0.20500000000000007,3.995,64.0,66.0,アイシン精機（株）,4.0,91.91666666666669,65.0,66.0,99.605,389.0,半田工場,0.14,3.ギヤサブ・共通部品,62.41666666666666,2.0,4.3901098901098905,4.170285344701685,3.085,3.0370319786808793,15.604166666666664,31.20833333333333,8.738333333333333,63.0,63.0,16.0,32.0,9.0,0.0,1.0,1.0,-1.0,1.0,1.0158730158730158,1.0476190476190477,14.238,28.476,15.0,29.0,40.0,70.0,40.0,70.0,6.127777777777779,3.169540229885058,76.91666666666669,62.916666666666686,2.297916666666667,1.3130952380952383,51.916666666666686,21.916666666666686,1
14,35300ECB010,2023-12-15,2023,12,50,15,4,金曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,748.0,748.0,62.33333333333334,62.33333333333334,750.5,62.54166666666666,0.047968021319120584,0.9579680213191206,0.95,0.7999999999999998,3.005,0.2100000000000004,4.0200000000000005,68.0,64.0,アイシン精機（株）,4.0,87.1,1.0,32.0,99.85,390.0,半田工場,0.14,3.ギヤサブ・共通部品,62.41666666666666,2.0,4.417582417582418,4.1963822492367395,3.1100000000000003,3.0620319786808796,15.604166666666664,31.20833333333333,8.738333333333333,63.0,63.0,16.0,32.0,9.0,0.0,5.0,5.0,67.0,5.0,1.0793650793650793,1.0158730158730158,14.238,28.476,15.0,29.0,40.0,70.0,40.0,70.0,5.806666666666667,3.003448275862069,72.1,58.099999999999994,2.1774999999999998,1.2442857142857142,47.099999999999994,17.099999999999994,1
17,35300ECB010,2023-12-18,2023,12,51,18,0,月曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,747.0,747.0,62.25,62.25,750.5,62.54166666666666,0.047968021319120584,0.9579680213191206,2.975,0.27,1.525,0.21999999999999972,2.09,70.0,62.0,アイシン精機（株）,4.0,96.21739130434784,85.0,61.0,100.0,364.5,半田工場,0.14,3.ギヤサブ・共通部品,67.41666666666667,2.0,2.2967032967032965,2.1817012191305434,1.1799999999999997,1.1320319786808792,16.854166666666668,33.708333333333336,9.438333333333334,63.0,68.0,17.0,34.0,10.0,0.0,7.0,2.0,-15.0,2.0,1.1111111111111112,0.9841269841269841,15.367999999999999,30.735999999999997,16.0,31.0,43.0,75.0,43.0,75.0,6.01358695652174,3.1037868162692854,80.21739130434784,65.21739130434784,2.237613751263903,1.282898550724638,53.21739130434784,21.217391304347842,1
18,35300ECB010,2023-12-19,2023,12,51,19,1,火曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,746.0,746.0,62.16666666666666,62.16666666666666,750.5,62.54166666666666,0.047968021319120584,0.9579680213191206,0.99,0.4899999999999998,1.48,0.2400000000000002,2.3200000000000003,65.0,65.0,アイシン精機（株）,4.0,96.625,69.0,63.0,100.0,390.0,半田工場,0.14,3.ギヤサブ・共通部品,67.41666666666667,2.0,2.5494505494505497,2.4217927408530437,1.4100000000000001,1.3620319786808797,16.854166666666668,33.708333333333336,9.438333333333334,63.0,68.0,17.0,34.0,10.0,0.0,2.0,-3.0,-4.0,-3.0,1.0317460317460319,1.0317460317460319,15.367999999999999,30.735999999999997,16.0,31.0,43.0,75.0,43.0,75.0,6.0390625,3.1169354838709675,80.625,65.625,2.247093023255814,1.2883333333333333,53.625,21.625,1
19,35300ECB010,2023-12-20,2023,12,51,20,2,水曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,747.0,747.0,62.25,62.25,750.5,62.54166666666666,0.047968021319120584,0.9579680213191206,0.97,0.2999999999999998,1.865,0.3200000000000003,4.65,64.0,60.0,アイシン精機（株）,4.0,101.625,30.0,61.0,100.0,362.5,半田工場,0.14,3.ギヤサブ・共通部品,67.41666666666667,2.0,5.10989010989011,4.854024243520109,3.74,3.6920319786808795,16.854166666666668,33.708333333333336,9.438333333333334,63.0,68.0,17.0,34.0,10.0,0.0,1.0,-4.0,34.0,-4.0,1.0158730158730158,0.9523809523809523,15.367999999999999,30.735999999999997,16.0,31.0,43.0,75.0,43.0,75.0,6.3515625,3.278225806451613,85.625,70.625,2.363372093023256,1.355,58.625,26.625,1
20,35300ECB010,2023-12-21,2023,12,51,21,3,木曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,809.0,809.0,67.41666666666667,67.41666666666667,750.5,62.54166666666666,0.047968021319120584,0.9579680213191206,1.01,0.3699999999999999,3.61,0.1900000000000004,4.63,61.0,54.0,アイシン精機（株）,4.0,102.70833333333331,54.0,55.0,100.0,327.5,半田工場,0.14,3.ギヤサブ・共通部品,67.41666666666667,2.0,5.087912087912088,4.833146719892065,3.7199999999999998,3.672031978680879,16.854166666666668,33.708333333333336,9.438333333333334,68.0,68.0,17.0,34.0,10.0,0.0,-7.0,-7.0,7.0,-7.0,0.8970588235294118,0.7941176470588235,15.367999999999999,30.735999999999997,16.0,31.0,43.0,75.0,43.0,75.0,6.419270833333332,3.313172043010752,86.70833333333331,71.70833333333331,2.388565891472868,1.3694444444444442,59.708333333333314,27.708333333333314,1
21,35300ECB010,2023-12-22,2023,12,51,22,4,金曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,693.0,693.0,57.75,57.75,750.5,62.54166666666666,0.047968021319120584,0.9579680213191206,1.02,3.39,0.7400000000000002,0.20000000000000015,4.17,63.0,38.0,アイシン精機（株）,4.0,87.83333333333331,44.0,40.0,100.0,230.5,半田工場,0.14,3.ギヤサブ・共通部品,67.41666666666667,2.0,4.582417582417582,4.352963676447065,3.26,3.212031978680879,16.854166666666668,33.708333333333336,9.438333333333334,58.0,68.0,17.0,34.0,10.0,0.0,5.0,-5.0,19.0,-5.0,1.0862068965517242,0.6551724137931034,15.367999999999999,30.735999999999997,16.0,31.0,43.0,75.0,43.0,75.0,5.489583333333332,2.8333333333333326,71.83333333333331,56.833333333333314,2.0426356589147283,1.1711111111111108,44.833333333333314,12.833333333333314,1
24,35300ECB010,2023-12-25,2023,12,52,25,0,月曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,747.0,747.0,62.25,62.25,750.5,62.54166666666666,0.047968021319120584,0.9579680213191206,2.96,0.52,1.6500000000000004,0.21499999999999986,1.89,53.0,65.0,アイシン精機（株）,4.0,63.20833333333334,35.0,67.0,100.0,421.0,半田工場,0.14,3.ギヤサブ・共通部品,67.41666666666667,2.0,2.0769230769230766,1.9729259828501087,0.9799999999999999,0.9320319786808793,16.854166666666668,33.708333333333336,9.438333333333334,63.0,68.0,17.0,34.0,10.0,0.0,-10.0,-15.0,18.0,-15.0,0.8412698412698413,1.0317460317460319,15.367999999999999,30.735999999999997,16.0,31.0,43.0,75.0,43.0,75.0,3.950520833333334,2.0389784946236564,47.20833333333334,32.20833333333334,1.4699612403100777,0.842777777777778,20.208333333333343,-11.791666666666657,1
25,35300ECB010,2023-12-26,2023,12,52,26,1,火曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,809.0,809.0,67.41666666666667,67.41666666666667,750.5,62.54166666666666,0.047968021319120584,0.9579680213191206,0.96,0.43000000000000016,1.1399999999999997,11.425,13.025,40.0,73.0,アイシン精機（株）,3.0,72.41666666666667,118.0,69.0,100.0,423.0,半田工場,0.14,3.ギヤサブ・共通部品,67.41666666666667,2.0,14.313186813186814,13.596487262763317,12.115,12.06703197868088,16.854166666666668,33.708333333333336,9.438333333333334,68.0,68.0,17.0,34.0,10.0,1.0,-28.0,-28.0,-78.0,-28.0,0.5882352941176471,1.0735294117647058,15.367999999999999,30.735999999999997,16.0,31.0,43.0,75.0,43.0,75.0,4.526041666666667,2.3360215053763445,56.41666666666667,41.41666666666667,1.684108527131783,0.9655555555555556,29.41666666666667,-2.5833333333333286,1
26,35300ECB010,2023-12-27,2023,12,52,27,2,水曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,747.0,747.0,62.25,62.25,750.5,62.54166666666666,0.047968021319120584,0.9579680213191206,0.96,0.41000000000000014,1.14,10.3,12.05,71.0,16.0,アイシン精機（株）,4.0,89.58333333333331,73.0,72.0,100.0,415.0,半田工場,0.14,3.ギヤサブ・共通部品,67.41666666666667,2.0,13.241758241758243,12.578707985896196,11.14,11.09203197868088,16.854166666666668,33.708333333333336,9.438333333333334,63.0,68.0,17.0,34.0,10.0,0.0,8.0,3.0,-2.0,3.0,1.126984126984127,0.25396825396825395,15.367999999999999,30.735999999999997,16.0,31.0,43.0,75.0,43.0,75.0,5.598958333333332,2.8897849462365586,73.58333333333331,58.583333333333314,2.083333333333333,1.1944444444444442,46.583333333333314,14.583333333333314,1
27,35300ECB010,2023-12-28,2023,12,52,28,3,木曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,747.0,747.0,62.25,62.25,750.5,62.54166666666666,0.047968021319120584,0.9579680213191206,1.02,0.24,,,11.97,34.0,0.0,アイシン精機（株）,2.0,86.70833333333331,34.0,66.0,100.0,384.5,半田工場,0.14,3.ギヤサブ・共通部品,67.41666666666667,2.0,13.153846153846153,12.495197891384024,11.06,11.01203197868088,16.854166666666668,33.708333333333336,9.438333333333334,63.0,68.0,17.0,34.0,10.0,2.0,-29.0,-34.0,0.0,-34.0,0.5396825396825397,0.0,15.367999999999999,30.735999999999997,16.0,31.0,43.0,75.0,43.0,75.0,5.419270833333332,2.7970430107526876,70.70833333333331,55.708333333333314,2.0164728682170536,1.1561111111111109,43.708333333333314,11.708333333333314,1
30,35580ECB011,2023-12-01,2023,12,48,1,4,金曜日,"ACTUATOR ASSY, SHIFT CONTROL",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,10.68,TP-342 ｾﾝﾖｳ,0.9,3.0,6.0,337.0,337.0,56.16666666666666,56.16666666666666,344.55,57.425,0.0522420548541576,0.9522420548541576,0.98,2.3600000000000003,1.59,0.1800000000000006,3.850000000000001,58.0,56.0,アイシン精機（株）,4.0,66.125,60.0,58.0,94.615,369.5,半田工場,0.14,8.ファイナル後半,56.16666666666666,2.0,4.277777777777779,4.043089653911216,2.950000000000001,2.8977579451458433,14.041666666666664,28.08333333333333,7.863333333333332,57.0,57.0,15.0,29.0,8.0,0.0,1.0,1.0,-2.0,1.0,1.0175438596491229,0.9824561403508771,12.882,25.764,13.0,26.0,36.0,63.0,36.0,63.0,5.086538461538462,2.543269230769231,53.125,40.125,1.8368055555555556,1.0496031746031746,30.125,3.125,1
33,35580ECB011,2023-12-04,2023,12,49,4,0,月曜日,"ACTUATOR ASSY, SHIFT CONTROL",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,10.68,TP-342 ｾﾝﾖｳ,0.9,3.0,6.0,330.0,330.0,55.0,55.0,344.55,57.425,0.0522420548541576,0.9522420548541576,3.0,0.14000000000000012,1.2200000000000002,0.22000000000000064,1.93,55.0,58.0,アイシン精機（株）,4.0,68.45833333333333,85.0,55.0,96.84,378.5,半田工場,0.14,8.ファイナル後半,55.33333333333334,2.0,2.1444444444444444,2.0267955927399077,1.0299999999999998,0.9777579451458424,13.833333333333336,27.66666666666667,7.746666666666669,55.0,56.0,14.0,28.0,8.0,0.0,0.0,-1.0,-30.0,-1.0,1.0,1.0545454545454545,12.655999999999999,25.311999999999998,13.0,26.0,35.0,62.0,35.0,62.0,5.2660256410256405,2.6330128205128203,55.45833333333333,42.45833333333333,1.9559523809523809,1.1041666666666665,33.45833333333333,6.458333333333329,1
34,35580ECB011,2023-12-05,2023,12,49,5,1,火曜日,"ACTUATOR ASSY, SHIFT CONTROL",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,10.68,TP-342 ｾﾝﾖｳ,0.9,3.0,6.0,326.0,326.0,54.33333333333334,54.33333333333334,344.55,57.425,0.0522420548541576,0.9522420548541576,0.99,0.26000000000000023,1.3699999999999997,0.21,1.97,57.0,54.0,アイシン精機（株）,4.0,76.41666666666667,57.0,57.0,99.01,386.0,半田工場,0.14,8.ファイナル後半,55.33333333333334,2.0,2.1888888888888887,2.06880171901431,1.0699999999999998,1.0177579451458425,13.833333333333336,27.66666666666667,7.746666666666669,55.0,56.0,14.0,28.0,8.0,0.0,2.0,1.0,0.0,1.0,1.0363636363636364,0.9818181818181818,12.655999999999999,25.311999999999998,13.0,26.0,35.0,62.0,35.0,62.0,5.878205128205129,2.9391025641025643,63.41666666666667,50.41666666666667,2.1833333333333336,1.2325268817204302,41.41666666666667,14.416666666666671,1
35,35580ECB011,2023-12-06,2023,12,49,6,2,水曜日,"ACTUATOR ASSY, SHIFT CONTROL",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,10.68,TP-342 ｾﾝﾖｳ,0.9,3.0,6.0,324.0,324.0,54.0,54.0,344.55,57.425,0.0522420548541576,0.9522420548541576,0.98,0.29000000000000004,1.53,0.17999999999999972,2.08,55.0,56.0,アイシン精機（株）,4.0,78.58333333333333,55.0,56.0,99.455,388.5,半田工場,0.14,8.ファイナル後半,55.33333333333334,2.0,2.3111111111111113,2.184318566268916,1.1800000000000002,1.1277579451458424,13.833333333333336,27.66666666666667,7.746666666666669,54.0,56.0,14.0,28.0,8.0,0.0,1.0,-1.0,0.0,-1.0,1.0185185185185186,1.037037037037037,12.655999999999999,25.311999999999998,13.0,26.0,35.0,62.0,35.0,62.0,6.044871794871795,3.0224358974358974,65.58333333333333,52.58333333333333,2.2452380952380953,1.2674731182795698,43.58333333333333,16.58333333333333,1
36,35580ECB011,2023-12-07,2023,12,49,7,3,木曜日,"ACTUATOR ASSY, SHIFT CONTROL",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,10.68,TP-342 ｾﾝﾖｳ,0.9,3.0,6.0,324.0,324.0,54.0,54.0,344.55,57.425,0.0522420548541576,0.9522420548541576,0.97,0.27,3.25,0.16999999999999993,4.0200000000000005,61.0,50.0,アイシン精機（株）,4.0,77.70833333333333,21.0,47.0,43.725,130.0,半田工場,0.14,8.ファイナル後半,55.33333333333334,2.0,4.466666666666667,4.2216156905774245,3.1200000000000006,3.0677579451458428,13.833333333333336,27.66666666666667,7.746666666666669,54.0,56.0,14.0,28.0,8.0,0.0,7.0,5.0,40.0,5.0,1.1296296296296295,0.9259259259259259,12.655999999999999,25.311999999999998,13.0,26.0,35.0,62.0,35.0,62.0,5.977564102564102,2.988782051282051,64.70833333333333,51.70833333333333,2.220238095238095,1.2533602150537633,42.70833333333333,15.708333333333329,1
37,35580ECB011,2023-12-08,2023,12,49,8,4,金曜日,"ACTUATOR ASSY, SHIFT CONTROL",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,10.68,TP-342 ｾﾝﾖｳ,0.9,3.0,6.0,332.0,332.0,55.33333333333334,55.33333333333334,344.55,57.425,0.0522420548541576,0.9522420548541576,1.01,0.27,3.45,0.18500000000000005,4.0200000000000005,52.0,57.0,アイシン精機（株）,4.0,88.79166666666669,92.0,57.0,99.77,390.0,半田工場,0.14,8.ファイナル後半,55.33333333333334,2.0,4.466666666666667,4.2216156905774245,3.1200000000000006,3.0677579451458428,13.833333333333336,27.66666666666667,7.746666666666669,56.0,56.0,14.0,28.0,8.0,0.0,-4.0,-4.0,-40.0,-4.0,0.9285714285714286,1.0178571428571428,12.655999999999999,25.311999999999998,13.0,26.0,35.0,62.0,35.0,62.0,6.830128205128206,3.415064102564103,75.79166666666669,62.791666666666686,2.5369047619047627,1.4321236559139787,53.791666666666686,26.791666666666686,1
