,品番,年月日,年,月,週番号,日,曜日_番号,曜日_名前,手配）品名,手配）仕入先名,手配）手配区分,手配）仕入先発送場所名,手配）受入場所,手配）受入場所名,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,箱重量,箱種類,基準在庫日数,基準在庫枚数,収容数,日量数,日量計算数,日量数（箱数）,日量計算数（箱数）,月平均日量数,月平均日量数（箱数）,基準在庫枚数（日数）,基準在庫日数（基準在庫枚数込み）,印刷～検収LT,検収～入庫LT,入庫～出庫LT,出庫～回収LT,社内LT（検収～回収LT）,納入かんばん数,回収かんばん数,仕入先名,実績納入回数,在庫数（箱）_1日の平均値,入庫数（箱）_1日の合計値,出庫数（箱）_1日の合計値,時間稼働率,加工数,発送場所名,不等ピッチ係数【日】,使用工程
10,35300ECB010,2023-12-11,2023,12,50,11,0,月曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,747.0,747.0,62.25,62.25,750.5,62.54166666666666,0.04796802131912058,0.9579680213191206,2.96,0.2999999999999998,1.2999999999999998,0.2400000000000002,1.85,66.0,64.0,アイシン精機（株）,4.0,82.25,47.0,67.0,99.22,388.0,半田工場,0.14,3.ギヤサブ・共通部品
11,35300ECB010,2023-12-12,2023,12,50,12,1,火曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,747.0,747.0,62.25,62.25,750.5,62.54166666666666,0.04796802131912058,0.9579680213191206,0.96,0.21999999999999997,1.4099999999999997,0.20999999999999996,1.96,63.0,65.0,アイシン精機（株）,4.0,86.16666666666669,81.0,66.0,99.85,390.0,半田工場,0.14,3.ギヤサブ・共通部品
12,35300ECB010,2023-12-13,2023,12,50,13,2,水曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,747.0,747.0,62.25,62.25,750.5,62.54166666666666,0.04796802131912058,0.9579680213191206,0.97,0.3800000000000001,1.255,0.20999999999999996,1.94,66.0,60.0,アイシン精機（株）,4.0,78.45833333333333,65.0,59.0,99.92,361.5,半田工場,0.14,3.ギヤサブ・共通部品
13,35300ECB010,2023-12-14,2023,12,50,14,3,木曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,749.0,749.0,62.41666666666666,62.41666666666666,750.5,62.54166666666666,0.04796802131912058,0.9579680213191206,0.96,0.25,3.3599999999999994,0.20500000000000007,3.995,64.0,66.0,アイシン精機（株）,4.0,91.91666666666669,65.0,66.0,99.60499999999999,389.0,半田工場,0.14,3.ギヤサブ・共通部品
14,35300ECB010,2023-12-15,2023,12,50,15,4,金曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,748.0,748.0,62.33333333333334,62.33333333333334,750.5,62.54166666666666,0.04796802131912058,0.9579680213191206,0.95,0.7999999999999998,3.005,0.2100000000000004,4.0200000000000005,68.0,64.0,アイシン精機（株）,4.0,87.1,1.0,32.0,99.85,390.0,半田工場,0.14,3.ギヤサブ・共通部品
15,35300ECB010,2023-12-16,2023,12,50,16,5,土曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,0.0,0.0,0.0,0.0,750.5,62.54166666666666,0.04796802131912058,0.9579680213191206,,,,,,0.0,0.0,,0.0,,,,0.0,0.0,,,3.ギヤサブ・共通部品
16,35300ECB010,2023-12-17,2023,12,50,17,6,日曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,0.0,0.0,0.0,0.0,750.5,62.54166666666666,0.04796802131912058,0.9579680213191206,,,,,,0.0,0.0,,0.0,,,,0.0,0.0,,,3.ギヤサブ・共通部品
17,35300ECB010,2023-12-18,2023,12,51,18,0,月曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,747.0,747.0,62.25,62.25,750.5,62.54166666666666,0.04796802131912058,0.9579680213191206,2.975,0.27,1.5250000000000001,0.21999999999999975,2.09,70.0,62.0,アイシン精機（株）,4.0,96.21739130434784,85.0,61.0,100.0,364.5,半田工場,0.14,3.ギヤサブ・共通部品
18,35300ECB010,2023-12-19,2023,12,51,19,1,火曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,746.0,746.0,62.16666666666666,62.16666666666666,750.5,62.54166666666666,0.04796802131912058,0.9579680213191206,0.9900000000000001,0.48999999999999977,1.48,0.2400000000000002,2.3200000000000003,65.0,65.0,アイシン精機（株）,4.0,96.625,69.0,63.0,100.0,390.0,半田工場,0.14,3.ギヤサブ・共通部品
19,35300ECB010,2023-12-20,2023,12,51,20,2,水曜日,"PUMP ASSY, OIL W/MOTOR",アイシン精機（株）,手配,半田工場,1Y,安城第１工場,1.0,4.0,8.04,6.97,TP-341 ﾊﾝﾖｳ,0.91,3.0,12.0,747.0,747.0,62.25,62.25,750.5,62.54166666666666,0.04796802131912058,0.9579680213191206,0.9700000000000001,0.2999999999999998,1.865,0.3200000000000003,4.65,64.0,60.0,アイシン精機（株）,4.0,101.625,30.0,61.0,100.0,362.5,半田工場,0.14,3.ギヤサブ・共通部品
