"計測日時","品番","拠点所番地","在庫数（箱）","入庫数（箱）","出庫数（箱）"
"2023/12/18 10:00:00","019120LC030    ","30113","11","0","0"
"2023/12/18 10:00:00","019120LC050    ","20115","4","0","0"
"2023/12/18 10:00:00","019120LC060    ","30116","13","0","0"
"2023/12/18 10:00:00","019120LC070    ","20117","10","0","0"
"2023/12/18 10:00:00","019128GA010    ","50460","23","0","0"
"2023/12/18 10:00:00","01912ECB010    ","30464","6","0","0"
"2023/12/18 10:00:00","01912ECB040    ","50491","24","0","0"
"2023/12/18 10:00:00","01912ECB060    ","20459","1","0","0"
"2023/12/18 10:00:00","01912TFA050    ","10118","9","0","0"
"2023/12/18 10:00:00","0355045013U    ","10111","1","0","0"
"2023/12/18 10:00:00","0355113017A    ","10001","1","0","0"
"2023/12/18 10:00:00","0355141009R    ","10014","3","0","0"
"2023/12/18 10:00:00","0355183043P    ","20106","3","0","0"
"2023/12/18 10:00:00","0355237001E    ","C0312","1","0","0"
"2023/12/18 10:00:00","1040043104R    ","10127","","",""
"2023/12/18 10:00:00","1040043104R    ","10530","3","0","0"
"2023/12/18 10:00:00","1040052001Z    ","10017","2","1","0"
"2023/12/18 10:00:00","1040052001Z    ","10373","5","1","0"
"2023/12/18 10:00:00","1040052103H    ","20112","4","0","0"
"2023/12/18 10:00:00","1040183004C    ","20086","2","0","0"
"2023/12/18 10:00:00","1040183011P    ","20369","","",""
"2023/12/18 10:00:00","1040183011P    ","20655","2","0","0"
"2023/12/18 10:00:00","1040183017V    ","20088","2","0","0"
"2023/12/18 10:00:00","2030044001J    ","10412","2","0","0"
"2023/12/18 10:00:00","2030045013L    ","20442","2","0","0"
"2023/12/18 10:00:00","2030052002N    ","20363","4","0","0"
"2023/12/18 10:00:00","2030113004A    ","10099","4","0","0"
"2023/12/18 10:00:00","2030183013A    ","10087","4","0","0"
"2023/12/18 10:00:00","3040040039Y    ","10098","4","0","0"
"2023/12/18 10:00:00","3040052001B    ","20379","7","3","0"
"2023/12/18 10:00:00","3040052001B    ","20506","4","0","0"
"2023/12/18 10:00:00","3040141002R    ","10507","1","0","0"
"2023/12/18 10:00:00","321110LC010    ","40081","69","0","3"
"2023/12/18 10:00:00","321118LA010    ","40509","12","0","1"
"2023/12/18 10:00:00","333560LC020    ","30043","8","0","0"
"2023/12/18 10:00:00","33490ECB010    ","30439","12","0","3"
"2023/12/18 10:00:00","33490ECE010    ","30440","54","0","3"
"2023/12/18 10:00:00","34989ECB010    ","10394","1","0","0"
"2023/12/18 10:00:00","34989ECB020    ","10397","7","0","0"
"2023/12/18 10:00:00","34989ECB030    ","10398","4","0","0"
"2023/12/18 10:00:00","34989ECC010    ","10399","2","0","0"
"2023/12/18 10:00:00","34989ECE010    ","10395","4","0","0"
"2023/12/18 10:00:00","34989ECE020    ","10396","1","0","0"
"2023/12/18 10:00:00","34989ECE030    ","10505","2","0","0"
"2023/12/18 10:00:00","350610LC010    ","40030","199","35","16"
"2023/12/18 10:00:00","350710LC010    ","30069","63","18","6"
"2023/12/18 10:00:00","35080ECB010    ","30476","1","8","6"
"2023/12/18 10:00:00","35080ECE010    ","30472","","",""
"2023/12/18 10:00:00","35080ECE020    ","30473","","",""
"2023/12/18 10:00:00","351060LC040    ","50107","30","0","2"
"2023/12/18 10:00:00","351190LC010    ","50079","","",""
"2023/12/18 10:00:00","35141ECB010    ","98004","13","3","1"
"2023/12/18 10:00:00","35141ECE010    ","98006","23","2","1"
"2023/12/18 10:00:00","35145ECB010    ","10447","5","0","0"
"2023/12/18 10:00:00","35145ECE010    ","10449","6","0","0"
"2023/12/18 10:00:00","35145ECE020    ","10494","6","0","0"
"2023/12/18 10:00:00","35165ECE010    ","10492","4","0","0"
"2023/12/18 10:00:00","351680LC030    ","50108","23","0","1"
"2023/12/18 10:00:00","351710LC010    ","30072","57","0","3"
"2023/12/18 10:00:00","351720LC010    ","10080","8","0","0"
"2023/12/18 10:00:00","35174ECB010    ","30391","10","0","1"
"2023/12/18 10:00:00","35174ECE010    ","30392","13","0","0"
"2023/12/18 10:00:00","35174ECE020    ","20393","7","0","0"
"2023/12/18 10:00:00","3519510A010    ","10479","3","0","0"
"2023/12/18 10:00:00","35195ECE010    ","10450","7","0","0"
"2023/12/18 10:00:00","35195TFG010    ","10448","4","0","0"
"2023/12/18 10:00:00","351980LC020    ","20010","8","0","0"
"2023/12/18 10:00:00","351980LC030    ","20011","15","0","1"
"2023/12/18 10:00:00","351980LC040    ","20012","8","0","0"
