"計測日時","品番","拠点所番地","在庫数（箱）","入庫数（箱）","出庫数（箱）"
"2023/12/07 00:00:00","019120LC030    ","30113","15","0","0"
"2023/12/07 00:00:00","019120LC050    ","20115","5","0","0"
"2023/12/07 00:00:00","019120LC060    ","30116","13","0","0"
"2023/12/07 00:00:00","019120LC070    ","20117","13","0","1"
"2023/12/07 00:00:00","019128GA010    ","50460","25","0","1"
"2023/12/07 00:00:00","01912ECB010    ","30464","7","0","0"
"2023/12/07 00:00:00","01912ECB040    ","50491","31","0","1"
"2023/12/07 00:00:00","01912ECB060    ","20459","2","0","0"
"2023/12/07 00:00:00","01912TFA050    ","10118","10","0","1"
"2023/12/07 00:00:00","0355045013U    ","10111","4","0","0"
"2023/12/07 00:00:00","0355113017A    ","10001","1","0","0"
"2023/12/07 00:00:00","0355183043P    ","20106","3","0","0"
"2023/12/07 00:00:00","1040043104R    ","10127","1","1","0"
"2023/12/07 00:00:00","1040043104R    ","10530","3","0","1"
"2023/12/07 00:00:00","1040052001Z    ","10017","3","0","0"
"2023/12/07 00:00:00","1040052001Z    ","10373","7","0","0"
"2023/12/07 00:00:00","1040052103H    ","20112","5","0","0"
"2023/12/07 00:00:00","1040183004C    ","20086","3","0","0"
"2023/12/07 00:00:00","1040183011P    ","20369","1","0","0"
"2023/12/07 00:00:00","1040183011P    ","20655","2","0","0"
"2023/12/07 00:00:00","1040183017V    ","20088","2","0","0"
"2023/12/07 00:00:00","2030044001J    ","10412","1","0","0"
"2023/12/07 00:00:00","2030045013L    ","20442","4","0","0"
"2023/12/07 00:00:00","2030052002N    ","20363","5","0","0"
"2023/12/07 00:00:00","2030113004A    ","10099","4","0","0"
"2023/12/07 00:00:00","2030183013A    ","10087","2","0","1"
"2023/12/07 00:00:00","3040040039Y    ","10098","3","0","0"
"2023/12/07 00:00:00","3040052001B    ","20379","2","0","0"
"2023/12/07 00:00:00","3040052001B    ","20506","4","0","0"
"2023/12/07 00:00:00","3040141002R    ","10507","1","0","0"
"2023/12/07 00:00:00","321110LC010    ","40081","105","14","4"
"2023/12/07 00:00:00","333560LC020    ","30043","9","0","0"
"2023/12/07 00:00:00","33490ECB010    ","30439","44","40","8"
"2023/12/07 00:00:00","33490ECE010    ","30440","98","0","4"
"2023/12/07 00:00:00","34989ECB010    ","10394","3","0","0"
"2023/12/07 00:00:00","34989ECB020    ","10397","5","0","0"
"2023/12/07 00:00:00","34989ECB030    ","10398","3","0","0"
"2023/12/07 00:00:00","34989ECC010    ","10399","1","0","0"
"2023/12/07 00:00:00","34989ECE010    ","10395","3","0","0"
"2023/12/07 00:00:00","34989ECE020    ","10396","1","0","0"
"2023/12/07 00:00:00","34989ECE030    ","10505","3","0","0"
"2023/12/07 00:00:00","34989ECE040    ","10521","1","0","0"
"2023/12/07 00:00:00","350610LC010    ","40030","171","0","16"
"2023/12/07 00:00:00","350710LC010    ","30069","69","8","12"
"2023/12/07 00:00:00","35080ECB010    ","30476","","",""
"2023/12/07 00:00:00","35080ECE010    ","30472","","",""
"2023/12/07 00:00:00","35080ECE020    ","30473","","",""
"2023/12/07 00:00:00","351060LC040    ","50107","40","0","2"
"2023/12/07 00:00:00","351190LC010    ","50079","16","0","2"
"2023/12/07 00:00:00","35141ECB010    ","98004","17","1","2"
"2023/12/07 00:00:00","35141ECE010    ","98006","29","3","1"
"2023/12/07 00:00:00","35145ECB010    ","10447","6","0","1"
"2023/12/07 00:00:00","35145ECE010    ","10449","7","0","0"
"2023/12/07 00:00:00","35145ECE020    ","10494","5","0","0"
"2023/12/07 00:00:00","35165ECE010    ","10492","4","0","1"
"2023/12/07 00:00:00","351680LC030    ","50108","21","0","1"
"2023/12/07 00:00:00","351710LC010    ","30072","102","53","6"
"2023/12/07 00:00:00","351720LC010    ","10080","7","0","0"
"2023/12/07 00:00:00","35174ECB010    ","30391","9","0","2"
"2023/12/07 00:00:00","35174ECE010    ","30392","13","0","0"
"2023/12/07 00:00:00","35174ECE020    ","20393","7","0","1"
"2023/12/07 00:00:00","3519510A010    ","10479","1","0","0"
"2023/12/07 00:00:00","35195ECE010    ","10450","5","0","1"
"2023/12/07 00:00:00","35195TFG010    ","10448","5","0","0"
"2023/12/07 00:00:00","351980LC020    ","20010","8","0","0"
"2023/12/07 00:00:00","351980LC030    ","20011","16","0","1"
"2023/12/07 00:00:00","351980LC040    ","20012","6","0","0"
"2023/12/07 00:00:00","351988LA010    ","20508","2","0","1"
"2023/12/07 00:00:00","351988LA020    ","10511","","",""
"2023/12/07 00:00:00","35198ECE010    ","20434","5","0","0"
"2023/12/07 00:00:00","352400LC020    ","40105","10","0","0"
"2023/12/07 00:00:00","352450LC010    ","10097","5","1","0"
"2023/12/07 00:00:00","35246TFG010    ","10093","2","0","0"
"2023/12/07 00:00:00","35275TBG010    ","10101","6","2","0"
"2023/12/07 00:00:00","352800LA010    ","40091","17","3","0"
"2023/12/07 00:00:00","35300ECB010    ","40428","89","0","5"
"2023/12/07 00:00:00","35312ECB010    ","20359","9","0","0"
"2023/12/07 00:00:00","35352ECB010    ","20444","2","0","0"
"2023/12/07 00:00:00","3539450A010    ","20109","2","0","0"
"2023/12/07 00:00:00","3539450A010    ","20441","6","0","0"
"2023/12/07 00:00:00","35409ECB010    ","10437","3","0","1"
"2023/12/07 00:00:00","354110LC030    ","30096","79","0","0"
"2023/12/07 00:00:00","35419TRA010    ","10089","6","0","0"
"2023/12/07 00:00:00","354210LC040    ","10094","7","1","0"
"2023/12/07 00:00:00","354260LC010    ","30036","74","0","2"
"2023/12/07 00:00:00","354320LC040    ","10104","10","0","0"
"2023/12/07 00:00:00","35441ECB010    ","20141","26","0","1"
"2023/12/07 00:00:00","35441TFA010    ","20140","6","0","1"
"2023/12/07 00:00:00","354710LC010    ","30103","18","0","0"
"2023/12/07 00:00:00","354820LC010    ","10085","6","0","0"
"2023/12/07 00:00:00","3548255A010    ","10433","1","0","1"
"2023/12/07 00:00:00","35482TFA010    ","10429","1","0","0"
"2023/12/07 00:00:00","35501ECB010    ","20469","5","0","1"
"2023/12/07 00:00:00","35505ECB010    ","10478","7","0","1"
"2023/12/07 00:00:00","35556ECB010    ","10126","4","1","0"
"2023/12/07 00:00:00","35557ECB010    ","10456","9","0","1"
"2023/12/07 00:00:00","35580ECB011    ","50501","70","0","5"
"2023/12/07 00:00:00","35595ECB010    ","20432","7","0","1"
"2023/12/07 00:00:00","3559850A010    ","10421","4","0","0"
"2023/12/07 00:00:00","356030LC020    ","30039","8","0","1"
"2023/12/07 00:00:00","356170LC060    ","10025","7","0","0"
"2023/12/07 00:00:00","356340LC020    ","30044","18","9","2"
"2023/12/07 00:00:00","356340LC030    ","30045","6","4","1"
"2023/12/07 00:00:00","356680LC020    ","30040","23","0","1"
"2023/12/07 00:00:00","356790LC030    ","20050","","",""
"2023/12/07 00:00:00","356790LC040    ","20051","15","0","0"
"2023/12/07 00:00:00","356790LC050    ","20052","41","0","1"
"2023/12/07 00:00:00","356790LC060    ","20053","51","0","0"
"2023/12/07 00:00:00","356790LC070    ","20054","1","0","0"
"2023/12/07 00:00:00","357710LC031    ","30026","94","0","4"
"2023/12/07 00:00:00","35771ECB010    ","40426","27","16","8"
"2023/12/07 00:00:00","35771ECE010    ","40427","42","13","6"
"2023/12/07 00:00:00","35782ECB010    ","20475","","",""
"2023/12/07 00:00:00","35782ECE020    ","20471","","",""
"2023/12/07 00:00:00","35782ECE030    ","20504","","",""
"2023/12/07 00:00:00","357890LC160    ","40022","4","0","0"
"2023/12/07 00:00:00","357890LC170    ","10067","3","0","0"
"2023/12/07 00:00:00","357890LC180    ","10070","4","0","0"
"2023/12/07 00:00:00","35847ECB010    ","30354","4","0","1"
"2023/12/07 00:00:00","35847ECB020    ","30355","5","0","0"
"2023/12/07 00:00:00","35847ECE010    ","30357","15","0","0"
"2023/12/07 00:00:00","35847ECE020    ","30358","11","0","1"
"2023/12/07 00:00:00","35882ECB010    ","30356","6","0","1"
"2023/12/07 00:00:00","358830LC030    ","30046","14","4","1"
"2023/12/07 00:00:00","358830LC040    ","30047","9","2","0"
"2023/12/07 00:00:00","36108ECB010    ","30122","3","0","1"
"2023/12/07 00:00:00","391710LC010    ","70074","17","0","8"
