="タイトル：かんばん手配品番一覧"

="ダウンロード日時：2023/07/12 13:19:02"

="手配担当工場：＜第１＞；手配担当整備室：＜第１工場＞；発注区分：＜かんばん＞；手配区分：＜仕入先手配：指定あり；仕入先直送：指定あり；仕入先支給：指定なし；他工場手配：指定なし；受給手配：指定なし；＞;品番上位桁：＜＞；仕入先ｺｰﾄﾞ：＜＞；"

="検索件数：＜  557＞；"
="IX000 処理が正常に完了しました；"

="品番",="加工図符号",="類別",="品名",="整備室",="整備室名",="手配区分",="工程内外製",="工程ｺｰﾄﾞ",="仕入先名/工場名",="発送場所",="発送場所名",="受給区分",="資材区分",="後工程内外製",="後工程ｺｰﾄﾞ",="後工程仕入先名/工場名",="受入場所",="受入場所名",="中継区分",="中継工場",="中継場所",="中継場所名","納入ｻｲｸﾙ.間隔","納入ｻｲｸﾙ.回数","納入ｻｲｸﾙ.情報","基準在庫.日数","基準在庫.枚数","MIN在庫日数","MAX在庫日数","便平均上限振れ率","便平均下限振れ率",="かんばん情報.仕入先",="かんばん情報.仕入先名",="かんばん情報.背番号",="かんばん情報.工場置場所",="かんばん情報.拠点置場所",="かんばん情報.品名略ｺｰﾄﾞ",="かんばん情報.品名略名",="かんばん情報.通箱ｺｰﾄﾞ",="かんばん情報.通箱名","かんばん情報.収容数",="かんばん情報.ｺﾝﾍﾞｱ区分",="かんばん情報.ﾌﾞﾛｯｸ区分",="かんばん情報.専用品区分",="かんばん情報.不良率","かんばん情報.保証率",="かんばん情報.設変符号",="かんばん情報.部品大別区分",="かんばん情報.部品大別名称",="かんばん情報.発注形態区分",="かんばん情報.発注形態名称",="かんばん情報.PLコード",="登録箱種",="縦(mm)",="横(mm)",="高(mm)",="容積(m3)",="総重量(Kg)",="パレタイズ発注",="箱数",="設定計画NO",="設定日",="設定担当部署コード",="担当部署名",="設定担当者コード",="担当者名"
="01912-ECB060",="",="","CAP, SHIPPING",="1Y",="第１工場",="手配",="Ｐ",="2242",="新光ゴム工業（株）",="01",="本社",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 3.25","  0.78"," 3.0","  0.99","  0.99","1.10","0.50",="921",="新光ゴム工業（株）",="001",="C1-17",="20459",="9998",="ｷｬｯﾌﾟｼｯﾋﾟﾝｸﾞ",="014",="TP-331 ﾊﾝﾖｳ","    400",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP331ﾌﾀﾅｼ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="   2.040",="しない",="",="MASTER01",="2023/04/25",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="2030 052 002N",="",="","PLUG, W/HEAD STRAIGHT SCREW",="1Y",="第１工場",="手配",="Ｐ",="2408",="（株）杉浦製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","02"," 1.06","  0.50"," 3.0","  0.98","  0.98","1.10","0.50",="030",="（株）杉浦製作所",="001",="M-ST-2",="20363",="0521",="ﾌﾟﾗｸﾞｳｲｽﾞﾍﾂﾄﾞｽﾄﾚ-ﾄｽｸﾘﾕ-",="014",="TP-331 ﾊﾝﾖｳ","    300",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ３３１フタナシ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="   9.850",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="90116-06048",="",="","BOLT, STUD",="1Y",="第１工場",="手配",="Ｐ",="2408",="（株）杉浦製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","02"," 1.06","  0.61"," 3.0","  0.98","  0.98","1.10","0.50",="030",="（株）杉浦製作所",="005",="C1-7",="20361",="1460",="ﾎﾞﾙﾄｽﾀﾂﾄﾞ",="014",="TP-331 ﾊﾝﾖｳ","   3000",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ３３１フタナシ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="  15.400",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="90341-08A006",="",="","PLUG, W/HEAD STRAIGHT SCREW",="1Y",="第１工場",="手配",="Ｐ",="2408",="（株）杉浦製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","02"," 1.06","  0.53"," 3.0","  0.98","  0.98","1.10","0.50",="030",="（株）杉浦製作所",="002",="R-5-1",="20362",="0521",="ﾌﾟﾗｸﾞｳｲｽﾞﾍﾂﾄﾞｽﾄﾚ-ﾄｽｸﾘﾕ-",="014",="TP-331 ﾊﾝﾖｳ","   1000",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ３３１フタナシ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="   7.400",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="90341-08A007",="",="","PLUG, W/HEAD STRAIGHT SCREW",="1Y",="第１工場",="手配",="Ｐ",="2408",="（株）杉浦製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","02"," 1.06","  0.77"," 3.0","  0.98","  0.98","1.10","0.50",="030",="（株）杉浦製作所",="006",="",="",="0521",="ﾌﾟﾗｸﾞ ｳｲｽﾞﾍﾂﾄﾞｽﾄﾚ-ﾄｽｸﾘﾕ-",="014",="TP-331 ﾊﾝﾖｳ","   1000",="",="",="",="00"," 0.5",="",="",="",="",="",="",="TP331ﾌﾀﾅｼ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="   7.700",="しない",="",="MASTER01",="2023/04/25",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="90341-08A010",="",="","PLUG, W/HEAD STRAIGHT SCREW",="1Y",="第１工場",="手配",="Ｐ",="2408",="（株）杉浦製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","02"," 1.06","  0.47"," 3.0","  0.98","  0.98","1.10","0.50",="030",="（株）杉浦製作所",="003",="R-5-2",="20370",="0521",="ﾌﾟﾗｸﾞｳｲｽﾞﾍﾂﾄﾞｽﾄﾚ-ﾄｽｸﾘﾕ-",="014",="TP-331 ﾊﾝﾖｳ","   1000",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ３３１フタナシ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="   7.400",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="90341-18090",="",="","PLUG, W/HEAD STRAIGHT SCREW",="1Y",="第１工場",="手配",="Ｐ",="2408",="（株）杉浦製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","02"," 1.06","  0.54"," 3.0","  0.98","  0.98","1.10","0.50",="030",="（株）杉浦製作所",="004",="M-C-2-12",="20364",="0521",="ﾌﾟﾗｸﾞｳｲｽﾞﾍﾂﾄﾞｽﾄﾚ-ﾄｽｸﾘﾕ-",="014",="TP-331 ﾊﾝﾖｳ","    300",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ３３１フタナシ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="  10.360",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="35598-50A010",="",="","PIN SUB-ASSY, PARKING LOCK",="1Y",="第１工場",="手配",="Ｐ",="2411",="アイコー（株）",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","02"," 3.92","  0.90"," 3.0","  1.32","  1.32","1.10","0.50",="031",="アイコー（株）",="001",="S-TA-2-18",="10421",="0438",="ﾋﾟﾝS/Aﾊﾟｰｷﾝｸﾞﾛｯｸ",="051",="AW-131 ｾﾝﾖｳ","    100",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ１３１フタナシ",=" 335.000",=" 167.000",=" 102.000",="   0.006",="   3.860",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="90560-20006",="",="",="SPACER",="1Y",="第１工場",="手配",="Ｐ",="2411",="アイコー（株）",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","02"," 3.92","  1.11"," 3.0","  1.32","  1.32","1.10","0.50",="031",="アイコー（株）",="002",="",="",="0530",="ｽﾍﾟ-ｻ-",="012",="TP-131 ﾊﾝﾖｳ","    400",="",="",="",="00"," 0.5",="",="",="",="",="",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 167.000",=" 102.000",="   0.006",="   1.700",="しない",="",="MASTER01",="2023/04/25",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="90341-18060",="",="","PLUG, W/HEAD STRAIGHT SCREW",="1Y",="第１工場",="手配",="Ｐ",="2502",="住友商事（株）鉄鋼部輸送機材",="01",="鉄鋼部輸送機材",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 3.00","  0.74"," 3.0","  1.15","  1.15","1.10","0.50",="219",="住友商事",="001",="C1-18",="20451",="0526",="ﾌﾟﾗｸﾞS/AW/ﾍｯﾄﾞｽﾄﾚｰﾄｽｸﾘｭｰ",="014",="TP-331 ﾊﾝﾖｳ","    300",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ３３１フタナシ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="  13.560",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="82824-ECE010",="",="","CONNECTOR, WIRING HARNESS",="1Y",="第１工場",="手配",="Ｐ",="2506",="住友電装（株）",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 1.00","  0.36"," 3.0","  0.99","  0.99","1.10","0.50",="097",="住友電装（株）",="002",="M-MG-41",="FUYOU",="9208",="ﾜｲﾔﾘﾝｸﾞﾊｰﾈｽｺﾈｸﾀ",="016",="TP-332 ﾊﾝﾖｳ","     45",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ３３２フタアリ",=" 335.000",=" 335.000",=" 216.000",="   0.024",="   4.620",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="82824-ECE010",="",="","CONNECTOR, WIRING HARNESS",="1Y",="第１工場",="手配",="Ｐ",="2506",="住友電装（株）",="04",="四日市物流センター",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 3.25","  0.36"," 3.0","  0.99","  0.99","1.10","0.50",="097",="住友電装（株）",="001",="M-MG-41",="30455",="9208",="ﾜｲﾔﾘﾝｸﾞﾊｰﾈｽｺﾈｸﾀ",="016",="TP-332 ﾊﾝﾖｳ","     45",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ３３２",=" 335.000",=" 335.000",=" 216.000",="   0.024",="   4.620",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="G1174-ECB010",="",="","WIRE, MOTOR REVOLUTION SENSOR",="1Y",="第１工場",="手配",="Ｐ",="2506",="住友電装（株）",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 2.28","  0.85"," 3.0","  1.08","  1.08","1.10","0.50",="097",="住友電装（株）",="001",="S-MG-19",="50453",="6404","ﾜｲﾔ-,ﾓｰﾀｰﾚﾎﾞﾘｭｰｼｮﾝｾﾝｻｰ",="022",="TP-362 ﾊﾝﾖｳ","     50",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ３６２フタナシ",=" 670.000",=" 335.000",=" 195.000",="   0.044",="   6.250",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="G1174-ECE010",="",="","WIRE, MOTOR REVOLUTION SENSOR",="1Y",="第１工場",="手配",="Ｐ",="2506",="住友電装（株）",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 2.28","  0.87"," 3.0","  1.08","  1.08","1.10","0.50",="097",="住友電装（株）",="003",="S-MG-18",="50454",="6404","ﾜｲﾔ-,ﾓｰﾀｰﾚﾎﾞﾘｭｰｼｮﾝｾﾝｻｰ",="022",="TP-362 ﾊﾝﾖｳ","     50",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP362ﾌﾀﾅｼ",=" 670.000",=" 335.000",=" 195.000",="   0.044",="   5.900",="しない",="",="MASTER01",="2023/04/25",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="G1144-ECB010",="",="","TERMINAL, MOTOR CABLE",="1Y",="第１工場",="手配",="Ｐ",="2508",="住友電気工業（株）",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 2.28","  0.63"," 3.0","  1.08","  1.08","1.10","0.50",="623",="住友電気工業（株）",="001",="M-MG-14",="20452",="0033","ﾀｰﾐﾅﾙ,ﾓｰﾀｰｹｰﾌﾞﾙ",="014",="TP-331 ﾊﾝﾖｳ","      6",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ３３１フタナシ",=" 335.000",=" 335.000",=" 110.000",="   0.012",="   2.288",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="G1172-ECA010",="",="","ROTOR, MOTOR REVOLUTION SENSOR",="1Y",="第１工場",="手配",="Ｐ",="3102",="多摩川精機販売（株）",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 3.05","  0.95"," 3.0","  1.16","  1.16","1.10","0.50",="619",="多摩川精機販売（株）",="002",="",="",="1105","ﾛｰﾀｰ,ﾓｰﾀｰ ﾚﾎﾞﾘｭｰｼｮﾝ ｾﾝｻｰ",="056",="TP-331-5 ﾊﾝﾖｳ","    270",="",="",="",="00"," 0.5",="",="",="",="",="",="",="TP331.5ﾌﾀﾅｼ",=" 335.000",=" 335.000",=" 149.000",="   0.017",="   7.540",="しない",="",="MASTER01",="2023/04/25",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="G1173-62010",="",="","SENSOR, MOTOR REVOLUTION",="1Y",="第１工場",="手配",="Ｐ",="3102",="多摩川精機販売（株）",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 3.05","  0.85"," 3.0","  1.16","  1.16","1.10","0.50",="619",="多摩川精機販売（株）",="001",="S-MG-20",="30468",="3306","ｾﾝｻｰ,ﾓｰﾀｰﾚﾎﾞﾘｭｰｼｮﾝ",="056",="TP-331-5 ﾊﾝﾖｳ","     18",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ３３１．５フタナシ",=" 335.000",=" 335.000",=" 149.000",="   0.017",="   4.110",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="G1173-ECA010",="",="","SENSOR, MOTOR REVOLUTION",="1Y",="第１工場",="手配",="Ｐ",="3102",="多摩川精機販売（株）",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 3.05","  0.95"," 3.0","  1.16","  1.16","1.10","0.50",="619",="多摩川精機販売（株）",="003",="",="",="3306","ｾﾝｻｰ,ﾓｰﾀｰ ﾚﾎﾞﾘｭｰｼｮﾝ",="056",="TP-331-5 ﾊﾝﾖｳ","     18",="",="",="",="00"," 0.5",="",="",="",="",="",="",="TP331.5ﾌﾀﾅｼ",=" 335.000",=" 335.000",=" 149.000",="   0.017",="   4.110",="しない",="",="MASTER01",="2023/04/25",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="Y0217-82011",="",="","CAP, SHIPPING",="1Y",="第１工場",="手配",="Ｐ",="3227",="（株）チューゲン",="01",="本社工場",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 2.19","  0.54"," 3.0","  0.75","  0.75","1.10","0.50",="305",="（株）チューゲン",="001",="FUYOU",="30496",="9998",="ｷｬｯﾌﾟｼｯﾋﾟﾝｸﾞ",="016",="TP-332 ﾊﾝﾖｳ","    400",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP332ﾌﾀﾅｼ",=" 335.000",=" 335.000",=" 195.000",="   0.022",="   2.050",="しない",="",="MASTER01",="2023/04/25",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="35195-10A010",="",="","CLAMP, TRANSAXLE APPLY TUBE, NO.1",="1Y",="第１工場",="手配",="Ｐ",="3236",="中庸スプリング（株）",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","02"," 2.34","  0.63"," 3.0","  1.02","  1.02","1.10","0.50",="038",="中庸スプリング（株）",="001",="S-TA-2-11",="10479",="0567",="ｸﾗﾝﾌﾟT/AｱﾌﾟﾗｲﾁｭｰﾌﾞNO.1",="051",="AW-131 ｾﾝﾖｳ","    600",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="AW131ﾌﾀﾅｼ",=" 165.000",=" 335.000",=" 105.000",="   0.006",="   3.700",="しない",="",="MASTER01",="2023/06/27",="NE00",="１工工務Ｇ",="41943",="伊藤　真和"
="35505-ECA020",="",="","LEVER SUB-ASSY, PARKING LOCK",="1Y",="第１工場",="手配",="Ｐ",="3236",="中庸スプリング（株）",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","02"," 2.34","  0.81"," 3.0","  1.02","  1.02","1.10","0.50",="038",="中庸スプリング（株）",="005",="",="",="9143",="ﾚﾊﾞｰ S/A ﾊﾟｰｷﾝｸﾞ ﾛｯｸ",="014",="TP-331 ﾊﾝﾖｳ","     60",="",="",="",="00"," 0.5",="",="",="",="",="",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 335.000",=" 115.000",="   0.013",="   4.700",="しない",="",="MASTER01",="2023/04/25",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="35505-ECB010",="",="","LEVER SUB-ASSY, PARKING LOCK",="1Y",="第１工場",="手配",="Ｐ",="3236",="中庸スプリング（株）",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","02"," 2.34","  0.81"," 3.0","  1.02","  1.02","1.10","0.50",="038",="中庸スプリング（株）",="002",="R-8-1",="10478",="9143",="ﾚﾊﾞｰS/Aﾊﾟｰｷﾝｸﾞﾛｯｸ",="051",="AW-131 ｾﾝﾖｳ","     24",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP131ﾌﾀﾅｼ",=" 168.000",=" 335.000",=" 165.000",="   0.009",="   2.450",="しない",="",="MASTER01",="2023/04/25",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="90949-06A012",="",="","CLAMP, WIRING",="1Y",="第１工場",="手配",="Ｐ",="3236",="中庸スプリング（株）",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","02"," 2.34","  0.59"," 3.0","  1.02","  1.02","1.10","0.50",="038",="中庸スプリング（株）",="003",="S-MG-9",="10480",="0568",="ｸﾗﾝﾌﾟﾜｲﾔﾘﾝｸﾞ",="012",="TP-131 ﾊﾝﾖｳ","    500",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="AW131ﾌﾀﾅｼ",=" 165.000",=" 335.000",=" 105.000",="   0.006",="   1.850",="しない",="",="MASTER01",="2023/06/27",="NE00",="１工工務Ｇ",="41943",="伊藤　真和"
="34989-ECA040",="",="",="LABEL",="1Y",="第１工場",="手配",="Ｐ",="3407",="（株）槌屋",="01",="知立工場",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 2.33","  0.88"," 3.0","  1.09","  1.09","1.10","0.50",="135",="（株）槌屋",="008",="",="",="7390",="ﾗﾍﾞﾙ",="012",="TP-131 ﾊﾝﾖｳ","    500",="",="",="",="00"," 0.5",="",="",="",="",="",="",="TP131ﾌﾀﾅｼ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   1.000",="しない",="",="MASTER01",="2023/04/25",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="34989-ECB010",="",="",="LABEL",="1Y",="第１工場",="手配",="Ｐ",="3407",="（株）槌屋",="01",="知立工場",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 2.33","  0.81"," 3.0","  1.09","  1.09","1.10","0.50",="135",="（株）槌屋",="001",="C1-14",="10394",="7390",="ﾗﾍﾞﾙ",="012",="TP-131 ﾊﾝﾖｳ","    500",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ１３１フタナシ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   1.000",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="34989-ECB020",="",="",="LABEL",="1Y",="第１工場",="手配",="Ｐ",="3407",="（株）槌屋",="01",="知立工場",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 2.33","  0.81"," 3.0","  1.09","  1.09","1.10","0.50",="135",="（株）槌屋",="002",="C1-20",="10397",="7390",="ﾗﾍﾞﾙ",="012",="TP-131 ﾊﾝﾖｳ","    500",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ１３１フタナシ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   1.000",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="34989-ECB030",="",="",="LABEL",="1Y",="第１工場",="手配",="Ｐ",="3407",="（株）槌屋",="01",="知立工場",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 2.33","  0.80"," 3.0","  1.09","  1.09","1.10","0.50",="135",="（株）槌屋",="003",="C1-21",="10398",="7390",="ﾗﾍﾞﾙ",="012",="TP-131 ﾊﾝﾖｳ","   1000",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ１３１フタナシ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   1.500",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="34989-ECC010",="",="",="LABEL",="1Y",="第１工場",="手配",="Ｐ",="3407",="（株）槌屋",="01",="知立工場",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 2.33","  0.78"," 3.0","  1.09","  1.09","1.10","0.50",="135",="（株）槌屋",="004",="C1-13",="10399",="7390",="ﾗﾍﾞﾙ",="012",="TP-131 ﾊﾝﾖｳ","    500",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ１３１フタナシ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   1.000",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="34989-ECE010",="",="",="LABEL",="1Y",="第１工場",="手配",="Ｐ",="3407",="（株）槌屋",="01",="知立工場",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 2.33","  0.72"," 3.0","  1.09","  1.09","1.10","0.50",="135",="（株）槌屋",="005",="C1-15",="10395",="7390",="ﾗﾍﾞﾙ",="012",="TP-131 ﾊﾝﾖｳ","    500",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ１３１フタナシ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   1.000",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="34989-ECE020",="",="",="LABEL",="1Y",="第１工場",="手配",="Ｐ",="3407",="（株）槌屋",="01",="知立工場",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 2.33","  0.82"," 3.0","  1.09","  1.09","1.10","0.50",="135",="（株）槌屋",="006",="C1-16",="10396",="7390",="ﾗﾍﾞﾙ",="012",="TP-131 ﾊﾝﾖｳ","    500",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ１３１フタナシ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   1.000",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="34989-ECE030",="",="",="LABEL",="1Y",="第１工場",="手配",="Ｐ",="3407",="（株）槌屋",="01",="知立工場",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","01"," 2.33","  0.80"," 3.0","  1.09","  1.09","1.10","0.50",="135",="（株）槌屋",="007",="C1-24",="10505",="7390",="ﾗﾍﾞﾙ",="012",="TP-131 ﾊﾝﾖｳ","    500",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ１３１フタナシ",=" 335.000",=" 168.000",=" 103.000",="   0.006",="   1.000",="しない",="",="20221101",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="90508-27A011",="",="","SPRING, TORSION",="1Y",="第１工場",="手配",="Ｐ",="3836",="（株）東郷製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","08","11.12","  0.78"," 3.0","  0.99","  0.99","1.10","0.50",="041",="（株）東郷製作所",="001",="R-7-2",="20400",="1562",="ｽﾌﾟﾘﾝｸﾞﾄ-ｼﾖﾝ",="014",="TP-331 ﾊﾝﾖｳ","    200",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP331ﾌﾀﾅｼ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="   4.480",="しない",="",="MASTER01",="2023/04/25",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="90508-27A013",="",="","SPRING, TORSION",="1Y",="第１工場",="手配",="Ｐ",="3836",="（株）東郷製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","08","11.12","  0.78"," 3.0","  0.99","  0.99","1.10","0.50",="041",="（株）東郷製作所",="005",="",="",="1562",="ｽﾌﾟﾘﾝｸﾞ ﾄ-ｼﾖﾝ",="014",="TP-331 ﾊﾝﾖｳ","    200",="",="",="",="00"," 0.5",="",="",="",="",="",="",="TP331ﾌﾀﾅｼ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="   4.480",="しない",="",="MASTER01",="2023/04/25",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="90524-09A003",="",="","SPRING, RETAINER",="1Y",="第１工場",="手配",="Ｐ",="3836",="（株）東郷製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","08","11.12","  0.78"," 3.0","  0.99","  0.99","1.10","0.50",="041",="（株）東郷製作所",="002",="S-TA-2-28",="20401",="1502",="ｽﾌﾟﾘﾝｸﾞﾘﾃｰﾅｰ",="014",="TP-331 ﾊﾝﾖｳ","    500",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="TP331ﾌﾀﾅｼ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="   2.650",="しない",="",="MASTER01",="2023/04/25",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
