="タイトル：かんばん手配品番一覧"

="ダウンロード日時：2023/07/12 13:19:02"

="手配担当工場：＜第１＞；手配担当整備室：＜第１工場＞；発注区分：＜かんばん＞；手配区分：＜仕入先手配：指定あり；仕入先直送：指定あり；仕入先支給：指定なし；他工場手配：指定なし；受給手配：指定なし；＞;品番上位桁：＜＞；仕入先ｺｰﾄﾞ：＜＞；"

="検索件数：＜  557＞；"
="IX000 処理が正常に完了しました；"

="品番",="加工図符号",="類別",="品名",="整備室",="整備室名",="手配区分",="工程内外製",="工程ｺｰﾄﾞ",="仕入先名/工場名",="発送場所",="発送場所名",="受給区分",="資材区分",="後工程内外製",="後工程ｺｰﾄﾞ",="後工程仕入先名/工場名",="受入場所",="受入場所名",="中継区分",="中継工場",="中継場所",="中継場所名","納入ｻｲｸﾙ.間隔","納入ｻｲｸﾙ.回数","納入ｻｲｸﾙ.情報","基準在庫.日数","基準在庫.枚数","MIN在庫日数","MAX在庫日数","便平均上限振れ率","便平均下限振れ率",="かんばん情報.仕入先",="かんばん情報.仕入先名",="かんばん情報.背番号",="かんばん情報.工場置場所",="かんばん情報.拠点置場所",="かんばん情報.品名略ｺｰﾄﾞ",="かんばん情報.品名略名",="かんばん情報.通箱ｺｰﾄﾞ",="かんばん情報.通箱名","かんばん情報.収容数",="かんばん情報.ｺﾝﾍﾞｱ区分",="かんばん情報.ﾌﾞﾛｯｸ区分",="かんばん情報.専用品区分",="かんばん情報.不良率","かんばん情報.保証率",="かんばん情報.設変符号",="かんばん情報.部品大別区分",="かんばん情報.部品大別名称",="かんばん情報.発注形態区分",="かんばん情報.発注形態名称",="かんばん情報.PLコード",="登録箱種",="縦(mm)",="横(mm)",="高(mm)",="容積(m3)",="総重量(Kg)",="パレタイズ発注",="箱数",="設定計画NO",="設定日",="設定担当部署コード",="担当部署名",="設定担当者コード",="担当者名"
="90105-08A042",="",="","BOLT, FLANGE",="1Y",="第１工場",="手配",="Ｐ",="0024",="（株）青山製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","06"," 5.76","  0.53"," 3.0","  0.95","  0.95","1.10","0.50",="006",="（株）青山製作所",="008",="M-6",="20368",="1836",="ﾎﾞﾙﾄﾌﾗﾝｼﾞ",="014",="TP-331 ﾊﾝﾖｳ","    300",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ３３１フタナシ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="  10.220",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="90105-12A018",="",="","BOLT, FLANGE",="1Y",="第１工場",="手配",="Ｐ",="0024",="（株）青山製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","06"," 5.76","  0.54"," 3.0","  0.95","  0.95","1.10","0.50",="006",="（株）青山製作所",="009",="S-G-30",="20389",="1836",="ﾎﾞﾙﾄﾌﾗﾝｼﾞ",="014",="TP-331 ﾊﾝﾖｳ","    200",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ３３１フタナシ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="   9.850",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="90119-06908",="",="","BOLT, W/WASHER",="1Y",="第１工場",="手配",="Ｐ",="0024",="（株）青山製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","06"," 5.76","  0.54"," 3.0","  0.95","  0.95","1.10","0.50",="006",="（株）青山製作所",="010",="M-MG-4",="20388",="1835",="ﾎﾞﾙﾄｳｲｽﾞﾜﾂｼﾔ",="014",="TP-331 ﾊﾝﾖｳ","   2000",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ３３１フタナシ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="  15.830",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="90119-06A065",="",="","BOLT, FLANGE W/WASHER",="1Y",="第１工場",="手配",="Ｐ",="0024",="（株）青山製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","06"," 5.76","  0.53"," 3.0","  0.95","  0.95","1.10","0.50",="006",="（株）青山製作所",="011",="M-ST-9",="20375",="1843","ﾎﾞﾙﾄ,ﾌﾗﾝｼﾞW/ﾜｯｼｬ",="014",="TP-331 ﾊﾝﾖｳ","   1000",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ３３１フタナシ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="  11.830",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="90148-60027",="",="","SCREW, HEX LOBULAR",="1Y",="第１工場",="手配",="Ｐ",="0024",="（株）青山製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","06"," 5.76","  0.56"," 3.0","  0.95","  0.95","1.10","0.50",="006",="（株）青山製作所",="012",="M-C-2-3",="20367",="2384",="ｽｸﾘﾕ-",="014",="TP-331 ﾊﾝﾖｳ","   2000",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ３３１フタナシ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="  13.630",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="90149-08A008",="",="",="SCREW",="1Y",="第１工場",="手配",="Ｐ",="0024",="（株）青山製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","06"," 5.76","  0.52"," 3.0","  0.95","  0.95","1.10","0.50",="006",="（株）青山製作所",="013",="C1-3",="20382",="2394",="ｽｸﾘﾕ-",="014",="TP-331 ﾊﾝﾖｳ","    800",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ３３１フタナシ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="  10.590",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="90159-05A007",="",="","SCREW, W/WASHER",="1Y",="第１工場",="手配",="Ｐ",="0024",="（株）青山製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","06"," 5.76","  0.53"," 3.0","  0.95","  0.95","1.10","0.50",="006",="（株）青山製作所",="014",="C1-23",="20385",="2386",="ｽｸﾘｭｰW/ﾜｯｼｬｰ",="014",="TP-331 ﾊﾝﾖｳ","   2000",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ３３１フタナシ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="   9.430",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="90159-06A017",="",="","SCREW, W/WASHER",="1Y",="第１工場",="手配",="Ｐ",="0024",="（株）青山製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","06"," 5.76","  0.53"," 3.0","  0.95","  0.95","1.10","0.50",="006",="（株）青山製作所",="029",="",="",="1830",="ﾎﾞﾙﾄ",="014",="TP-331 ﾊﾝﾖｳ","   1000",="",="",="",="00"," 0.5",="",="",="",="",="",="",="TP331ﾌﾀﾅｼ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="   7.830",="しない",="",="MASTER01",="2023/04/25",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="90159-06A021",="",="","SCREW, W/WASHER",="1Y",="第１工場",="手配",="Ｐ",="0024",="（株）青山製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","06"," 5.76","  0.52"," 3.0","  0.95","  0.95","1.10","0.50",="006",="（株）青山製作所",="015",="C3-2",="20383",="2386",="ｽｸﾘｭｰW/ﾜｯｼｬｰ",="014",="TP-331 ﾊﾝﾖｳ","   1200",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ３３１フタナシ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="   9.710",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
="90159-06A022",="",="","SCREW, W/WASHER",="1Y",="第１工場",="手配",="Ｐ",="0024",="（株）青山製作所",="01",="",="――",="――",="Ｍ",="01",="第１",="1Y",="安城第１工場",="直接",="",="",="","1","06"," 5.76","  0.51"," 3.0","  0.95","  0.95","1.10","0.50",="006",="（株）青山製作所",="016",="C4-1",="20386",="2386",="ｽｸﾘｭｰW/ﾜｯｼｬｰ",="014",="TP-331 ﾊﾝﾖｳ","   1500",="",="",="",="00"," 0.5",="",="08",="専用",="01",="後補充",="",="ＴＰ３３１フタナシ",=" 335.000",=" 335.000",=" 103.000",="   0.012",="  10.130",="しない",="",="MASTER01",="2023/06/19",="NE00",="１工工務Ｇ",="42678",="藤井　織花"
