,Unnamed: 0,Unnamed: 0.1,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,A,B,C,収容数,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収回収LT）,回収かんばん数,日量数（箱数）,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,不等ピッチ係数,順立装置在庫量/設計値MAX,時間稼働率,加工数,先週からの順立装置在庫量増加率,先週からの社内LT増加率,先週からの回収かんばん増加率,納入かんばん数,納入数/日量数,入庫数/納入数,出庫数/入庫数,回収数/出庫数,回収数/納入数,便Ave,箱種類_AW131ﾌﾀﾅｼ,箱種類_TP131ﾌﾀﾅｼ,箱種類_TP341ﾌﾀﾅｼ,箱種類_サンボックス＃２０Ｂフタナシ,箱種類_サンボックス＃２４Ａフタアリ,箱種類_サンボックス＃２４Ｂフタナシ,箱種類_サンボックス＃９Ｂフタナシ,箱種類_サンボックス＃９Ｆフタナシ,箱種類_サンボックス＃Ｋ１０Ｂフタナシ,箱種類_サンボックスＣ３フタナシ,箱種類_テンバコ１０フタナシ,箱種類_ＡＷ１３１フタナシ,箱種類_Ｔ２０３フタナシ,箱種類_ＴＰ１３１フタナシ,箱種類_ＴＰ３３１フタアリ,箱種類_ＴＰ３３１フタナシ,箱種類_ＴＰ３３１．５フタアリ,箱種類_ＴＰ３３１．５フタナシ,箱種類_ＴＰ３３２,箱種類_ＴＰ３３２フタアリ,箱種類_ＴＰ３３２フタナシ,箱種類_ＴＰ３４１フタナシ,箱種類_ＴＰ３４２フタアリ,箱種類_ＴＰ３４２フタナシ,箱種類_ＴＰ３６２フタナシ,箱種類_ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,箱種類_ｻﾝﾎﾞｯｸｽ＃K-10Bﾌﾀﾅｼ,仕入先名_アイコー（株）,仕入先名_アイシン機工（株）,仕入先名_アイシン精機（株）,仕入先名_サトープレス工業（株）,仕入先名_サンコール（株）,仕入先名_マレリ（株）,仕入先名_ミズショー（株）,仕入先名_三共鋼業（株）,仕入先名_中庸スプリング（株）,仕入先名_五興商事（株）,仕入先名_伊藤金属工業（株）,仕入先名_住友電気工業（株）,仕入先名_住友電装（株）,仕入先名_佐藤工業（株）,仕入先名_多摩川精機販売（株）,仕入先名_大橋鉄工（株）,仕入先名_小川工業（株）,仕入先名_岡谷鋼機（株）,仕入先名_愛産樹脂工業（株）,仕入先名_新光ゴム工業（株）,仕入先名_日本精工（株）,仕入先名_矢崎総業（株）,仕入先名_石黒ゴム工業（株）,仕入先名_（株）オンド,仕入先名_（株）オーハシテクニカ,仕入先名_（株）ギフ加藤製作所,仕入先名_（株）ジェイテクト,仕入先名_（株）ニフコ,仕入先名_（株）バルカー,仕入先名_（株）ムロコーポレーション,仕入先名_（株）メタルテック,仕入先名_（株）旭工業所,仕入先名_（株）杉浦製作所,仕入先名_（株）東郷製作所,仕入先名_（株）松尾製作所,仕入先名_（株）槌屋,仕入先名_（株）浅賀井製作所,仕入先名_（株）青山製作所,仕入先名_ＮＯＫ（株）,使用工程_1.デフ・大物ギヤ・Brg,使用工程_2.MGケース,使用工程_3.ギヤサブ・共通部品,使用工程_4.TA・カバー・メイン,使用工程_7.ファイナル前半,使用工程_8.ファイナル後半
10,10,16,01912ECB040    ,2023,38,27.0,83.0,79.0,0.25,0.3190974805995535,1.0,1.0,1.0,2.12,50.0,2.2300000000000004,-0.040000000000000036,1.85,0.23000000000000045,2.27,87.0,86.51999999999998,9.08,7.1138136087282415,1.0002133788541556,0.0,0.2939696587014249,99.905,450.0,0.03846153846153855,0.4934210526315786,-0.04395604395604391,84.0,0.9708737864077672,0.9880952380952379,0.9518072289156626,1.1012658227848102,1.0357142857142858,86.51999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,11,17,01912ECB040    ,2023,39,26.5,94.0,83.0,0.25,0.3190974805995535,1.0,1.0,1.0,2.12,50.0,2.165,0.0,1.81,0.23,2.08,90.0,89.03999999999998,8.32,6.518384275839095,0.9539072039072038,0.0,0.2805838895992277,99.955,464.0,-0.01851851851851849,-0.08370044052863435,0.034482758620689724,94.0,1.05570530098832,1.0,0.8829787234042553,1.0843373493975903,0.9574468085106383,89.03999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,12,20,01912ECB060    ,2023,36,3.0,4.0,5.0,0.78,1.799912578921807,1.0,1.0,1.0,3.25,400.0,5.29,-0.05999999999999961,6.68,1.6500000000000004,7.77,5.0,3.0975,9.961538461538463,4.316876325546003,2.2788776527560173,0.0,0.5423726212371099,99.895,480.0,-0.1428571428571429,0.4496268656716418,1.5,4.0,1.29136400322841,1.0,1.25,1.0,1.25,3.0975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,13,21,01912ECB060    ,2023,37,2.0,5.0,4.0,0.78,1.799912578921807,1.0,1.0,1.0,3.25,400.0,5.29,0.0,2.56,1.3599999999999994,5.99,5.0,4.8425,7.67948717948718,3.3279394066950525,0.9717877858422668,0.0,0.3302284818953039,99.44,462.0,-0.33333333333333337,-0.22908622908622894,0.0,5.0,1.0325245224574082,1.0,0.8,1.25,1.0,4.8425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,14,22,01912ECB060    ,2023,38,1.0,5.0,3.0,0.78,1.799912578921807,1.0,1.0,1.0,3.25,400.0,5.28,-0.049999999999999815,1.63,1.59,5.01,5.0,3.7825,6.4230769230769225,2.783468518788349,0.6220597954978422,0.0,0.21769016476273592,99.905,450.0,-0.5,-0.1636060100166945,0.0,5.0,1.3218770654329148,1.0,0.6,1.6666666666666667,1.0,3.7825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,15,23,01912ECB060    ,2023,39,1.0,7.0,1.0,0.78,1.799912578921807,1.0,1.0,1.0,3.25,400.0,5.2799999999999985,-0.030000000000000027,1.285,1.8,3.5,4.0,3.955,4.487179487179487,1.9445388853810823,0.5949282367814382,0.0,0.21062926974552584,99.955,464.0,0.0,-0.3013972055888223,-0.2,7.0,1.7699115044247786,1.0,0.14285714285714285,4.0,0.5714285714285714,3.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,16,26,1040043104R    ,2023,36,4.0,8.0,8.0,0.75,2.4242851068353355,3.0,1.0,2.0,3.8,1000.0,1.915,0.4199999999999999,4.565,1.3250000000000002,6.110000000000001,8.0,9.454,8.146666666666668,2.5203306256234863,1.7629222198716596,0.12,0.5744961989441001,99.895,480.0,0.0,0.9335443037974688,1.6666666666666663,7.0,0.740427332346097,1.1428571428571428,1.0,1.0,1.1428571428571428,4.726999999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,17,27,1040043104R    ,2023,37,3.0,10.0,8.0,0.75,2.4242851068353355,3.0,1.0,2.0,3.8,1000.0,1.91,0.4399999999999995,2.4300000000000006,1.4399999999999995,5.26,7.0,8.857999999999997,7.013333333333333,2.1697117988182546,1.4111537593136148,0.12,0.4774748259240951,99.44,462.0,-0.25,-0.13911620294599036,-0.125,7.0,0.7902461052156242,1.4285714285714286,0.8,0.875,1.0,4.4289999999999985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,18,28,1040043104R    ,2023,38,4.0,8.0,8.0,0.75,2.4242851068353355,3.0,1.0,2.0,3.8,1000.0,1.815,0.4300000000000001,3.835,1.6149999999999998,6.055,6.0,6.896,8.073333333333332,2.4976435250655,2.416860015467904,0.12,0.6441576495389814,99.905,450.0,0.3333333333333333,0.15114068441064646,-0.1428571428571429,7.0,1.0150812064965198,1.1428571428571428,1.0,0.75,0.8571428571428571,3.448,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,19,29,1040043104R    ,2023,39,5.0,10.0,8.0,0.75,2.4242851068353355,3.0,1.0,2.0,3.8,1000.0,2.83,0.41000000000000014,2.525,1.4899999999999998,5.43,8.0,7.26,7.2399999999999975,2.2398355641793004,2.869605142332415,0.12,0.7285862870292774,99.955,464.0,0.25,-0.10322047894302233,0.3333333333333333,9.0,1.2396694214876034,1.1111111111111112,0.8,1.0,0.8888888888888888,3.63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,20,32,1040052001Z    ,2023,36,3.0,17.0,18.0,0.53,1.7211514463981852,3.0,1.0,6.0,5.76,200.0,0.93,0.15999999999999992,1.5200000000000002,0.5,3.45,15.0,13.3,6.509433962264152,2.004472068521185,2.0020465364594924,0.08,0.6142866862205673,99.895,480.0,0.0,0.3717693836978131,6.5,13.0,0.9774436090225564,1.3076923076923077,1.0588235294117647,0.8333333333333334,1.1538461538461535,2.2166666666666663,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
21,21,33,1040052001Z    ,2023,37,3.0,17.0,17.0,0.53,1.7211514463981852,3.0,1.0,6.0,5.76,200.0,0.92,0.31000000000000005,2.02,0.79,3.74,13.0,12.46,7.056603773584905,2.172963923556299,2.1370159658837267,0.08,0.6202598408690903,99.44,462.0,0.0,0.08405797101449286,-0.1333333333333333,12.0,0.9630818619582664,1.4166666666666667,1.0,0.7647058823529411,1.0833333333333333,2.0766666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
22,22,34,1040052001Z    ,2023,38,3.0,19.0,17.0,0.53,1.7211514463981852,3.0,1.0,6.0,5.76,200.0,0.8999999999999999,0.17499999999999993,1.68,0.6749999999999998,3.015000000000001,12.0,12.265,5.6886792452830175,1.7517342859685143,2.170992167542702,0.08,0.6213226971885526,99.905,450.0,0.0,-0.19385026737967906,-0.07692307692307687,12.0,0.9783938035059112,1.5833333333333333,0.8947368421052632,0.7058823529411765,1.0,2.044166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
23,23,35,1040052001Z    ,2023,39,3.0,20.0,17.0,0.53,1.7211514463981852,3.0,1.0,6.0,5.76,200.0,0.905,0.205,1.99,0.7049999999999996,3.09,10.0,12.43,5.830188679245283,1.7953097657189745,2.142173687442578,0.08,0.6204320234563205,99.955,464.0,0.0,0.02487562189054704,-0.16666666666666666,13.0,1.0458567980691875,1.5384615384615383,0.85,0.5882352941176471,0.7692307692307693,2.0716666666666668,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
24,24,38,1040183011P    ,2023,36,1.0,10.0,1.0,0.54,0.9650151791135398,1.0,1.0,6.0,5.76,500.0,0.91,0.16000000000000006,0.2749999999999999,0.795,1.19,12.0,12.401999999999996,2.203703703703704,1.233141224880142,0.7156700245904222,0.08,0.2938782206183229,99.895,480.0,0.0,-0.19594594594594594,2.0,12.0,0.9675858732462508,0.8333333333333334,0.1,12.0,1.0,2.0669999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
25,26,40,1040183011P    ,2023,38,1.0,10.0,10.0,0.54,0.9650151791135398,1.0,1.0,6.0,5.76,500.0,0.8900000000000001,0.22,0.55,0.55,1.34,11.0,11.238,2.4814814814814814,1.3885791944028492,0.7897970853328361,0.08,0.3101066467757189,99.905,450.0,0.0,0.15517241379310365,-0.08333333333333337,12.0,1.0678056593699945,0.8333333333333334,1.0,1.1,0.9166666666666666,1.8730000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
26,27,41,1040183011P    ,2023,39,2.0,10.0,10.0,0.54,0.9650151791135398,1.0,1.0,6.0,5.76,500.0,0.915,0.2250000000000001,0.6799999999999998,0.4500000000000002,1.31,12.0,11.796,2.4259259259259256,1.3574916004983075,1.504872778055343,0.08,0.4925292209725405,99.955,464.0,1.0,-0.0223880597014926,0.09090909090909084,11.0,0.9325194981349608,0.9090909090909092,1.0,1.2,1.0909090909090908,1.966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
27,28,44,2030044001J    ,2023,36,1.0,3.0,4.0,0.54,1.559912578921807,1.0,1.0,2.0,3.52,400.0,1.53,0.29000000000000004,3.0600000000000005,0.5099999999999998,4.82,5.0,5.1675,8.925925925925926,3.089916746059916,0.8562706842887173,0.03,0.27038750998118843,99.895,480.0,-0.6666666666666667,0.5109717868338559,4.0,4.0,0.7740686985970004,0.75,1.3333333333333333,1.25,1.25,2.58375,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
