,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,A,B,C,収容数,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収回収LT）,仕入先名,回収かんばん数,日量数（箱数）,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,不等ピッチ係数,順立装置在庫量/設計値MAX,時間稼働率,加工数,先週からの順立装置在庫量増加率,先週からの社内LT増加率,先週からの回収かんばん増加率,使用工程,納入かんばん数,納入数/日量数,入庫数/納入数,出庫数/入庫数,回収数/出庫数,回収数/納入数,便Ave
249,35505ECB010    ,2023,39,12.0,79.0,77.0,0.81,0.8711947547353085,1.0,ＴＰ１３１フタナシ,1.0,2.0,2.34,24.0,1.18,0.1100000000000001,0.6900000000000002,0.16999999999999993,1.18,中庸スプリング（株）,85.0,81.91666666666667,1.45679012345679,1.354461782036916,0.8771876389641874,0.1,0.26125944208287555,99.955,464.0,0.09090909090909083,-0.016666666666666274,0.07594936708860756,4.TA・カバー・メイン,87.0,1.06205493387589,0.9080459770114943,0.9746835443037974,1.103896103896104,0.9770114942528736,40.958333333333336
252,35556ECB010    ,2023,36,4.0,17.0,18.0,0.75,1.0049781447304516,1.0,ＡＷ１３１フタナシ,1.0,2.0,3.8,100.0,1.915,0.43000000000000016,0.9299999999999997,0.24999999999999956,1.59,（株）ギフ加藤製作所,20.0,20.67,2.12,1.5821239579557813,0.806321561038542,0.12,0.3285469096976884,99.89500000000001,480.0,-0.33333333333333337,-0.2723112128146453,2.3333333333333335,4.TA・カバー・メイン,18.0,0.8708272859216255,0.9444444444444444,1.0588235294117647,1.1111111111111112,1.1111111111111112,10.335
253,35556ECB010    ,2023,37,4.0,19.0,18.0,0.75,1.0049781447304516,1.0,ＡＷ１３１フタナシ,1.0,2.0,3.8,100.0,1.9,0.4399999999999995,0.71,0.17999999999999972,1.5099999999999998,（株）ギフ加藤製作所,13.0,19.369999999999997,2.013333333333333,1.5025202368007733,0.8604371020478404,0.12,0.3474050591511891,99.44,462.0,0.0,-0.05031446540880524,-0.35,4.TA・カバー・メイン,13.0,0.6711409395973156,1.4615384615384615,0.9473684210526315,0.7222222222222222,1.0,9.684999999999999
254,35556ECB010    ,2023,38,3.0,18.0,17.0,0.75,1.0049781447304516,1.0,ＡＷ１３１フタナシ,1.0,2.0,3.8,100.0,1.92,0.4200000000000004,0.7000000000000002,0.27999999999999936,1.5,（株）ギフ加藤製作所,17.0,18.73,2.0,1.4925697716563975,0.6673785371062467,0.12,0.27350106848675565,99.905,450.0,-0.25,-0.0066225165562912025,0.3076923076923077,4.TA・カバー・メイン,16.0,0.8542445274959957,1.125,0.9444444444444444,1.0,1.0625,9.365
255,35556ECB010    ,2023,39,5.0,22.0,18.0,0.75,1.0049781447304516,1.0,ＡＷ１３１フタナシ,1.0,2.0,3.8,100.0,1.93,0.42000000000000015,1.0,0.21,1.6399999999999997,（株）ギフ加藤製作所,17.0,19.66,2.186666666666666,1.6318762836776608,1.0596812478806374,0.12,0.42113486377750914,99.955,464.0,0.6666666666666667,0.09333333333333305,0.0,4.TA・カバー・メイン,19.0,0.9664292980671414,1.1578947368421053,0.8181818181818182,0.9444444444444444,0.8947368421052632,9.83
258,35557ECB010    ,2023,36,9.0,38.0,41.0,0.89,1.0072899465760077,1.0,ＴＰ１３１フタナシ,1.0,2.0,4.94,46.0,2.51,0.2200000000000002,1.23,0.25,1.7299999999999995,小川工業（株）,41.0,44.93478260869565,1.9438202247191005,1.7174796649967934,0.6743780328685989,0.05,0.35449108841771304,99.89500000000001,480.0,-0.18181818181818177,0.05487804878048763,2.1538461538461537,4.TA・カバー・メイン,37.0,0.8234155781325593,1.027027027027027,1.0789473684210527,1.0,1.1081081081081081,22.467391304347824
259,35557ECB010    ,2023,37,7.0,33.0,38.0,0.89,1.0072899465760077,1.0,ＴＰ１３１フタナシ,1.0,2.0,4.94,46.0,2.22,0.3799999999999999,0.6850000000000003,0.25,1.5500000000000003,小川工業（株）,28.0,42.108695652173914,1.7415730337078654,1.5387823588121565,0.5597186805240495,0.05,0.29511581692408667,99.44,462.0,-0.2222222222222222,-0.10404624277456609,-0.31707317073170727,4.TA・カバー・メイン,27.0,0.6411977284460506,1.2222222222222223,1.1515151515151516,0.7368421052631579,1.037037037037037,21.054347826086957
260,35557ECB010    ,2023,38,8.0,37.0,39.0,0.89,1.0072899465760077,1.0,ＴＰ１３１フタナシ,1.0,2.0,4.94,46.0,3.3450000000000006,0.20999999999999974,0.8499999999999999,0.23500000000000032,1.4449999999999998,小川工業（株）,36.0,40.71739130434782,1.6235955056179774,1.4345422635377842,0.6615361660743402,0.05,0.34697973724807984,99.905,450.0,0.1428571428571428,-0.0677419354838712,0.2857142857142858,4.TA・カバー・メイン,37.0,0.9087026161238656,1.0,1.054054054054054,0.9230769230769231,0.972972972972973,20.35869565217391
261,35557ECB010    ,2023,39,11.0,41.0,41.0,0.89,1.0072899465760077,1.0,ＴＰ１３１フタナシ,1.0,2.0,4.94,46.0,4.1899999999999995,0.17999999999999972,1.2100000000000004,0.2250000000000001,1.755,小川工業（株）,40.0,42.73913043478261,1.9719101123595504,1.7422987353002155,0.86658377604461,0.05,0.4513171287569917,99.955,464.0,0.375,0.2145328719723183,0.11111111111111116,4.TA・カバー・メイン,41.0,0.9593082400813835,1.0,1.0,0.975609756097561,0.975609756097561,21.369565217391305
264,35580ECB011    ,2023,36,54.0,232.0,306.0,0.9,0.9459016393442624,3.0,ＴＰ３４２フタアリ,1.0,4.0,8.04,6.0,0.97,0.6499999999999999,0.9650000000000001,0.16999999999999993,1.5700000000000005,アイシン精機（株）,338.0,344.5,1.744444444444445,1.6597920277296363,0.693579254273861,0.14,0.5190132864232639,99.89500000000001,480.0,-0.2230215827338129,-0.3276231263383296,2.4489795918367347,8.ファイナル後半,335.0,0.9724238026124818,0.6925373134328359,1.3189655172413792,1.1045751633986929,1.008955223880597,86.125
265,35580ECB011    ,2023,37,33.0,320.0,304.0,0.9,0.9459016393442624,3.0,ＴＰ３４２フタアリ,1.0,4.0,8.04,6.0,0.98,0.48,0.5,0.16999999999999993,1.2600000000000002,アイシン精機（株）,334.0,322.6666666666667,1.4000000000000001,1.3320623916811092,0.45253419147224455,0.14,0.3393227772864932,99.44,462.0,-0.38888888888888884,-0.19745222929936312,-0.011834319526627168,8.ファイナル後半,342.0,1.0599173553719008,0.935672514619883,0.95,1.0986842105263157,0.9766081871345029,80.66666666666667
266,35580ECB011    ,2023,38,78.0,309.0,284.0,0.9,0.9459016393442624,3.0,ＴＰ３４２フタアリ,1.0,4.0,8.04,6.0,1.0099999999999998,0.49,1.2400000000000002,0.1800000000000006,2.2700000000000005,アイシン精機（株）,312.0,312.16666666666663,2.5222222222222226,2.399826689774697,1.1056040897901718,0.14,0.82317031007567,99.905,450.0,1.3636363636363638,0.8015873015873016,-0.06586826347305386,8.ファイナル後半,309.0,0.9898558462359852,1.0,0.919093851132686,1.0985915492957747,1.0097087378640777,78.04166666666666
267,35580ECB011    ,2023,39,85.0,275.0,311.0,0.9,0.9459016393442624,3.0,ＴＰ３４２フタアリ,1.0,4.0,8.04,6.0,1.0099999999999998,0.3400000000000001,1.4700000000000006,0.16999999999999993,2.12,アイシン精機（株）,335.0,327.66666666666663,2.3555555555555556,2.2412478336221837,1.1478317233680535,0.14,0.854719489877293,99.955,464.0,0.08974358974358965,-0.0660792951541852,0.07371794871794868,8.ファイナル後半,338.0,1.031536113936928,0.8136094674556213,1.1309090909090909,1.0771704180064308,0.9911242603550295,81.91666666666666
270,35595ECB010    ,2023,36,10.0,45.0,47.0,0.57,0.6719912578921806,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,40.0,1.83,0.25,0.8199999999999994,0.21,1.3199999999999994,サトープレス工業（株）,51.0,51.675,2.3157894736842097,1.964311268185858,0.6961049447814752,0.0,0.18196754426970974,99.89500000000001,480.0,-0.16666666666666663,-0.397260273972603,2.923076923076923,4.TA・カバー・メイン,45.0,0.8708272859216256,1.0,1.0444444444444445,1.0851063829787233,1.1333333333333333,51.675
271,35595ECB010    ,2023,37,7.0,50.0,44.0,0.57,0.6719912578921806,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,40.0,1.84,0.20000000000000015,0.75,0.21,1.22,サトープレス工業（株）,50.0,48.425000000000004,2.1403508771929824,1.815499808474809,0.5199763782159609,0.0,0.13627631409903704,99.44,462.0,-0.30000000000000004,-0.07575757575757536,-0.019607843137254943,4.TA・カバー・メイン,50.0,1.0325245224574082,1.0,0.88,1.1363636363636365,1.0,48.425000000000004
272,35595ECB010    ,2023,38,8.0,47.0,43.0,0.57,0.6719912578921806,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,40.0,1.82,0.17000000000000035,0.7600000000000002,0.2200000000000002,1.2100000000000002,サトープレス工業（株）,47.0,46.824999999999996,2.12280701754386,1.8006186625037044,0.6145644082705005,0.0,0.16070448214022978,99.905,450.0,0.1428571428571428,-0.008196721311475197,-0.06000000000000005,4.TA・カバー・メイン,47.0,1.003737319807795,1.0,0.9148936170212766,1.0930232558139534,1.0,46.824999999999996
273,35595ECB010    ,2023,39,7.0,40.0,46.0,0.57,0.6719912578921806,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,40.0,1.83,0.18500000000000005,0.7749999999999999,0.21,1.1849999999999998,サトープレス工業（株）,50.0,49.15,2.0789473684210527,1.7634157975759415,0.5123063299106391,0.0,0.1343059480246538,99.955,464.0,-0.125,-0.020661157024793653,0.06382978723404253,4.TA・カバー・メイン,52.0,1.0579857578840286,0.7692307692307693,1.15,1.0869565217391304,0.9615384615384616,49.15
276,3559850A010    ,2023,36,1.0,19.0,18.0,0.9,1.1549781447304517,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.92,100.0,1.9849999999999999,0.3500000000000001,0.9799999999999998,0.2650000000000001,1.8899999999999997,アイコー（株）,20.0,20.67,2.0999999999999996,1.6363946007316763,0.19666379537525416,0.32,0.08646656611987508,99.89500000000001,480.0,-0.8,-0.28136882129277585,2.3333333333333335,4.TA・カバー・メイン,19.0,0.919206579583938,1.0,0.9473684210526315,1.1111111111111112,1.0526315789473684,10.335
277,3559850A010    ,2023,37,1.5,18.0,18.0,0.9,1.1549781447304517,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.92,100.0,1.975,0.3300000000000001,0.5950000000000002,0.22999999999999998,1.3400000000000003,アイコー（株）,20.0,19.37,1.4888888888888892,1.1601951137462683,0.31479406172481955,0.32,0.13675782136753883,99.44,462.0,0.5,-0.2910052910052907,0.0,4.TA・カバー・メイン,20.0,1.0325245224574082,0.9,1.0,1.1111111111111112,1.0,9.685
278,3559850A010    ,2023,38,1.0,19.0,17.0,0.9,1.1549781447304517,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.92,100.0,1.99,0.31000000000000005,1.0100000000000002,0.2599999999999998,1.67,アイコー（株）,19.0,18.73,1.8555555555555554,1.445914805937513,0.21703367060365744,0.32,0.09507028558502585,99.905,450.0,-0.33333333333333337,0.24626865671641762,-0.050000000000000044,4.TA・カバー・メイン,19.0,1.014415376401495,1.0,0.8947368421052632,1.1176470588235294,1.0,9.365
279,3559850A010    ,2023,39,3.0,20.0,18.0,0.9,1.1549781447304517,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.92,100.0,2.5,0.35499999999999976,1.0250000000000004,0.21999999999999972,1.7550000000000003,アイコー（株）,20.0,19.66,1.9500000000000004,1.5195092721079857,0.6203012182715927,0.32,0.26239140758451207,99.955,464.0,2.0,0.05089820359281472,0.05263157894736836,4.TA・カバー・メイン,20.0,1.017293997965412,1.0,0.9,1.1111111111111112,1.0,9.83
282,35771ECB010    ,2023,36,27.0,437.0,459.0,0.79,0.8205973773676543,3.0,ＴＰ３４１フタナシ,1.0,6.0,4.92,4.0,0.8200000000000001,0.2,0.22,0.11999999999999987,0.5699999999999998,アイシン機工（株）,504.0,516.75,0.7215189873417719,0.6946159172826863,0.5295571333307183,0.12,0.24001694597866913,99.89500000000001,480.0,-0.3414634146341463,-0.28301886792452857,2.652173913043478,2.MGケース,494.0,0.9559748427672956,0.8846153846153846,1.0503432494279177,1.0980392156862746,1.0202429149797572,86.125
283,35771ECB010    ,2023,37,19.0,449.0,443.0,0.79,0.8205973773676543,3.0,ＴＰ３４１フタナシ,1.0,6.0,4.92,4.0,0.8099999999999998,0.21,0.1399999999999999,0.1299999999999999,0.55,アイシン機工（株）,438.0,484.25,0.6962025316455697,0.6702434289569782,0.39766147148697484,0.12,0.18040516089041553,99.44,462.0,-0.2962962962962963,-0.03508771929824528,-0.13095238095238093,2.MGケース,442.0,0.912751677852349,1.0158371040723981,0.9866369710467706,0.9887133182844243,0.9909502262443439,80.70833333333333
284,35771ECB010    ,2023,38,26.5,431.0,433.0,0.79,0.8205973773676543,3.0,ＴＰ３４１フタナシ,1.0,6.0,4.92,4.0,0.8,0.17999999999999983,0.2400000000000001,0.1499999999999999,0.54,アイシン機工（株）,452.0,468.25,0.6835443037974683,0.6580571847941241,0.5735847967561796,0.12,0.25973325511834205,99.905,450.0,0.39473684210526305,-0.018181818181818188,0.03196347031963476,2.MGケース,454.0,0.9695675387079552,0.9493392070484582,1.0046403712296983,1.043879907621247,0.9955947136563876,78.04166666666667
285,35771ECB010    ,2023,39,48.0,488.0,459.0,0.79,0.8205973773676543,3.0,ＴＰ３４１フタナシ,1.0,6.0,4.92,4.0,0.8099999999999998,0.2200000000000002,0.4699999999999998,0.13000000000000034,0.8700000000000001,アイシン機工（株）,487.0,491.5,1.1012658227848102,1.0602032421683112,0.9897995655879684,0.12,0.446588622975032,99.955,464.0,0.8113207547169812,0.6111111111111112,0.07743362831858414,2.MGケース,474.0,0.9643947100712106,1.029535864978903,0.9405737704918032,1.0610021786492374,1.0274261603375527,81.91666666666667
288,35771ECE010    ,2023,36,47.0,381.0,400.0,0.79,0.8138230289279638,2.0,ＴＰ３４１フタナシ,1.0,6.0,4.92,6.0,0.8200000000000001,0.2,0.4899999999999999,0.1200000000000001,0.8799999999999999,アイシン機工（株）,434.0,443.33333333333337,1.1139240506329111,1.0813161691420923,1.0744767323714692,0.12,0.4838874125015807,99.89500000000001,480.0,-0.17543859649122806,-0.3125000000000001,2.5867768595041323,2.MGケース,425.0,0.9586466165413533,0.8964705882352941,1.0498687664041995,1.085,1.0211764705882354,73.8888888888889
289,35771ECE010    ,2023,37,47.0,384.0,380.0,0.79,0.8138230289279638,2.0,ＴＰ３４１フタナシ,1.0,6.0,4.92,6.0,0.8099999999999998,0.20000000000000015,0.34999999999999964,0.1399999999999999,0.76,アイシン機工（株）,371.0,415.3333333333334,0.9620253164556962,0.9338639642590798,1.1469133660144892,0.12,0.5157138998847322,99.44,462.0,0.0,-0.13636363636363624,-0.14516129032258063,2.MGケース,379.0,0.9125200642054573,1.0131926121372032,0.9895833333333334,0.9763157894736842,0.978891820580475,69.22222222222224
290,35771ECE010    ,2023,38,52.0,364.0,372.0,0.79,0.8138230289279638,2.0,ＴＰ３４１フタナシ,1.0,6.0,4.92,6.0,0.8,0.18500000000000005,0.2749999999999999,0.1499999999999999,0.6099999999999999,アイシン機工（株）,390.0,408.83333333333337,0.772151898734177,0.7495487081553138,1.2890999438084638,0.12,0.5786157709302444,99.905,450.0,0.1063829787234043,-0.19736842105263175,0.05121293800539073,2.MGケース,383.0,0.9368120668569098,0.9503916449086162,1.021978021978022,1.0483870967741935,1.0182767624020888,68.1388888888889
291,35771ECE010    ,2023,39,57.0,398.0,385.0,0.79,0.8138230289279638,2.0,ＴＰ３４１フタナシ,1.0,6.0,4.92,6.0,0.8049999999999999,0.2100000000000002,0.54,0.13999999999999968,0.9999999999999996,アイシン機工（株）,414.0,414.33333333333337,1.265822784810126,1.2287683740251045,1.3942945358874559,0.12,0.6252295472825509,99.955,464.0,0.09615384615384626,0.6393442622950816,0.06153846153846154,2.MGケース,389.0,0.9388576025744166,1.0231362467866323,0.9673366834170855,1.0753246753246752,1.06426735218509,69.05555555555556
294,35847ECB010    ,2023,36,7.0,26.0,28.0,0.51,0.7139825157843613,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,80.0,1.93,0.14000000000000035,1.4049999999999998,0.1449999999999998,2.5100000000000002,（株）メタルテック,32.0,25.8375,4.921568627450981,3.515492248773885,0.934220843134311,0.0,0.24943346672776903,99.89500000000001,480.0,-0.2222222222222222,-0.17434210526315808,4.333333333333333,2.MGケース,27.0,1.0449927431059507,0.9629629629629629,1.0769230769230769,1.1428571428571428,1.1851851851851851,25.8375
295,35847ECB010    ,2023,37,5.0,28.0,28.0,0.51,0.7139825157843613,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,80.0,1.93,0.17000000000000035,0.9899999999999998,0.2600000000000007,1.7400000000000002,（株）メタルテック,17.0,24.2125,3.4117647058823533,2.4370344672775137,0.7120858775568334,0.0,0.19131278578255762,99.44,462.0,-0.2857142857142857,-0.3067729083665338,-0.46875,2.MGケース,17.0,0.7021166752710377,1.6470588235294117,1.0,0.6071428571428571,1.0,24.2125
296,35847ECB010    ,2023,38,4.0,28.0,27.0,0.51,0.7139825157843613,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,80.0,1.9400000000000004,0.14999999999999947,0.7000000000000002,0.31499999999999995,2.0,（株）メタルテック,28.0,23.4125,3.9215686274509802,2.801189042847717,0.5891341568937901,0.0,0.158905085756061,99.905,450.0,-0.19999999999999996,0.14942528735632177,0.6470588235294117,2.MGケース,29.0,1.2386545648691938,0.9655172413793104,0.9642857142857143,1.037037037037037,0.9655172413793104,23.4125
297,35847ECB010    ,2023,39,5.0,30.0,28.0,0.51,0.7139825157843613,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,80.0,1.94,0.1200000000000001,0.7400000000000002,0.3099999999999996,1.6899999999999995,（株）メタルテック,31.0,24.575000000000003,3.3137254901960773,2.36700474120632,0.701582067562353,0.0,0.18864128875106903,99.955,464.0,0.25,-0.15500000000000025,0.1071428571428572,2.MGケース,31.0,1.2614445574771107,0.967741935483871,0.9333333333333333,1.1071428571428572,1.0,24.575000000000003
300,35847ECB020    ,2023,36,8.0,23.0,27.0,0.5,0.6784847013113162,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,70.0,1.93,0.1299999999999999,1.7350000000000003,0.33999999999999986,2.37,（株）メタルテック,30.0,29.528571428571425,4.74,3.493078024337867,0.934220843134311,0.0,0.25047574076058554,99.89500000000001,480.0,0.0,-0.008368200836820439,3.2857142857142856,4.TA・カバー・メイン,23.0,0.7789066279632318,1.0,1.173913043478261,1.1111111111111112,1.3043478260869565,29.528571428571425
301,35847ECB020    ,2023,37,5.0,29.0,24.0,0.5,0.6784847013113162,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,70.0,1.935,0.16000000000000014,0.7649999999999997,0.34499999999999975,1.35,（株）メタルテック,16.0,27.67142857142857,2.7,1.9897279885468862,0.6230751428622292,0.0,0.16847453805313692,99.44,462.0,-0.375,-0.430379746835443,-0.4666666666666667,4.TA・カバー・メイン,17.0,0.614352090862158,1.7058823529411764,0.8275862068965517,0.6666666666666666,0.9411764705882353,27.67142857142857
302,35847ECB020    ,2023,38,7.0,27.0,24.0,0.5,0.6784847013113162,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,70.0,1.9400000000000004,0.14999999999999947,0.8899999999999997,0.16999999999999993,1.3099999999999996,（株）メタルテック,27.0,26.757142857142856,2.619999999999999,1.9307730851825333,0.9021116777436162,0.0,0.2414033534716758,99.905,450.0,0.3999999999999999,-0.029629629629630005,0.6875,4.TA・カバー・メイン,27.0,1.009076348104645,1.0,0.8888888888888888,1.125,1.0,26.757142857142856
303,35847ECB020    ,2023,39,8.0,30.0,26.0,0.5,0.6784847013113162,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,70.0,2.0700000000000003,0.10000000000000007,0.8500000000000001,0.15000000000000036,1.1899999999999995,（株）メタルテック,29.0,28.085714285714285,2.379999999999999,1.7539083750894766,0.9822148945872944,0.0,0.26253424726999486,99.955,464.0,0.1428571428571428,-0.09160305343511466,0.07407407407407418,4.TA・カバー・メイン,30.0,1.0681586978636826,1.0,0.8666666666666667,1.1153846153846154,0.9666666666666667,28.085714285714285
306,35847ECE010    ,2023,36,18.0,59.0,60.0,0.5,0.5794100964265456,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,40.0,1.93,0.1299999999999999,1.7649999999999997,0.19999999999999973,2.1800000000000006,（株）メタルテック,66.0,66.49999999999999,4.360000000000001,3.762447381302008,0.9333679025149081,0.0,0.2543868737164618,99.89500000000001,480.0,-0.16279069767441856,0.07125307125307123,2.6666666666666665,2.MGケース,60.0,0.9022556390977445,0.9833333333333333,1.0169491525423728,1.1,1.1,66.49999999999999
307,35847ECE010    ,2023,37,16.0,65.0,56.0,0.5,0.5794100964265456,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,40.0,1.93,0.1499999999999999,1.2049999999999996,0.20499999999999985,1.865,（株）メタルテック,38.0,62.3,3.73,3.2187909936368087,0.8855925167432335,0.0,0.24132514345116055,99.44,462.0,-0.11111111111111116,-0.14449541284403689,-0.4242424242424242,2.MGケース,39.0,0.6260032102728732,1.6666666666666667,0.8615384615384616,0.6785714285714286,0.9743589743589743,62.3
308,35847ECE010    ,2023,38,19.0,61.0,56.0,0.5,0.5794100964265456,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,40.0,1.9400000000000004,0.14999999999999947,1.54,0.21999999999999972,1.8900000000000008,（株）メタルテック,61.0,61.32499999999999,3.7800000000000016,3.261938325991191,1.0683610498053056,0.0,0.29025531461749365,99.905,450.0,0.1875,0.013404825737265869,0.605263157894737,2.MGケース,61.0,0.9947003668976765,1.0,0.9180327868852459,1.0892857142857142,1.0,61.32499999999999
309,35847ECE010    ,2023,39,18.0,62.0,57.0,0.5,0.5794100964265456,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,40.0,1.94,0.1200000000000001,1.5099999999999998,0.20000000000000015,1.95,（株）メタルテック,63.0,62.15000000000001,3.9,3.3654919236417036,0.9986961466973671,0.0,0.27167270454443726,99.955,464.0,-0.052631578947368474,0.03174603174603119,0.032786885245901676,2.MGケース,63.0,1.0136765888978276,0.9841269841269841,0.9193548387096774,1.105263157894737,1.0,62.15000000000001
312,35847ECE020    ,2023,36,14.0,41.0,40.0,0.49,0.6091151446398185,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,60.0,1.93,0.1200000000000001,1.95,0.22000000000000064,2.4300000000000006,（株）メタルテック,45.0,44.33333333333333,4.959183673469389,3.9893935020067612,1.0889292196007259,0.0,0.2938773022261758,99.89500000000001,480.0,-0.125,0.2590673575129532,2.75,4.TA・カバー・メイン,41.0,0.9248120300751881,1.0,0.975609756097561,1.125,1.0975609756097562,44.33333333333333
313,35847ECE020    ,2023,37,12.0,43.0,37.0,0.49,0.6091151446398185,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,60.0,1.93,0.1499999999999999,1.8949999999999998,0.19500000000000028,3.08,（株）メタルテック,24.0,41.53333333333333,6.285714285714286,5.056515220650544,0.9962915813361377,0.0,0.2690203461123623,99.44,462.0,-0.1428571428571429,0.26748971193415616,-0.4666666666666667,4.TA・カバー・メイン,25.0,0.6019261637239166,1.72,0.8604651162790697,0.6486486486486487,0.96,41.53333333333333
314,35847ECE020    ,2023,38,14.0,40.0,38.0,0.49,0.6091151446398185,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,60.0,1.9400000000000004,0.14999999999999947,1.9549999999999996,0.23000000000000045,2.33,（株）メタルテック,40.0,40.883333333333326,4.755102040816327,3.825220929907717,1.1808201076795481,0.0,0.31740043524265865,99.905,450.0,0.16666666666666674,-0.24350649350649345,0.6666666666666667,4.TA・カバー・メイン,40.0,0.9783938035059113,1.0,0.95,1.0526315789473684,1.0,40.883333333333326
315,35847ECE020    ,2023,39,12.0,42.0,38.0,0.49,0.6091151446398185,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,60.0,1.94,0.1200000000000001,1.54,0.21,1.95,（株）メタルテック,43.0,41.43333333333334,3.979591836734694,3.201365155931351,0.9986961466973672,0.0,0.26964052514749437,99.955,464.0,-0.1428571428571429,-0.16309012875536488,0.07499999999999996,4.TA・カバー・メイン,42.0,1.0136765888978276,1.0,0.9047619047619048,1.131578947368421,1.0238095238095237,41.43333333333334
318,35882ECB010    ,2023,36,10.0,39.0,42.0,0.5,0.6274890723652258,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,50.0,1.93,0.1200000000000001,0.8499999999999999,0.25,1.6700000000000004,（株）メタルテック,46.0,41.34,3.3400000000000007,2.6614009287925704,0.8341257527984918,0.0,0.22603403122867968,99.89500000000001,480.0,-0.19999999999999996,0.33599999999999985,2.2857142857142856,2.MGケース,40.0,0.9675858732462506,0.975,1.0769230769230769,1.0952380952380953,1.15,41.34
319,35882ECB010    ,2023,37,7.0,44.0,40.0,0.5,0.6274890723652258,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,50.0,1.93,0.17000000000000035,0.5899999999999999,0.27999999999999936,1.41,（株）メタルテック,25.0,38.74,2.82,2.2470510835913315,0.6230751428622292,0.0,0.169491217044669,99.44,462.0,-0.30000000000000004,-0.15568862275449125,-0.4565217391304348,2.MGケース,26.0,0.6711409395973154,1.6923076923076923,0.9090909090909091,0.625,0.9615384615384616,38.74
320,35882ECB010    ,2023,38,7.0,40.0,39.0,0.5,0.6274890723652258,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,50.0,1.9400000000000004,0.14999999999999947,0.79,0.23999999999999974,1.6399999999999997,（株）メタルテック,43.0,37.46000000000001,3.2799999999999994,2.6135913312693497,0.6443654841025829,0.0,0.17509908207392058,99.905,450.0,0.0,0.16312056737588643,0.72,2.MGケース,41.0,1.0945008008542443,0.975609756097561,0.975,1.1025641025641026,1.048780487804878,37.46000000000001
321,35882ECB010    ,2023,39,8.0,46.0,41.0,0.5,0.6274890723652258,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,50.0,2.0700000000000003,0.1200000000000001,0.5700000000000003,0.21999999999999972,1.14,（株）メタルテック,45.0,39.32,2.28,1.816764705882353,0.7015820675623532,0.0,0.19053252428604184,99.955,464.0,0.1428571428571428,-0.30487804878048774,0.04651162790697683,2.MGケース,48.0,1.2207527975584944,0.9583333333333334,0.8913043478260869,1.0975609756097562,0.9375,39.32
324,36108ECB010    ,2023,36,5.0,12.0,13.0,0.64,1.0224672170956774,1.0,ＴＰ３３１．５フタナシ,1.0,1.0,1.97,150.0,1.295,0.2749999999999999,1.7300000000000004,0.1849999999999996,2.9450000000000003,（株）オーハシテクニカ,14.0,13.78,4.6015625,2.8802879454319186,1.2216993349068823,0.0,0.3186601115271242,99.89500000000001,480.0,-0.16666666666666663,-0.011744966442953086,3.666666666666667,2.MGケース,12.0,0.8708272859216256,1.0,1.0833333333333333,1.0769230769230769,1.1666666666666667,13.78
325,36108ECB010    ,2023,37,3.0,10.0,12.0,0.64,1.0224672170956774,1.0,ＴＰ３３１．５フタナシ,1.0,1.0,1.97,150.0,1.3,0.28000000000000025,0.5,0.5499999999999998,1.5499999999999998,（株）オーハシテクニカ,13.0,12.913333333333332,2.4218749999999996,1.5159410239115358,0.7822155473162185,0.0,0.2091872889088131,99.44,462.0,-0.4,-0.47368421052631593,-0.0714285714285714,2.MGケース,13.0,1.0067114093959733,0.7692307692307693,1.2,1.0833333333333333,1.0,12.913333333333332
