,品番,Year,Week_Number,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,A,B,C,収容数,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収回収LT）,仕入先名,回収かんばん数,日量数（箱数）
253,35556ECB010    ,2023,37,0.75,1.0049781447304516,1.0,ＡＷ１３１フタナシ,1.0,2.0,3.8,100,1.9,0.4399999999999995,0.71,0.17999999999999972,1.5099999999999998,（株）ギフ加藤製作所,13,19.369999999999997
254,35556ECB010    ,2023,38,0.75,1.0049781447304516,1.0,ＡＷ１３１フタナシ,1.0,2.0,3.8,100,1.92,0.4200000000000004,0.7000000000000002,0.27999999999999936,1.5,（株）ギフ加藤製作所,17,18.73
255,35556ECB010    ,2023,39,0.75,1.0049781447304516,1.0,ＡＷ１３１フタナシ,1.0,2.0,3.8,100,1.93,0.42000000000000015,1.0,0.21,1.6399999999999997,（株）ギフ加藤製作所,17,19.66
256,35557ECB010    ,2023,35,0.89,0.89,1.0,ＴＰ１３１フタナシ,1.0,2.0,4.94,46,2.51,0.16000000000000014,0.7450000000000006,0.2699999999999996,2.255,小川工業（株）,30,0.0
257,35557ECB010    ,2023,35,0.89,1.0072899465760077,1.0,ＴＰ１３１フタナシ,1.0,2.0,4.94,46,2.5,0.41000000000000014,0.77,0.26000000000000023,1.6399999999999997,小川工業（株）,13,8.543478260869565
258,35557ECB010    ,2023,36,0.89,1.0072899465760077,1.0,ＴＰ１３１フタナシ,1.0,2.0,4.94,46,2.51,0.2200000000000002,1.23,0.25,1.7299999999999995,小川工業（株）,41,44.93478260869565
259,35557ECB010    ,2023,37,0.89,1.0072899465760077,1.0,ＴＰ１３１フタナシ,1.0,2.0,4.94,46,2.22,0.3799999999999999,0.6850000000000003,0.25,1.5500000000000003,小川工業（株）,28,42.108695652173914
260,35557ECB010    ,2023,38,0.89,1.0072899465760077,1.0,ＴＰ１３１フタナシ,1.0,2.0,4.94,46,3.3450000000000006,0.20999999999999974,0.8499999999999999,0.23500000000000032,1.4449999999999998,小川工業（株）,36,40.71739130434782
261,35557ECB010    ,2023,39,0.89,1.0072899465760077,1.0,ＴＰ１３１フタナシ,1.0,2.0,4.94,46,4.1899999999999995,0.17999999999999972,1.2100000000000004,0.2250000000000001,1.755,小川工業（株）,40,42.73913043478261
262,35580ECB011    ,2023,35,0.9,0.9,3.0,ＴＰ３４２フタアリ,1.0,4.0,8.04,6,1.02,0.5800000000000001,1.13,0.1899999999999995,3.62,アイシン精機（株）,216,0.0
263,35580ECB011    ,2023,35,0.9,0.9459016393442624,3.0,ＴＰ３４２フタアリ,1.0,4.0,8.04,6,0.96,0.3800000000000001,1.755,0.18999999999999995,2.335,アイシン精機（株）,98,65.5
264,35580ECB011    ,2023,36,0.9,0.9459016393442624,3.0,ＴＰ３４２フタアリ,1.0,4.0,8.04,6,0.97,0.6499999999999999,0.9650000000000001,0.16999999999999993,1.5700000000000005,アイシン精機（株）,338,344.5
265,35580ECB011    ,2023,37,0.9,0.9459016393442624,3.0,ＴＰ３４２フタアリ,1.0,4.0,8.04,6,0.98,0.48,0.5,0.16999999999999993,1.2600000000000002,アイシン精機（株）,334,322.6666666666667
266,35580ECB011    ,2023,38,0.9,0.9459016393442624,3.0,ＴＰ３４２フタアリ,1.0,4.0,8.04,6,1.0099999999999998,0.49,1.2400000000000002,0.1800000000000006,2.2700000000000005,アイシン精機（株）,312,312.16666666666663
267,35580ECB011    ,2023,39,0.9,0.9459016393442624,3.0,ＴＰ３４２フタアリ,1.0,4.0,8.04,6,1.0099999999999998,0.3400000000000001,1.4700000000000006,0.16999999999999993,2.12,アイシン精機（株）,335,327.66666666666663
268,35595ECB010    ,2023,35,0.57,0.57,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,40,3.82,0.19000000000000014,0.75,0.2699999999999996,1.2900000000000005,サトープレス工業（株）,33,0.0
269,35595ECB010    ,2023,35,0.57,0.6719912578921806,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,40,1.82,0.23999999999999974,1.77,0.25,2.19,サトープレス工業（株）,13,9.825000000000001
270,35595ECB010    ,2023,36,0.57,0.6719912578921806,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,40,1.83,0.25,0.8199999999999994,0.21,1.3199999999999994,サトープレス工業（株）,51,51.675
271,35595ECB010    ,2023,37,0.57,0.6719912578921806,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,40,1.84,0.20000000000000015,0.75,0.21,1.22,サトープレス工業（株）,50,48.425000000000004
272,35595ECB010    ,2023,38,0.57,0.6719912578921806,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,40,1.82,0.17000000000000035,0.7600000000000002,0.2200000000000002,1.2100000000000002,サトープレス工業（株）,47,46.824999999999996
273,35595ECB010    ,2023,39,0.57,0.6719912578921806,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,40,1.83,0.18500000000000005,0.7749999999999999,0.21,1.1849999999999998,サトープレス工業（株）,50,49.15
274,3559850A010    ,2023,35,0.9,0.9,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.92,100,2.0,0.5500000000000003,2.6500000000000004,0.2999999999999998,3.5600000000000005,アイコー（株）,13,0.0
275,3559850A010    ,2023,35,0.9,1.1549781447304517,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.92,100,2.91,0.4750000000000001,1.77,0.29499999999999993,2.6300000000000003,アイコー（株）,6,3.9300000000000006
276,3559850A010    ,2023,36,0.9,1.1549781447304517,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.92,100,1.9849999999999999,0.3500000000000001,0.9799999999999998,0.2650000000000001,1.8899999999999997,アイコー（株）,20,20.67
277,3559850A010    ,2023,37,0.9,1.1549781447304517,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.92,100,1.975,0.3300000000000001,0.5950000000000002,0.22999999999999998,1.3400000000000003,アイコー（株）,20,19.37
278,3559850A010    ,2023,38,0.9,1.1549781447304517,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.92,100,1.99,0.31000000000000005,1.0100000000000002,0.2599999999999998,1.67,アイコー（株）,19,18.73
279,3559850A010    ,2023,39,0.9,1.1549781447304517,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.92,100,2.5,0.35499999999999976,1.0250000000000004,0.21999999999999972,1.7550000000000003,アイコー（株）,20,19.66
280,35771ECB010    ,2023,35,0.79,0.79,3.0,ＴＰ３４１フタナシ,1.0,6.0,4.92,4,0.8200000000000001,0.20000000000000015,0.41000000000000014,0.14000000000000012,0.7999999999999998,アイシン機工（株）,331,0.0
281,35771ECB010    ,2023,35,0.79,0.8205973773676543,3.0,ＴＰ３４１フタナシ,1.0,6.0,4.92,4,0.8200000000000001,0.18000000000000016,0.47,0.1299999999999999,0.795,アイシン機工（株）,138,98.25
282,35771ECB010    ,2023,36,0.79,0.8205973773676543,3.0,ＴＰ３４１フタナシ,1.0,6.0,4.92,4,0.8200000000000001,0.2,0.22,0.11999999999999987,0.5699999999999998,アイシン機工（株）,504,516.75
283,35771ECB010    ,2023,37,0.79,0.8205973773676543,3.0,ＴＰ３４１フタナシ,1.0,6.0,4.92,4,0.8099999999999998,0.21,0.1399999999999999,0.1299999999999999,0.55,アイシン機工（株）,438,484.25
284,35771ECB010    ,2023,38,0.79,0.8205973773676543,3.0,ＴＰ３４１フタナシ,1.0,6.0,4.92,4,0.8,0.17999999999999983,0.2400000000000001,0.1499999999999999,0.54,アイシン機工（株）,452,468.25
285,35771ECB010    ,2023,39,0.79,0.8205973773676543,3.0,ＴＰ３４１フタナシ,1.0,6.0,4.92,4,0.8099999999999998,0.2200000000000002,0.4699999999999998,0.13000000000000034,0.8700000000000001,アイシン機工（株）,487,491.5
286,35771ECE010    ,2023,35,0.79,0.79,2.0,ＴＰ３４１フタナシ,1.0,6.0,4.92,6,0.8200000000000001,0.18000000000000016,0.8099999999999996,0.13000000000000012,1.1599999999999997,アイシン機工（株）,329,0.0
287,35771ECE010    ,2023,35,0.79,0.8138230289279638,2.0,ＴＰ３４１フタナシ,1.0,6.0,4.92,6,0.8199999999999998,0.20000000000000015,0.9399999999999996,0.1399999999999999,1.28,アイシン機工（株）,121,81.16666666666677
288,35771ECE010    ,2023,36,0.79,0.8138230289279638,2.0,ＴＰ３４１フタナシ,1.0,6.0,4.92,6,0.8200000000000001,0.2,0.4899999999999999,0.1200000000000001,0.8799999999999999,アイシン機工（株）,434,443.33333333333337
289,35771ECE010    ,2023,37,0.79,0.8138230289279638,2.0,ＴＰ３４１フタナシ,1.0,6.0,4.92,6,0.8099999999999998,0.20000000000000015,0.34999999999999964,0.1399999999999999,0.76,アイシン機工（株）,371,415.3333333333334
290,35771ECE010    ,2023,38,0.79,0.8138230289279638,2.0,ＴＰ３４１フタナシ,1.0,6.0,4.92,6,0.8,0.18500000000000005,0.2749999999999999,0.1499999999999999,0.6099999999999999,アイシン機工（株）,390,408.83333333333337
291,35771ECE010    ,2023,39,0.79,0.8138230289279638,2.0,ＴＰ３４１フタナシ,1.0,6.0,4.92,6,0.8049999999999999,0.2100000000000002,0.54,0.13999999999999968,0.9999999999999996,アイシン機工（株）,414,414.33333333333337
292,35847ECB010    ,2023,35,0.51,0.51,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,80,3.91,0.16000000000000014,1.2000000000000002,0.20000000000000015,2.890000000000001,（株）メタルテック,21,0.0
293,35847ECB010    ,2023,35,0.51,0.7139825157843613,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,80,2.92,0.11500000000000021,2.785,0.16500000000000004,3.040000000000001,（株）メタルテック,6,4.9125
294,35847ECB010    ,2023,36,0.51,0.7139825157843613,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,80,1.93,0.14000000000000035,1.4049999999999998,0.1449999999999998,2.5100000000000002,（株）メタルテック,32,25.8375
295,35847ECB010    ,2023,37,0.51,0.7139825157843613,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,80,1.93,0.17000000000000035,0.9899999999999998,0.2600000000000007,1.7400000000000002,（株）メタルテック,17,24.2125
296,35847ECB010    ,2023,38,0.51,0.7139825157843613,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,80,1.9400000000000004,0.14999999999999947,0.7000000000000002,0.31499999999999995,2.0,（株）メタルテック,28,23.4125
297,35847ECB010    ,2023,39,0.51,0.7139825157843613,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,80,1.94,0.1200000000000001,0.7400000000000002,0.3099999999999996,1.6899999999999995,（株）メタルテック,31,24.575000000000003
298,35847ECB020    ,2023,35,0.5,0.5,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,70,3.91,0.16000000000000014,2.01,0.3899999999999997,2.7700000000000005,（株）メタルテック,19,0.0
299,35847ECB020    ,2023,35,0.5,0.6784847013113162,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,70,1.93,0.1200000000000001,1.9800000000000004,0.3899999999999997,2.390000000000001,（株）メタルテック,7,5.614285714285713
300,35847ECB020    ,2023,36,0.5,0.6784847013113162,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,70,1.93,0.1299999999999999,1.7350000000000003,0.33999999999999986,2.37,（株）メタルテック,30,29.528571428571425
301,35847ECB020    ,2023,37,0.5,0.6784847013113162,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,70,1.935,0.16000000000000014,0.7649999999999997,0.34499999999999975,1.35,（株）メタルテック,16,27.67142857142857
302,35847ECB020    ,2023,38,0.5,0.6784847013113162,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,70,1.9400000000000004,0.14999999999999947,0.8899999999999997,0.16999999999999993,1.3099999999999996,（株）メタルテック,27,26.757142857142856
303,35847ECB020    ,2023,39,0.5,0.6784847013113162,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,70,2.0700000000000003,0.10000000000000007,0.8500000000000001,0.15000000000000036,1.1899999999999995,（株）メタルテック,29,28.085714285714285
304,35847ECE010    ,2023,35,0.5,0.5,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,40,3.91,0.11000000000000032,1.67,0.21,2.140000000000001,（株）メタルテック,49,0.0
305,35847ECE010    ,2023,35,0.5,0.5794100964265456,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,40,1.93,0.1200000000000001,1.68,0.21999999999999972,2.0350000000000006,（株）メタルテック,18,12.175
306,35847ECE010    ,2023,36,0.5,0.5794100964265456,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,40,1.93,0.1299999999999999,1.7649999999999997,0.19999999999999973,2.1800000000000006,（株）メタルテック,66,66.49999999999999
307,35847ECE010    ,2023,37,0.5,0.5794100964265456,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,40,1.93,0.1499999999999999,1.2049999999999996,0.20499999999999985,1.865,（株）メタルテック,38,62.3
308,35847ECE010    ,2023,38,0.5,0.5794100964265456,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,40,1.9400000000000004,0.14999999999999947,1.54,0.21999999999999972,1.8900000000000008,（株）メタルテック,61,61.32499999999999
309,35847ECE010    ,2023,39,0.5,0.5794100964265456,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,40,1.94,0.1200000000000001,1.5099999999999998,0.20000000000000015,1.95,（株）メタルテック,63,62.15000000000001
310,35847ECE020    ,2023,35,0.49,0.49,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,60,2.92,0.11500000000000021,1.9100000000000001,0.23499999999999988,2.5900000000000003,（株）メタルテック,32,0.0
311,35847ECE020    ,2023,35,0.49,0.6091151446398185,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,60,1.93,0.1200000000000001,1.6400000000000006,0.26000000000000023,1.9300000000000006,（株）メタルテック,12,8.116666666666669
312,35847ECE020    ,2023,36,0.49,0.6091151446398185,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,60,1.93,0.1200000000000001,1.95,0.22000000000000064,2.4300000000000006,（株）メタルテック,45,44.33333333333333
313,35847ECE020    ,2023,37,0.49,0.6091151446398185,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,60,1.93,0.1499999999999999,1.8949999999999998,0.19500000000000028,3.08,（株）メタルテック,24,41.53333333333333
314,35847ECE020    ,2023,38,0.49,0.6091151446398185,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,60,1.9400000000000004,0.14999999999999947,1.9549999999999996,0.23000000000000045,2.33,（株）メタルテック,40,40.883333333333326
315,35847ECE020    ,2023,39,0.49,0.6091151446398185,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,60,1.94,0.1200000000000001,1.54,0.21,1.95,（株）メタルテック,43,41.43333333333334
316,35882ECB010    ,2023,35,0.5,0.5,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,50,1.93,0.11500000000000021,1.0949999999999998,0.1549999999999998,1.7800000000000002,（株）メタルテック,28,0.0
317,35882ECB010    ,2023,35,0.5,0.6274890723652258,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,50,1.93,0.17000000000000035,0.6199999999999999,0.1399999999999999,1.2500000000000004,（株）メタルテック,14,7.860000000000001
318,35882ECB010    ,2023,36,0.5,0.6274890723652258,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,50,1.93,0.1200000000000001,0.8499999999999999,0.25,1.6700000000000004,（株）メタルテック,46,41.34
319,35882ECB010    ,2023,37,0.5,0.6274890723652258,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,50,1.93,0.17000000000000035,0.5899999999999999,0.27999999999999936,1.41,（株）メタルテック,25,38.74
320,35882ECB010    ,2023,38,0.5,0.6274890723652258,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,50,1.9400000000000004,0.14999999999999947,0.79,0.23999999999999974,1.6399999999999997,（株）メタルテック,43,37.46000000000001
321,35882ECB010    ,2023,39,0.5,0.6274890723652258,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,50,2.0700000000000003,0.1200000000000001,0.5700000000000003,0.21999999999999972,1.14,（株）メタルテック,45,39.32
322,36108ECB010    ,2023,35,0.64,0.64,1.0,ＴＰ３３１．５フタナシ,1.0,1.0,1.97,150,1.2999999999999994,0.27,2.97,0.1800000000000006,3.38,（株）オーハシテクニカ,9,0.0
323,36108ECB010    ,2023,35,0.64,1.0224672170956774,1.0,ＴＰ３３１．５フタナシ,1.0,1.0,1.97,150,1.2999999999999994,0.25,2.53,0.10000000000000007,2.9800000000000004,（株）オーハシテクニカ,3,2.62
324,36108ECB010    ,2023,36,0.64,1.0224672170956774,1.0,ＴＰ３３１．５フタナシ,1.0,1.0,1.97,150,1.295,0.2749999999999999,1.7300000000000004,0.1849999999999996,2.9450000000000003,（株）オーハシテクニカ,14,13.78
325,36108ECB010    ,2023,37,0.64,1.0224672170956774,1.0,ＴＰ３３１．５フタナシ,1.0,1.0,1.97,150,1.3,0.28000000000000025,0.5,0.5499999999999998,1.5499999999999998,（株）オーハシテクニカ,13,12.913333333333332
326,36108ECB010    ,2023,38,0.64,1.0224672170956774,1.0,ＴＰ３３１．５フタナシ,1.0,1.0,1.97,150,1.29,0.2599999999999998,1.79,0.5999999999999996,2.6000000000000005,（株）オーハシテクニカ,13,12.486666666666666
327,36108ECB010    ,2023,39,0.64,1.0224672170956774,1.0,ＴＰ３３１．５フタナシ,1.0,1.0,1.97,150,1.2999999999999998,0.2999999999999998,1.1800000000000006,0.5500000000000007,2.58,（株）オーハシテクニカ,13,13.106666666666666
328,39171ECB010    ,2023,39,0.62,0.7423895094706168,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,16,0.8900000000000001,0.009999999999999787,0.4499999999999997,0.10999999999999988,0.57,（株）アイシン福井,111,98.875
329,39171ECE010    ,2023,39,0.63,0.7491151446398185,3.0,Aﾊﾟﾚﾌﾀﾅｼ,1.0,24.0,19.68,20,0.835,0.010000000000000007,0.8199999999999998,0.11000000000000032,1.0199999999999998,（株）アイシン福井,112,99.65000000000002
330,41310ECB010    ,2023,35,0.69,0.69,2.0,サンボックス＃２４Ａフタアリ,1.0,4.0,4.0,2,1.01,0.3400000000000003,0.29499999999999993,0.09999999999999988,1.0499999999999998,（株）オンド,662,0.0
331,41310ECB010    ,2023,35,0.69,0.7001991257892181,2.0,サンボックス＃２４Ａフタアリ,1.0,4.0,4.0,2,0.99,0.30000000000000004,0.25,0.08000000000000007,0.8799999999999999,（株）オンド,272,196.5
332,41310ECB010    ,2023,36,0.69,0.7001991257892181,2.0,サンボックス＃２４Ａフタアリ,1.0,4.0,4.0,2,1.02,0.46,0.22,0.09000000000000008,0.79,（株）オンド,979,1033.5
333,41310ECB010    ,2023,37,0.69,0.7001991257892181,2.0,サンボックス＃２４Ａフタアリ,1.0,4.0,4.0,2,1.0,0.29000000000000004,0.16999999999999993,0.08000000000000007,0.73,（株）オンド,804,968.5
334,41310ECB010    ,2023,38,0.69,0.7001991257892181,2.0,サンボックス＃２４Ａフタアリ,1.0,4.0,4.0,2,1.0099999999999998,0.23,0.31000000000000005,0.10000000000000007,0.7600000000000002,（株）オンド,876,936.5
335,41310ECB010    ,2023,39,0.69,0.7001991257892181,2.0,サンボックス＃２４Ａフタアリ,1.0,4.0,4.0,2,1.01,0.3899999999999999,0.3600000000000001,0.09000000000000008,0.8899999999999999,（株）オンド,957,983.0
336,41310ECE010    ,2023,35,0.7,0.7,3.0,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1.0,4.0,4.0,2,1.0099999999999998,0.3200000000000003,0.6199999999999999,0.10000000000000007,1.2199999999999998,（株）オンド,987,0.0
337,41310ECE010    ,2023,35,0.7,0.7119115144639818,3.0,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1.0,4.0,4.0,2,0.97,0.3900000000000001,0.7350000000000001,0.08000000000000007,1.2650000000000001,（株）オンド,364,243.5
338,41310ECE010    ,2023,36,0.7,0.7119115144639818,3.0,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1.0,4.0,4.0,2,1.02,0.5699999999999998,0.51,0.08999999999999986,1.15,（株）オンド,1270,1330.0
339,41310ECE010    ,2023,37,0.7,0.7119115144639818,3.0,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1.0,4.0,4.0,2,0.995,0.51,0.5399999999999999,0.08999999999999986,1.18,（株）オンド,988,1246.0
340,41310ECE010    ,2023,38,0.7,0.7119115144639818,3.0,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1.0,4.0,4.0,2,1.0099999999999998,0.30999999999999983,0.6700000000000004,0.10000000000000052,1.23,（株）オンド,1148,1226.5
341,41310ECE010    ,2023,39,0.7,0.7119115144639818,3.0,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1.0,4.0,4.0,2,1.01,0.5349999999999996,0.44,0.09999999999999963,1.3000000000000005,（株）オンド,1206,1243.0
342,5040056001E    ,2023,35,0.58,0.58,3.0,AW131ﾌﾀﾅｼ,1.0,1.0,1.78,300,1.82,0.19000000000000014,0.7799999999999998,0.5100000000000007,2.1700000000000004,サトープレス工業（株）,19,0.0
343,5040056001E    ,2023,35,0.58,1.038960660514813,3.0,AW131ﾌﾀﾅｼ,1.0,1.0,1.78,300,1.82,0.18000000000000016,1.04,0.6200000000000001,2.23,サトープレス工業（株）,11,6.549999999999999
344,5040056001E    ,2023,36,0.58,1.038960660514813,3.0,AW131ﾌﾀﾅｼ,1.0,1.0,1.78,300,1.83,0.2599999999999998,0.7899999999999998,0.7549999999999999,1.8250000000000002,サトープレス工業（株）,34,34.45
345,5040056001E    ,2023,37,0.58,1.038960660514813,3.0,AW131ﾌﾀﾅｼ,1.0,1.0,1.78,300,1.84,0.18999999999999995,0.7150000000000003,0.73,1.7950000000000002,サトープレス工業（株）,30,32.28333333333334
346,5040056001E    ,2023,38,0.58,1.038960660514813,3.0,AW131ﾌﾀﾅｼ,1.0,1.0,1.78,300,1.82,0.18000000000000016,0.56,0.8599999999999994,1.8000000000000005,サトープレス工業（株）,35,31.21666666666667
347,5040056001E    ,2023,39,0.58,1.038960660514813,3.0,AW131ﾌﾀﾅｼ,1.0,1.0,1.78,300,1.83,0.16999999999999993,0.8500000000000001,0.4900000000000002,1.87,サトープレス工業（株）,31,32.766666666666666
348,82125ECB010    ,2023,35,0.58,0.58,1.0,ＴＰ３３２フタアリ,1.0,1.0,1.79,100,3.84,0.23,2.3100000000000005,0.2999999999999998,3.06,矢崎総業（株）,13,0.0
349,82125ECB010    ,2023,35,0.58,0.8349781447304516,1.0,ＴＰ３３２フタアリ,1.0,1.0,1.79,100,1.84,0.2499999999999996,1.0100000000000002,0.3300000000000001,1.7300000000000002,矢崎総業（株）,5,3.93
350,82125ECB010    ,2023,36,0.58,0.8349781447304516,1.0,ＴＰ３３２フタアリ,1.0,1.0,1.79,100,1.85,0.2,1.8999999999999997,0.3300000000000001,3.1499999999999995,矢崎総業（株）,21,20.67
351,82125ECB010    ,2023,37,0.58,0.8349781447304516,1.0,ＴＰ３３２フタアリ,1.0,1.0,1.79,100,1.85,0.20999999999999996,0.7450000000000001,0.5349999999999999,1.62,矢崎総業（株）,20,19.37
352,82125ECB010    ,2023,38,0.58,0.8349781447304516,1.0,ＴＰ３３２フタアリ,1.0,1.0,1.79,100,1.84,0.20999999999999952,0.79,0.5300000000000002,1.5499999999999998,矢崎総業（株）,19,18.73
353,82125ECB010    ,2023,39,0.58,0.8349781447304516,1.0,ＴＰ３３２フタアリ,1.0,1.0,1.79,100,1.85,0.2200000000000002,0.865,0.4950000000000001,1.8000000000000003,矢崎総業（株）,20,19.66
354,82125ECE010    ,2023,35,0.58,0.58,1.0,ＴＰ３３２フタアリ,1.0,1.0,1.79,100,1.84,0.17500000000000007,2.3,0.17000000000000037,3.6399999999999997,矢崎総業（株）,20,0.0
355,82125ECE010    ,2023,35,0.58,0.7785252410663641,1.0,ＴＰ３３２フタアリ,1.0,1.0,1.79,100,1.84,0.2500000000000002,1.98,0.17999999999999972,2.31,矢崎総業（株）,7,4.87
356,82125ECE010    ,2023,36,0.58,0.7785252410663641,1.0,ＴＰ３３２フタアリ,1.0,1.0,1.79,100,1.85,0.22000000000000008,1.7650000000000001,0.135,2.285,矢崎総業（株）,26,26.599999999999998
357,82125ECE010    ,2023,37,0.58,0.7785252410663641,1.0,ＴＰ３３２フタアリ,1.0,1.0,1.79,100,1.85,0.18999999999999995,0.6799999999999997,0.2250000000000003,1.25,矢崎総業（株）,26,24.92
358,82125ECE010    ,2023,38,0.58,0.7785252410663641,1.0,ＴＰ３３２フタアリ,1.0,1.0,1.79,100,1.84,0.18999999999999995,1.345,0.3500000000000001,1.935,矢崎総業（株）,24,24.53
359,82125ECE010    ,2023,39,0.58,0.7785252410663641,1.0,ＴＰ３３２フタアリ,1.0,1.0,1.79,100,1.85,0.2200000000000002,1.155,0.3200000000000003,1.7599999999999998,矢崎総業（株）,24,24.860000000000003
360,82821CWA030    ,2023,35,0.83,0.83,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,200,1.85,0.3000000000000003,4.43,0.3099999999999996,4.984999999999999,石黒ゴム工業（株）,16,0.0
361,82821CWA030    ,2023,35,0.83,1.106448697501329,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,200,3.28,0.3500000000000001,2.6499999999999995,0.4299999999999997,3.76,石黒ゴム工業（株）,7,4.4
362,82821CWA030    ,2023,36,0.83,1.106448697501329,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,200,1.85,0.30999999999999983,3.76,0.3500000000000005,4.79,石黒ゴム工業（株）,23,23.634999999999998
363,82821CWA030    ,2023,37,0.83,1.106448697501329,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,200,1.85,0.25,2.6300000000000003,0.33999999999999986,3.85,石黒ゴム工業（株）,23,22.130000000000003
364,82821CWA030    ,2023,38,0.83,1.106448697501329,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,200,1.85,0.31999999999999995,3.3600000000000003,0.29000000000000004,4.0600000000000005,石黒ゴム工業（株）,22,21.624999999999996
365,82821CWA030    ,2023,39,0.83,1.106448697501329,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,200,1.85,0.3400000000000003,2.8449999999999998,0.2799999999999998,3.9800000000000004,石黒ゴム工業（株）,22,22.26
366,82821ECB010    ,2023,35,0.83,0.83,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,400,1.85,0.3500000000000001,4.51,0.47500000000000053,5.52,石黒ゴム工業（株）,8,0.0
367,82821ECB010    ,2023,35,0.83,1.382779844796428,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,400,1.2850000000000001,0.32999999999999996,1.115,0.4000000000000006,1.9149999999999998,石黒ゴム工業（株）,4,2.2
368,82821ECB010    ,2023,36,0.83,1.382779844796428,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,400,2.56,0.29999999999999993,3.915,0.7450000000000001,5.25,石黒ゴム工業（株）,12,11.817499999999999
369,82821ECB010    ,2023,37,0.83,1.382779844796428,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,400,1.85,0.26,2.38,0.75,3.96,石黒ゴム工業（株）,11,11.0725
370,82821ECB010    ,2023,38,0.83,1.382779844796428,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,400,1.85,0.31999999999999984,3.71,0.6800000000000006,4.56,石黒ゴム工業（株）,11,10.815
371,82821ECB010    ,2023,39,0.83,1.382779844796428,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,400,2.565,0.26,2.34,0.8349999999999995,4.59,石黒ゴム工業（株）,10,11.13
