,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,A,B,C,収容数,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収回収LT）,仕入先名,回収かんばん数,日量数（箱数）,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,不等ピッチ係数,順立装置在庫量/設計値MAX
18,01912ECB060    ,2023,35,3.5,4.0,3.0,0.78,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400,12.29,-0.05000000000000071,6.469999999999999,3.5600000000000023,8.36,新光ゴム工業（株）,3,0.0,10.717948717948717,10.717948717948717,inf,0.0,0.0
19,01912ECB060    ,2023,35,3.5,4.0,3.0,0.78,1.799912578921807,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400,4.290000000000001,-0.02499999999999991,3.5549999999999997,1.83,5.359999999999999,新光ゴム工業（株）,2,0.9825,6.8717948717948705,2.9779224073264574,8.38197874569675,0.0,0.371802350571635
20,01912ECB060    ,2023,36,3.0,4.0,5.0,0.78,1.799912578921807,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400,5.29,-0.05999999999999961,6.68,1.6500000000000004,7.77,新光ゴム工業（株）,5,3.0975,9.96153846153846,4.316876325546003,2.2788776527560173,0.0,0.54237262123711
21,01912ECB060    ,2023,37,2.0,5.0,4.0,0.78,1.799912578921807,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400,5.29,0.0,2.56,1.3599999999999994,5.99,新光ゴム工業（株）,5,4.8425,7.67948717948718,3.3279394066950525,0.9717877858422667,0.0,0.3302284818953039
22,01912ECB060    ,2023,38,1.0,5.0,3.0,0.78,1.799912578921807,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400,5.28,-0.049999999999999815,1.63,1.59,5.01,新光ゴム工業（株）,5,3.7824999999999998,6.4230769230769225,2.783468518788349,0.6220597954978422,0.0,0.21769016476273592
23,01912ECB060    ,2023,39,1.0,7.0,1.0,0.78,1.799912578921807,1.0,ＴＰ３３１フタナシ,1.0,1.0,3.25,400,5.2799999999999985,-0.030000000000000027,1.2850000000000001,1.8,3.5,新光ゴム工業（株）,4,3.955,4.487179487179487,1.9445388853810825,0.5949282367814382,0.0,0.21062926974552582
24,1040043104R    ,2023,35,4.0,6.0,6.0,0.75,0.75,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000,1.93,0.43499999999999983,3.2149999999999994,2.215,6.05,（株）ギフ加藤製作所,8,0.0,8.066666666666666,8.066666666666666,inf,0.12,0.0
25,1040043104R    ,2023,35,4.0,6.0,6.0,0.75,2.4242851068353355,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000,3.74,0.3900000000000001,1.3600000000000003,1.2199999999999998,3.16,（株）ギフ加藤製作所,3,1.76,4.213333333333334,1.3034770502406243,9.469696969696969,0.12,0.38322630093716253
26,1040043104R    ,2023,36,4.0,8.0,8.0,0.75,2.4242851068353355,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000,1.915,0.41999999999999993,4.5649999999999995,1.3250000000000002,6.110000000000001,（株）ギフ加藤製作所,8,9.453999999999999,8.146666666666668,2.5203306256234863,1.7629222198716596,0.12,0.5744961989441001
27,1040043104R    ,2023,37,3.0,10.0,8.0,0.75,2.4242851068353355,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000,1.91,0.4399999999999995,2.4300000000000006,1.4399999999999995,5.26,（株）ギフ加藤製作所,7,8.858,7.013333333333333,2.1697117988182546,1.4111537593136148,0.12,0.4774748259240951
28,1040043104R    ,2023,38,4.0,8.0,8.0,0.75,2.4242851068353355,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000,1.815,0.43000000000000005,3.835,1.6149999999999998,6.055,（株）ギフ加藤製作所,6,6.896,8.073333333333332,2.4976435250655,2.416860015467904,0.12,0.6441576495389814
29,1040043104R    ,2023,39,5.0,10.0,8.0,0.75,2.4242851068353355,3.0,AW131ﾌﾀﾅｼ,1.0,2.0,3.8,1000,2.83,0.41000000000000014,2.525,1.4899999999999998,5.43,（株）ギフ加藤製作所,8,7.26,7.239999999999999,2.2398355641793004,2.869605142332415,0.12,0.7285862870292774
30,1040052001Z    ,2023,35,3.0,14.0,15.0,0.53,0.53,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200,0.93,0.27,2.42,0.6299999999999999,4.36,（株）青山製作所,11,0.0,8.226415094339623,8.226415094339623,inf,0.08,0.0
31,1040052001Z    ,2023,35,3.0,14.0,15.0,0.53,1.7211514463981852,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200,0.885,0.22999999999999987,1.56,0.7249999999999999,2.515,（株）青山製作所,2,2.435,4.745283018867925,1.4612310876321104,10.93520284801283,0.08,0.2617164756053826
32,1040052001Z    ,2023,36,3.0,17.0,18.0,0.53,1.7211514463981852,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200,0.93,0.15999999999999992,1.5200000000000002,0.5,3.45,（株）青山製作所,15,13.299999999999999,6.509433962264151,2.0044720685211854,2.0020465364594924,0.08,0.6142866862205673
33,1040052001Z    ,2023,37,3.0,17.0,17.0,0.53,1.7211514463981852,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200,0.92,0.31000000000000005,2.02,0.79,3.74,（株）青山製作所,13,12.46,7.056603773584905,2.172963923556299,2.137015965883727,0.08,0.6202598408690903
34,1040052001Z    ,2023,38,3.0,19.0,17.0,0.53,1.7211514463981852,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200,0.8999999999999999,0.17499999999999993,1.68,0.6749999999999998,3.0150000000000006,（株）青山製作所,12,12.265,5.688679245283019,1.7517342859685143,2.170992167542702,0.08,0.6213226971885526
35,1040052001Z    ,2023,39,3.0,20.0,17.0,0.53,1.7211514463981852,3.0,ＴＰ１３１フタナシ,1.0,6.0,5.76,200,0.905,0.20499999999999996,1.9899999999999998,0.7049999999999996,3.09,（株）青山製作所,10,12.43,5.830188679245283,1.7953097657189745,2.142173687442578,0.08,0.6204320234563205
36,1040183011P    ,2023,35,1.0,7.0,5.0,0.54,0.54,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,0.9149999999999999,0.23,0.64,0.9450000000000001,2.765,（株）青山製作所,8,0.0,5.12037037037037,5.12037037037037,inf,0.08,0.0
37,1040183011P    ,2023,35,1.0,7.0,5.0,0.54,0.9650151791135398,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,0.915,0.365,0.32999999999999996,0.7650000000000002,1.48,（株）青山製作所,4,2.358,2.7407407407407405,1.533654632624042,3.7640965415480974,0.08,0.23391831789362613
