,Unnamed: 0,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,A,B,C,収容数,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収回収LT）,仕入先名,回収かんばん数,日量数（箱数）,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,不等ピッチ係数,順立装置在庫量/設計値MAX,時間稼働率,加工数,先週からの順立装置在庫量増加率,先週からの社内LT増加率,先週からの回収かんばん増加率,使用工程,納入かんばん数,納入数/日量数,入庫数/納入数,出庫数/入庫数,回収数/出庫数,回収数/納入数
0,-1.702635460180401,019128GA010    ,0.0,-1.3212194593633888,1.401548520298137,0.14779349802158534,0.13112198588287727,2.2092427549954876,-0.2684236858673015,-0.833970814558632,ＴＰ３４２フタナシ,0.0,-0.1427057922332854,0.20957003700492685,-0.5319325837386235,0.1871098654672501,0.04566165568153382,-0.24301397159675384,-0.37272752870488207,-0.2933729912810595,石黒ゴム工業（株）,0.15769392325557247,0.15062136662521394,-0.4061826317387219,0.09090587878905809,-0.25560283906053544,2.7154503969641577,1.7924880637198342,0.4526333324822582,1.4698781743469187,-0.398702027348966,-0.5215898844508422,1.613670016856584,8.ファイナル後半,0.11207062265096578,-0.27893317704210435,0.012724427871967562,-0.15879586318048736,-0.02850457248040985,0.07360153165525417
1,-1.6990664148352135,019128GA010    ,0.0,-0.4347054316136305,1.3521848068425628,0.15467945725525023,0.11080363131906319,2.2092427549954876,-0.2684236858673015,-0.833970814558632,ＴＰ３４２フタナシ,0.0,-0.1427057922332854,0.20957003700492685,-0.5319325837386235,0.1871098654672501,-0.05601453704130896,-0.27138110063809556,-0.37058103335870596,-0.2833137778494952,石黒ゴム工業（株）,0.13796235611315322,0.11333882657343393,-0.3978200725261195,0.13486710237213578,-0.2529594693432133,2.7154503969641577,1.918089068060873,-1.747637355010315,-0.20801293902870074,-0.07737966559270977,-0.11184850110519436,-0.5577315474183423,8.ファイナル後半,0.1586179364945511,-0.22700198104439667,-0.21280242854853285,-0.33997607462375035,-0.02253039396579087,-0.27802736478463863
2,-1.6954973694900257,019128GA010    ,0.0,0.45180859613612784,1.20409366647584,0.05827602798394199,0.08371249190064445,2.2092427549954876,-0.2684236858673015,-0.833970814558632,ＴＰ３４２フタナシ,0.0,-0.1427057922332854,0.20957003700492685,-0.5319325837386235,0.1871098654672501,-0.039068504920834725,-0.2518786994221731,-0.36414154732017784,-0.2933729912810595,石黒ゴム工業（株）,0.11823078897073397,0.10045257950855674,-0.4061826317387219,0.09090587878905809,-0.2564941031901362,2.7154503969641577,1.7366646041325189,0.5009909300095924,-1.3266070146124471,-0.19447805674528082,-0.16525254056509872,-0.558626403032087,8.ファイナル後半,0.10542100638759644,-0.25221419934472666,-0.4671452391790687,0.15006813733019522,0.008393639050586325,-0.1036544730622382
3,-1.691928324144838,019128GA010    ,0.0,1.3383226238858863,1.3521848068425628,0.12713562032059073,0.11080363131906319,2.2092427549954876,-0.2684236858673015,-0.833970814558632,ＴＰ３４２フタナシ,0.0,-0.1427057922332854,0.20957003700492685,-0.5319325837386235,0.1871098654672501,0.05413467174177131,-0.2549813541610699,-0.37702051939723386,-0.2883433845652773,石黒ゴム工業（株）,0.15111673420809937,0.11621633805394023,-0.40200135213242066,0.1128864905805971,-0.2533041654571807,2.7154503969641577,1.9013968063232316,0.7427789176461261,-0.02158059309807634,0.1666547542628605,-0.125442256604079,-0.4830573893058602,8.ファイナル後半,0.18521640154802843,-0.21227786433710588,-0.48717909070133686,-0.16208732862371777,0.019786703846093875,-0.3385080524541197
4,-1.6812211881092747,01912ECB010    ,0.0,-1.3212194593633888,0.019364543542058025,-0.24470617829731245,-0.25492675082959,0.8754118324559659,-0.2797828354316953,-0.833970814558632,ＴＰ３３２フタナシ,0.0,-0.1427057922332854,0.20957003700492685,-0.027261950600393103,0.1871098654672501,-0.022122472800360768,-0.24035455324912802,-0.3469695845507694,-0.2925992056324776,石黒ゴム工業（株）,-0.2500917976877586,-0.2436394092691134,-0.34693333212291744,0.18633285374866956,-0.2587285858174491,2.7154503969641577,1.4341179215557562,0.4526333324822582,1.4698781743469187,-0.18621465909079646,-0.11088611133536178,1.5034192162400999,8.ファイナル後半,-0.24700865557097812,-0.24743612751043173,-0.17503875891889964,-0.3339018247603348,-0.0059058198254076325,-0.21204843278156832
5,-1.677652142764087,01912ECB010    ,0.0,-0.4347054316136305,0.019364543542058025,-0.2584780967646422,-0.25492675082959,0.8754118324559659,-0.2797828354316953,-0.833970814558632,ＴＰ３３２フタナシ,0.0,-0.1427057922332854,0.20957003700492685,-0.027261950600393103,0.1871098654672501,-0.10685263340273016,-0.25542459055234085,-0.36414154732017784,-0.30111084776687813,石黒ゴム工業（株）,-0.2500917976877586,-0.25619203181451133,-0.3558407820715447,0.1462584783829603,-0.25458340493409964,2.7154503969641577,1.5975050619869964,-1.747637355010315,-0.20801293902870074,-0.02094670600110913,-0.16197547450733185,-0.5308858790060037,8.ファイナル後半,-0.25365827183434747,-0.23514971630021198,-0.2908473457831086,-0.06663483077004169,-0.0059058198254076325,-0.11088073704352683
6,-1.6740830974188994,01912ECB010    ,0.0,0.45180859613612784,-0.029999169913516224,-0.2791359744656368,-0.2684723205387993,0.8754118324559659,-0.2797828354316953,-0.833970814558632,ＴＰ３３２フタナシ,0.0,-0.1427057922332854,0.20957003700492685,-0.027261950600393103,0.1871098654672501,-0.005176440679887758,-0.2713811006380956,-0.35555556593547344,-0.2809924209037496,石黒ゴム工業（株）,-0.26324617578270476,-0.26040404137293394,-0.3347868094656988,0.24097972924736472,-0.25818763288159946,2.7154503969641577,1.432100559450696,0.5009909300095924,-1.3266070146124471,-0.1989275785592339,-0.08306641468233572,-0.584577215830681,8.ファイナル後半,-0.25365827183434747,-0.22631216697914666,-0.6274160513572143,0.09372536562413408,0.008393639050586325,-0.31321612851960917
7,-1.6705140520737116,01912ECB010    ,0.0,1.3383226238858863,0.06872825699763227,-0.2584780967646422,-0.2481539659749853,0.8754118324559659,-0.2797828354316953,-0.833970814558632,ＴＰ３３２フタナシ,0.0,-0.1427057922332854,0.20957003700492685,-0.027261950600393103,0.1871098654672501,0.13039181628390312,-0.26162990003013437,-0.3512625752431218,-0.29878949082113254,石黒ゴム工業（株）,-0.2500917976877586,-0.25510775212620457,-0.3534114775401009,0.15718785348269895,-0.24998534135117653,2.7154503969641577,1.799136373364727,0.7427789176461261,-0.02158059309807634,0.3646785178748283,-0.18503994760600162,-0.4734916913658316,8.ファイナル後半,-0.24700865557097812,-0.22481884758645024,-0.3921798592892912,0.07654391601047265,-0.07214354312455255,-0.21204843278156832
8,-1.6598069160381483,01912ECB040    ,0.0,-1.3212194593633888,0.8832295290146074,0.13402157955425562,0.12434920102827257,-2.7623088653790915,-0.38234728620937664,-0.833970814558632,ＴＰ３４２フタナシ,0.0,-0.6385884892673834,-0.4576215843236179,-0.5319325837386235,0.5163103196378044,-0.5135574042941031,-0.3068400119397728,-0.3727275287048826,-0.3800369839222286,愛産樹脂工業（株）,0.15769392325557247,0.15062136662521394,0.026045890271414254,1.7890592570075823,-0.2842354808273918,-0.667002075961709,-0.23249528957477106,0.4526333324822582,1.4698781743469187,-0.1962308986719898,-0.021443428127174525,1.5034192162400999,8.ファイナル後半,0.11872023891433511,-0.27499604585064524,-0.10560410473069334,-0.11379959441538685,-0.0059058198254076325,0.03498896378806688
9,-1.6562378706929606,01912ECB040    ,0.0,-0.4347054316136305,0.6610928184645233,0.1822232941899097,0.10403084646445851,-2.7623088653790915,-0.38234728620937664,-0.833970814558632,ＴＰ３４２フタナシ,0.0,-0.6385884892673834,-0.4576215843236179,-0.5319325837386235,0.5063345482993026,-0.5305034364145766,-0.37421194341295944,-0.3770205193972341,-0.44735633534885116,愛産樹脂工業（株）,0.1445395451606263,0.11333882657343393,-0.2134835365289402,0.7388322356617215,-0.28743207809747334,-0.667002075961709,-0.3536286281189915,-1.747637355010315,-0.20801293902870074,-0.3623198550060374,-0.4062471557588659,-0.5487829912808961,8.ファイナル後半,0.16526755275792043,-0.22279994466100833,-0.10265839212876933,-0.5459723743395883,0.022398870377692073,-0.27731791390288485
