,Unnamed: 0,基準在庫日数,基準在庫枚数,納入回数（便）,遅れ（便）,収容数,不等ピッチ係数,時間稼働率,加工数,先週からの回収かんばん増加率,納入数/日量数,入庫数/納入数,出庫数/入庫数,回収数/出庫数,便Ave,箱種類_AW131ﾌﾀﾅｼ,箱種類_TP131ﾌﾀﾅｼ,箱種類_TP341ﾌﾀﾅｼ,箱種類_サンボックス＃２０Ｂフタナシ,箱種類_サンボックス＃２４Ａフタアリ,箱種類_サンボックス＃２４Ｂフタナシ,箱種類_サンボックス＃９Ｂフタナシ,箱種類_サンボックス＃９Ｆフタナシ,箱種類_サンボックス＃Ｋ１０Ｂフタナシ,箱種類_サンボックスＣ３フタナシ,箱種類_テンバコ１０フタナシ,箱種類_ＡＷ１３１フタナシ,箱種類_Ｔ２０３フタナシ,箱種類_ＴＰ１３１フタナシ,箱種類_ＴＰ３３１フタアリ,箱種類_ＴＰ３３１フタナシ,箱種類_ＴＰ３３１．５フタアリ,箱種類_ＴＰ３３１．５フタナシ,箱種類_ＴＰ３３２,箱種類_ＴＰ３３２フタアリ,箱種類_ＴＰ３３２フタナシ,箱種類_ＴＰ３４１フタナシ,箱種類_ＴＰ３４２フタアリ,箱種類_ＴＰ３４２フタナシ,箱種類_ＴＰ３６２フタナシ,箱種類_ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,箱種類_ｻﾝﾎﾞｯｸｽ＃K-10Bﾌﾀﾅｼ,仕入先名_アイコー（株）,仕入先名_アイシン機工（株）,仕入先名_アイシン精機（株）,仕入先名_サトープレス工業（株）,仕入先名_サンコール（株）,仕入先名_マレリ（株）,仕入先名_ミズショー（株）,仕入先名_三共鋼業（株）,仕入先名_中庸スプリング（株）,仕入先名_五興商事（株）,仕入先名_伊藤金属工業（株）,仕入先名_住友電気工業（株）,仕入先名_住友電装（株）,仕入先名_佐藤工業（株）,仕入先名_多摩川精機販売（株）,仕入先名_大橋鉄工（株）,仕入先名_小川工業（株）,仕入先名_岡谷鋼機（株）,仕入先名_愛産樹脂工業（株）,仕入先名_新光ゴム工業（株）,仕入先名_日本精工（株）,仕入先名_矢崎総業（株）,仕入先名_石黒ゴム工業（株）,仕入先名_（株）オンド,仕入先名_（株）オーハシテクニカ,仕入先名_（株）ギフ加藤製作所,仕入先名_（株）ジェイテクト,仕入先名_（株）ニフコ,仕入先名_（株）バルカー,仕入先名_（株）ムロコーポレーション,仕入先名_（株）メタルテック,仕入先名_（株）旭工業所,仕入先名_（株）杉浦製作所,仕入先名_（株）東郷製作所,仕入先名_（株）松尾製作所,仕入先名_（株）槌屋,仕入先名_（株）浅賀井製作所,仕入先名_（株）青山製作所,仕入先名_ＮＯＫ（株）,使用工程_1.デフ・大物ギヤ・Brg,使用工程_2.MGケース,使用工程_3.ギヤサブ・共通部品,使用工程_4.TA・カバー・メイン,使用工程_7.ファイナル前半,使用工程_8.ファイナル後半,品番
56,56,0.010000675187652068,-0.003371962119208915,-0.002175907067694832,-0.005761199054939836,0.02606732431862669,-0.003098628721578848,-0.09876137571575548,-0.9268401800898456,0.29608444894234914,-0.03581843237770448,-0.0034397758365792065,-0.015508178474109712,-0.00553679969057265,0.4456004677796673,-0.00029470076511319075,-2.528106284246121e-07,-1.598543285342662e-05,-0.0008464337103595135,1.806966814951017e-08,-0.0007839562136024339,-0.0001395038523216723,-0.0002347626136096605,4.3417372010160166e-06,0.0,-5.603745557909073e-06,0.0015502378955838127,0.0001427499593299295,0.003121302555985481,-0.0017098725171811535,-0.002332558685456401,-2.6299336583362296e-05,0.0004583552160976166,5.390880618000335e-05,0.000789580668955465,-0.0014433475842281279,0.00012383952545605252,-0.00037246109684984177,0.00024591991814109585,5.0773620376561574e-05,0.0,-0.0011157720271294234,-6.672423503985661e-07,-0.00011869285540660283,-0.0002112017215974098,-0.0009837839007799996,9.073097642762656e-05,-3.361262208588033e-05,-0.0023996116240183173,-0.00020773521092205436,-0.0002723594745429339,-0.0012331674714632687,-0.0023584429101547264,1.469493955418963e-06,0.00017893279526711797,-0.0006999156673422503,1.418418064708561e-06,-0.0002945024244353806,-1.6264789226691113e-05,0.0,-0.0001068715010332328,-6.1010943542867285e-05,1.9286392697524046e-06,8.523403663722383e-05,0.00013625771726084098,-3.6251427857304467e-07,-0.0004082588629740728,-0.0012637079485907962,-6.411809142352892e-05,2.335599497906983e-05,-7.08440382420992e-05,-0.006141778886787644,1.0083962308392346e-05,-0.000368583662386741,-0.001194205064928883,-0.0014442691619984836,3.7123599268715635e-05,0.026673486015364643,-0.00013818564308411022,-0.0001831515720372354,4.322820780822683e-05,0.001693510764725617,-0.00012770800280908457,-0.0015964640136602,0.0011837797905137426,-0.0019282308013002832,0.005582180144898544,34989ECB020    
57,57,0.005157711463085603,-0.0013179694518889206,-0.005442975491024191,-0.011751538794556236,0.010456368207690327,-0.0031243697499055588,0.08068820579349263,-0.9132837769059152,0.2872142511122553,-0.020065573417561773,-0.005054804778702881,-0.0018340731678880555,-0.002875038969158093,0.44222144157424303,-0.0004024122395991347,0.00022382736404955324,-0.0005337342429465932,-0.00021768467047470464,7.922429442902466e-07,-0.0002894140013500532,-1.9180806626101073e-05,-9.349147614722995e-05,2.94652065997281e-06,0.0,-6.918858828784726e-07,-0.00012204764721408638,-0.00032908953442294846,0.004125393366147404,-0.0012700063242126315,-0.0019064637444866086,-3.927205242060189e-05,-0.0001837959627963651,0.0005835111391833866,-0.00028203557315252786,-0.000989773074156462,0.0004117706573548604,-0.0011637142206983148,0.00025806887860142406,-4.634729237236178e-05,0.0,-5.7561008113653893e-05,-1.3639313748655451e-06,-9.130492219996573e-05,-0.0002255120760016632,-0.0016650708733907252,8.207247213845238e-06,1.4496271204866666e-05,-0.002343699534413928,-0.0004483885072223408,-0.00024258989549204809,-0.0012496867509005293,-0.0023160808611823354,1.868165209320122e-05,0.00017377156460750734,0.0007055400337304527,-5.277516645297013e-05,-0.000277374340962087,-7.437225978566197e-06,0.0,-0.00012455038510517555,9.428536399653473e-06,-0.0003029767608573508,-5.143841537901598e-05,8.791960959126734e-05,-2.013534832958391e-07,-0.0019146415011937696,-0.0001270258499819631,-0.00010747441012808292,6.200621661902206e-06,-0.00041402695275675333,-0.0065648166161424715,-2.4830016142015172e-05,-7.060659104008391e-05,-0.0010184809803902458,-0.0006889376773558619,0.0005993070789772643,0.031278258054495696,-4.875885162475335e-05,-4.578157301854574e-05,-4.496758370495468e-05,1.0686515419085356e-05,-0.01241526625318201,0.0009471952325834675,0.00636335359985929,-0.0002276645829215265,-0.004754485442724364,34989ECB020    
58,58,0.0037201441515329592,-0.003147032927612332,-0.005422416647750778,-0.007844954498211312,0.0022774998180959192,-0.007872814579156085,-0.0009806841862474065,-0.9148023890600412,0.2868363912433731,-0.05696836653758501,0.0046586744367317365,-0.018021743786580002,-0.004582951181952657,0.4481483347828461,-0.0003636799260877938,0.00010047046518618904,-4.5852237088442826e-05,-0.0002863459426595833,7.922429442902466e-07,-0.0015848567586165384,6.991143160947536e-06,-0.00010234492811706021,4.5305337642244215e-06,0.0,5.956542533472217e-07,0.0008256079165592211,8.669696861024229e-05,0.008465940437427086,-0.0009605362548219584,-0.0021618525121612857,-9.030981882857788e-05,-0.00014581735617796748,0.0004917942711397097,-0.00030668281690334837,-0.0017773965623826774,-0.00022314408103079635,-0.0004674323371338253,0.00025796631575510787,-5.393962543468936e-05,0.0,-7.843023555488074e-05,-1.3639313748655451e-06,-0.0007295103848458562,-0.00017415304878534599,-0.0015166575446102749,0.00044138135218166867,1.2345916154429346e-05,-0.0023706024742978647,-0.0002735231150350225,-0.00030168090210850224,-0.001107772040612441,-0.0023792928609167024,-0.0001489965565522095,0.0009753207305713067,-5.8422876830249755e-05,-8.847532077809713e-05,-0.0005301990529465998,-1.0209646493857897e-05,0.0,-0.00013584834802395055,1.4256484451470456e-05,-1.6456377958050047e-05,-9.178998338715003e-05,0.00023698959805086773,-2.0630790796766685e-07,-0.0005821587749821548,-0.0001715212717109311,-0.0001405294839320566,1.4550240366166547e-05,-0.0010023858889469793,-0.005965867089852079,-1.1196340155669998e-05,-0.000326859031323937,-0.0009179735815414623,-0.0006039695653106452,0.0006554975455456124,0.022298805322294155,-7.396178938285614e-05,-0.0005511031381018819,0.0007415178696767747,2.6539410480249798e-05,-0.0003972609667071951,-0.003017264069066965,0.00701841369024996,-0.0005156304482928847,0.0018740864377540405,34989ECB020    
59,59,-0.004892975531022118,-0.0005369061209455875,0.004372667122082477,-0.1103576483009097,-0.4605840097358917,-0.002007232710711705,0.052030844137478334,0.18767582432830093,0.8881754712581211,-0.10293868258442268,-0.007009339255980597,-0.13263095098838704,-0.0142525144131083,0.2767587127560825,-9.957669425125837e-05,-0.00014611598059282926,-1.3890005787508755e-05,-0.00015764013927420414,1.4670600334296372e-06,-1.9297112287978864e-05,-1.2627272059846473e-05,-6.183938425219347e-05,2.4923422966702995e-06,0.0,4.938259587794629e-06,-0.007010947968645182,-0.00017228180985084742,0.023799985511968418,-0.025859961179562064,-0.005979305623190461,-1.5214522887114716e-05,-2.556504456624695e-05,0.0002460619334154897,-0.000447785116816408,-0.0011054488817626973,4.235208604966939e-07,-0.00032847397014035024,0.0004306597023970831,2.3771400357667967e-05,0.0,-3.550199784716212e-05,-5.134265170775903e-07,-2.7161404975398058e-05,-8.716793030600687e-05,-0.001244620206039466,5.5660944739371536e-06,1.2178693077189486e-05,-0.02494270378880849,-0.0006212027068953053,-0.002315946138243671,-0.019578458297191025,-0.0019167493722088422,2.466167717161123e-05,9.172432886105219e-05,-0.0007892805479762038,-3.156297098975027e-05,-0.002267491479137325,-5.386912902120101e-06,0.0,-7.347308347524208e-05,-2.7693572350237226e-05,-1.1208426746121096e-05,-9.623609357063948e-05,4.399346602821269e-05,-1.3887244868502428e-07,-0.0002884813238865258,-7.372615606273403e-05,-0.00012908289563251816,8.385726087860049e-06,-5.865075917003025e-05,-0.0014153139519131866,-0.00012490251885181788,-5.506064563937863e-05,-0.0003074804365255502,-0.0074825274656450174,3.989802303844822e-05,0.04026759306101945,-8.155991463533299e-05,0.0010399384199790002,-0.006986527982997971,1.1616897894543244e-05,0.004876473341578054,-0.0008770020991159933,0.0013958220659030175,-0.0007239249466285242,0.001932598131384345,34989ECB030    
60,60,0.0013608442364285295,0.00017577555350810518,0.00306807660147347,-0.0037380966580631797,0.026646224759504747,-0.000202083175427382,-0.066303607966084,-0.10613249211307,-0.029157684904764367,-0.05678317558113884,0.0008603037262739807,0.004497161056122344,-0.00827001272786578,-0.035321294214509434,-0.0002550879283682561,-0.00013499670577643696,-9.122858472822772e-06,-0.000737306578493726,7.540646553793423e-07,-0.0007731450777400784,-1.8453483170605757e-05,-0.0002340885615796584,4.269121462458821e-06,0.0,9.21628068865264e-08,0.0015966480488571128,4.1879177284974844e-05,0.0033195581940016227,-0.0012107728164376169,-0.002227274959402684,-2.594238651180313e-05,0.0004845424519229981,6.60209215076156e-05,0.001090107531986784,-0.0010010109414361388,0.00017562282843950778,-0.00031662384074683715,0.00025981031340901903,-4.060504013636838e-05,0.0,-0.0011081817346613768,-4.841030343465558e-07,-5.7069685335445456e-05,-0.00018259788482712368,-0.0009473386633702332,9.073097642762656e-05,-0.00013450385477686564,-0.002758770709380387,-0.0002020626265794973,-0.00028181071002060667,-0.0012424229078389012,-0.0023276878850309267,2.0910602876130933e-05,0.0001962663327062617,-0.00031273855391698955,1.417070560362717e-06,-0.00030647182288187885,-1.467399894789705e-05,0.0,-9.897746710402728e-05,-1.3576136524210428e-05,7.540156495527423e-06,-3.968576656356204e-05,7.653052587419273e-05,-3.6251427857304467e-07,-0.0002660372300392008,-0.0011645620254073358,-0.00022932558506523208,1.8343224713689802e-05,-3.035792663205777e-05,-0.006284488312630146,1.755140826004385e-05,-3.1988577963967856e-05,-0.001029932524430325,-0.0014410676093866985,0.00017486394497226603,0.02570361028398182,-0.00014869151819089894,-0.00015148792168472624,-8.88162069099648e-05,0.001686060837471883,0.0009442728744169909,-0.0015132073665520642,0.0005860473940503084,-0.006752972657439389,0.030287029791096726,34989ECB030    
61,61,-0.10548954603162823,-0.055687297042617614,-0.0044119336030393206,0.04973055024117865,-0.01156040338924648,-0.001982457916142427,-0.04881144512801115,-0.106494471638123,-0.07289116038263684,-0.030559660888688018,0.4228336278587599,0.6163932448651077,-0.03162028944344735,-0.10097139759338136,-0.00042651762840958745,-0.016122319441357585,-2.9780262877133435e-05,-0.00018206333900896806,8.138232880026778e-07,-0.0003247491206315902,-2.0091533032361693e-05,-0.00010652751249404775,2.380878061792226e-06,0.0,2.4351995153826353e-06,-0.0007072559476050072,-4.714204867752064e-05,-0.0036818191581718842,-0.0011465829644378336,-0.1526002073350327,-4.3002402747986355e-05,-0.00010870352231410351,0.00013980619535742113,-0.00011187400114472168,-0.0006212385287444678,-7.800355361879357e-06,-0.00048727792067512765,0.0001852167270686693,-1.4640642148952436e-05,0.0,-3.9578063018776e-05,-8.981195249781252e-07,-3.476238998493964e-05,-8.170914594856022e-05,-0.002574023648344093,5.5660944739371536e-06,8.552249330495275e-06,-0.0027838879459566764,-0.0001983426155754335,-0.00025077400726974204,-0.0011784491351153122,-0.00840487252928725,1.5741104647528297e-05,0.00017548943879639288,-2.790079045257124e-05,-3.591285131968236e-05,-0.00024915269970564227,-5.619594651768573e-06,0.0,-0.00010505602744931695,-2.7121477622798913e-05,-2.232769440522139e-05,-0.00017746445586072296,-7.543119921240916e-05,-1.6470981830287328e-07,-0.000513142097637442,-0.0005285450372756231,-7.107706801089592e-05,4.028872299435489e-06,-2.962965354141369e-05,-0.0061940624216638845,-6.280823219846365e-06,-3.9649777999129414e-05,-0.00039725321545091836,-0.0005144969767846753,0.00044868700628835403,0.019384260784387344,-3.623895640516569e-05,6.725769333581302e-05,-0.0001566710368089088,1.1656692987048731e-05,-0.0012544431473503347,-0.12072761570571658,0.0022189758969132973,-0.015317117309534597,0.029872902339779295,34989ECB030    
62,62,-0.003604621743711672,-0.002303799723909517,-0.0034652584529810053,-0.00464956637794876,0.0004692817499337983,-0.011410675040726669,-0.009170194358879086,-0.11200932185761736,-0.06992219366217171,-0.11063010926608807,0.019222605121229086,0.0021231701259386425,0.05378833515729084,-0.02693473809818158,-1.0817081991443329e-07,1.1895944799016196e-05,-1.598543285342627e-05,-0.0002565865677162294,7.922429442902505e-07,-0.0014081647682685967,-2.0364625779258446e-05,-7.900144409211588e-05,3.8002614128987024e-06,0.0,3.950855274283367e-06,0.0005718497128415757,4.7344503996198446e-05,0.0018152604924648245,-0.000972410461974632,-0.0021089080528790645,-5.521666988856511e-05,-1.5126706112458344e-05,0.00013338823438569346,-2.329877100754239e-05,-0.000894000834227495,-6.6681398213441775e-06,-0.00033932790114419545,0.00019795550062931568,-1.295869188071832e-06,0.0,-0.0001504169512839353,-8.981195249781833e-07,-0.00023372873951778975,-0.0001725326280271038,3.3162888646701755e-05,3.2277634337205656e-05,-1.2468578374252378e-06,-0.002702789155277964,-0.00020476396644760711,-0.0002526483788729769,-0.000958681252564894,-0.0022752814944423673,-1.3068971964931455e-05,0.0009697779869113377,-0.00011503697564634368,-2.7467975497199355e-05,-0.0002892753428386306,-5.51190328298135e-06,0.0,-7.19512994654802e-05,0.00011014907837902584,6.866441136285791e-07,-0.00020854017131923,0.0004003547550568591,-5.261810231589747e-07,-0.00029040230108363886,-0.00021719185231777632,-8.585167389259647e-05,-5.8288378789295e-06,-9.57800772841744e-05,-0.0063217190311480225,9.924818516213477e-06,-0.00042031686105251,-0.0009752479122916496,-0.0007047567016116171,9.152949507832676e-05,0.023188253271009998,-8.875808348522238e-05,-0.00046064637352698386,5.0288869583146305e-05,0.00016043169926834708,0.0019021018896172887,-0.001296731469485133,0.0012269265630555153,-0.009914496375398166,0.0030579648687850828,34989ECB030    
63,63,-0.09089069800440684,0.003058031010842164,-0.005184497261564041,0.016456267882537526,0.05991342493445991,0.017253206466954392,0.06985259965129052,0.23817308767044384,0.07112040376419722,-0.04131920426868957,-0.003915771273554967,0.5792036535128344,-0.009976890586325858,-0.05477330192650274,-0.0010478372510798085,-0.0039279411207663525,-4.5095961742660055e-06,-0.00022903664340715322,1.3089551409512298e-06,0.000923311366124341,-1.2912520843318308e-05,-7.140456475417329e-05,5.130495070408417e-06,0.0,5.808297352184348e-06,-0.000345382243338084,-0.0002062171986976311,-0.007463927243621085,-0.0011769052219633054,-0.11368727463554296,-2.8392583472070093e-05,-2.9293101714515797e-05,7.139062056114722e-05,-4.5556807129806705e-05,-0.002968814432129894,7.70598274132422e-05,-0.0002848099094733852,0.0006725286511242457,-3.026301781373737e-05,0.0,-4.112904330887193e-05,-4.999152259634091e-07,-7.242952095979675e-06,-4.2679760185190176e-05,-0.0017286884387429382,3.009247605520598e-06,8.814723359568185e-06,-0.0024794257240955825,-0.00043318001008989465,-0.0007926626004577379,-0.0036306132273301373,-0.007212367864844975,1.5036498249033355e-05,0.00012365994186479693,-0.000806293463971634,-5.041147352148682e-05,-0.0004205719691735869,-7.807634990166729e-06,0.0,-6.227819698271164e-05,-4.6116631477633915e-06,-4.425644926125506e-05,-0.00014036601359901168,4.49745084183234e-05,-1.9699556798807906e-07,-0.00016188007152380274,-0.0002460757517278437,-9.411355664581096e-05,1.152272193957277e-05,-6.140444070001532e-05,0.014117877233079829,-4.1128814166784165e-05,-4.981213046353076e-05,-0.0002100253897280101,-0.0004170117936243095,-2.848486580943385e-05,0.056056338714260336,-0.00010103313119772016,0.000814222242187947,-0.0003144210734961337,3.5203008342726244e-05,-0.00032968912845623424,-0.001558709662851522,-0.0021599017577172185,0.11030990144116896,-0.012617642568529056,34989ECC010    
64,64,-0.03665905294282025,-0.00351795083283975,-0.006903722274464099,-0.011979406672399507,0.0012412871127891727,-0.003042114715083874,-0.16741431928981068,-0.15228831903424705,-0.06904162290712282,-0.0780333496512029,-0.01915646472926714,-0.008307000153794715,-0.028814089099728924,-0.08789801991920958,-0.0012436449132767525,-0.0006405115576503505,-3.0652830202256334e-06,-0.0007144085552242747,7.540646553793423e-07,-0.0002703213601257567,-1.0825839084632748e-05,-0.0002386336706907852,4.372394189155146e-06,0.0,1.4268009542328063e-05,0.0009764794359646381,-6.591825887031535e-05,-0.0013841976521481267,-0.0012122295908208955,-0.00231990632226083,-2.62100368413471e-05,-9.582429721119015e-06,6.129592053877382e-05,0.0001904592514037453,-0.0008039154378193242,0.00022292682460731318,-0.0002532613205729401,0.0002347341761358872,-4.173784685232563e-05,0.0,-0.0002266509696774305,-4.841030343465558e-07,-3.0677427384037155e-05,-0.00010037958543713578,-0.0032923105258219967,6.495721870202463e-06,-3.7347205566245e-05,-0.002812042616497836,-0.00019133981615703402,-0.0001641911835307415,-0.0011114106056011217,-0.0024417392930904747,2.0808307918233152e-05,0.00014166429663666548,-0.00036155124236891297,-2.6667116707599216e-05,-0.0002687819331743176,-1.4524667122865139e-05,0.0,-0.00012018020297579807,-2.524978500001356e-05,-6.6575562089091086e-06,4.333295365284383e-06,1.803456776985788e-05,-3.6251427857304404e-07,-0.00016685907135002032,-0.0002917346645931378,-0.00011329193111200512,2.4798605916308042e-05,-3.5440531948809586e-05,-0.0035022306494135484,7.726545712024709e-05,-3.936262610730238e-05,-0.0004160239775433385,-0.0007682585910344783,0.00014348448962577746,0.015302167187716303,-8.918907796064345e-05,0.0002099282341509965,-0.00014984716648056102,0.00026128431472405625,0.0009909915176109594,-0.0014775102758845485,0.0011276307821996756,0.0401744359650337,-0.0003703658568875467,34989ECC010    
65,65,-0.024115564636251016,-0.005698506835628614,0.0032610945571140376,-0.0044019863771179,-0.060747133401746624,0.0007199450930556744,0.09204606898524426,0.0053950487772974,0.08011372195546622,-0.01852329299317521,0.014368528773781697,-0.0006059231487183889,-0.023005164384891853,0.2694017890845416,-0.00476408806077569,0.0005209864311132991,-7.629667940320022e-06,-0.00033044534364991556,1.0329345724165671e-06,-0.00014946388229336024,-3.7698716551851617e-06,-0.00011281452146013336,4.642346012463295e-06,0.0,1.1372410496754292e-06,-0.0006987446161490003,-0.0004985940382076882,0.04302306628795545,-0.001220615169379091,-0.0018689698411505876,-4.52650267582582e-05,-4.581612476854961e-05,0.0007733579315241762,-9.483573325154009e-05,-0.0015613107694615036,9.621797764870244e-05,-0.0004768696853001668,0.00014670797458704482,-3.7061292978550454e-05,0.0,-5.232527309911458e-05,-6.069321672642946e-07,-1.3819618619254742e-05,-6.231881033000227e-05,-0.009616175517715158,3.946991655506478e-06,8.472265263306634e-06,-0.0026361012475464643,-0.0005070695429613409,0.00013508230179959922,-0.0015420422072722599,-0.0021960179683537103,2.080830791823329e-05,0.000150693931197638,-0.00014460305950653903,-9.336774633222215e-05,-0.00037760285334003464,-9.723895298297895e-06,0.0,-0.00015338633555813847,-3.344359846516485e-05,-9.809180193297987e-06,-0.0001892066732765869,-0.00017983335300102558,-3.5549019409987247e-07,-0.00027330379339218514,-0.0002767612892633953,-0.00016876737705725391,2.9811606990063e-05,0.00014348303710280636,0.01128003189499562,1.641209418065694e-05,-2.430213285511295e-05,-0.00034027144358986515,-0.00047322509592891886,3.7164579980965664e-05,0.12230284086759415,-2.3011532284927388e-05,0.00015611330857309203,-0.0002197528005108124,8.0013831066595e-06,-0.0007526556684151215,-0.0011603193053542815,0.004083390006882313,0.018690330199884992,-0.00026015021015899,34989ECC010    
