KUMI_CD,LINE_CD,LINE_SUB_CD,KANRIBAN_CD,LINE_DATE,TYOKU_KBN,OFFICE_HOURS,WORKING_HOURS,LINE_START_TIME,LINE_END_TIME,LINE_STOP_HOURS,MACHINE_STOP_HOURS,HINPATU_STOP_CNT,HINPATU_STOP_TIME,HURYOU_QUANT_CNT,HURYOU_WEIGHT_CNT,TENAOSHI_CNT,HORYUU_CNT,LAST_SERIAL_NO,OPERATION_RATE,SPEC_OPERATION_RATE,OVERALL_EQUIPMENT_EFFICIENCY,TARGET_AVAILABLE_RATE,AVAILABLE_HOURS,KAKO_CNT,AVAILABLE_RATE,HURYOU_RATE,CHOKO_RATE,KANKEN_NG_RATE,SYUTUKEN_NG_RATE,DIRECT_MANHOURS,TOTAL_MANHOURS,TOTAL_TIME,DIRECT_TIME,INDIRECT_TIME,NOTES,KANRIBAN_STAFF_CD,CREATE_STAFF_CD,CREATE_TIME,UPDATE_STAFF_CD,UPDATE_TIME,FIRST_SERIAL_NO,KANSEI_SHOUNIN_STAFF,AUTHOR,PDF_NAME,HUB_CD
NH11,AS2650,A,M01,2023/9/10 0:00,2,690,0,2023/9/10 22:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0,0,0,< NULL >,0,0,0,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/9/10 8:02,SYS_TT,2023/9/10 8:15,< NULL >,< NULL >,< NULL >,< NULL >,IN000
NH12,AS2610,A,M01,2023/9/10 0:00,1,750,0,2023/9/10 8:30,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0,0,0,< NULL >,0,0,0,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/9/10 8:02,SYS_TT,2023/9/10 8:15,< NULL >,< NULL >,< NULL >,< NULL >,IN000
NH11,AS2610,A,M01,2023/9/10 0:00,2,690,0,2023/9/10 22:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0,0,0,< NULL >,0,0,0,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/9/10 8:00,SYS_TT,2023/9/10 8:15,< NULL >,< NULL >,< NULL >,< NULL >,IN000
NH12,AS2650,A,M01,2023/9/10 0:00,1,750,0,2023/9/10 8:30,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0,0,0,< NULL >,0,0,0,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/9/10 8:03,SYS_TT,2023/9/10 8:15,< NULL >,< NULL >,< NULL >,< NULL >,IN000
NH11,AS2650,A,M01,2023/9/11 0:00,2,690,429,2023/9/11 22:00,2023/9/12 6:45,0,0,< NULL >,< NULL >,0,0,0,0,23J2U06258,100,90.24,90.24,< NULL >,0,451,90.24,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,22027,M01,2023/9/11 8:01,22027,2023/9/12 20:11,23J2Y05807,22027,33728,< NULL >,IN000
NH12,AS2610,A,M01,2023/9/11 0:00,1,750,357.6,2023/9/11 8:30,2023/9/11 17:20,0,0,< NULL >,< NULL >,0,0,0,0,23J2U05744,93.57,100.04,93.61,< NULL >,0,390,93.61,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,22027,M01,2023/9/11 8:01,22027,2023/9/12 20:03,23J2Y05356,22027,39320,< NULL >,IN000
NH11,AS2610,A,M01,2023/9/11 0:00,2,690,429,2023/9/11 22:00,2023/9/12 6:45,0,0,< NULL >,< NULL >,0,0,0,0,23J2Y06195,90.05,99.99,90.03,< NULL >,0,450,90.03,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,22027,M01,2023/9/11 8:00,22027,2023/9/12 20:12,23J2U05745,22027,29700,< NULL >,IN000
NH12,AS2650,A,M01,2023/9/11 0:00,1,750,357.6,2023/9/11 8:30,2023/9/11 17:20,0,0,< NULL >,< NULL >,0,0,0,0,23J2Y05805,100,93.61,93.61,< NULL >,0,390,93.61,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,22027,M01,2023/9/11 8:02,22027,2023/9/12 20:12,23J2Y05415,22027,43099,< NULL >,IN000
NH11,AS2650,A,M01,2023/9/12 0:00,2,690,429,2023/9/12 22:00,2023/9/13 6:45,0,0,< NULL >,< NULL >,0,0,0,0,23J2Y07260,100,94.64,94.64,< NULL >,0,473,94.64,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,22027,M01,2023/9/12 8:01,22027,2023/9/13 18:20,23J2U06788,22027,33728,< NULL >,IN000
NH12,AS2610,A,M01,2023/9/12 0:00,1,750,488,2023/9/12 8:30,2023/9/12 18:30,0,0,< NULL >,< NULL >,0,0,0,0,23J2U06727,93.44,100.14,93.57,< NULL >,0,532,93.57,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,22027,M01,2023/9/12 8:02,22027,2023/9/12 20:11,23J2U06196,22027,39320,< NULL >,IN000
