,品番,年,週番号,在庫数（箱）,入庫数（箱）,出庫数（箱）,仕入先名,日量数（箱数）,発注～印刷LT,発注～検収LT,発注～順立装置入庫LT,発注～順立装置出庫LT,発注～回収LT,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,回収かんばん数,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,不等ピッチ係数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,順立装置在庫量/設計値MAX
109,9033904A002    ,2023,37,2.0,5.0,5.0,サトープレス工業（株）,0.895,0.12,1.96,2.2,5.575,7.045,0.82,4.147048907618942,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,4,1.8399999999999999,0.2400000000000002,3.375,1.4699999999999998,5.085,0.0,6.201219512195122,1.2261731446325261,17.877094972067038,0.11021958789881289
110,9033904A002    ,2023,38,2.0,3.0,3.0,サトープレス工業（株）,0.9570000000000001,0.12,1.94,3.46,5.75,7.03,0.82,4.147048907618942,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,5,1.8199999999999998,1.52,2.29,1.2800000000000002,5.09,0.0,6.207317073170732,1.2273788212742494,16.718913270637408,0.11760545920854956
111,9033904A003    ,2023,37,2.0,3.0,2.0,サトープレス工業（株）,0.345,0.11,3.935,4.145,10.965,15.815000000000001,0.82,8.825336891260841,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,2,3.825,0.20999999999999952,6.82,4.850000000000001,11.88,0.0,14.487804878048783,1.3461242495755594,46.376811594202906,0.04302897143764938
112,9033904A003    ,2023,38,3.0,4.0,3.0,サトープレス工業（株）,0.42200000000000004,0.13,1.95,2.13,9.1,13.49,0.82,8.825336891260841,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,1,1.8199999999999998,0.17999999999999994,6.97,4.390000000000001,11.540000000000001,0.0,14.07317073170732,1.3075988080893903,56.87203791469193,0.05263283667392203
113,9034118060,2023,36,7.0,7.0,8.0,住友商事（株）鉄鋼部輸送機材,1.7833333333333334,0.23,4.91,5.18,9.87,10.73,0.94,2.6479419299743805,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,5,4.68,0.2699999999999996,4.6899999999999995,0.8600000000000012,5.82,0.0,6.1914893617021285,2.1979333965440513,31.401869158878498,0.21918241156253068
114,9034118060,2023,37,6.0,8.0,7.0,住友商事（株）鉄鋼部輸送機材,1.8333333333333333,0.20500000000000002,4.9,5.15,7.525,9.32,0.94,2.6479419299743805,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,8,4.695,0.25,2.375,1.795,4.42,0.0,4.702127659574468,1.669220895657166,26.181818181818183,0.2244516238734909
115,9034118060,2023,38,7.0,7.0,8.0,住友商事（株）鉄鋼部輸送機材,1.7033333333333334,0.2,4.88,5.14,7.51,8.85,0.94,2.6479419299743805,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,9,4.68,0.2599999999999998,2.37,1.3399999999999999,3.9699999999999998,0.0,4.223404255319149,1.499277591800667,32.87671232876712,0.20965797030570266
116,9036324A003    ,2023,36,7.0,86.0,84.0,日本精工（株）,16.363636363636363,0.15,1.34,1.55,1.94,2.1900000000000004,0.74,0.9161174116077384,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,88,1.1900000000000002,0.20999999999999996,0.3899999999999999,0.25000000000000044,0.8500000000000003,0.09,1.1486486486486491,0.9278286704629863,3.4222222222222225,0.8402036857419981
117,9036324A003    ,2023,37,7.0,84.0,80.0,日本精工（株）,15.272727272727273,0.12,1.32,1.55,1.83,2.13,0.74,0.9161174116077384,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,69,1.2000000000000002,0.22999999999999998,0.28,0.2999999999999998,0.8099999999999998,0.09,1.0945945945945943,0.8841661447941394,3.666666666666666,0.8486407053637032
118,9036324A003    ,2023,38,7.0,76.0,78.0,日本精工（株）,16.363636363636363,0.11,1.33,1.54,1.8,2.08,0.74,0.9161174116077384,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,77,1.22,0.20999999999999996,0.26,0.28,0.75,0.09,1.0135135135135136,0.81867235629087,3.4222222222222225,0.8402036857419981
119,9036324A004    ,2023,36,19.0,147.0,145.0,日本精工（株）,27.93333333333333,0.16,1.34,1.55,2.14,2.29,0.74,0.8398114672285683,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,149,1.1800000000000002,0.20999999999999996,0.5900000000000001,0.1499999999999999,0.95,0.09,1.2837837837837838,1.1312062731592138,5.441527446300716,1.3746671685758787
120,9036324A004    ,2023,37,17.0,145.0,140.0,日本精工（株）,29.83333333333333,0.12,1.32,1.55,2.11,2.26,0.74,0.8398114672285683,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,120,1.2000000000000002,0.22999999999999998,0.5599999999999998,0.1499999999999999,0.9399999999999997,0.09,1.27027027027027,1.119298838704906,4.5586592178770955,1.2584520584768717
121,9036324A004    ,2023,38,17.5,129.0,134.0,日本精工（株）,27.93333333333333,0.11,1.32,1.54,2.135,2.29,0.74,0.8398114672285683,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,132,1.21,0.21999999999999997,0.5949999999999998,0.15500000000000025,0.97,0.09,1.3108108108108107,1.155021142067829,5.011933174224343,1.3067568193726142
122,9036324A005    ,2023,36,18.0,112.0,113.0,日本精工（株）,24.318181818181817,0.15,1.34,1.54,2.29,2.46,0.74,0.8652490748647879,3,ﾃﾝﾊﾞｺ10ﾌﾀﾅｼ,1,8,9.0,115,1.1900000000000002,0.19999999999999996,0.75,0.16999999999999993,1.1199999999999999,0.09,1.5135135135135134,1.2944249610148637,5.921495327102805,1.768663328056534
123,9036324A005    ,2023,37,16.0,111.0,108.0,日本精工（株）,24.863636363636363,0.15,1.32,1.55,2.2300000000000004,2.43,0.74,0.8652490748647879,3,ﾃﾝﾊﾞｺ10ﾌﾀﾅｼ,1,8,9.0,92,1.1700000000000002,0.22999999999999998,0.6800000000000004,0.19999999999999973,1.11,0.09,1.5000000000000002,1.282867595291517,5.148080438756856,1.6843493872009512
124,9036324A005    ,2023,38,16.5,101.0,103.0,日本精工（株）,21.727272727272727,0.14,1.31,1.54,2.24,2.43,0.74,0.8652490748647879,3,ﾃﾝﾊﾞｺ10ﾌﾀﾅｼ,1,8,9.0,103,1.17,0.22999999999999998,0.7000000000000002,0.18999999999999995,1.12,0.09,1.5135135135135136,1.294424961014864,6.075313807531381,1.6704485394141098
