,品番,年,週番号,在庫数（箱）,入庫数（箱）,出庫数（箱）,仕入先名,日量数（箱数）,発注～印刷LT,発注～検収LT,発注～順立装置入庫LT,発注～順立装置出庫LT,発注～回収LT,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,回収かんばん数,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,不等ピッチ係数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,順立装置在庫量/設計値MAX
160,9036658A002    ,2023,38,8.0,51.0,47.0,（株）ジェイテクト,10.666666666666666,0.09,2.02,2.445,4.675,5.109999999999999,0.81,1.0981921280853904,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,52,1.93,0.4249999999999998,2.23,0.4349999999999996,3.0899999999999994,0.0,3.814814814814814,2.813715306252619,6.0,0.8695652173913044
161,9036659A009    ,2023,36,27.0,118.0,116.0,（株）ジェイテクト,24.86111111111111,0.09,2.03,2.33,4.7,4.915,0.81,0.929773760674282,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,130,1.9399999999999997,0.30000000000000027,2.37,0.21499999999999986,2.8850000000000002,0.0,3.5617283950617282,3.102905375505292,8.68826815642458,1.6721785087175522
162,9036659A009    ,2023,37,20.0,129.0,113.0,（株）ジェイテクト,24.86111111111111,0.09,2.02,2.37,4.71,4.88,0.81,0.929773760674282,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,125,1.93,0.3500000000000001,2.34,0.16999999999999993,2.86,0.0,3.530864197530864,3.0760171140191104,6.4357541899441335,1.4394612072576187
163,9036659A009    ,2023,38,22.0,117.0,109.0,（株）ジェイテクト,24.86111111111111,0.09,2.02,2.65,4.855,5.095000000000001,0.81,0.929773760674282,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,120,1.93,0.6299999999999999,2.2050000000000005,0.2400000000000002,3.0750000000000006,0.0,3.7962962962962967,3.307256162800268,7.079329608938546,1.513310639224515
164,9036659A010    ,2023,36,28.0,121.0,117.0,（株）ジェイテクト,24.86111111111111,0.09,2.03,2.35,5.03,5.25,0.81,0.929773760674282,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,131,1.9399999999999997,0.3200000000000003,2.68,0.21999999999999975,3.22,0.0,3.9753086419753085,3.463208079420118,9.010055865921787,1.7002270022417532
165,9036659A010    ,2023,37,19.0,127.0,113.0,（株）ジェイテクト,24.86111111111111,0.09,2.02,2.61,4.84,5.07,0.81,0.929773760674282,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,125,1.93,0.5899999999999999,2.23,0.23000000000000043,3.0500000000000003,0.0,3.7654320987654324,3.2803679013140865,6.113966480446926,1.3999101302425454
166,9036659A010    ,2023,38,22.0,116.0,109.0,（株）ジェイテクト,24.86111111111111,0.09,2.02,2.65,5.08,5.25,0.81,0.929773760674282,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,120,1.93,0.6299999999999999,2.43,0.16999999999999993,3.23,0.0,3.987654320987654,3.47396338401459,7.079329608938546,1.513310639224515
167,G1250ECB010    ,2023,36,6.0,18.0,19.0,（株）バルカー,2.8,0.37,5.05,5.43,6.484999999999999,6.859999999999999,1.14,2.023435582822086,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,20,4.68,0.3799999999999999,1.0549999999999997,0.375,1.8099999999999996,0.24,1.5877192982456139,0.8945182220605177,17.142857142857142,0.3336510962821735
168,G1250ECB010    ,2023,37,4.0,18.0,18.0,（株）バルカー,2.7,0.38,5.140000000000001,5.46,6.1850000000000005,6.529999999999999,1.14,2.023435582822086,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,20,4.760000000000001,0.3199999999999994,0.7250000000000005,0.34499999999999886,1.3899999999999988,0.24,1.2192982456140342,0.68695045782548,11.851851851851851,0.315909556264077
169,G1250ECB010    ,2023,38,4.0,19.0,18.0,（株）バルカー,3.9,0.37,5.04,5.36,6.5,7.0,1.14,2.023435582822086,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,19,4.67,0.3200000000000003,1.1399999999999997,0.5,1.96,0.24,1.719298245614035,0.9686495664301741,8.205128205128204,0.4266608319886224
170,G1250ECC010    ,2023,36,5.0,10.0,11.0,（株）バルカー,3.0,0.37,5.05,5.45,7.82,8.46,1.14,2.1926315789473683,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,13,4.68,0.40000000000000036,2.37,0.6400000000000006,3.410000000000001,0.24,2.9912280701754397,1.5552088334133467,13.333333333333334,0.351288056206089
171,G1250ECC010    ,2023,37,3.0,12.0,12.0,（株）バルカー,2.9,0.38,5.05,5.45,6.57,7.13,1.14,2.1926315789473683,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,13,4.67,0.40000000000000036,1.12,0.5599999999999996,2.08,0.24,1.824561403508772,0.9486317810849737,8.275862068965516,0.3280171926252687
172,G1250ECC010    ,2023,38,3.0,12.0,11.0,（株）バルカー,2.45,0.235,5.04,5.385,6.885,7.6,1.14,2.1926315789473683,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,12,4.805,0.34499999999999975,1.5,0.7149999999999999,2.5599999999999996,0.24,2.245614035087719,1.1675468074891981,9.795918367346937,0.28487543966745155
173,G1250ECE010    ,2023,36,15.0,41.0,40.0,（株）バルカー,8.641666666666666,0.37,5.045,5.395,6.635,6.975,1.14,1.481588385994876,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,44,4.675,0.34999999999999964,1.2400000000000002,0.33999999999999986,1.9299999999999997,0.24,1.6929824561403508,1.3026559996311111,13.886210221793638,0.9102654150785421
174,G1250ECE010    ,2023,37,12.0,39.0,38.0,（株）バルカー,9.216666666666667,0.1,5.05,5.4350000000000005,7.005,7.335,1.14,1.481588385994876,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,42,4.95,0.3850000000000007,1.5699999999999994,0.33000000000000007,2.285,0.24,2.004385964912281,1.5422637094078184,10.415913200723327,0.9104073304527547
175,G1250ECE010    ,2023,38,13.0,39.0,37.0,（株）バルカー,8.241666666666667,0.37,5.045,5.385,6.43,6.8100000000000005,1.14,1.481588385994876,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,40,4.675,0.33999999999999986,1.045,0.3800000000000008,1.7650000000000006,0.24,1.5482456140350884,1.191289035932079,12.61880687563195,0.8614230766847105
176,G9201ECB030    ,2023,36,43.0,286.0,228.0,佐藤工業（株）,45.0,4.08,5.01,6.1,6.64,6.8,0.74,0.8040426951300867,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,253,0.9299999999999997,1.0899999999999999,0.54,0.16000000000000014,1.79,0.05,2.418918918918919,2.2262499377727627,7.644444444444445,2.033631108775617
177,G9201ECB030    ,2023,37,35.0,197.0,221.0,佐藤工業（株）,42.0,2.62,5.0,5.78,7.15,7.35,0.74,0.8040426951300867,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,245,2.38,0.7800000000000002,1.37,0.1999999999999993,2.3499999999999996,0.05,3.1756756756756754,2.9227303652323973,6.666666666666667,1.8166089965397922
178,G9201ECB030    ,2023,38,49.0,198.0,214.0,佐藤工業（株）,45.0,4.6,5.06,5.5,6.76,6.94,0.74,0.8040426951300867,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,210,0.45999999999999996,0.4400000000000004,1.2599999999999998,0.1800000000000006,1.8800000000000008,0.05,2.5405405405405417,2.3381842921859195,8.71111111111111,2.206103051525763
179,G9201ECE010    ,2023,36,36.0,306.0,298.0,佐藤工業（株）,66.875,2.62,5.01,6.12,6.67,6.78,0.74,0.7855451181326502,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,328,2.3899999999999997,1.1100000000000003,0.5499999999999998,0.11000000000000032,1.7700000000000005,0.05,2.3918918918918926,2.2532123988085324,4.3065420560747665,1.4772841672299482
180,G9201ECE010    ,2023,37,29.0,311.0,283.0,佐藤工業（株）,69.125,4.08,5.0,6.14,6.68,6.86,0.74,0.7855451181326502,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,317,0.9199999999999999,1.1399999999999997,0.54,0.1800000000000006,1.8600000000000003,0.05,2.513513513513514,2.367782520781847,3.35623869801085,1.2036322118158527
181,G9201ECE010    ,2023,38,54.0,260.0,277.0,佐藤工業（株）,63.875,4.09,5.03,5.78,6.88,7.01,0.74,0.7855451181326502,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,301,0.9400000000000004,0.75,1.0999999999999996,0.1299999999999999,1.9799999999999995,0.05,2.675675675675675,2.520542683412933,6.763209393346379,2.082874538964733
