,品番,年,週番号,在庫数（箱）,入庫数（箱）,出庫数（箱）,仕入先名,日量数（箱数）,発注～印刷LT,発注～検収LT,発注～順立装置入庫LT,発注～順立装置出庫LT,発注～回収LT,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,回収かんばん数,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収～回収LT）,不等ピッチ係数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,順立装置在庫量/設計値MAX,時間稼働率,加工数,使用工程
135,35174ECE020    ,2023,38,8.0,27.0,25.0,（株）浅賀井製作所,5.677777777777778,0.29,1.845,2.145,5.07,5.4049999999999985,0.87,1.3823825789923143,3,ＴＰ３４１フタナシ,1,6,4.92,28,1.5550000000000002,0.2999999999999998,2.9250000000000003,0.3349999999999991,3.5599999999999987,0.13,4.091954022988505,2.575263934962965,14.28042523932935,0.5157759611675884,97.085,450.0,2.MGケース
136,35195ECE010    ,2023,38,6.0,13.0,11.0,三共鋼業（株）,2.39,0.105,3.835,3.93,7.215,7.814999999999999,0.82,1.9586279533162536,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,12,3.73,0.0950000000000002,3.285,0.5999999999999996,3.98,0.0,4.853658536585366,2.0320347175997653,20.0836820083682,0.2884520804455438,97.085,450.0,4.TA・カバー・メイン
137,35195TFG010    ,2023,38,5.0,13.0,11.0,三共鋼業（株）,2.39,0.1,1.87,2.29,5.85,6.54,0.82,1.9586279533162536,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,11,1.77,0.4199999999999999,3.56,0.6900000000000004,4.67,0.0,5.695121951219512,2.3843221435153032,16.736401673640167,0.2864771059243705,97.085,450.0,2.MGケース
138,35198ECE010    ,2023,38,6.0,13.0,11.0,サトープレス工業（株）,2.555,0.12,3.94,4.11,6.73,7.01,0.82,1.9586279533162536,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,13,3.82,0.17000000000000035,2.62,0.27999999999999936,3.07,0.0,3.7439024390243913,1.5674237645807234,18.786692759295498,0.30685525754598963,97.085,450.0,2.MGケース
139,35300ECB010    ,2023,38,126.5,270.0,331.0,アイシン精機（株）,74.58333333333333,0.2,1.18,1.53,5.335,5.53,0.91,0.9499245868914272,3,サンボックス＃２０Ｂフタナシ,1,2,1.82,358,0.98,0.3500000000000001,3.805,0.19500000000000028,4.3500000000000005,0.14,4.780219780219781,4.579310884283059,12.029002733864255,2.3845502527050977,97.085,450.0,3.ギヤサブ・共通部品
140,35312ECB010    ,2023,38,5.0,31.0,27.0,（株）旭工業所,6.095238095238094,0.68,2.03,2.265,4.635,4.955,0.83,1.3343362241494328,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,30,1.3499999999999996,0.2349999999999999,2.37,0.3200000000000003,2.9250000000000003,0.0,3.5240963855421694,2.192101171400432,6.5625,0.5958714620131943,97.085,450.0,2.MGケース
141,3539450A010    ,2023,38,3.0,0.0,1.0,ミズショー（株）,0.8665,0.14,3.075,3.445,6.5600000000000005,8.25,0.84,4.167048907618942,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,4,2.935,0.3699999999999997,3.1150000000000007,1.6899999999999995,5.175,0.0,6.1607142857142865,1.2418860720684468,27.69763416041545,0.10730540889322032,97.085,450.0,3.ギヤサブ・共通部品
142,35409ECB010    ,2023,38,3.0,10.0,9.0,サンコール（株）,1.86,0.1,4.355,4.625,6.18,6.795,0.87,2.471067378252168,3,ＴＰ３４２フタアリ,1,4,8.04,10,4.255000000000001,0.2699999999999996,1.5549999999999995,0.6150000000000002,2.4399999999999995,0.0,2.8045977011494245,0.98742754708933,7.1367399371966895,0.38987672416294106,97.085,450.0,4.TA・カバー・メイン
143,35441ECB010    ,2023,38,25.0,88.0,82.0,（株）ニフコ,18.64583333333333,0.09,2.23,2.625,5.41,5.630000000000001,0.86,1.019698347565709,3,ＴＰ３４２フタアリ,1,4,8.04,90,2.14,0.395,2.785,0.22000000000000064,3.4000000000000012,0.0,3.9534883720930236,3.334319417224421,5.932664260641718,2.168931242161356,97.085,450.0,2.MGケース
144,35441TFA010    ,2023,38,3.0,19.0,17.0,（株）ニフコ,3.72,0.09,2.23,2.62,5.025,5.63,0.86,1.6605336891260838,3,サンボックス＃９Ｆフタナシ,1,1,1.9,18,2.14,0.3900000000000001,2.405,0.6049999999999995,3.4,0.0,3.953488372093023,2.047534489823795,2.7808676307007785,0.44864055424491817,97.085,450.0,2.MGケース
