,品番,加工図符号,設変符号,品名,ステータス,発注区分,整備室,整備室名,手配区分,工程内外製,工程コード,仕入先名/工場名,発送場所,発送場所名,受給区分,後工程内外製,後工程コード,後工程仕入先名/工場名,受入場所,受入場所名,箱種類,収容数,基準在庫日数,基準在庫枚数,サイクル間隔,サイクル回数,サイクル情報,更新,更新者,最終更新日時,マイナス必要数有無,当月必要数,当月稼働日数,翌月必要数,翌月稼働日数,翌々月必要数,翌々月稼働日数,翌々々月必要数,翌々々月稼働日数,1(土),2(日),3(月),4(火),5(水),6(木),7(金),8(土),9(日),10(月),11(火),12(水),13(木),14(金),15(土),16(日),17(月),18(火),19(水),20(木),21(金),22(土),23(日),24(月),25(火),26(水),27(木),28(金),29(土),30(日),Unnamed: 69,当月計算数,翌月計算数,翌々月計算数,翌々々月計算数,1(土).1,2(日).1,3(月).1,4(火).1,5(水).1,6(木).1,7(金).1,8(土).1,9(日).1,10(月).1,11(火).1,12(水).1,13(木).1,14(金).1,15(土).1,16(日).1,17(月).1,18(火).1,19(水).1,20(木).1,21(金).1,22(土).1,23(日).1,24(月).1,25(火).1,26(水).1,27(木).1,28(金).1,29(土).1,30(日).1,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,箱重量
10,90119-06908,, A,"BOLT, W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,ｻﾝﾎﾞｯｸｽ＃K-10Bﾌﾀﾅｼ,"2,000",  0.48,3,1,6,5.76,,,,,"25,529",20,"25,090",18,"31,855",22,"32,173",21,0,0,"1,249","1,255","1,174","1,255","1,255",0,0,"1,231","1,231","1,243","1,231","1,237",0,0,"1,285","1,379","1,279","1,379","1,198",0,0,"1,292","1,386","1,286","1,392","1,292",0,0,,"25,529","25,090","31,855","32,173",0,0,"1,249","1,255","1,174","1,255","1,255",0,0,"1,231","1,231","1,243","1,231","1,237",0,0,"1,285","1,379","1,279","1,379","1,198",0,0,"1,292","1,386","1,286","1,392","1,292",0,0,1,08, 9.00,  11.860
11,90119-06A065,,,"BOLT, FLANGE W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,ﾃﾝﾊﾞｺ10ﾌﾀﾅｼ,"1,000",  0.74,3,1,6,5.76,,,,,"54,102",20,"52,647",18,"66,657",22,"68,208",21,0,0,"2,685","2,685","2,514","2,685","2,685",0,0,"2,685","2,685","2,685","2,685","2,685",0,0,"2,685","2,871","2,685","2,871","2,514",0,0,"2,685","2,871","2,685","2,871","2,685",0,0,,"54,102","52,647","66,657","68,208",0,0,"2,685","2,685","2,514","2,685","2,685",0,0,"2,685","2,685","2,685","2,685","2,685",0,0,"2,685","2,871","2,685","2,871","2,514",0,0,"2,685","2,871","2,685","2,871","2,685",0,0,1,08, 9.00,   9.978
12,90148-60027,, B,"SCREW, HEX LOBULAR",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,ﾃﾝﾊﾞｺ10ﾌﾀﾅｼ,"2,000",  0.74,3,1,6,5.76,,,,,"7,495",20,"7,541",18,"9,636",22,"9,437",21,0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,,"7,495","7,541","9,636","9,437",0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,1,08, 9.00,  12.850
13,90149-08A008,, B,SCREW,使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,サンボックス＃２４Ｂフタナシ,800,  0.53,3,1,6,5.76,,,,,"54,102",20,"52,647",18,"66,657",22,"68,208",21,0,0,"2,685","2,685","2,514","2,685","2,685",0,0,"2,685","2,685","2,685","2,685","2,685",0,0,"2,685","2,871","2,685","2,871","2,514",0,0,"2,685","2,871","2,685","2,871","2,685",0,0,,"54,102","52,647","66,657","68,208",0,0,"2,685","2,685","2,514","2,685","2,685",0,0,"2,685","2,685","2,685","2,685","2,685",0,0,"2,685","2,871","2,685","2,871","2,514",0,0,"2,685","2,871","2,685","2,871","2,685",0,0,1,02, 3.52,   5.560
14,90159-05A007,,,"SCREW, W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３３１フタナシ,"2,000",  0.63,3,1,6,5.76,,,,,"108,204",20,"105,294",18,"133,314",22,"136,416",21,0,0,"5,370","5,370","5,028","5,370","5,370",0,0,"5,370","5,370","5,370","5,370","5,370",0,0,"5,370","5,742","5,370","5,742","5,028",0,0,"5,370","5,742","5,370","5,742","5,370",0,0,,"108,204","105,294","133,314","136,416",0,0,"5,370","5,370","5,028","5,370","5,370",0,0,"5,370","5,370","5,370","5,370","5,370",0,0,"5,370","5,742","5,370","5,742","5,028",0,0,"5,370","5,742","5,370","5,742","5,370",0,0,1,01, 2.28,   2.288
15,90159-06A021,,,"SCREW, W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,サンボックス＃２４Ｂフタナシ,"1,200",  0.54,3,1,6,5.76,,,,,"151,767",20,"147,933",18,"187,388",22,"191,325",21,0,0,"7,514","7,520","7,040","7,520","7,520",0,0,"7,496","7,496","7,508","7,496","7,502",0,0,"7,550","8,078","7,544","8,078","7,064",0,0,"7,557","8,085","7,551","8,091","7,557",0,0,,"151,767","147,933","187,388","191,325",0,0,"7,514","7,520","7,040","7,520","7,520",0,0,"7,496","7,496","7,508","7,496","7,502",0,0,"7,550","8,078","7,544","8,078","7,064",0,0,"7,557","8,085","7,551","8,091","7,557",0,0,1,02, 3.52,   5.258
16,90159-06A022,,,"SCREW, W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３３１フタナシ,"1,500",  0.63,3,1,6,5.76,,,,,"270,510",20,"263,235",18,"333,285",22,"341,040",21,0,0,"13,425","13,425","12,570","13,425","13,425",0,0,"13,425","13,425","13,425","13,425","13,425",0,0,"13,425","14,355","13,425","14,355","12,570",0,0,"13,425","14,355","13,425","14,355","13,425",0,0,,"270,510","263,235","333,285","341,040",0,0,"13,425","13,425","12,570","13,425","13,425",0,0,"13,425","13,425","13,425","13,425","13,425",0,0,"13,425","14,355","13,425","14,355","12,570",0,0,"13,425","14,355","13,425","14,355","13,425",0,0,1,01, 2.28,   2.288
17,90159-06A023,, A,"SCREW, W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３３１フタナシ,"1,300",  0.63,3,1,6,5.76,,,,,"54,102",20,"52,647",18,"66,657",22,"68,208",21,0,0,"2,685","2,685","2,514","2,685","2,685",0,0,"2,685","2,685","2,685","2,685","2,685",0,0,"2,685","2,871","2,685","2,871","2,514",0,0,"2,685","2,871","2,685","2,871","2,685",0,0,,"54,102","52,647","66,657","68,208",0,0,"2,685","2,685","2,514","2,685","2,685",0,0,"2,685","2,685","2,685","2,685","2,685",0,0,"2,685","2,871","2,685","2,871","2,514",0,0,"2,685","2,871","2,685","2,871","2,685",0,0,1,01, 2.28,   2.288
18,90341-14A004,,,"PLUG, W/HEAD STRAIGHT SCREW",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３３１．５フタナシ,500,  0.85,3,1,6,5.76,,,,,"7,495",20,"7,541",18,"9,636",22,"9,437",21,0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,,"7,495","7,541","9,636","9,437",0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,1,01, 3.05,   4.110
19,90341-18A024,,,"PLUG, W/HEAD STRAIGHT SCREW",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３３２,200,  0.36,3,1,6,5.76,,,,,"10,539",20,"10,008",18,"12,583",22,"13,299",21,0,0,541,535,502,535,535,0,0,559,559,547,559,553,0,0,505,535,511,535,478,0,0,498,528,504,522,498,0,0,,"10,539","10,008","12,583","13,299",0,0,541,535,502,535,535,0,0,559,559,547,559,553,0,0,505,535,511,535,478,0,0,498,528,504,522,498,0,0,1,01, 3.25,   4.620
