,品番,加工図符号,設変符号,品名,ステータス,発注区分,整備室,整備室名,手配区分,工程内外製,工程コード,仕入先名/工場名,発送場所,発送場所名,受給区分,後工程内外製,後工程コード,後工程仕入先名/工場名,受入場所,受入場所名,箱種類,収容数,基準在庫日数,基準在庫枚数,サイクル間隔,サイクル回数,サイクル情報,更新,更新者,最終更新日時,マイナス必要数有無,当月必要数,当月稼働日数,翌月必要数,翌月稼働日数,翌々月必要数,翌々月稼働日数,翌々々月必要数,翌々々月稼働日数,1(土),2(日),3(月),4(火),5(水),6(木),7(金),8(土),9(日),10(月),11(火),12(水),13(木),14(金),15(土),16(日),17(月),18(火),19(水),20(木),21(金),22(土),23(日),24(月),25(火),26(水),27(木),28(金),29(土),30(日),Unnamed: 69,当月計算数,翌月計算数,翌々月計算数,翌々々月計算数,1(土).1,2(日).1,3(月).1,4(火).1,5(水).1,6(木).1,7(金).1,8(土).1,9(日).1,10(月).1,11(火).1,12(水).1,13(木).1,14(金).1,15(土).1,16(日).1,17(月).1,18(火).1,19(水).1,20(木).1,21(金).1,22(土).1,23(日).1,24(月).1,25(火).1,26(水).1,27(木).1,28(金).1,29(土).1,30(日).1,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,箱重量
76,90339-04A002,, A,CAP,使用中,かんばん,1Y,第１工場,手配,Ｐ,2020,サトープレス工業（株）,1,本社工場,――,Ｍ,1,第１,1Y,安城第１工場,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,"1,000",  0.70,3,1,1,1.78,,,,,"18,034",20,"17,549",18,"22,219",22,"22,736",21,0,0,895,895,838,895,895,0,0,895,895,895,895,895,0,0,895,957,895,957,838,0,0,895,957,895,957,895,0,0,,"18,034","17,549","22,219","22,736",0,0,895,895,838,895,895,0,0,895,895,895,895,895,0,0,895,957,895,957,838,0,0,895,957,895,957,895,0,0,1,04, 4.00,  14.510
77,90339-04A003,, A,CAP,使用中,かんばん,1Y,第１工場,手配,Ｐ,2020,サトープレス工業（株）,1,本社工場,――,Ｍ,1,第１,1Y,安城第１工場,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,"2,000",  0.70,3,1,1,1.78,,,,,"14,990",20,"15,082",18,"19,272",22,"18,874",21,0,0,708,720,672,720,720,0,0,672,672,696,672,684,0,0,780,844,768,844,720,0,0,794,858,782,870,794,0,0,,"14,990","15,082","19,272","18,874",0,0,708,720,672,720,720,0,0,672,672,696,672,684,0,0,780,844,768,844,720,0,0,794,858,782,870,794,0,0,1,04, 4.00,  14.510
78,35145-ECB010,, A,"PLATE, OIL",使用中,かんばん,1Y,第１工場,手配,Ｐ,2036,三共鋼業（株）,1,東浦南工場,――,Ｍ,1,第１,1Y,安城第１工場,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,100,  0.70,3,1,1,1.74,,,,,"7,495",20,"7,541",18,"9,636",22,"9,437",21,0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,,"7,495","7,541","9,636","9,437",0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,1,04, 4.00,  14.510
79,35145-ECE010,, A,"PLATE, OIL",使用中,かんばん,1Y,第１工場,手配,Ｐ,2036,三共鋼業（株）,1,東浦南工場,――,Ｍ,1,第１,1Y,安城第１工場,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,100,  0.70,3,1,1,1.74,,,,,"10,539",20,"10,008",18,"12,583",22,"13,299",21,0,0,541,535,502,535,535,0,0,559,559,547,559,553,0,0,505,535,511,535,478,0,0,498,528,504,522,498,0,0,,"10,539","10,008","12,583","13,299",0,0,541,535,502,535,535,0,0,559,559,547,559,553,0,0,505,535,511,535,478,0,0,498,528,504,522,498,0,0,1,04, 4.00,  16.990
80,35195-ECE010,,,"CLAMP, TUBE",使用中,かんばん,1Y,第１工場,手配,Ｐ,2036,三共鋼業（株）,1,東浦南工場,――,Ｍ,1,第１,1Y,安城第１工場,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,400,  0.70,3,1,1,1.74,,,,,"21,078",20,"20,016",18,"25,166",22,"26,598",21,0,0,"1,082","1,070","1,004","1,070","1,070",0,0,"1,118","1,118","1,094","1,118","1,106",0,0,"1,010","1,070","1,022","1,070",956,0,0,996,"1,056","1,008","1,044",996,0,0,,"21,078","20,016","25,166","26,598",0,0,"1,082","1,070","1,004","1,070","1,070",0,0,"1,118","1,118","1,094","1,118","1,106",0,0,"1,010","1,070","1,022","1,070",956,0,0,996,"1,056","1,008","1,044",996,0,0,1,04, 4.00,  16.990
81,35195-TFG010,, A,"CLAMP, TRANSAXLE APPLY TUBE, NO.1",使用中,かんばん,1Y,第１工場,手配,Ｐ,2036,三共鋼業（株）,1,東浦南工場,――,Ｍ,1,第１,1Y,安城第１工場,TP131ﾌﾀﾅｼ,400,  0.89,3,1,1,1.74,,,,,"21,078",20,"20,016",18,"25,166",22,"26,598",21,0,0,"1,082","1,070","1,004","1,070","1,070",0,0,"1,118","1,118","1,094","1,118","1,106",0,0,"1,010","1,070","1,022","1,070",956,0,0,996,"1,056","1,008","1,044",996,0,0,,"21,078","20,016","25,166","26,598",0,0,"1,082","1,070","1,004","1,070","1,070",0,0,"1,118","1,118","1,094","1,118","1,106",0,0,"1,010","1,070","1,022","1,070",956,0,0,996,"1,056","1,008","1,044",996,0,0,1,02, 4.94,   9.466
82,35771-ECB010,, C,"SHAFT, OUTPUT",使用中,かんばん,1Y,第１工場,手配,Ｐ,2038,アイシン機工（株）,6,吉良工場,――,Ｍ,1,第１,1Y,安城第１工場,サンボックス＃９Ｂフタナシ,4,  0.64,3,1,6,4.92,,,,,"7,495",20,"7,541",18,"9,636",22,"9,437",21,0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,,"7,495","7,541","9,636","9,437",0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,1,01, 2.29,  12.000
83,35771-ECE010,, D,"SHAFT, OUTPUT",使用中,かんばん,1Y,第１工場,手配,Ｐ,2038,アイシン機工（株）,6,吉良工場,――,Ｍ,1,第１,1Y,安城第１工場,TP332ﾌﾀﾅｼ,6,  1.07,3,1,6,4.92,,,,,"10,539",20,"10,008",18,"12,583",22,"13,299",21,0,0,541,535,502,535,535,0,0,559,559,547,559,553,0,0,505,535,511,535,478,0,0,498,528,504,522,498,0,0,,"10,539","10,008","12,583","13,299",0,0,541,535,502,535,535,0,0,559,559,547,559,553,0,0,505,535,511,535,478,0,0,498,528,504,522,498,0,0,1,02, 3.64,   3.100
84,35141-ECB010,, D,"CASE, TRANSAXLE",使用中,かんばん,1Y,第１工場,手配,Ｐ,2041,（株）アイシン福井,1,本社工場,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３３１フタナシ,16,  0.51,3,1,24,19.68,,,,,"7,495",20,"7,541",18,"9,636",22,"9,437",21,0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,,"7,495","7,541","9,636","9,437",0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,1,06, 5.76,  10.130
85,35141-ECE010,, B,"CASE, TRANSAXLE",使用中,かんばん,1Y,第１工場,手配,Ｐ,2041,（株）アイシン福井,1,本社工場,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３３１フタナシ,20,  0.54,3,1,24,19.68,,,,,"10,539",20,"10,008",18,"12,583",22,"13,299",21,0,0,541,535,502,535,535,0,0,559,559,547,559,553,0,0,505,535,511,535,478,0,0,498,528,504,522,498,0,0,,"10,539","10,008","12,583","13,299",0,0,541,535,502,535,535,0,0,559,559,547,559,553,0,0,505,535,511,535,478,0,0,498,528,504,522,498,0,0,1,06, 5.76,   8.830
86,39171-ECB010,, B,"COVER, MOTOR HOUSING",使用中,かんばん,1Y,第１工場,手配,Ｐ,2041,（株）アイシン福井,1,本社工場,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３３１フタナシ,16,  0.54,3,1,24,19.68,,,,,"7,495",20,"7,541",18,"9,636",22,"9,437",21,0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,,"7,495","7,541","9,636","9,437",0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,1,06, 5.76,   8.830
87,39171-ECE010,, A,"COVER, MOTOR HOUSING",使用中,かんばん,1Y,第１工場,手配,Ｐ,2041,（株）アイシン福井,1,本社工場,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３３１フタナシ,20,  0.53,3,1,24,19.68,,,,,"10,539",20,"10,008",18,"12,583",22,"13,299",21,0,0,541,535,502,535,535,0,0,559,559,547,559,553,0,0,505,535,511,535,478,0,0,498,528,504,522,498,0,0,,"10,539","10,008","12,583","13,299",0,0,541,535,502,535,535,0,0,559,559,547,559,553,0,0,505,535,511,535,478,0,0,498,528,504,522,498,0,0,1,06, 5.76,  10.220
88,01912-ECB060,,,"CAP, SHIPPING",使用中,かんばん,1Y,第１工場,手配,Ｐ,2242,新光ゴム工業（株）,1,本社,――,Ｍ,1,第１,1Y,安城第１工場,TP342ﾌﾀﾅｼ,400,  1.07,3,1,1,3.25,,,,,"7,495",20,"7,541",18,"9,636",22,"9,437",21,0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,,"7,495","7,541","9,636","9,437",0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,1,02, 3.64,   2.110
89,2030 052 002N,, A,"PLUG, W/HEAD STRAIGHT SCREW",使用中,かんばん,1Y,第１工場,手配,Ｐ,2408,（株）杉浦製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３３１フタナシ,300,  0.53,3,1,2,1.06,,,,,"18,034",20,"17,549",18,"22,219",22,"22,736",21,0,0,895,895,838,895,895,0,0,895,895,895,895,895,0,0,895,957,895,957,838,0,0,895,957,895,957,895,0,0,,"18,034","17,549","22,219","22,736",0,0,895,895,838,895,895,0,0,895,895,895,895,895,0,0,895,957,895,957,838,0,0,895,957,895,957,895,0,0,1,06, 5.76,   7.770
90,90116-06048,, G,"BOLT, STUD",使用中,かんばん,1Y,第１工場,手配,Ｐ,2408,（株）杉浦製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP332ﾌﾀﾅｼ,"3,000",  0.87,3,1,2,1.06,,,,,"16,503",20,"15,700",18,"19,771",22,"21,092",21,0,0,853,835,784,835,835,0,0,907,901,877,883,877,0,0,787,841,811,841,748,0,0,756,798,780,798,756,0,0,,"16,503","15,700","19,771","21,092",0,0,853,835,784,835,835,0,0,907,901,877,883,877,0,0,787,841,811,841,748,0,0,756,798,780,798,756,0,0,1,04, 6.88,   3.520
91,90341-08A006,,,"PLUG, W/HEAD STRAIGHT SCREW",使用中,かんばん,1Y,第１工場,手配,Ｐ,2408,（株）杉浦製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３３１フタナシ,"1,000",  0.53,3,1,2,1.06,,,,,"79,631",20,"77,737",18,"98,512",22,"100,381",21,0,0,"3,934","3,940","3,688","3,940","3,940",0,0,"3,916","3,916","3,928","3,916","3,922",0,0,"3,970","4,250","3,964","4,250","3,712",0,0,"3,977","4,257","3,971","4,263","3,977",0,0,,"79,631","77,737","98,512","100,381",0,0,"3,934","3,940","3,688","3,940","3,940",0,0,"3,916","3,916","3,928","3,916","3,922",0,0,"3,970","4,250","3,964","4,250","3,712",0,0,"3,977","4,257","3,971","4,263","3,977",0,0,1,06, 5.76,   7.770
92,90341-08A010,,,"PLUG, W/HEAD STRAIGHT SCREW",使用中,かんばん,1Y,第１工場,手配,Ｐ,2408,（株）杉浦製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３３１フタナシ,"1,000",  0.52,3,1,2,1.06,,,,,"14,990",20,"15,082",18,"19,272",22,"18,874",21,0,0,708,720,672,720,720,0,0,672,672,696,672,684,0,0,780,844,768,844,720,0,0,794,858,782,870,794,0,0,,"14,990","15,082","19,272","18,874",0,0,708,720,672,720,720,0,0,672,672,696,672,684,0,0,780,844,768,844,720,0,0,794,858,782,870,794,0,0,1,06, 5.76,  13.080
93,90341-18090,,,"PLUG, W/HEAD STRAIGHT SCREW",使用中,かんばん,1Y,第１工場,手配,Ｐ,2408,（株）杉浦製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３３１フタナシ,300,  0.63,3,1,2,1.06,,,,,"18,034",20,"17,549",18,"22,219",22,"22,736",21,0,0,895,895,838,895,895,0,0,895,895,895,895,895,0,0,895,957,895,957,838,0,0,895,957,895,957,895,0,0,,"18,034","17,549","22,219","22,736",0,0,895,895,838,895,895,0,0,895,895,895,895,895,0,0,895,957,895,957,838,0,0,895,957,895,957,895,0,0,1,04, 6.88,   1.795
94,35598-50A010,, A,"PIN SUB-ASSY, PARKING LOCK",使用中,かんばん,1Y,第１工場,手配,Ｐ,2411,アイコー（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３４２フタナシ,100,  0.25,3,1,2,3.92,,,,,"7,495",20,"7,541",18,"9,636",22,"9,437",21,0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,,"7,495","7,541","9,636","9,437",0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,1,01, 2.12,   3.440
95,90341-18060,, C,"PLUG, W/HEAD STRAIGHT SCREW",使用中,かんばん,1Y,第１工場,手配,Ｐ,2502,住友商事（株）鉄鋼部輸送機材,1,鉄鋼部輸送機材,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３４２フタナシ,300,  0.25,3,1,1,3,,,,,"10,539",20,"10,008",18,"12,583",22,"13,299",21,0,0,541,535,502,535,535,0,0,559,559,547,559,553,0,0,505,535,511,535,478,0,0,498,528,504,522,498,0,0,,"10,539","10,008","12,583","13,299",0,0,541,535,502,535,535,0,0,559,559,547,559,553,0,0,505,535,511,535,478,0,0,498,528,504,522,498,0,0,1,01, 2.12,   3.440
96,G1174-ECB010,, A,"WIRE, MOTOR REVOLUTION SENSOR",使用中,かんばん,1Y,第１工場,手配,Ｐ,2506,住友電装（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP332ﾌﾀﾅｼ,50,  0.87,3,1,1,2.28,,,,,"7,495",20,"7,541",18,"9,636",22,"9,437",21,0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,,"7,495","7,541","9,636","9,437",0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,1,04, 6.88,   4.850
97,G1174-ECE010,, A,"WIRE, MOTOR REVOLUTION SENSOR",使用中,かんばん,1Y,第１工場,手配,Ｐ,2506,住友電装（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３４２フタアリ,50,  0.90,3,1,1,2.28,,,,,"10,539",20,"10,008",18,"12,583",22,"13,299",21,0,0,541,535,502,535,535,0,0,559,559,547,559,553,0,0,505,535,511,535,478,0,0,498,528,504,522,498,0,0,,"10,539","10,008","12,583","13,299",0,0,541,535,502,535,535,0,0,559,559,547,559,553,0,0,505,535,511,535,478,0,0,498,528,504,522,498,0,0,1,04, 8.04,  10.680
98,82824-ECE010,,,"CONNECTOR, WIRING HARNESS",使用中,かんばん,1Y,第１工場,手配,Ｐ,2506,住友電装（株）,4,四日市物流センター,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３４２フタアリ,45,  0.90,3,1,1,3.25,,,,,"10,539",20,"10,008",18,"12,583",22,"13,299",21,0,0,541,535,502,535,535,0,0,559,559,547,559,553,0,0,505,535,511,535,478,0,0,498,528,504,522,498,0,0,,"10,539","10,008","12,583","13,299",0,0,541,535,502,535,535,0,0,559,559,547,559,553,0,0,505,535,511,535,478,0,0,498,528,504,522,498,0,0,1,04, 8.04,  10.680
99,G1144-ECB010,, A,"TERMINAL, MOTOR CABLE",使用中,かんばん,1Y,第１工場,手配,Ｐ,2508,住友電気工業（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP341ﾌﾀﾅｼ,6,  0.91,3,1,1,2.28,,,,,"7,495",20,"7,541",18,"9,636",22,"9,437",21,0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,,"7,495","7,541","9,636","9,437",0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,1,04, 8.04,   6.970
100,G1173-62010,,,"SENSOR, MOTOR REVOLUTION",使用中,かんばん,1Y,第１工場,手配,Ｐ,3102,多摩川精機販売（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３４２フタアリ,18,  0.90,3,1,1,3.05,,,,,"18,034",20,"17,549",18,"22,219",22,"22,736",21,0,0,895,895,838,895,895,0,0,895,895,895,895,895,0,0,895,957,895,957,838,0,0,895,957,895,957,895,0,0,,"18,034","17,549","22,219","22,736",0,0,895,895,838,895,895,0,0,895,895,895,895,895,0,0,895,957,895,957,838,0,0,895,957,895,957,895,0,0,1,04, 8.04,  10.680
101,Y0217-82011,,,"CAP, SHIPPING",使用中,かんばん,1Y,第１工場,手配,Ｐ,3227,（株）チューゲン,1,本社工場,――,Ｍ,1,第１,1Y,安城第１工場,TP341ﾌﾀﾅｼ,400,  0.91,3,1,1,2.19,,,,,"7,495",20,"7,541",18,"9,636",22,"9,437",21,0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,,"7,495","7,541","9,636","9,437",0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,1,04, 8.04,   6.970
102,35195-10A010,, A,"CLAMP, TRANSAXLE APPLY TUBE, NO.1",使用中,かんばん,1Y,第１工場,手配,Ｐ,3236,中庸スプリング（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP341ﾌﾀﾅｼ,600,  0.91,3,1,2,2.34,,,,,"7,495",20,"7,541",18,"9,636",22,"9,437",21,0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,,"7,495","7,541","9,636","9,437",0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,1,04, 8.04,   6.970
103,35505-ECB010,,,"LEVER SUB-ASSY, PARKING LOCK",使用中,かんばん,1Y,第１工場,手配,Ｐ,3236,中庸スプリング（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ１３１フタナシ,24,  0.53,3,1,2,2.34,,,,,"7,495",20,"7,541",18,"9,636",22,"9,437",21,0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,,"7,495","7,541","9,636","9,437",0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,1,06, 5.76,   6.270
104,90949-06A012,,,"CLAMP, WIRING",使用中,かんばん,1Y,第１工場,手配,Ｐ,3236,中庸スプリング（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３３２フタナシ,500,  0.49,3,1,2,2.34,,,,,"61,597",20,"60,188",18,"76,293",22,"77,645",21,0,0,"3,039","3,045","2,850","3,045","3,045",0,0,"3,021","3,021","3,033","3,021","3,027",0,0,"3,075","3,293","3,069","3,293","2,874",0,0,"3,082","3,300","3,076","3,306","3,082",0,0,,"61,597","60,188","76,293","77,645",0,0,"3,039","3,045","2,850","3,045","3,045",0,0,"3,021","3,021","3,033","3,021","3,027",0,0,"3,075","3,293","3,069","3,293","2,874",0,0,"3,082","3,300","3,076","3,306","3,082",0,0,1,01, 1.90,   3.500
105,34989-ECB010,,,LABEL,使用中,かんばん,1Y,第１工場,手配,Ｐ,3407,（株）槌屋,1,知立工場,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３３１フタナシ,500,  0.67,3,1,1,2.33,,,,,"4,075",20,"3,960",18,"5,004",22,"4,208",21,0,0,168,168,156,168,168,0,0,162,162,174,162,168,0,0,234,254,234,248,216,0,0,241,255,235,261,241,0,0,,"4,075","3,960","5,004","4,208",0,0,168,168,156,168,168,0,0,162,162,174,162,168,0,0,234,254,234,248,216,0,0,241,255,235,261,241,0,0,1,01, 2.14,   0.690
106,34989-ECB020,, A,LABEL,使用中,かんばん,1Y,第１工場,手配,Ｐ,3407,（株）槌屋,1,知立工場,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ１３１フタナシ,500,  0.66,3,1,1,2.33,,,,,"18,034",20,"17,549",18,"22,219",22,"22,736",21,0,0,895,895,838,895,895,0,0,895,895,895,895,895,0,0,895,957,895,957,838,0,0,895,957,895,957,895,0,0,,"18,034","17,549","22,219","22,736",0,0,895,895,838,895,895,0,0,895,895,895,895,895,0,0,895,957,895,957,838,0,0,895,957,895,957,895,0,0,1,01, 2.26,   2.600
107,34989-ECB030,, A,LABEL,使用中,かんばん,1Y,第１工場,手配,Ｐ,3407,（株）槌屋,1,知立工場,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３３１フタナシ,"1,000",  0.67,3,1,1,2.33,,,,,"18,034",20,"17,549",18,"22,219",22,"22,736",21,0,0,895,895,838,895,895,0,0,895,895,895,895,895,0,0,895,957,895,957,838,0,0,895,957,895,957,895,0,0,,"18,034","17,549","22,219","22,736",0,0,895,895,838,895,895,0,0,895,895,895,895,895,0,0,895,957,895,957,838,0,0,895,957,895,957,895,0,0,1,01, 2.14,   0.750
108,34989-ECC010,,,LABEL,使用中,かんばん,1Y,第１工場,手配,Ｐ,3407,（株）槌屋,1,知立工場,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３３２フタナシ,500,  0.50,3,1,1,2.33,,,,,"3,420",20,"3,581",18,"4,632",22,"5,229",21,0,0,186,192,180,192,192,0,0,174,174,174,174,174,0,0,156,168,150,174,144,0,0,156,174,156,174,156,0,0,,"3,420","3,581","4,632","5,229",0,0,186,192,180,192,192,0,0,174,174,174,174,174,0,0,156,168,150,174,144,0,0,156,174,156,174,156,0,0,1,01, 1.90,   3.300
109,34989-ECE010,,,LABEL,使用中,かんばん,1Y,第１工場,手配,Ｐ,3407,（株）槌屋,1,知立工場,――,Ｍ,1,第１,1Y,安城第１工場,TP332ﾌﾀﾅｼ,500,  1.07,3,1,1,2.33,,,,,"3,450",20,"3,641",18,"4,671",22,"5,251",21,0,0,168,174,168,174,174,0,0,198,198,186,186,186,0,0,150,168,168,168,144,0,0,162,168,174,174,162,0,0,,"3,450","3,641","4,671","5,251",0,0,168,174,168,174,174,0,0,198,198,186,186,186,0,0,150,168,168,168,144,0,0,162,168,174,174,162,0,0,1,02, 3.64,   3.100
110,34989-ECE020,, A,LABEL,使用中,かんばん,1Y,第１工場,手配,Ｐ,3407,（株）槌屋,1,知立工場,――,Ｍ,1,第１,1Y,安城第１工場,TP342ﾌﾀﾅｼ,500,  1.07,3,1,1,2.33,,,,,"4,575",20,"4,286",18,"5,395",22,"5,484",21,0,0,229,235,220,235,235,0,0,211,217,217,235,229,0,0,223,229,211,229,208,0,0,240,258,228,246,240,0,0,,"4,575","4,286","5,395","5,484",0,0,229,235,220,235,235,0,0,211,217,217,235,229,0,0,223,229,211,229,208,0,0,240,258,228,246,240,0,0,1,02, 3.64,   2.110
111,34989-ECE030,,,LABEL,使用中,かんばん,1Y,第１工場,手配,Ｐ,3407,（株）槌屋,1,知立工場,――,Ｍ,1,第１,1Y,安城第１工場,ＴＰ３４２フタナシ,500,  0.25,3,1,1,2.33,,,,,"2,514",20,"2,081",18,"2,517",22,"2,564",21,0,0,144,126,114,126,126,0,0,150,144,144,138,138,0,0,132,138,132,138,126,0,0,96,102,102,102,96,0,0,,"2,514","2,081","2,517","2,564",0,0,144,126,114,126,126,0,0,150,144,144,138,138,0,0,132,138,132,138,126,0,0,96,102,102,102,96,0,0,1,01, 2.12,   3.440
112,90508-27A011,,,"SPRING, TORSION",使用中,かんばん,1Y,第１工場,手配,Ｐ,3836,（株）東郷製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,ﾃﾝﾊﾞｺ10ﾌﾀﾅｼ,200,  0.74,3,1,8,11.12,,,,,"7,495",20,"7,541",18,"9,636",22,"9,437",21,0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,,"7,495","7,541","9,636","9,437",0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,1,08, 9.00,  12.850
113,90524-09A003,,,"SPRING, RETAINER",使用中,かんばん,1Y,第１工場,手配,Ｐ,3836,（株）東郷製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,ｻﾝﾎﾞｯｸｽ＃K-10Bﾌﾀﾅｼ,500,  0.48,3,1,8,11.12,,,,,"7,495",20,"7,541",18,"9,636",22,"9,437",21,0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,,"7,495","7,541","9,636","9,437",0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,1,08, 9.00,  11.860
114,90331-14006,, A,"PLUG, TIGHT",使用中,かんばん,1Y,第１工場,手配,Ｐ,4125,ナミコー（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,ﾃﾝﾊﾞｺ10ﾌﾀﾅｼ,"2,000",  0.74,3,1,1,3.25,,,,,"4,575",20,"4,286",18,"5,395",22,"5,484",21,0,0,229,235,220,235,235,0,0,211,217,217,235,229,0,0,223,229,211,229,208,0,0,240,258,228,246,240,0,0,,"4,575","4,286","5,395","5,484",0,0,229,235,220,235,235,0,0,211,217,217,235,229,0,0,223,229,211,229,208,0,0,240,258,228,246,240,0,0,1,08, 9.00,   9.978
115,2030 044 001J,, E,"SEAL, TYPE T OIL",使用中,かんばん,1Y,第１工場,手配,Ｐ,4241,ＮＯＫ（株）,1,,――,Ｍ,1,第１,1Y,安城第１工場,ﾃﾝﾊﾞｺ10ﾌﾀﾅｼ,400,  0.74,3,1,2,3.52,,,,,"7,495",20,"7,541",18,"9,636",22,"9,437",21,0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,,"7,495","7,541","9,636","9,437",0,0,354,360,336,360,360,0,0,336,336,348,336,342,0,0,390,422,384,422,360,0,0,397,429,391,435,397,0,0,1,08, 9.00,   9.978
