,Unnamed: 0,KUMI_CD,LINE_CD,LINE_SUB_CD,KANRIBAN_CD,LINE_DATE,TYOKU_KBN,OFFICE_HOURS,WORKING_HOURS,LINE_START_TIME,LINE_END_TIME,LINE_STOP_HOURS,MACHINE_STOP_HOURS,HINPATU_STOP_CNT,HINPATU_STOP_TIME,HURYOU_QUANT_CNT,HURYOU_WEIGHT_CNT,TENAOSHI_CNT,HORYUU_CNT,LAST_SERIAL_NO,OPERATION_RATE,SPEC_OPERATION_RATE,OVERALL_EQUIPMENT_EFFICIENCY,TARGET_AVAILABLE_RATE,AVAILABLE_HOURS,KAKO_CNT,AVAILABLE_RATE,HURYOU_RATE,CHOKO_RATE,KANKEN_NG_RATE,SYUTUKEN_NG_RATE,DIRECT_MANHOURS,TOTAL_MANHOURS,TOTAL_TIME,DIRECT_TIME,INDIRECT_TIME,NOTES,KANRIBAN_STAFF_CD,CREATE_STAFF_CD,CREATE_TIME,UPDATE_STAFF_CD,UPDATE_TIME,FIRST_SERIAL_NO,KANSEI_SHOUNIN_STAFF,AUTHOR,PDF_NAME,HUB_CD
37,37,NH11,AS2610,A,M01,2023-09-19,1,750,429.0,2023/9/19 8:30,2023/9/19 17:15,0,0,< NULL >,< NULL >,0,0,0,0,23J2Y11150,99.74,100.3,100.05,< NULL >,0,464,100.05,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,29700,M01,2023/9/19 8:00,29700,2023/9/19 20:06,23J2Y10687,31853,29700,< NULL >,IN000
38,38,NH12,AS2610,A,M01,2023-09-20,2,690,429.0,2023/9/20 22:00,2023/9/21 6:50,0,0,< NULL >,< NULL >,0,0,0,0,23J2U12519,99.81,100.23,100.05,< NULL >,0,464,100.05,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,31853,M01,2023/9/20 8:01,31853,2023/9/21 8:20,23J2Y12056,31853,39320,< NULL >,IN000
39,39,NH11,AS2610,A,M01,2023-09-20,1,750,428.0,2023/9/20 8:30,2023/9/20 18:25,0,0,< NULL >,< NULL >,0,0,0,0,23J2Y12055,99.74,100.32,100.06,< NULL >,0,463,100.06,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,31853,M01,2023/9/20 8:00,31853,2023/9/21 8:19,23J2U11593,31853,29700,< NULL >,IN000
40,40,NH12,AS2610,A,M01,2023-09-21,2,690,429.0,2023/9/21 22:00,2023/9/22 6:50,0,0,< NULL >,< NULL >,0,0,0,0,23J2Y13383,87.44,100.12,87.54,< NULL >,0,406,87.54,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,31853,M01,2023/9/21 8:02,31853,2023/9/22 10:13,23J2U12978,31853,39320,< NULL >,IN000
41,41,NH11,AS2610,A,M01,2023-09-21,1,750,429.0,2023/9/21 8:30,2023/9/21 17:15,0,0,< NULL >,< NULL >,0,0,0,0,23J2U12977,98.46,100.3,98.75,< NULL >,0,458,98.75,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,31853,M01,2023/9/21 8:01,31853,2023/9/21 18:32,23J2Y12711,31853,29700,< NULL >,IN000
42,42,NH12,AS2610,A,M01,2023-09-22,2,690,399.0,2023/9/22 22:00,2023/9/23 6:50,0,0,< NULL >,< NULL >,0,0,0,0,23J2U14192,92.18,100.1,92.27,< NULL >,0,398,92.27,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,31853,M01,2023/9/22 8:02,31853,2023/9/25 11:03,23J2U13795,31853,39320,< NULL >,IN000
43,43,NH11,AS2610,A,M01,2023-09-22,1,750,399.0,2023/9/22 8:30,2023/9/22 17:15,0,0,< NULL >,< NULL >,0,0,0,0,23J2U13794,95.44,100.08,95.51,< NULL >,0,412,95.51,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,31853,M01,2023/9/22 8:01,31853,2023/9/22 17:59,23J2Y13384,31853,29700,< NULL >,IN000
44,44,NH12,AS2610,A,M01,2023-09-23,2,690,0.0,2023/9/23 22:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/9/23 8:02,SYS_TT,2023/9/23 8:15,< NULL >,< NULL >,< NULL >,< NULL >,IN000
45,45,NH11,AS2610,A,M01,2023-09-23,1,750,0.0,2023/9/23 8:30,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/9/23 8:00,SYS_TT,2023/9/23 8:15,< NULL >,< NULL >,< NULL >,< NULL >,IN000
46,46,NH12,AS2610,A,M01,2023-09-24,1,750,0.0,2023/9/24 8:30,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/9/24 8:01,SYS_TT,2023/9/24 8:15,< NULL >,< NULL >,< NULL >,< NULL >,IN000
47,47,NH11,AS2610,A,M01,2023-09-24,2,690,0.0,2023/9/24 22:00,< NULL >,0,0,< NULL >,< NULL >,0,0,0,0,< NULL >,0.0,0.0,0.0,< NULL >,0,0,0.0,0,< NULL >,< NULL >,< NULL >,0,0,0,0,0,< NULL >,SYS_TT,M01,2023/9/24 8:00,SYS_TT,2023/9/24 8:15,< NULL >,< NULL >,< NULL >,< NULL >,IN000
