,品番,変更前）正常1,変更前）正常2,変更前）正常3,変更前）正常4,変更前）異常1,変更前）異常2,変更前）異常3,変更前）異常4,変更前）異常5,変更後）正常1,変更後）正常2,変更後）正常3,変更後）正常4,変更後）異常1,変更後）異常2,変更後）異常3,変更後）異常4,変更後）異常5,差分）正常1,差分）正常2,差分）正常3,差分）正常4,差分）異常1,差分）異常2,差分）異常3,差分）異常4,差分）異常5,品名,収容数,仕入先名/工場名,A,B,C,整備室,箱種,箱サイズ,箱重量,手配区分,変更前）かんばん数,変更後）かんばん数,変更前）社内LT,変更後）社内LT,差分）社内LT,変更前）基準在庫日数（基準在庫枚数込み）,変更前）社内LT-基準在庫日数（基準在庫枚数込み）,変更後）基準在庫日数（基準在庫枚数込み）,変更後）社内LT-基準在庫日数（基準在庫枚数込み）,変更前）計算社内かんばん数,変更前）計算社内かんばん数MAX,変更後）計算社内かんばん数,変更後）計算社内かんばん数MAX,,,,変更前）方率
1,01912ECB010,0,0,0,0,11.11111111,0,0,33.33333333,55.55555556,0,0,0,0,0,6.451612903,9.677419355,16.12903226,67.74193548,0,0,0,0,-11.11111111,6.451612903,9.677419355,-17.20430108,12.18637993,"CAP, SHIPPING",300,石黒ゴム工業（株）,1,2,3.64,1Y,ＴＰ３３２フタナシ,0.022,3.21,手配,9,31,5.86,3.52,-2.34,1.764459839,4.095540161,1.059294837,2.460705163,29.20833333,32.29166667,27.78633333,30.93766667,,,,
29,3559850A010,0,0,25,0,0,25,0,50,0,0,0,15,15,15,5,5,20,25,0,0,-10,15,15,-20,5,-30,25,"PIN SUB-ASSY, PARKING LOCK",100,アイコー（株）,1,2,3.92,1Y,ＴＰ１３１フタナシ,0.006,3.86,手配,4,20,4.165,1.89,-2.275,2.046927939,2.118072061,1.156160039,0.733839961,20.982,22.98,19.603,21.67,,,,
59,9014908A008,0,0,25,0,0,0,25,25,25,0,0,0,35.29411765,0,11.76470588,11.76470588,17.64705882,23.52941176,0,0,-25,35.29411765,0,11.76470588,-13.23529412,-7.352941176,-1.470588235,SCREW,800,（株）青山製作所,1,6,5.76,1Y,ＴＰ３３１フタナシ,0.012,10.59,手配,4,17,3.51,1.25,-2.26,1.810979832,1.699020168,0.820461423,0.429538577,12.01875,12.596875,10.21765,10.808525,,,,
10,35145ECE010,0,8.333333333,16.66666667,0,8.333333333,0,0,16.66666667,50,0,0,0,0,7.407407407,11.11111111,7.407407407,18.51851852,55.55555556,0,-8.333333333,-16.66666667,0,-0.925925926,11.11111111,7.407407407,1.851851852,5.555555556,"PLATE, OIL",100,三共鋼業（株）,1,1,1.74,1Y,ＴＰ１３１フタナシ,0.006,3.61,手配,12,27,5,2.74,-2.26,1.610856974,3.389143026,0.851149425,1.888850575,20.0755,25.3295,18.29,23.61,,,,
97,9050827A011,0,0,33.33333333,0,0,0,33.33333333,33.33333333,0,0,22.22222222,0,0,33.33333333,0,0,22.22222222,22.22222222,0,22.22222222,-33.33333333,0,33.33333333,0,-33.33333333,-11.11111111,22.22222222,"SPRING, TORSION",200,（株）東郷製作所,1,8,11.12,1Y,ＴＰ３３１フタナシ,0.012,4.48,手配,3,10,3.72,1.47,-2.25,2.443855879,1.276144121,1.292320078,0.177679922,10.7922,11.04195,9.0613,9.319675,,,,
4,1040183011P,0,0,0,0,33.33333333,0,33.33333333,33.33333333,0,0,0,0,0,58.33333333,25,0,0,16.66666667,0,0,0,0,25,25,-33.33333333,-33.33333333,16.66666667,"BOLT, FLANGE",500,（株）青山製作所,1,6,5.76,1Y,ＴＰ３３１フタナシ,0.012,9.38,手配,3,12,3.3,1.19,-2.11,2.161674218,1.138325782,0.966985482,0.223014518,9.47352,9.87312,7.69708,8.11048,,,,
43,82821ECB010,0,0,0,25,0,0,0,25,50,0,0,0,0,8.333333333,0,0,33.33333333,58.33333333,0,0,0,-25,8.333333333,0,0,8.333333333,8.333333333,"COVER, CONNECTOR",400,石黒ゴム工業（株）,1,2,3.64,1Y,ＴＰ３３２フタナシ,0.022,3.01,手配,4,12,7.36,5.25,-2.11,2.571469749,4.788530251,1.387999785,3.862000215,12.596875,13.753125,10.808525,11.990275,,,,
108,G1250ECB010,0,0,0,16.66666667,0,33.33333333,0,33.33333333,16.66666667,0,0,23.80952381,4.761904762,4.761904762,9.523809524,9.523809524,14.28571429,33.33333333,0,0,23.80952381,-11.9047619,4.761904762,-23.80952381,9.523809524,-19.04761905,16.66666667,"PIPE ASSY, MOTOR COOLING, NO.1",60,（株）バルカー,1,2,6.2,1Y,ＴＰ３３２フタナシ,0.022,1.94,手配,6,21,3.84,1.78,-2.06,2.028354907,1.811645093,1.120497018,0.659502982,21.705,23.855,19.6615,21.8065,,,,
89,9036630A017,0,0,0,0,0,12,16,20,52,0,0,0,3.076923077,7.692307692,0,18.46153846,30.76923077,40,0,0,0,3.076923077,7.692307692,-12,2.461538462,10.76923077,-12,"RACE, TAPERED ROLLER BEARING, OUTER",72,（株）ジェイテクト,1,1,1.9,1Y,サンボックス＃９Ｆフタナシ,0.013,10.492,手配,25,65,3.83,1.85,-1.98,1.252464555,2.577535445,0.681124584,1.168875416,42.18402778,55.03125,40.39166667,53.52222222,,,,
109,G1250ECC010,0,0,0,0,0,0,33.33333333,33.33333333,33.33333333,0,0,0,7.692307692,0,0,15.38461538,15.38461538,61.53846154,0,0,0,7.692307692,0,0,-17.94871795,-17.94871795,28.20512821,"PIPE ASSY, MOTOR COOLING, NO.1",60,（株）バルカー,1,2,6.2,1Y,ＴＰ３３２フタナシ,0.022,2.036,手配,3,13,7.03,5.06,-1.97,2.571599292,4.458400708,1.267727273,3.792272727,13.266,14.446,12.31,13.61,,,,
87,9036628A007,0,0,0,0,0,7.142857143,7.142857143,28.57142857,57.14285714,0,0,0,2.702702703,2.702702703,2.702702703,16.21621622,18.91891892,56.75675676,0,0,0,2.702702703,2.702702703,-4.44015444,9.073359073,-9.652509653,-0.386100386,"RACE, TAPERED ROLLER BEARING, INNER",72,（株）ジェイテクト,1,1,1.9,1Y,サンボックス＃９Ｆフタナシ,0.013,11.644,手配,14,37,4.695,2.8,-1.895,1.438217022,3.256782978,0.714827586,2.085172414,24.16194444,31.45916667,22.05833333,29.44722222,,,,
18,35198ECE010,0,33.33333333,0,0,0,0,0,33.33333333,33.33333333,0,0,0,7.692307692,0,15.38461538,15.38461538,7.692307692,53.84615385,0,-33.33333333,0,7.692307692,0,15.38461538,15.38461538,-25.64102564,20.51282051,"BRACKET, WIRE HARNESS CLAMP",200,サトープレス工業（株）,1,1,1.78,1Y,ＴＰ３３１フタナシ,0.012,5.28,手配,6,13,5.905,4.04,-1.865,2.191713949,3.713286051,0.982298851,3.057701149,10.6183,13.2453,8.714,11.374,,,,
44,82821ECB020,0,0,14.28571429,0,0,0,14.28571429,14.28571429,57.14285714,0,0,0,0,0,0,8.333333333,25,66.66666667,0,0,-14.28571429,0,0,0,-5.952380952,10.71428571,9.523809524,"COVER, CONNECTOR",200,石黒ゴム工業（株）,1,2,3.64,1Y,ＴＰ１３１フタナシ,0.006,3.01,手配,7,24,6.67,4.85,-1.82,1.925734874,4.744265126,1.148999893,3.701000107,23.11875,25.43125,21.56245,23.92595,,,,
28,35595ECB010,0,6.896551724,17.24137931,3.448275862,3.448275862,6.896551724,10.34482759,17.24137931,34.48275862,0,0,0,15.68627451,11.76470588,3.921568627,21.56862745,9.803921569,37.25490196,0,-6.896551724,-17.24137931,12.23799865,8.31643002,-2.974983097,11.22379986,-7.437457742,2.77214334,"BRACKET, PARKING LOCK PAWL",40,サトープレス工業（株）,1,1,1.78,1Y,ＴＰ３３１フタナシ,0.012,2.47,手配,29,51,3.02,1.32,-1.7,1.320771176,1.699228824,0.672464016,0.647535984,31.4715,41.4615,30.45475,40.78975,,,,
22,3548255A010,0,0,0,0,25,0,0,75,0,0,0,0,0,12.5,0,0,12.5,75,0,0,0,0,-12.5,0,0,-62.5,75,"CLAMP, TEMPERATURE SENSOR",300,サトープレス工業（株）,1,1,1.78,1Y,ＡＷ１３１フタナシ,0.006,4.74,手配,4,8,6.96,5.285,-1.675,2.772570923,4.187429077,1.173448276,4.111551724,7.9913,9.742633333,6.054,7.827333333,,,,
103,9161140614,0,25,0,0,25,0,0,50,0,0,3.125,15.625,25,15.625,12.5,6.25,3.125,18.75,0,-21.875,15.625,25,-9.375,12.5,6.25,-46.875,18.75,"BOLT, W/WASHER",2500,（株）青山製作所,1,6,5.76,1Y,ＴＰ３３１フタナシ,0.012,13.08,手配,4,32,2.75,1.1,-1.65,1.454480371,1.295519629,1.048154845,0.051845155,18.392,19.37866667,18.731456,19.73988267,,,,
