かんばんシリアル,伝票番号,拠点所番地,品番,品名,収容数,仕入先名,仕入先工場名,ステータス,納入日,納入便,発注日時,印刷日時,検収日時,順立装置入庫日時,順立装置出庫日時,回収日時,発注印刷LT,発注検収LT,発注順立装置入庫LT,発注順立装置出庫LT,発注回収LT,更新日時,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT,平均日量数,基準在庫枚数日数,A,B,C,整備室,箱種,箱サイズ,箱重量,基準在庫日数,基準在庫枚数,手配区分,基準在庫日数（基準在庫枚数込み）,実績在庫日数,在庫状態
1Z23J00009702,XCEY450,20375,9011906A065    ,"ﾎﾞﾙﾄ,ﾌﾗﾝｼﾞW/ﾜｯｼｬ              ",1000,（株）青山製作所,< NULL >,回収済,2023/9/6,4,2023/9/5 14:12,2023/9/5 22:01,2023/9/6 20:16,2023/9/7 4:45,2023/9/7 12:45,2023/9/8 1:06,0.33,1.25,1.61,1.94,2.45,2023/9/11 13:23,0.92,0.36,0.33,0.51,1.2,2662.571429,0.375576779,1,6,5.76,1Y,ＴＰ３３１フタナシ,0.012,11.83,0.53,1,手配,0.905576779,1.2,異常2
1Z23J00009704,XCEY450,20372,G1163ECE010    ,"ﾎﾞﾙﾄ,ﾓｰﾀｰｽﾃｰﾀｰﾖｰｸ             ",100,（株）青山製作所,< NULL >,回収済,2023/9/6,4,2023/9/5 14:12,2023/9/5 22:01,2023/9/6 20:16,2023/9/7 4:43,2023/9/7 11:26,2023/9/7 14:52,0.33,1.25,1.6,1.88,2.03,2023/9/10 13:22,0.92,0.35,0.28,0.15,0.78,1944,0.051440329,1,6,5.76,1Y,ＴＰ３３１フタナシ,0.012,7.77,0.53,1,手配,0.581440329,0.78,異常2
1Z23J00009705,XCEY450,20372,G1163ECE010    ,"ﾎﾞﾙﾄ,ﾓｰﾀｰｽﾃｰﾀｰﾖｰｸ             ",100,（株）青山製作所,< NULL >,回収済,2023/9/6,4,2023/9/5 14:12,2023/9/5 22:01,2023/9/6 20:16,2023/9/7 4:41,2023/9/7 12:47,2023/9/7 16:34,0.33,1.25,1.6,1.94,2.1,2023/9/10 13:22,0.92,0.35,0.34,0.16,0.85,1944,0.051440329,1,6,5.76,1Y,ＴＰ３３１フタナシ,0.012,7.77,0.53,1,手配,0.581440329,0.85,異常2
1Z23J00009721,XCEY700,60123,41310ECB010    ,ﾃﾞﾌｹｰｽS/A                     ,2,（株）オンド,本社工場,回収済,2023/9/6,3,2023/9/5 17:15,2023/9/5 23:05,2023/9/7 0:05,2023/9/7 4:56,2023/9/7 15:10,2023/9/7 17:20,0.24,1.28,1.49,1.91,2,2023/9/10 13:22,1.04,0.21,0.42,0.09,0.72,390.3809524,0.010246402,1,4,4,1Y,サンボックス＃２４Ａフタアリ,0.033,16.99,0.69,2,手配,0.700246402,0.72,異常1
1Z23J00009729,XCEY700,60123,41310ECB010    ,ﾃﾞﾌｹｰｽS/A                     ,2,（株）オンド,本社工場,回収済,2023/9/6,3,2023/9/5 17:15,2023/9/5 23:05,2023/9/7 0:05,2023/9/7 4:54,2023/9/7 15:00,2023/9/7 17:20,0.24,1.28,1.49,1.91,2,2023/9/10 13:22,1.04,0.21,0.42,0.09,0.72,390.3809524,0.010246402,1,4,4,1Y,サンボックス＃２４Ａフタアリ,0.033,16.99,0.69,2,手配,0.700246402,0.72,異常1
1Z23J00009732,XCEY700,60124,41310ECE010    ,ｷﾞﾔﾃﾞﾌﾘﾝｸﾞ                    ,2,（株）オンド,本社工場,回収済,2023/9/6,3,2023/9/5 17:15,2023/9/5 23:05,2023/9/7 0:05,2023/9/7 8:54,2023/9/7 16:56,2023/9/7 23:43,0.24,1.28,1.65,1.99,2.27,2023/9/10 13:22,1.04,0.37,0.34,0.28,0.99,497.1428571,0.012068966,1,4,4,1Y,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,0.033,14.51,0.7,3,手配,0.712068966,0.99,異常2
1Z23J00009734,XCEY700,60124,41310ECE010    ,ｷﾞﾔﾃﾞﾌﾘﾝｸﾞ                    ,2,（株）オンド,本社工場,回収済,2023/9/6,3,2023/9/5 17:15,2023/9/5 23:05,2023/9/7 0:05,2023/9/7 9:04,2023/9/7 16:42,2023/9/7 22:44,0.24,1.28,1.66,1.98,2.23,2023/9/10 13:22,1.04,0.38,0.32,0.25,0.95,497.1428571,0.012068966,1,4,4,1Y,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,0.033,14.51,0.7,3,手配,0.712068966,0.95,異常2
1Z23J00009735,XCEY700,60124,41310ECE010    ,ｷﾞﾔﾃﾞﾌﾘﾝｸﾞ                    ,2,（株）オンド,本社工場,回収済,2023/9/6,3,2023/9/5 17:15,2023/9/5 23:05,2023/9/7 0:05,2023/9/7 8:57,2023/9/7 22:39,2023/9/8 0:23,0.24,1.28,1.65,2.23,2.3,2023/9/11 13:23,1.04,0.37,0.58,0.07,1.02,497.1428571,0.012068966,1,4,4,1Y,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,0.033,14.51,0.7,3,手配,0.712068966,1.02,異常2
1Z23J00009740,XCEY700,60124,41310ECE010    ,ｷﾞﾔﾃﾞﾌﾘﾝｸﾞ                    ,2,（株）オンド,本社工場,回収済,2023/9/6,3,2023/9/5 17:15,2023/9/5 23:05,2023/9/7 0:05,2023/9/7 5:11,2023/9/7 23:53,2023/9/8 1:06,0.24,1.28,1.5,2.28,2.33,2023/9/11 13:23,1.04,0.22,0.78,0.05,1.05,497.1428571,0.012068966,1,4,4,1Y,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,0.033,14.51,0.7,3,手配,0.712068966,1.05,異常2
1Z23J00009742,XCEY710,10126,35556ECB010    ,ｼｬﾌﾄﾊﾟｰｷﾝｸﾞﾛｯｸﾎﾟｰﾙ            ,100,（株）ギフ加藤製作所,本社工場（ＡＷ発行拠点）,回収済,2023/9/7,2,2023/9/6 1:28,2023/9/6 8:05,2023/9/8 0:46,2023/9/8 11:32,2023/9/8 23:08,2023/9/9 3:38,0.28,1.97,2.42,2.9,3.09,2023/9/12 13:23,1.69,0.45,0.48,0.19,1.12,390.3809524,0.256160039,1,2,3.8,1Y,ＡＷ１３１フタナシ,0.005,7,0.75,1,手配,1.006160039,1.12,異常1
