品番,加工図符号,類別,品名,整備室,整備室名,手配区分,工程内外製,工程ｺｰﾄﾞ,仕入先名/工場名,発送場所,発送場所名,受給区分,資材区分,後工程内外製,後工程ｺｰﾄﾞ,後工程仕入先名/工場名,受入場所,受入場所名,中継区分,中継工場,中継場所,中継場所名,納入ｻｲｸﾙ間隔,納入ｻｲｸﾙ回数,納入ｻｲｸﾙ情報,基準在庫日数,基準在庫枚数,MIN在庫日数,MAX在庫日数,便平均上限振れ率,便平均下限振れ率,かんばん情報.仕入先,かんばん情報.仕入先名,かんばん情報.背番号,かんばん情報.工場置場所,かんばん情報.拠点置場所,かんばん情報.品名略ｺｰﾄﾞ,かんばん情報.品名略名,かんばん情報.通箱ｺｰﾄﾞ,かんばん情報.通箱名,かんばん情報収容数,かんばん情報.ｺﾝﾍﾞｱ区分,かんばん情報.ﾌﾞﾛｯｸ区分,かんばん情報.専用品区分,かんばん情報.不良率,かんばん情報.保証率,かんばん情報.設変符号,かんばん情報.部品大別区分,かんばん情報.部品大別名称,かんばん情報.発注形態区分,かんばん情報.発注形態名称,かんばん情報.PLコード,登録箱種,縦(mm),横(mm),高(mm),容積(m3),総重量(Kg),パレタイズ発注,箱数,設定計画NO,設定日,設定担当部署コード,担当部署名,設定担当者コード,担当者名
90930-03179,9093003179,,"PLUG, BREATHER",1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,6,5.76,0.74,3,0.95,0.95,1.1,0.5,6,（株）青山製作所,19,F1-3,20390,522,ﾌﾟﾗｸﾞﾌﾞﾘ-ｻﾞ-,14,TP-331 ﾊﾝﾖｳ,500,,,,0,0.5,,8,専用,1,後補充,,TP331ﾌﾀﾅｼ,335,335,103,0.012,9.18,しない,,MASTER01,2023/4/27,NE00,１工工務Ｇ,42678,藤井　織花
91551-80614,9155180614,,"BOLT, FLANGE",1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,6,5.76,0.74,3,0.95,0.95,1.1,0.5,6,（株）青山製作所,20,M-MG-3,20377,1836,ﾎﾞﾙﾄﾌﾗﾝｼﾞ,14,TP-331 ﾊﾝﾖｳ,1500,,,,0,0.5,,8,専用,1,後補充,,TP331ﾌﾀﾅｼ,335,335,103,0.012,10.13,しない,,MASTER01,2023/4/27,NE00,１工工務Ｇ,42678,藤井　織花
91551-80640,9155180640,,"BOLT, FLANGE",1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,6,5.76,0.74,3,0.95,0.95,1.1,0.5,6,（株）青山製作所,21,M-MG-7,20381,1836,ﾎﾞﾙﾄﾌﾗﾝｼﾞ,14,TP-331 ﾊﾝﾖｳ,1000,,,,0,0.5,,8,専用,1,後補充,,TP331ﾌﾀﾅｼ,335,335,103,0.012,11.53,しない,,MASTER01,2023/4/27,NE00,１工工務Ｇ,42678,藤井　織花
91611-40614,9161140614,,"BOLT, W/WASHER",1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,6,5.76,0.74,3,0.95,0.95,1.1,0.5,6,（株）青山製作所,22,M-MG-5,20378,1835,ﾎﾞﾙﾄｳｲｽﾞﾜﾂｼﾔ,14,TP-331 ﾊﾝﾖｳ,2500,,,,0,0.5,,8,専用,1,後補充,,TP331ﾌﾀﾅｼ,335,335,103,0.012,13.08,しない,,MASTER01,2023/4/27,NE00,１工工務Ｇ,42678,藤井　織花
91671-80618,9167180618,,"BOLT, FLANGE W/WASHER",1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,6,5.76,0.74,3,0.95,0.95,1.1,0.5,6,（株）青山製作所,23,M-C-2-2,20376,1843,"ﾎﾞﾙﾄ,ﾌﾗﾝｼﾞW/ﾜｯｼｬ",14,TP-331 ﾊﾝﾖｳ,1000,,,,0,0.5,,8,専用,1,後補充,,TP331ﾌﾀﾅｼ,335,335,103,0.012,9.43,しない,,MASTER01,2023/4/27,NE00,１工工務Ｇ,42678,藤井　織花
01912-8GA010,019128GA010,,"CAP, SHIPPING",1Y,第１工場,手配,Ｐ,208,石黒ゴム工業（株）,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,2,3.64,1.07,3,1.28,1.28,1.1,0.5,10,石黒ゴム工業（株）,1,F1-4,50460,274,ｷﾔﾂﾌﾟｼﾂﾋﾟﾝｸﾞ,18,TP-342 ﾊﾝﾖｳ,50,,,,0,0.5,,8,専用,1,後補充,,TP342ﾌﾀﾅｼ,503,335,195,0.033,2.11,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
01912-ECA020,01912ECA020,,"CAP, SHIPPING",1Y,第１工場,手配,Ｐ,9045,日進工業（株）,1,丸共通運,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,0.81,0.52,0,0.52,0.52,1.1,0.5,85,日進工業（株）,1,,,9998,ｷｬｯﾌﾟｼｯﾋﾟﾝｸﾞ,16,TP-332 ﾊﾝﾖｳ,100,,,,0,0.8,,,,,,,TP332,335,335,195,0.022,1.1,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
01912-ECB010,01912ECB010,,"CAP, SHIPPING",1Y,第１工場,手配,Ｐ,208,石黒ゴム工業（株）,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,2,3.64,1.07,3,1.28,1.28,1.1,0.5,10,石黒ゴム工業（株）,2,C1-4,30464,9998,ｷｬｯﾌﾟｼｯﾋﾟﾝｸﾞ,16,TP-332 ﾊﾝﾖｳ,300,,,,0,0.5,,8,専用,1,後補充,,TP332ﾌﾀﾅｼ,335,335,195,0.022,3.21,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
01912-ECB040,01912ECB040,,"CAP, SHIPPING",1Y,第１工場,手配,Ｐ,155,愛産樹脂工業（株）,1,本社工場,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,2.12,0.67,3,0.88,0.88,1.1,0.5,920,愛産樹脂工業（株）,901,F1-5,50491,9998,ｷｬｯﾌﾟｼｯﾋﾟﾝｸﾞ,18,TP-342 ﾊﾝﾖｳ,50,,,,0,0.5,,8,専用,1,後補充,,TP342ﾌﾀﾅｼ,335,503,195,0.033,3.44,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
01912-ECB060,01912ECB060,,"CAP, SHIPPING",1Y,第１工場,手配,Ｐ,2242,新光ゴム工業（株）,1,本社,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,3.25,0.78,3,0.99,0.99,1.1,0.5,921,新光ゴム工業（株）,1,C1-17,20459,9998,ｷｬｯﾌﾟｼｯﾋﾟﾝｸﾞ,14,TP-331 ﾊﾝﾖｳ,400,,,,0,0.5,,8,専用,1,後補充,,TP331ﾌﾀﾅｼ,335,335,103,0.012,2.04,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
