品番,加工図符号,類別,品名,整備室,整備室名,手配区分,工程内外製,工程ｺｰﾄﾞ,仕入先名/工場名,発送場所,発送場所名,受給区分,資材区分,後工程内外製,後工程ｺｰﾄﾞ,後工程仕入先名/工場名,受入場所,受入場所名,中継区分,中継工場,中継場所,中継場所名,納入ｻｲｸﾙ間隔,納入ｻｲｸﾙ回数,納入ｻｲｸﾙ情報,基準在庫日数,基準在庫枚数,MIN在庫日数,MAX在庫日数,便平均上限振れ率,便平均下限振れ率,かんばん情報.仕入先,かんばん情報.仕入先名,かんばん情報.背番号,かんばん情報.工場置場所,かんばん情報.拠点置場所,かんばん情報.品名略ｺｰﾄﾞ,かんばん情報.品名略名,かんばん情報.通箱ｺｰﾄﾞ,かんばん情報.通箱名,かんばん情報収容数,かんばん情報.ｺﾝﾍﾞｱ区分,かんばん情報.ﾌﾞﾛｯｸ区分,かんばん情報.専用品区分,かんばん情報.不良率,かんばん情報.保証率,かんばん情報.設変符号,かんばん情報.部品大別区分,かんばん情報.部品大別名称,かんばん情報.発注形態区分,かんばん情報.発注形態名称,かんばん情報.PLコード,登録箱種,縦(mm),横(mm),高(mm),容積(m3),総重量(Kg),パレタイズ発注,箱数,設定計画NO,設定日,設定担当部署コード,担当部署名,設定担当者コード,担当者名
36296-ECB020,36296ECB020,,CAP,1Y,第１工場,直送,Ｐ,265,イワタボルト（株）,1,本社,――,――,Ｐ,2508,住友電気工業（株）,1,,直接,,,,1,1,1,1.25,3,1.25,1.25,1.1,0.5,104,イワタボルト（株）,1,CHOKUSOU,,9209,ｷｬｯﾌﾟ,11,ﾀﾞﾝﾎﾞ-ﾙ ﾊﾞｺ,2000,,,,0,0.5,,,,,,,,0,0,0,0,0,しない,,MASTER01,2022/1/27,NE00,１工工務Ｇ,39091,佐竹　良太
39171-ECA040,39171ECA040,,"COVER, MOTOR HOUSING",1Y,第１工場,手配,Ｐ,2041,（株）アイシン福井,1,本社工場,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,24,19.68,0.62,3,0.83,0.83,1.1,0.5,28,（株）アイシン福井,6,,,9202,"COVER, MOTOR HOUSING",3,Aﾊﾟﾚ ﾊﾝﾖｳ,36,,,,0,0.5,,,,,,,Aﾊﾟﾚﾌﾀﾅｼ,800,1000,850,0.68,140,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
39171-ECB010,39171ECB010,,"COVER, MOTOR HOUSING",1Y,第１工場,手配,Ｐ,2041,（株）アイシン福井,1,本社工場,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,24,19.68,0.62,3,0.83,0.83,1.1,0.5,28,（株）アイシン福井,2,S-CA-4,98003,9202,"ｶﾊﾞｰ,ﾓｰﾀﾊｳｼﾞﾝｸﾞ",3,Aﾊﾟﾚ ﾊﾝﾖｳ,16,,,,0,0.5,,8,専用,1,後補充,,Aﾊﾟﾚﾌﾀﾅｼ,800,1000,850,0.68,137.704,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
39171-ECD010,39171ECD010,,"(CA), MOTOR HOUSING COVER",1Y,第１工場,直送,Ｐ,5,アイシン軽金属（株）,1,本社工場（大和高速分）,――,――,Ｐ,2041,（株）アイシン福井,1,本社工場,直接,,,,1,1,1,1.25,3,1.25,1.25,1.1,0.5,69,アイシン軽金属（株）,3,CHOKUSOU,,9202,"ｶﾊﾞｰ,ﾓｰﾀﾊｳｼﾞﾝｸﾞ",3,Aﾊﾟﾚ ﾊﾝﾖｳ,30,,,,0,0.5,,,,,,,,0,0,0,0,0,しない,,MASTER01,2022/1/27,NE00,１工工務Ｇ,39091,佐竹　良太
39171-ECD010,39171ECD010,,"(CA), MOTOR HOUSING COVER",1Y,第１工場,直送,Ｐ,5,アイシン軽金属（株）,9,サンエツ福井,――,――,Ｐ,2041,（株）アイシン福井,1,本社工場,直接,,,,1,1,1,1.25,3,1.25,1.25,1.1,0.5,69,アイシン軽金属（株）,3,CHOKUSOU,,9202,"ｶﾊﾞｰ,ﾓｰﾀﾊｳｼﾞﾝｸﾞ",3,Aﾊﾟﾚ ﾊﾝﾖｳ,30,,,,0,0.5,,,,,,,,0,0,0,0,0,しない,,MASTER01,2022/1/27,NE00,１工工務Ｇ,39091,佐竹　良太
39171-ECD020,39171ECD020,,"(CA), MOTOR HOUSING COVER",1Y,第１工場,直送,Ｐ,5,アイシン軽金属（株）,1,本社工場（大和高速分）,――,――,Ｐ,2041,（株）アイシン福井,1,本社工場,直接,,,,1,1,1,1.25,3,1.25,1.25,1.1,0.5,69,アイシン軽金属（株）,4,CHOKUSOU,,9202,"ｶﾊﾞｰ,ﾓｰﾀﾊｳｼﾞﾝｸﾞ",3,Aﾊﾟﾚ ﾊﾝﾖｳ,35,,,,0,0.5,,,,,,,,0,0,0,0,0,しない,,MASTER01,2022/1/27,NE00,１工工務Ｇ,39091,佐竹　良太
39171-ECD020,39171ECD020,,"(CA), MOTOR HOUSING COVER",1Y,第１工場,直送,Ｐ,5,アイシン軽金属（株）,9,サンエツ福井,――,――,Ｐ,2041,（株）アイシン福井,1,本社工場,直接,,,,1,1,1,1.25,3,1.25,1.25,1.1,0.5,69,アイシン軽金属（株）,4,CHOKUSOU,,9202,"ｶﾊﾞｰ,ﾓｰﾀﾊｳｼﾞﾝｸﾞ",3,Aﾊﾟﾚ ﾊﾝﾖｳ,35,,,,0,0.5,,,,,,,,0,0,0,0,0,しない,,MASTER01,2022/1/27,NE00,１工工務Ｇ,39091,佐竹　良太
39171-ECD030,39171ECD030,,"(CA), MOTOR HOUSING COVER",1Y,第１工場,直送,Ｐ,5,アイシン軽金属（株）,1,本社工場（大和高速分）,――,――,Ｐ,2041,（株）アイシン福井,1,本社工場,直接,,,,1,1,1,1.25,3,1.25,1.25,1.1,0.5,69,アイシン軽金属（株）,6,CHOKUSOU,,9202,"COVER, MOTOR HOUSING",3,Aﾊﾟﾚ ﾊﾝﾖｳ,42,,,,0,0.5,,,,,,,,800,850,680,0.462,217,しない,,MASTER01,2023/1/17,NE00,１工工務Ｇ,46548,長畑　玲奈
39171-ECE010,39171ECE010,,"COVER, MOTOR HOUSING",1Y,第１工場,手配,Ｐ,2041,（株）アイシン福井,1,本社工場,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,24,19.68,0.63,3,0.84,0.84,1.1,0.5,28,（株）アイシン福井,4,S-CA-6,98005,9202,"ｶﾊﾞｰ,ﾓｰﾀﾊｳｼﾞﾝｸﾞ",3,Aﾊﾟﾚ ﾊﾝﾖｳ,20,,,,0,0.5,,8,専用,1,後補充,,Aﾊﾟﾚﾌﾀﾅｼ,800,1000,850,0.68,138.9,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
41310-ECA020,41310ECA020,,"GEAR ASSY, DIFFERENTIAL",1Y,第１工場,手配,Ｐ,6355,武蔵精密工業（株）,1,本社工場,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,1,0.79,1,1,1,1,0.5,298,武蔵精密工業（株）,1,KARI,,1021,ｷﾞｱASSY,142,ｻﾝﾎﾞｯｸｽ#24-A,2,,,,1,1,,,,,,,ｻﾝﾎﾞｯｸｽ＃24A,424,292,249,0.031,14.2,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
41310-ECB010,41310ECB010,,"GEAR ASSY, DIFFERENTIAL",1Y,第１工場,手配,Ｐ,930,（株）オンド,1,本社工場,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,4,4,1.1,3,1.31,1.31,1.1,0.5,200,（株）オンド,1,S-G-1,60123,1,ﾃﾞﾌｹｰｽS/A,142,ｻﾝﾎﾞｯｸｽ#24-A,2,,,,0,0.5,,8,専用,1,後補充,,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,424,292,270,0.033,16.99,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
41310-ECE010,41310ECE010,,"GEAR ASSY, DIFFERENTIAL",1Y,第１工場,手配,Ｐ,930,（株）オンド,1,本社工場,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,4,4,1.1,3,1.31,1.31,1.1,0.5,200,（株）オンド,2,S-G-1,60124,1017,ｷﾞﾔﾃﾞﾌﾘﾝｸﾞ,142,ｻﾝﾎﾞｯｸｽ#24-A,2,,,,0,0.5,,8,専用,1,後補充,,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,424,292,270,0.033,14.51,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
5040 056 001E,5040056001E,,"CLAMP, TUBE",1Y,第１工場,手配,Ｐ,2020,サトープレス工業（株）,1,本社工場,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,1.78,0.82,3,1.03,1.03,1.1,0.5,25,サトープレス工業（株）,3,M-MG-8,10430,561,ｸﾗﾝﾌﾟﾁﾕ-ﾌﾞ,51,AW-131 ｾﾝﾖｳ,300,,,,0,0.5,,8,専用,1,後補充,,AW131ﾌﾀﾅｼ,165,335,105,0.006,1.545,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
82125-ECA010,82125ECA010,,"WIRE, TRANSMISSION",1Y,第１工場,手配,Ｐ,7002,矢崎総業（株）,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,1.79,0.82,3,1.03,1.03,1.1,0.5,58,矢崎総業（株）,7,,,6402,ﾜｲﾔ- T/M,16,TP-332 ﾊﾝﾖｳ,100,,,,0,0.5,,,,,,,TP332ﾌﾀｱﾘ,335,335,216,0.024,9.3,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
82125-ECA020,82125ECA020,,"WIRE, TRANSMISSION",1Y,第１工場,手配,Ｐ,3880,（株）ＢｌｕＥ　Ｎｅｘｕｓ,1,デンソー　安城製作所,受代,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,5,2.75,1.9,3,2.11,2.11,1.1,0.5,922,ＢｌｕＥ　Ｎｅｘｕｓ,13,,,6402,ﾜｲﾔ- T/M,16,TP-332 ﾊﾝﾖｳ,6,,,,0,0.5,,,,,,,TP342ﾌﾀｱﾘ,335,335,195,0.022,2.42,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
82125-ECB010,82125ECB010,,"WIRE, TRANSMISSION",1Y,第１工場,手配,Ｐ,7002,矢崎総業（株）,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,1.79,0.82,3,1.03,1.03,1.1,0.5,58,矢崎総業（株）,1,M-MG-21,30487,6402,ﾜｲﾔ-T/M,16,TP-332 ﾊﾝﾖｳ,100,,,,0,0.5,,8,専用,1,後補充,,TP332ﾌﾀｱﾘ,335,335,216,0.024,9.3,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
82125-ECB020,82125ECB020,,"WIRE, TRANSMISSION",1Y,第１工場,手配,Ｐ,3880,（株）ＢｌｕＥ　Ｎｅｘｕｓ,1,デンソー　安城製作所,受代,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,5,2.75,1.9,3,2.11,2.11,1.1,0.5,922,ＢｌｕＥ　Ｎｅｘｕｓ,1,I1-3,50408,6402,ﾜｲﾔ- T/M,18,TP-342 ﾊﾝﾖｳ,8,,,,0,0.5,,8,専用,1,後補充,,TP342ﾌﾀｱﾘ,503,335,216,0.036,4.27,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
82125-ECC020,82125ECC020,,"WIRE, TRANSMISSION",1Y,第１工場,手配,Ｐ,3880,（株）ＢｌｕＥ　Ｎｅｘｕｓ,1,デンソー　安城製作所,受代,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,5,2.75,1.9,3,2.11,2.11,1.1,0.5,922,ＢｌｕＥ　Ｎｅｘｕｓ,4,I1-5,50411,6402,ﾜｲﾔ- T/M,18,TP-342 ﾊﾝﾖｳ,8,,,,0,0.5,,8,専用,1,後補充,,TP342ﾌﾀｱﾘ,503,335,216,0.036,4.31,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
82125-ECE010,82125ECE010,,"WIRE, TRANSMISSION",1Y,第１工場,手配,Ｐ,7002,矢崎総業（株）,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,1.79,0.82,3,1.03,1.03,1.1,0.5,58,矢崎総業（株）,4,S-TA-2-25,30489,6402,ﾜｲﾔ-T/M,16,TP-332 ﾊﾝﾖｳ,100,,,,0,0.5,,8,専用,1,後補充,,TP332ﾌﾀｱﾘ,335,335,216,0.024,5.8,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
82125-ECE020,82125ECE020,,"WIRE, TRANSMISSION",1Y,第１工場,手配,Ｐ,3880,（株）ＢｌｕＥ　Ｎｅｘｕｓ,1,デンソー　安城製作所,受代,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,5,2.75,1.9,3,2.11,2.11,1.1,0.5,922,ＢｌｕＥ　Ｎｅｘｕｓ,6,I1-4,30404,6402,ﾜｲﾔ- T/M,16,TP-332 ﾊﾝﾖｳ,6,,,,0,0.5,,8,専用,1,後補充,,TP332ﾌﾀｱﾘ,335,335,216,0.024,4.31,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
82125-ECE030,82125ECE030,,"WIRE, TRANSMISSION",1Y,第１工場,手配,Ｐ,3880,（株）ＢｌｕＥ　Ｎｅｘｕｓ,1,デンソー　安城製作所,受代,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,5,2.75,1.9,3,2.11,2.11,1.1,0.5,922,ＢｌｕＥ　Ｎｅｘｕｓ,9,I1-6,30405,6402,ﾜｲﾔ- T/M,16,TP-332 ﾊﾝﾖｳ,6,,,,0,0.5,,8,専用,1,後補充,,TP332ﾌﾀｱﾘ,335,335,216,0.024,4.31,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
82125-ECE040,82125ECE040,,"WIRE, TRANSMISSION",1Y,第１工場,手配,Ｐ,3880,（株）ＢｌｕＥ　Ｎｅｘｕｓ,1,デンソー　安城製作所,受代,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,5,2.75,1.9,3,2.11,2.11,1.1,0.5,922,ＢｌｕＥ　Ｎｅｘｕｓ,12,KARI,KARI,6402,ﾜｲﾔ- T/M,16,TP-332 ﾊﾝﾖｳ,6,,,,0,0.5,,8,専用,,,,TP332ﾌﾀｱﾘ,335,335,216,0.024,4.31,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
82821-CWA030,82821CWA030,,"COVER, CONNECTOR",1Y,第１工場,手配,Ｐ,208,石黒ゴム工業（株）,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,2,3.64,1.07,3,1.28,1.28,1.1,0.5,10,石黒ゴム工業（株）,3,C1-10,30462,383,ｶﾊﾞ-ｺﾈｸﾀ-,16,TP-332 ﾊﾝﾖｳ,200,,,,0,0.5,,8,専用,1,後補充,,TP332ﾌﾀﾅｼ,335,335,195,0.022,1.42,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
82821-ECB010,82821ECB010,,"COVER, CONNECTOR",1Y,第１工場,手配,Ｐ,208,石黒ゴム工業（株）,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,2,3.64,1.07,3,1.28,1.28,1.1,0.5,10,石黒ゴム工業（株）,4,C1-5,30463,383,ｶﾊﾞ-ｺﾈｸﾀ-,17,TP-332 ｾﾝﾖｳ,400,,,,0,0.5,,8,専用,1,後補充,,TP332ﾌﾀﾅｼ,335,335,195,0.022,3.01,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
82821-ECB020,82821ECB020,,"COVER, CONNECTOR",1Y,第１工場,手配,Ｐ,208,石黒ゴム工業（株）,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,2,3.64,1.07,3,1.28,1.28,1.1,0.5,10,石黒ゴム工業（株）,5,C1-6,10458,383,ｶﾊﾞ-ｺﾈｸﾀ-,12,TP-131 ﾊﾝﾖｳ,200,,,,0,0.5,,8,専用,1,後補充,,TP131ﾌﾀﾅｼ,335,168,103,0.006,3.01,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
82821-ECB040,82821ECB040,,"COVER, CONNECTOR",1Y,第１工場,手配,Ｐ,208,石黒ゴム工業（株）,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,2,3.64,1.07,3,1.28,1.28,1.1,0.5,10,石黒ゴム工業（株）,6,C1-8,50465,383,ｶﾊﾞ-ｺﾈｸﾀ-,19,TP-342 ｾﾝﾖｳ,100,,,,0,0.5,,8,専用,1,後補充,,TP342ﾌﾀﾅｼ,503,335,195,0.033,3.3,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
82821-ECB050,82821ECB050,,"COVER, CONNECTOR",1Y,第１工場,手配,Ｐ,208,石黒ゴム工業（株）,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,2,3.64,1.07,3,1.28,1.28,1.1,0.5,10,石黒ゴム工業（株）,7,C1-11,30466,383,ｶﾊﾞ-ｺﾈｸﾀ-,16,TP-332 ﾊﾝﾖｳ,100,,,,0,0.5,,8,専用,1,後補充,,TP332ﾌﾀﾅｼ,335,335,195,0.022,3.1,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
82821-ECE010,82821ECE010,,"COVER, CONNECTOR",1Y,第１工場,手配,Ｐ,208,石黒ゴム工業（株）,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,2,3.64,1.07,3,1.28,1.28,1.1,0.5,10,石黒ゴム工業（株）,10,C1-9,30467,383,ｶﾊﾞ-ｺﾈｸﾀ-,16,TP-332 ﾊﾝﾖｳ,50,,,,0,0.5,,8,専用,1,後補充,,TP332ﾌﾀﾅｼ,335,335,195,0.022,3.1,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
82821-XAE010,82821XAE010,,"COVER, CONNECTOR",1Y,第１工場,手配,Ｐ,208,石黒ゴム工業（株）,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,2,3.64,1.07,3,1.28,1.28,1.1,0.5,10,石黒ゴム工業（株）,8,C1-12,10461,383,ｶﾊﾞ-ｺﾈｸﾀ-,12,TP-131 ﾊﾝﾖｳ,100,,,,0,0.5,,8,専用,1,後補充,,TP131ﾌﾀﾅｼ,335,168,103,0.006,0.37,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
82821-XAE020,82821XAE020,,"COVER, CONNECTOR",1Y,第１工場,手配,Ｐ,208,石黒ゴム工業（株）,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,2,3.64,1.07,3,1.28,1.28,1.1,0.5,10,石黒ゴム工業（株）,9,C1-8,30457,383,ｶﾊﾞ-ｺﾈｸﾀ-,16,TP-332 ﾊﾝﾖｳ,400,,,,0,0.5,,8,専用,1,後補充,,TP332ﾌﾀﾅｼ,335,335,195,0.022,1.42,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
82824-ECA010,82824ECA010,,"CONNECTOR, WIRING HARNESS",1Y,第１工場,手配,Ｐ,7002,矢崎総業（株）,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,1.79,0.82,3,1.03,1.03,1.1,0.5,58,矢崎総業（株）,9,,,9208,ﾜｲﾔﾘﾝｸﾞﾊｰﾈｽｺﾈｸﾀ,14,TP-331 ﾊﾝﾖｳ,40,,,,0,0.5,,,,,,,TP331ﾌﾀｱﾘ,335,335,124,0.014,5.7,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
82824-ECB010,82824ECB010,,"CONNECTOR, WIRING HARNESS",1Y,第１工場,手配,Ｐ,7002,矢崎総業（株）,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,1.79,0.82,3,1.03,1.03,1.1,0.5,58,矢崎総業（株）,2,M-MG-23,20486,9208,ﾜｲﾔﾘﾝｸﾞﾊｰﾈｽｺﾈｸﾀ,14,TP-331 ﾊﾝﾖｳ,32,,,,0,0.5,,8,専用,1,後補充,,TP331ﾌﾀｱﾘ,335,335,124,0.014,3.18,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
82824-ECB020,82824ECB020,,"CONNECTOR, WIRING HARNESS",1Y,第１工場,手配,Ｐ,7002,矢崎総業（株）,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,1.79,0.82,3,1.03,1.03,1.1,0.5,58,矢崎総業（株）,3,M-MG-16,20490,9208,ﾜｲﾔﾘﾝｸﾞﾊｰﾈｽｺﾈｸﾀ,15,TP-331 ｾﾝﾖｳ,40,,,,0,0.5,,8,専用,1,後補充,,TP331ﾌﾀｱﾘ,335,335,124,0.014,5.7,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
82824-ECE010,82824ECE010,,"CONNECTOR, WIRING HARNESS",1Y,第１工場,手配,Ｐ,2506,住友電装（株）,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,1,0.78,3,0.99,0.99,1.1,0.5,97,住友電装（株）,2,M-MG-41,FUYOU,9208,ﾜｲﾔﾘﾝｸﾞﾊｰﾈｽｺﾈｸﾀ,16,TP-332 ﾊﾝﾖｳ,45,,,,0,0.5,,8,専用,1,後補充,,TP332ﾌﾀｱﾘ,335,335,216,0.024,4.62,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
82824-ECE010,82824ECE010,,"CONNECTOR, WIRING HARNESS",1Y,第１工場,手配,Ｐ,2506,住友電装（株）,4,四日市物流センター,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,1,3.25,0.78,3,0.99,0.99,1.1,0.5,97,住友電装（株）,1,M-MG-41,30455,9208,ﾜｲﾔﾘﾝｸﾞﾊｰﾈｽｺﾈｸﾀ,16,TP-332 ﾊﾝﾖｳ,45,,,,0,0.5,,8,専用,1,後補充,,TP332,335,335,216,0.024,4.62,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
89429-ECB010,89429ECB010,,"SENSOR, TEMPERATURE",1Y,第１工場,直送,Ｐ,3604,ＴＤＫ（株）,1,,――,――,Ｐ,2506,住友電装（株）,1,,直接,,,,1,1,1,1.25,3,1.25,1.25,1.1,0.5,814,ＴＤＫ（株）,1,CHOKUSOU,,3303,ｾﾝｻ- ﾕｵﾝ,11,ﾀﾞﾝﾎﾞ-ﾙ ﾊﾞｺ,700,,,,0,0.5,,,,,,,,0,0,0,0,0,しない,,MASTER01,2022/1/27,NE00,１工工務Ｇ,39091,佐竹　良太
89429-ECB010,89429ECB010,,"SENSOR, TEMPERATURE",1Y,第１工場,直送,Ｐ,3604,ＴＤＫ（株）,1,,――,――,Ｐ,7002,矢崎総業（株）,1,,直接,,,,1,1,1,1,1,0.5,1,1,0.5,814,ＴＤＫ（株）,1,CHOKUSOU,,3303,ｾﾝｻ- ﾕｵﾝ,11,ﾀﾞﾝﾎﾞ-ﾙ ﾊﾞｺ,700,,,,0,1.1,,,,,,,,0,0,0,0,0,しない,,20230401,2023/1/18,NE00,１工工務Ｇ,42678,藤井　織花
90105-06A003,9010506A003,,"BOLT, FLANGE",1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,6,5.76,0.74,3,0.95,0.95,1.1,0.5,6,（株）青山製作所,5,M-MG-2,20366,1836,ﾎﾞﾙﾄﾌﾗﾝｼﾞ,14,TP-331 ﾊﾝﾖｳ,2000,,,,0,0.5,,8,専用,1,後補充,,TP331ﾌﾀﾅｼ,335,335,103,0.012,12.63,しない,,MASTER01,2023/4/27,NE00,１工工務Ｇ,42678,藤井　織花
90105-06A089,9010506A089,,"BOLT, FLANGE",1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,6,5.76,0.74,3,0.95,0.95,1.1,0.5,6,（株）青山製作所,6,M-MG-6,20387,1836,ﾎﾞﾙﾄﾌﾗﾝｼﾞ,14,TP-331 ﾊﾝﾖｳ,1500,,,,0,0.5,,8,専用,1,後補充,,TP331ﾌﾀﾅｼ,335,335,103,0.012,10.13,しない,,MASTER01,2023/4/27,NE00,１工工務Ｇ,42678,藤井　織花
90105-08A014,9010508A014,,"BOLT, FLANGE",1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,6,5.76,0.74,3,0.95,0.95,1.1,0.5,6,（株）青山製作所,7,M-4,20380,1836,ﾎﾞﾙﾄﾌﾗﾝｼﾞ,14,TP-331 ﾊﾝﾖｳ,500,,,,0,0.5,,8,専用,1,後補充,,TP331ﾌﾀﾅｼ,335,335,103,0.012,8.83,しない,,MASTER01,2023/4/27,NE00,１工工務Ｇ,42678,藤井　織花
90105-08A042,9010508A042,,"BOLT, FLANGE",1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,6,5.76,0.74,3,0.95,0.95,1.1,0.5,6,（株）青山製作所,8,M-6,20368,1836,ﾎﾞﾙﾄﾌﾗﾝｼﾞ,14,TP-331 ﾊﾝﾖｳ,300,,,,0,0.5,,8,専用,1,後補充,,TP331ﾌﾀﾅｼ,335,335,103,0.012,10.22,しない,,MASTER01,2023/4/27,NE00,１工工務Ｇ,42678,藤井　織花
90105-12A018,9010512A018,,"BOLT, FLANGE",1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,6,5.76,0.74,3,0.95,0.95,1.1,0.5,6,（株）青山製作所,9,S-G-30,20389,1836,ﾎﾞﾙﾄﾌﾗﾝｼﾞ,14,TP-331 ﾊﾝﾖｳ,200,,,,0,0.5,,8,専用,1,後補充,,TP331ﾌﾀﾅｼ,335,335,103,0.012,9.85,しない,,MASTER01,2023/4/27,NE00,１工工務Ｇ,42678,藤井　織花
90105-12A019,9010512A019,,"BOLT, FLANGE",1Y,第１工場,手配,Ｐ,6616,（株）メイドー,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,6,4.56,0.48,3,0.55,0.55,1.1,0.5,631,（株）メイドー,1,,,1836,ﾎﾞﾙﾄ ﾌﾗﾝｼﾞ,14,TP-331 ﾊﾝﾖｳ,210,,,,0,0.8,,,,,,,TP331ﾌﾀﾅｼ,335,335,103,0.012,10.489,しない,,MASTER01,2023/4/25,NE00,１工工務Ｇ,42678,藤井　織花
90119-06A065,9011906A065,,"BOLT, FLANGE W/WASHER",1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,――,Ｍ,1,第１,1Y,安城第１工場,直接,,,,1,6,5.76,0.74,3,0.95,0.95,1.1,0.5,6,（株）青山製作所,11,M-ST-9,20375,1843,"ﾎﾞﾙﾄ,ﾌﾗﾝｼﾞW/ﾜｯｼｬ",14,TP-331 ﾊﾝﾖｳ,1000,,,,0,0.5,,8,専用,1,後補充,,TP331ﾌﾀﾅｼ,335,335,103,0.012,11.83,しない,,MASTER01,2023/4/27,NE00,１工工務Ｇ,42678,藤井　織花
