,品番,変更前）正常1,変更前）正常2,変更前）正常3,変更前）正常4,変更前）異常1,変更前）異常2,変更前）異常3,変更前）異常4,変更前）異常5,変更後）正常1,変更後）正常2,変更後）正常3,変更後）正常4,変更後）異常1,変更後）異常2,変更後）異常3,変更後）異常4,変更後）異常5,差分）正常1,差分）正常2,差分）正常3,差分）正常4,差分）異常1,差分）異常2,差分）異常3,差分）異常4,差分）異常5,品名,変更前）かんばん数,変更後）かんばん数,変更前）社内LT,変更後）社内LT,差分）社内LT,変更前）基準在庫日数（基準在庫枚数込み）,変更前）社内LT-基準在庫日数（基準在庫枚数込み）,変更後）基準在庫日数（基準在庫枚数込み）,変更後）社内LT-基準在庫日数（基準在庫枚数込み）,変更前）計算社内かんばん数,変更前）計算社内かんばん数MAX,変更後）計算社内かんばん数,変更後）計算社内かんばん数MAX,収容数,仕入先名/工場名,A,B,C,整備室,箱種,箱サイズ,箱重量,手配区分,変更前）基準在庫日数,変更後）基準在庫日数,
68,9010506A003,0,0,25,0,25,0,25,25,0,0,0,0,0,0,0,20,0,80,0,0,-25,0,-25,0,-5,-25,80,"BOLT, FLANGE",4,5,6.4,10.47,4.07,4.305640194,2.094359806,1.800800195,8.669199805,5.20896,5.35056,3.14968,3.28748,2000,（株）青山製作所,1,6,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,12.63,手配,0.52,0.52,0
31,3539450A010,0,0,0,33.33333333,33.33333333,0,0,33.33333333,0,0,20,0,0,20,0,0,0,60,0,20,0,-33.33333333,-13.33333333,0,0,-33.33333333,60,"MAGNET, OIL CLEANER",3,5,4.06,30.74,26.68,3.951153012,0.108846988,4.090191008,26.64980899,6.43711,7.40531,6.35617,7.30157,2000,ミズショー（株）,1,1,1.88,1Y,ｻﾝﾎﾞｯｸｽC-3ﾌﾀﾅｼ,0.011,8.717,手配,0.71,0.71,0
69,9010506A089,0,0,0,0,20,0,40,20,20,0,0,0,14.28571429,14.28571429,0,28.57142857,28.57142857,14.28571429,0,0,0,14.28571429,-5.714285714,0,-11.42857143,8.571428571,-5.714285714,"BOLT, FLANGE",5,7,5.95,5.44,-0.51,3.073364759,2.876635241,3.035143256,2.404856744,6.227333333,6.442488889,6.151333333,6.361422222,1500,（株）青山製作所,1,6,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,10.13,手配,0.5,0.5,0
78,9015906A022,0,0,4.255319149,8.510638298,21.27659574,23.40425532,17.0212766,12.76595745,12.76595745,0,2.272727273,2.272727273,9.090909091,25,34.09090909,9.090909091,0,18.18181818,0,2.272727273,-1.982591876,0.580270793,3.723404255,10.68665377,-7.930367505,-12.76595745,5.415860735,"SCREW, W/WASHER",47,45,1.5,1.13,-0.37,1.051144635,0.448855365,0.848055377,0.281944623,27.684,29.29733333,27.1077,28.68336667,1500,（株）青山製作所,1,6,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,10.13,手配,0.51,0.51,0
111,9036652A004,0,0,4.87804878,4.87804878,2.43902439,2.43902439,17.07317073,39.02439024,29.26829268,0,0,0,0,7.142857143,9.523809524,23.80952381,23.80952381,35.71428571,0,0,-4.87804878,-4.87804878,4.703832753,7.084785134,6.736353078,-15.21486643,6.445993031,"RACE, TAPERED ROLLER BEARING, OUTER",41,42,2.77,1.705,-1.065,1.157687934,1.612312066,0.696724138,1.008275862,28.01365079,36.63904762,25.06666667,33.51111111,63,（株）ジェイテクト,1,1,1.9,1Y,ｻﾝﾎﾞｯｸｽ＃9Fﾌﾀﾅｼ,0.013,7,手配,0.58,0.57,0.01
83,9025006A007,0,0,5.555555556,22.22222222,0,5.555555556,38.88888889,16.66666667,11.11111111,0,0,5.555555556,11.11111111,22.22222222,11.11111111,11.11111111,0,38.88888889,0,0,0,-11.11111111,22.22222222,5.555555556,-27.77777778,-16.66666667,27.77777778,"PIN, STRAIGHT",18,18,2.825,1.76,-1.065,1.613128039,1.211871961,1.016160039,0.743839961,19.1424,21.2664,16.7092,18.7762,200,（株）ギフ加藤製作所,1,2,3.8,1Y,AW131ﾌﾀﾅｼ,0.005,0.84,手配,0.76,0.76,0
60,82821ECB040,0,0,15,10,10,0,30,15,20,0,0,5,5,5,25,10,20,30,0,0,-10,-5,-5,25,-20,5,10,"COVER, CONNECTOR",20,20,3.27,2.3,-0.97,1.783128039,1.486871961,1.147150525,1.152849475,20.6292,22.7532,18.1561,20.2231,100,石黒ゴム工業（株）,1,2,3.64,1Y,TP342ﾌﾀﾅｼ,0.033,3.3,手配,0.83,0.83,0
61,82821ECB050,0,0,0,0,2,4,8,36,50,0,0,0,0,0,0,6.382978723,36.17021277,57.44680851,0,0,0,0,-2,-4,-1.617021277,0.170212766,7.446808511,"COVER, CONNECTOR",50,47,4.155,3.34,-0.815,1.381173975,2.773826025,0.969529892,2.370470108,43.1471,47.9841,40.2341,44.9611,100,石黒ゴム工業（株）,1,2,3.64,1Y,TP332ﾌﾀﾅｼ,0.022,3.1,手配,0.83,0.83,0
41,35580ECB011,0,0.583090379,4.373177843,1.457725948,2.623906706,5.539358601,5.247813411,40.23323615,39.94169096,0,0,0.887573964,3.25443787,8.579881657,21.00591716,27.21893491,0,39.05325444,0,-0.583090379,-3.485603878,1.796711922,5.955974951,15.46655856,21.9711215,-40.23323615,-0.888436524,"ACTUATOR ASSY, SHIFT CONTROL",343,338,2.38,1.57,-0.81,0.952792306,1.427207694,0.946114432,0.623885568,321.45,339.1416667,313.05,330.275,6,アイシン精機（株）,1,4,8.04,1Y,TP342ﾌﾀｱﾘ,0.036,10.68,手配,0.9,0.9,0
52,41310ECB010,0,2.021174206,10.00962464,14.6294514,12.60827719,20.30798845,10.3946102,17.80558229,12.22329163,0,1.736465781,11.95097038,20.53115424,33.40143003,10.41879469,6.026557712,1.123595506,14.81103166,0,-0.284708425,1.941345739,5.901702843,20.79315284,-9.889193762,-4.36805249,-16.68198679,2.587740038,"GEAR ASSY, DIFFERENTIAL",1039,1027,1.58,0.79,-0.79,1.114262561,0.465737439,0.700246402,0.089753598,1171.2,1224.3,715.115,766.79,2,（株）オンド,1,4,4,1Y,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,0.033,16.99,手配,1.1,0.69,0.41
