品番,品名,整備室,仕入先名/工場名,間口(vlook),間口,通箱名,かんばん情報.収容数,登録箱種,納入ｻｲｸﾙ.間隔,納入ｻｲｸﾙ.回数,納入ｻｲｸﾙ.情報,基準在庫.日数,基準在庫.枚数,MIN在庫日数,MAX在庫日数,便平均上限振れ率,便平均下限振れ率
9015906A022,"SCREW, W/WASHER",1Y,（株）青山製作所,A1,A1,TP-331,1500,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
9015906A023,"SCREW, W/WASHER",1Y,（株）青山製作所,A1,A1,TP-331,1300,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
9034114A004,"PLUG, W/HEAD STRAIGHT SCREW",1Y,（株）青山製作所,A1,A1,TP-331,500,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
9034118A024,"PLUG, W/HEAD STRAIGHT SCREW",1Y,（株）青山製作所,A1,A1,TP-131,200,TP131ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
9093003179,"PLUG, BREATHER",1Y,（株）青山製作所,A1,A1,TP-331,500,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
9155180614,"BOLT, FLANGE",1Y,（株）青山製作所,A1,A1,TP-331,1500,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
9155180640,"BOLT, FLANGE",1Y,（株）青山製作所,A1,A1,TP-331,1000,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
9161140614,"BOLT, W/WASHER",1Y,（株）青山製作所,A1,A1,TP-331,2500,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
9167180618,"BOLT, FLANGE W/WASHER",1Y,（株）青山製作所,A1,A1,TP-331,1000,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
G1163ECA010,"BOLT, MOTOR STATOR YOKE",1Y,（株）青山製作所,A1,A1,TP-331,70,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
G1163ECB010,"BOLT, MOTOR STATOR YOKE",1Y,（株）青山製作所,A1,A1,TP-331,80,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
G1163ECE010,"BOLT, MOTOR STATOR YOKE",1Y,（株）青山製作所,A1,A1,TP-331,100,TP331ﾌﾀﾅｼ,1,6,5.76,0.95,3,0.95,0.95,1.1,0.5
35145ECE020,"PLATE, OIL",1Y,（株）浅賀井製作所,A1,A1,TP-131,100,TP331ﾌﾀﾅｼ,1,4,6.88,1.08,3,1.08,1.08,1.1,0.5
35174ECA020,"PLATE, OIL RESERVOIR LOCK",1Y,（株）浅賀井製作所,A2,A2,TP-332,30,TP332ﾌﾀﾅｼ,1,4,6.88,1.08,3,1.08,1.08,1.1,0.5
35174ECB010,"PLATE, OIL RESERVOIR LOCK",1Y,（株）浅賀井製作所,A2,A2,TP-332,20,TP332ﾌﾀﾅｼ,1,4,6.88,1.08,3,1.08,1.08,1.1,0.5
35174ECE010,"PLATE, OIL RESERVOIR LOCK",1Y,（株）浅賀井製作所,A2,A2,TP-332,40,TP332ﾌﾀﾅｼ,1,4,6.88,1.08,3,1.08,1.08,1.1,0.5
35174ECE020,"PLATE, OIL RESERVOIR LOCK",1Y,（株）浅賀井製作所,A1,A1,TP-331,90,TP331ﾌﾀﾅｼ,1,4,6.88,1.08,3,1.08,1.08,1.1,0.5
35312ECB010,"COVER, TRANSMISSION, OIL PUMP",1Y,（株）旭工業所,A1,A1,TP-331,63,TP331ﾌﾀｱﾘ,1,1,1.9,1.04,3,1.04,1.04,1.1,0.5
01912ECB040,"CAP, SHIPPING",1Y,愛産樹脂工業（株）,B2,B2,TP-342,50,TP342ﾌﾀﾅｼ,1,1,2.12,0.88,3,0.88,0.88,1.1,0.5
019128GA010,"CAP, SHIPPING",1Y,石黒ゴム工業（株）,B2,B2,TP-342,50,TP342ﾌﾀﾅｼ,1,2,3.64,1.28,3,1.28,1.28,1.1,0.5
01912ECB010,"CAP, SHIPPING",1Y,石黒ゴム工業（株）,A2,A2,TP-332,300,TP332ﾌﾀﾅｼ,1,2,3.64,1.28,3,1.28,1.28,1.1,0.5
82821CWA030,"COVER, CONNECTOR",1Y,石黒ゴム工業（株）,A2,A2,TP-332,200,TP332ﾌﾀﾅｼ,1,2,3.64,1.28,3,1.28,1.28,1.1,0.5
82821ECB010,"COVER, CONNECTOR",1Y,石黒ゴム工業（株）,A2,A2,TP-332,400,TP332ﾌﾀﾅｼ,1,2,3.64,1.28,3,1.28,1.28,1.1,0.5
82821ECB020,"COVER, CONNECTOR",1Y,石黒ゴム工業（株）,A1,A1,TP-131,200,TP131ﾌﾀﾅｼ,1,2,3.64,1.28,3,1.28,1.28,1.1,0.5
82821ECB040,"COVER, CONNECTOR",1Y,石黒ゴム工業（株）,B2,B2,TP-342,100,TP342ﾌﾀﾅｼ,1,2,3.64,1.28,3,1.28,1.28,1.1,0.5
82821ECB050,"COVER, CONNECTOR",1Y,石黒ゴム工業（株）,A2,A2,TP-332,100,TP332ﾌﾀﾅｼ,1,2,3.64,1.28,3,1.28,1.28,1.1,0.5
82821ECE010,"COVER, CONNECTOR",1Y,石黒ゴム工業（株）,A2,A2,TP-332,50,TP332ﾌﾀﾅｼ,1,2,3.64,1.28,3,1.28,1.28,1.1,0.5
82821XAE010,"COVER, CONNECTOR",1Y,石黒ゴム工業（株）,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,2,3.64,1.28,3,1.28,1.28,1.1,0.5
82821XAE020,"COVER, CONNECTOR",1Y,石黒ゴム工業（株）,A2,A2,TP-332,400,TP332ﾌﾀﾅｼ,1,2,3.64,1.28,3,1.28,1.28,1.1,0.5
2030045013L,GASKET,1Y,伊藤金属工業（株）,A1,A1,TP-331,2000,TP331ﾌﾀﾅｼ,1,1,1.96,1.05,3,1.05,1.05,1.1,0.5
36108ECB010,"SHAFT SUB-ASSY, OIL PUMP DRIVE",1Y,（株）オーハシテクニカ,A2,A2,TP-331-5,150,TP331.5ﾌﾀﾅｼ,1,1,1.97,1.05,3,1.05,1.05,1.1,0.5
35501ECA020,"ROD SUB-ASSY, PARKING LOCK",1Y,大橋鉄工（株）,A1,A1,TP-331,100,TP331ﾌﾀﾅｼ,1,1,1.39,0.99,3,0.99,0.99,1.1,0.5
35501ECB010,"ROD SUB-ASSY, PARKING LOCK",1Y,大橋鉄工（株）,A1,A1,TP-331,100,TP331ﾌﾀﾅｼ,1,1,1.39,0.99,3,0.99,0.99,1.1,0.5
9034120A009,"PLUG, W/HEAD STRAIGHT SCREW",1Y,大橋鉄工（株）,A1,A1,TP-331,100,TP331ﾌﾀﾅｼ,1,1,1.39,0.99,3,0.99,0.99,1.1,0.5
9036345A004,"BEARING, RADIAL BALL",1Y,岡谷鋼機（株）,B1,B1,ｻﾝﾎﾞｯｸｽ#9T,90,ｻﾝﾎﾞｯｸｽ#9Bﾌﾀﾅｼ,1,1,2.29,1.08,3,1.08,1.08,1.1,0.5
35557ECA020,"PAWL, PARKING LOCK",1Y,小川工業（株）,A1,A1,TP-131,56,TP131ﾌﾀﾅｼ,1,2,5,1.1,3,1.1,1.1,1.1,0.5
35557ECB010,"PAWL, PARKING LOCK",1Y,小川工業（株）,A1,A1,TP-131,46,TP131ﾌﾀﾅｼ,1,2,5,1.1,3,1.1,1.1,1.1,0.5
41310ECB010,"GEAR ASSY, DIFFERENTIAL",1Y,（株）オンド,B3,B3,ｻﾝﾎﾞｯｸｽ#24-A,2,ｻﾝﾎﾞｯｸｽ#24Aﾌﾀｱﾘ,1,4,4,1.31,3,1.31,1.31,1.1,0.5
41310ECE010,"GEAR ASSY, DIFFERENTIAL",1Y,（株）オンド,B3,B3,ｻﾝﾎﾞｯｸｽ#24-A,2,ｻﾝﾎﾞｯｸｽ#24Aﾌﾀｱﾘ,1,4,4,1.31,3,1.31,1.31,1.1,0.5
1040043104R,"PIN, STRAIGHT",1Y,（株）ギフ加藤製作所,A1,A1,AW-131,1000,AW131ﾌﾀﾅｼ,1,2,3.8,1.11,3,1.11,1.11,1.1,0.5
35556ECB010,"SHAFT, PARKING LOCK PAWL",1Y,（株）ギフ加藤製作所,A1,A1,TP-131,100,AW131ﾌﾀﾅｼ,1,2,3.8,1.11,3,1.11,1.11,1.1,0.5
9025006A007,"PIN, STRAIGHT",1Y,（株）ギフ加藤製作所,A1,A1,AW-131,200,AW131ﾌﾀﾅｼ,1,2,3.8,1.11,3,1.11,1.11,1.1,0.5
33490ECA010,"COOLER ASSY, OIL",1Y,マレリ（株）,A2,A2,TP-331-5,4,TP331.5ﾌﾀｱﾘ,1,2,3.92,1.23,3,1.23,1.23,1.1,0.5
33490ECB010,"COOLER ASSY, OIL",1Y,マレリ（株）,A2,A2,TP-332,4,TP331.5ﾌﾀｱﾘ,1,2,3.92,1.23,3,1.23,1.23,1.1,0.5
33490ECE010,"COOLER ASSY, OIL",1Y,マレリ（株）,A2,A2,TP-332,4,TP331.5ﾌﾀｱﾘ,1,2,3.92,1.23,3,1.23,1.23,1.1,0.5
9036628A005,"RACE, TAPERED ROLLER BEARING, INNER",1Y,（株）ジェイテクト,B1,B1,PT-9,60,ｻﾝﾎﾞｯｸｽ#9Fﾌﾀﾅｼ,1,1,1.9,1.02,3,1.02,1.02,1.1,0.5
9036628A006,"RACE, TAPERED ROLLER BEARING, OUTER",1Y,（株）ジェイテクト,B1,B1,PT-9,80,ｻﾝﾎﾞｯｸｽ#9Fﾌﾀﾅｼ,1,1,1.9,1.02,3,1.02,1.02,1.1,0.5
9036628A007,"RACE, TAPERED ROLLER BEARING, INNER",1Y,（株）ジェイテクト,B1,B1,PT-9,72,ｻﾝﾎﾞｯｸｽ#9Fﾌﾀﾅｼ,1,1,1.9,1.02,3,1.02,1.02,1.1,0.5
9036628A008,"RACE, TAPERED ROLLER BEARING, OUTER",1Y,（株）ジェイテクト,B1,B1,PT-9,100,ｻﾝﾎﾞｯｸｽ#9Fﾌﾀﾅｼ,1,1,1.9,1.02,3,1.02,1.02,1.1,0.5
9036630A016,"RACE, TAPERED ROLLER BEARING, INNER",1Y,（株）ジェイテクト,B1,B1,PT-9,38,ｻﾝﾎﾞｯｸｽ#9Fﾌﾀﾅｼ,1,1,1.9,1.02,3,1.02,1.02,1.1,0.5
9036630A017,"RACE, TAPERED ROLLER BEARING, OUTER",1Y,（株）ジェイテクト,B1,B1,PT-9,72,ｻﾝﾎﾞｯｸｽ#9Fﾌﾀﾅｼ,1,1,1.9,1.02,3,1.02,1.02,1.1,0.5
9036630A018,"RACE, TAPERED ROLLER BEARING, INNER",1Y,（株）ジェイテクト,B1,B1,PT-9,38,ｻﾝﾎﾞｯｸｽ#9Fﾌﾀﾅｼ,1,1,1.9,0.75,3,0.75,0.75,1.1,0.5
9036651A030,"RACE, TAPERED ROLLER BEARING, INNER",1Y,（株）ジェイテクト,B1,B1,PT-9,48,ｻﾝﾎﾞｯｸｽ#9Fﾌﾀﾅｼ,1,1,1.9,1.02,3,1.02,1.02,1.1,0.5
9036651A031,"RACE, TAPERED ROLLER BEARING, OUTER",1Y,（株）ジェイテクト,B1,B1,PT-9,54,ｻﾝﾎﾞｯｸｽ#9Fﾌﾀﾅｼ,1,1,1.9,1.02,3,1.02,1.02,1.1,0.5
9036652A003,"RACE, TAPERED ROLLER BEARING, INNER",1Y,（株）ジェイテクト,B1,B1,PT-9,60,ｻﾝﾎﾞｯｸｽ#9Fﾌﾀﾅｼ,1,1,1.9,1.02,3,1.02,1.02,1.1,0.5
9036652A004,"RACE, TAPERED ROLLER BEARING, OUTER",1Y,（株）ジェイテクト,B1,B1,PT-9,63,ｻﾝﾎﾞｯｸｽ#9Fﾌﾀﾅｼ,1,1,1.9,1.02,3,1.02,1.02,1.1,0.5
9036658A001,"RACE, TAPERED ROLLER BEARING, INNER",1Y,（株）ジェイテクト,B1,B1,PT-9,45,ｻﾝﾎﾞｯｸｽ#9Fﾌﾀﾅｼ,1,1,1.9,1.02,3,1.02,1.02,1.1,0.5
9036658A002,"RACE, TAPERED ROLLER BEARING, OUTER",1Y,（株）ジェイテクト,B1,B1,PT-9,36,ｻﾝﾎﾞｯｸｽ#9Fﾌﾀﾅｼ,1,1,1.9,1.02,3,1.02,1.02,1.1,0.5
9036659A009,"RACE, TAPERED ROLLER BEARING, INNER",1Y,（株）ジェイテクト,B1,B1,PT-9,36,ｻﾝﾎﾞｯｸｽ#9Fﾌﾀﾅｼ,1,1,1.9,1.02,3,1.02,1.02,1.1,0.5
9036659A010,"RACE, TAPERED ROLLER BEARING, OUTER",1Y,（株）ジェイテクト,B1,B1,PT-9,36,ｻﾝﾎﾞｯｸｽ#9Fﾌﾀﾅｼ,1,1,1.9,1.02,3,1.02,1.02,1.1,0.5
35352ECB010,"ROTOR, TRANSMISSION OIL PUMP DRIVEN",1Y,五興商事（株）,A1,A1,TP-331,504,TP331ﾌﾀｱﾘ,1,1,1.97,1.05,3,1.05,1.05,1.1,0.5
G9201ECA010,"COVER SUB-ASSY, INVERTER",1Y,佐藤工業（株）,B2,B2,ｻﾝﾎﾞｯｸｽ#20B,8,T-20-3ﾌﾀﾅｼ,1,2,1.82,0.95,3,0.95,0.95,1.1,0.5
G9201ECB030,"COVER SUB-ASSY, INVERTER",1Y,佐藤工業（株）,B2,B2,ｻﾝﾎﾞｯｸｽ#20B,8,T-20-3ﾌﾀﾅｼ,1,2,1.82,0.95,3,0.95,0.95,1.1,0.5
G9201ECE010,"COVER SUB-ASSY, INVERTER",1Y,佐藤工業（株）,B2,B2,ｻﾝﾎﾞｯｸｽ#20B,8,ｻﾝﾎﾞｯｸｽ#20Bﾌﾀﾅｼ,1,2,1.82,0.95,3,0.95,0.95,1.1,0.5
G9221ECB010,"COVER, INVERTER",1Y,佐藤工業（株）,B2,B2,ｻﾝﾎﾞｯｸｽ#20B,8,,1,1,1,0.75,3,0.75,0.75,1.1,0.5
1040113002P,"PLUG, TIGHT",1Y,サトープレス工業（株）,A1,A1,TP-131,200,AW131ﾌﾀﾅｼ,1,1,1.78,1.03,3,1.03,1.03,1.1,0.5
35145ECA020,"PLATE, OIL",1Y,サトープレス工業（株）,A1,A1,TP-131,100,AW131ﾌﾀﾅｼ,1,1,1.78,1.03,3,1.03,1.03,1.1,0.5
35198ECE010,"BRACKET, WIRE HARNESS CLAMP",1Y,サトープレス工業（株）,A1,A1,AW-331,200,TP331ﾌﾀﾅｼ,1,1,1.78,1.03,3,1.03,1.03,1.1,0.5
3548255A010,"CLAMP, TEMPERATURE SENSOR",1Y,サトープレス工業（株）,A1,A1,AW-131,300,AW131ﾌﾀﾅｼ,1,1,1.78,1.03,3,1.03,1.03,1.1,0.5
35482TFA010,"CLAMP, TEMPERATURE SENSOR",1Y,サトープレス工業（株）,A1,A1,TP-131,1000,AW131ﾌﾀﾅｼ,1,1,1.78,1.03,3,1.03,1.03,1.1,0.5
35595ECA010,"BRACKET, PARKING LOCK PAWL",1Y,サトープレス工業（株）,A1,A1,TP-131,40,TP331ﾌﾀﾅｼ,1,1,1.78,1.03,3,1.03,1.03,1.1,0.5
35595ECB010,"BRACKET, PARKING LOCK PAWL",1Y,サトープレス工業（株）,A1,A1,TP-131,40,TP331ﾌﾀﾅｼ,1,1,1.78,1.03,3,1.03,1.03,1.1,0.5
5040056001E,"CLAMP, TUBE",1Y,サトープレス工業（株）,A1,A1,AW-131,300,AW131ﾌﾀﾅｼ,1,1,1.78,1.03,3,1.03,1.03,1.1,0.5
