品番,品名,整備室,仕入先名/工場名,間口(vlook),間口,通箱名,かんばん情報.収容数,登録箱種,納入ｻｲｸﾙ.間隔,納入ｻｲｸﾙ.回数,納入ｻｲｸﾙ.情報,基準在庫.日数,基準在庫.枚数,MIN在庫日数,MAX在庫日数,便平均上限振れ率,便平均下限振れ率
39171ECE010,"COVER, MOTOR HOUSING",1Y,（株）アイシン福井,0,0,Aﾊﾟﾚ,20,Aﾊﾟﾚﾌﾀﾅｼ,1,24,19.68,0.84,3,0.84,0.84,1.1,0.5
01912ECB060,"CAP, SHIPPING",1Y,新光ゴム工業（株）,A1,A1,TP-331,400,TP331ﾌﾀﾅｼ,1,1,3.25,0.99,3,0.99,0.99,1.1,0.5
2030052002N,"PLUG, W/HEAD STRAIGHT SCREW",1Y,（株）杉浦製作所,A1,A1,TP-331,300,TP331ﾌﾀﾅｼ,1,2,1.06,0.98,3,0.98,0.98,1.1,0.5
9011606048,"BOLT, STUD",1Y,（株）杉浦製作所,A1,A1,TP-331,3000,TP331ﾌﾀﾅｼ,1,2,1.06,0.98,3,0.98,0.98,1.1,0.5
9034108A006,"PLUG, W/HEAD STRAIGHT SCREW",1Y,（株）杉浦製作所,A1,A1,TP-331,1000,TP331ﾌﾀﾅｼ,1,2,1.06,0.98,3,0.98,0.98,1.1,0.5
9034108A007,"PLUG, W/HEAD STRAIGHT SCREW",1Y,（株）杉浦製作所,A1,A1,TP-331,1000,TP331ﾌﾀﾅｼ,1,2,1.06,0.98,3,0.98,0.98,1.1,0.5
9034108A010,"PLUG, W/HEAD STRAIGHT SCREW",1Y,（株）杉浦製作所,A1,A1,TP-331,1000,TP331ﾌﾀﾅｼ,1,2,1.06,0.98,3,0.98,0.98,1.1,0.5
9034118090,"PLUG, W/HEAD STRAIGHT SCREW",1Y,（株）杉浦製作所,A1,A1,TP-331,300,TP331ﾌﾀﾅｼ,1,2,1.06,0.98,3,0.98,0.98,1.1,0.5
3559850A010,"PIN SUB-ASSY, PARKING LOCK",1Y,アイコー（株）,A1,A1,AW-131,100,TP131ﾌﾀﾅｼ,1,2,3.92,1.32,3,1.32,1.32,1.1,0.5
9056020006,SPACER,1Y,アイコー（株）,A1,A1,TP-131,400,TP131ﾌﾀﾅｼ,1,2,3.92,1.32,3,1.32,1.32,1.1,0.5
9034118060,"PLUG, W/HEAD STRAIGHT SCREW",1Y,住友商事（株）鉄鋼部輸送機材,A1,A1,TP-331,300,TP331ﾌﾀﾅｼ,1,1,3,1.15,3,1.15,1.15,1.1,0.5
82824ECE010,"CONNECTOR, WIRING HARNESS",1Y,住友電装（株）,A2,A2,TP-332,45,TP332ﾌﾀｱﾘ,1,1,1,0.99,3,0.99,0.99,1.1,0.5
82824ECE010,"CONNECTOR, WIRING HARNESS",1Y,住友電装（株）,A2,A2,TP-332,45,TP332ﾌﾀｱﾘ,1,1,3.25,0.99,3,0.99,0.99,1.1,0.5
G1174ECB010,"WIRE, MOTOR REVOLUTION SENSOR",1Y,住友電装（株）,B2,B2,TP-362,50,TP362ﾌﾀﾅｼ,1,1,2.28,1.08,3,1.08,1.08,1.1,0.5
G1174ECE010,"WIRE, MOTOR REVOLUTION SENSOR",1Y,住友電装（株）,B2,B2,TP-362,50,TP362ﾌﾀﾅｼ,1,1,2.28,1.08,3,1.08,1.08,1.1,0.5
G1144ECB010,"TERMINAL, MOTOR CABLE",1Y,住友電気工業（株）,A1,A1,TP-331,6,TP331ﾌﾀﾅｼ,1,1,2.28,1.08,3,1.08,1.08,1.1,0.5
G1172ECA010,"ROTOR, MOTOR REVOLUTION SENSOR",1Y,多摩川精機販売（株）,A2,A2,TP-331-5,270,TP331.5ﾌﾀﾅｼ,1,1,3.05,1.16,3,1.16,1.16,1.1,0.5
G117362010,"SENSOR, MOTOR REVOLUTION",1Y,多摩川精機販売（株）,A2,A2,TP-331-5,18,TP331.5ﾌﾀﾅｼ,1,1,3.05,1.16,3,1.16,1.16,1.1,0.5
G1173ECA010,"SENSOR, MOTOR REVOLUTION",1Y,多摩川精機販売（株）,A2,A2,TP-331-5,18,TP331.5ﾌﾀﾅｼ,1,1,3.05,1.16,3,1.16,1.16,1.1,0.5
Y021782011,"CAP, SHIPPING",1Y,（株）チューゲン,A2,A2,TP-332,400,TP332ﾌﾀﾅｼ,1,1,2.19,0.75,3,0.75,0.75,1.1,0.5
3519510A010,"CLAMP, TRANSAXLE APPLY TUBE, NO.1",1Y,中庸スプリング（株）,A1,A1,AW-131,600,AW131ﾌﾀﾅｼ,1,2,2.34,1.02,3,1.02,1.02,1.1,0.5
35505ECA020,"LEVER SUB-ASSY, PARKING LOCK",1Y,中庸スプリング（株）,A1,A1,TP-331,60,TP131ﾌﾀﾅｼ,1,2,2.34,1.02,3,1.02,1.02,1.1,0.5
35505ECB010,"LEVER SUB-ASSY, PARKING LOCK",1Y,中庸スプリング（株）,A1,A1,AW-131,24,TP131ﾌﾀﾅｼ,1,2,2.34,1.02,3,1.02,1.02,1.1,0.5
9094906A012,"CLAMP, WIRING",1Y,中庸スプリング（株）,A1,A1,TP-131,500,AW131ﾌﾀﾅｼ,1,2,2.34,1.02,3,1.02,1.02,1.1,0.5
34989ECA040,LABEL,1Y,（株）槌屋,A1,A1,TP-131,500,TP131ﾌﾀﾅｼ,1,1,2.33,1.09,3,1.09,1.09,1.1,0.5
34989ECB010,LABEL,1Y,（株）槌屋,A1,A1,TP-131,500,TP131ﾌﾀﾅｼ,1,1,2.33,1.09,3,1.09,1.09,1.1,0.5
34989ECB020,LABEL,1Y,（株）槌屋,A1,A1,TP-131,500,TP131ﾌﾀﾅｼ,1,1,2.33,1.09,3,1.09,1.09,1.1,0.5
34989ECB030,LABEL,1Y,（株）槌屋,A1,A1,TP-131,1000,TP131ﾌﾀﾅｼ,1,1,2.33,1.09,3,1.09,1.09,1.1,0.5
34989ECC010,LABEL,1Y,（株）槌屋,A1,A1,TP-131,500,TP131ﾌﾀﾅｼ,1,1,2.33,1.09,3,1.09,1.09,1.1,0.5
34989ECE010,LABEL,1Y,（株）槌屋,A1,A1,TP-131,500,TP131ﾌﾀﾅｼ,1,1,2.33,1.09,3,1.09,1.09,1.1,0.5
34989ECE020,LABEL,1Y,（株）槌屋,A1,A1,TP-131,500,TP131ﾌﾀﾅｼ,1,1,2.33,1.09,3,1.09,1.09,1.1,0.5
34989ECE030,LABEL,1Y,（株）槌屋,A1,A1,TP-131,500,TP131ﾌﾀﾅｼ,1,1,2.33,1.09,3,1.09,1.09,1.1,0.5
9050827A011,"SPRING, TORSION",1Y,（株）東郷製作所,A1,A1,TP-331,200,TP331ﾌﾀﾅｼ,1,8,11.12,0.99,3,0.99,0.99,1.1,0.5
9050827A013,"SPRING, TORSION",1Y,（株）東郷製作所,A1,A1,TP-331,200,TP331ﾌﾀﾅｼ,1,8,11.12,0.99,3,0.99,0.99,1.1,0.5
9052409A003,"SPRING, RETAINER",1Y,（株）東郷製作所,A1,A1,TP-331,500,TP331ﾌﾀﾅｼ,1,8,11.12,0.99,3,0.99,0.99,1.1,0.5
9025405021,"PIN, SLOTTED SPRING",1Y,トピー実業（株）,A1,A1,TP-131,2000,TP131ﾌﾀﾅｼ,1,1,1.95,0.42,0,0.42,0.42,1.1,0.5
82125ECA020,"WIRE, TRANSMISSION",1Y,（株）ＢｌｕＥ　Ｎｅｘｕｓ,A2,A2,TP-332,6,TP342ﾌﾀｱﾘ,1,6,3.3,2.11,3,2.11,2.11,1.1,0.5
82125ECB020,"WIRE, TRANSMISSION",1Y,（株）ＢｌｕＥ　Ｎｅｘｕｓ,B2,B2,TP-342,8,TP342ﾌﾀｱﾘ,1,6,3.3,2.11,3,2.11,2.11,1.1,0.5
82125ECC020,"WIRE, TRANSMISSION",1Y,（株）ＢｌｕＥ　Ｎｅｘｕｓ,B2,B2,TP-342,8,TP342ﾌﾀｱﾘ,1,6,3.3,2.11,3,2.11,2.11,1.1,0.5
82125ECE020,"WIRE, TRANSMISSION",1Y,（株）ＢｌｕＥ　Ｎｅｘｕｓ,A2,A2,TP-332,6,TP332ﾌﾀｱﾘ,1,6,3.3,2.11,3,2.11,2.11,1.1,0.5
82125ECE030,"WIRE, TRANSMISSION",1Y,（株）ＢｌｕＥ　Ｎｅｘｕｓ,A2,A2,TP-332,6,TP332ﾌﾀｱﾘ,1,6,3.3,2.11,3,2.11,2.11,1.1,0.5
82125ECE040,"WIRE, TRANSMISSION",1Y,（株）ＢｌｕＥ　Ｎｅｘｕｓ,A2,A2,TP-332,6,TP332ﾌﾀｱﾘ,1,6,3.3,2.11,3,2.11,2.11,1.1,0.5
G9210ECA010,"INVERTER ASSY, EV MOTOR CONTROL",1Y,（株）ＢｌｕＥ　Ｎｅｘｕｓ,B1,B1,TP-341-5,1,TP-341-5,1,6,3.3,2.09,3,2.09,2.09,1.1,0.5
G9210ECB010,"INVERTER ASSY, EV MOTOR CONTROL",1Y,（株）ＢｌｕＥ　Ｎｅｘｕｓ,B1,B1,TP-341-5,1,TP341.5ﾌﾀｱﾘ,1,6,3.3,2.09,3,2.09,2.09,1.1,0.5
G9210ECC010,"INVERTER ASSY, EV MOTOR CONTROL",1Y,（株）ＢｌｕＥ　Ｎｅｘｕｓ,B1,B1,TP-341-5,1,TP341.5ﾌﾀｱﾘ,1,6,3.3,2.09,3,2.09,2.09,1.1,0.5
G9210ECE010,"INVERTER ASSY, EV MOTOR CONTROL",1Y,（株）ＢｌｕＥ　Ｎｅｘｕｓ,B1,B1,TP-341-5,1,TP341.5ﾌﾀｱﾘ,1,6,3.3,2.09,3,2.09,2.09,1.1,0.5
G9210ECE020,"INVERTER ASSY, EV MOTOR CONTROL",1Y,（株）ＢｌｕＥ　Ｎｅｘｕｓ,B1,B1,TP-341-5,1,TP341.5ﾌﾀｱﾘ,1,6,3.3,2.09,3,2.09,2.09,1.1,0.5
G9210ECE030,"INVERTER ASSY, EV MOTOR CONTROL",1Y,（株）ＢｌｕＥ　Ｎｅｘｕｓ,B1,B1,TP-341-5,1,TP341.5ﾌﾀｱﾘ,1,6,3.3,2.09,3,2.09,2.09,1.1,0.5
G9351ECB010,"PIPE, INVERTER COOLANT",1Y,（株）ＢｌｕＥ　Ｎｅｘｕｓ,A1,A1,TP-331,12,TP331ﾌﾀｱﾘ,1,6,3.3,2.11,3,2.11,2.11,1.1,0.5
G9351ECE010,"PIPE, INVERTER COOLANT",1Y,（株）ＢｌｕＥ　Ｎｅｘｕｓ,A1,A1,TP-331,12,TP331ﾌﾀｱﾘ,1,6,3.3,2.11,3,2.11,2.11,1.1,0.5
9033114006,"PLUG, TIGHT",1Y,ナミコー（株）,A1,A1,TP-331,2000,TP331ﾌﾀﾅｼ,1,1,3.25,1.15,3,1.1,1.1,1.1,0.5
2030044001J,"SEAL, TYPE T OIL",1Y,ＮＯＫ（株）,A1,A1,TP-131,400,TP131ﾌﾀﾅｼ,1,2,3.52,1.01,3,1.01,1.01,1.1,0.5
9030106A018,"RING, O",1Y,ＮＯＫ（株）,A1,A1,TP-131,2000,TP131ﾌﾀﾅｼ,1,2,3.52,1.01,3,1.01,1.01,1.1,0.5
9030111A014,"RING, O",1Y,ＮＯＫ（株）,A1,A1,TP-131,1000,TP131ﾌﾀﾅｼ,1,2,3.52,1.01,3,1.01,1.01,1.1,0.5
9030115A011,"RING, O",1Y,ＮＯＫ（株）,A1,A1,TP-131,1000,TP131ﾌﾀﾅｼ,1,2,3.52,1.01,3,1.01,1.01,1.1,0.5
9030117A005,"RING, O",1Y,ＮＯＫ（株）,A1,A1,TP-131,1000,TP131ﾌﾀﾅｼ,1,2,3.52,1.01,3,1.01,1.01,1.1,0.5
9030117A010,"RING, O",1Y,ＮＯＫ（株）,A1,A1,TP-131,1000,TP131ﾌﾀﾅｼ,1,2,3.52,1.01,3,1.01,1.01,1.1,0.5
9030119A010,"RING, O",1Y,ＮＯＫ（株）,A1,A1,TP-131,1000,TP131ﾌﾀﾅｼ,1,2,3.52,1.01,3,1.01,1.01,1.1,0.5
9030119A011,"RING, O",1Y,ＮＯＫ（株）,A1,A1,TP-131,200,TP131ﾌﾀﾅｼ,1,2,3.52,1.01,3,1.01,1.01,1.1,0.5
9030131A001,"RING, O",1Y,ＮＯＫ（株）,A1,A1,TP-131,900,TP131ﾌﾀﾅｼ,1,2,3.52,1.01,3,1.01,1.01,1.1,0.5
9031140A056,"SEAL, TYPE T OIL",1Y,ＮＯＫ（株）,B2,B2,B-24,120,ｻﾝﾎﾞｯｸｽ#24Bﾌﾀﾅｼ,1,2,3.52,1.01,3,1.01,1.01,1.1,0.5
9031150A014,"SEAL, TYPE T OIL",1Y,ＮＯＫ（株）,B2,B2,B-24,84,ｻﾝﾎﾞｯｸｽ#24Bﾌﾀﾅｼ,1,2,3.52,1.01,3,1.01,1.01,1.1,0.5
9031150A015,"SEAL, TYPE T OIL",1Y,ＮＯＫ（株）,B2,B2,B-24,84,ｻﾝﾎﾞｯｸｽ#24Bﾌﾀﾅｼ,1,2,3.52,1.01,3,1.01,1.01,1.1,0.5
G1250ECB010,"PIPE ASSY, MOTOR COOLING, NO.1",1Y,（株）バルカー,A2,A2,TP-332.5,60,TP332ﾌﾀﾅｼ,1,2,6.2,1.35,3,1.35,1.35,1.1,0.5
G1250ECC010,"PIPE ASSY, MOTOR COOLING, NO.1",1Y,（株）バルカー,A2,A2,TP-332.5,60,TP332ﾌﾀﾅｼ,1,2,6.2,1.35,3,1.35,1.35,1.1,0.5
G1250ECE010,"PIPE ASSY, MOTOR COOLING, NO.1",1Y,（株）バルカー,A2,A2,TP-332.5,60,TP332ﾌﾀﾅｼ,1,2,6.2,1.35,3,1.35,1.35,1.1,0.5
1040132124M,"BEARING, NEEDLE ROLLER",1Y,日本精工（株）,B1,B1,T-10,1800,ｻﾝﾎﾞｯｸｽ#K-10Bﾌﾀﾅｼ,1,8,9,0.97,3,0.97,0.97,1.1,0.5
9036324A003,"BEARING, RADIAL BALL",1Y,日本精工（株）,B1,B1,T-10,22,ﾃﾝﾊﾞｺ10ﾌﾀﾅｼ,1,8,9,0.95,3,0.95,0.95,1.1,0.5
9036324A004,"BEARING, RADIAL BALL",1Y,日本精工（株）,B1,B1,T-10,30,ﾃﾝﾊﾞｺ10ﾌﾀﾅｼ,1,8,9,0.95,3,0.95,0.95,1.1,0.5
9036324A005,"BEARING, RADIAL BALL",1Y,日本精工（株）,B1,B1,T-10,22,ｻﾝﾎﾞｯｸｽ#K-10Bﾌﾀﾅｼ,1,8,9,0.95,3,0.95,0.95,1.1,0.5
9036335A018,"BEARING, RADIAL BALL",1Y,日本精工（株）,B1,B1,T-10,90,ﾃﾝﾊﾞｺ10ﾌﾀﾅｼ,1,8,9,0.95,3,0.95,0.95,1.1,0.5
9036340085,"BEARING, RADIAL BALL",1Y,日本精工（株）,B1,B1,T-10,80,ｻﾝﾎﾞｯｸｽ#K-10Bﾌﾀﾅｼ,1,8,9,0.97,3,0.97,0.97,1.1,0.5
9036340A010,"BEARING, RADIAL BALL",1Y,日本精工（株）,B1,B1,T-10,80,ｻﾝﾎﾞｯｸｽ#K-10Bﾌﾀﾅｼ,1,8,9,0.97,3,0.97,0.97,1.1,0.5
35561ECA020,"SHAFT, PARKING LOCK, NO.1",1Y,（株）浜名製作所,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,2,4.66,1.64,0,1.64,1.64,1.1,0.5
35165ECE010,"PLATE, TRANSMISSION CASE",1Y,（株）松尾製作所,A1,A1,TP-131,200,TP131ﾌﾀﾅｼ,1,1,1.21,0.98,3,0.98,0.98,1.1,0.5
3539450A010,"MAGNET, OIL CLEANER",1Y,ミズショー（株）,A1,A1,TP-331,2000,ｻﾝﾎﾞｯｸｽC-3ﾌﾀﾅｼ,1,1,2,1.05,3,1.05,1.05,1.1,0.5
9025006027,"PIN, STRAIGHT",1Y,（株）水野鉄工所,A1,A1,TP-131,2000,TP131ﾌﾀﾅｼ,1,1,1.81,1.04,3,1.04,1.04,1.1,0.5
41310ECA020,"GEAR ASSY, DIFFERENTIAL",1Y,武蔵精密工業（株）,B3,B3,ｻﾝﾎﾞｯｸｽ#24-A,2,,1,1,1,1,1,1,1,1,0.5
9020150A002,"WASHER, PLATE",1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9020156A001,"WASHER, PLATE",1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9020156A002,"WASHER, PLATE",1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056439A001,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056439A002,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056439A003,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056439A004,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056439A005,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056439A006,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056439A007,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056439A008,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056439A009,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056446A001,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056446A002,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056446A003,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056446A004,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056446A005,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056446A006,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056446A007,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056446A008,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056446A009,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056446A010,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056446A011,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056446A012,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056446A013,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056446A014,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056446A015,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056446A016,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056446A017,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056446A018,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056446A019,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056446A020,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056446A021,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056446A022,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056446A023,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056446A024,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056446A025,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A040,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A041,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A042,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A043,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A044,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A045,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A046,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A047,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A048,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A049,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A050,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A051,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A052,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A053,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A054,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A055,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A056,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A057,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A058,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A059,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A060,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A061,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A062,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A063,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A064,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056450A001,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056450A002,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056450A003,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056450A004,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
