品番,加工図符号,設変符号,品名,ステータス,発注区分,整備室,整備室名,手配区分,工程内外製,工程コード,仕入先名/工場名,発送場所,発送場所名,受給区分,後工程内外製,後工程コード,後工程仕入先名/工場名,受入場所,受入場所名,箱種類,収容数,基準在庫日数,基準在庫枚数,サイクル間隔,サイクル回数,サイクル情報,更新,更新者,最終更新日時,マイナス必要数有無,当月必要数,当月稼働日数,翌月必要数,翌月稼働日数,翌々月必要数,翌々月稼働日数,翌々々月必要数,翌々々月稼働日数,1(木),2(金),3(土),4(日),5(月),6(火),7(水),8(木),9(金),10(土),11(日),12(月),13(火),14(水),15(木),16(金),17(土),18(日),19(月),20(火),21(水),22(木),23(金),24(土),25(日),26(月),27(火),28(水),29(木),30(金),,当月計算数,翌月計算数,翌々月計算数,翌々々月計算数,1(木),2(金),3(土),4(日),5(月),6(火),7(水),8(木),9(金),10(土),11(日),12(月),13(火),14(水),15(木),16(金),17(土),18(日),19(月),20(火),21(水),22(木),23(金),24(土),25(日),26(月),27(火),28(水),29(木),30(金)
35300-ECB010,35300ECB010,,"PUMP ASSY, OIL W/MOTOR",使用中,かんばん,1Y,第１工場,手配,Ｐ,1,アイシン精機（株）,12,半田工場,――,Ｍ,1,第１,1Y,安城第１工場,TP-341 ﾊﾝﾖｳ,12,0.91,3,1,4,8.04,,,,,"21,214",22,"20,918",21,"16,975",18,"20,206",21,919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,947,0,0,920,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945,,"21,214","20,918","16,975","20,206",919,945,0,0,919,"1,028",920,"1,029",918,0,0,"1,027",920,"1,029",919,947,0,0,920,"1,029",946,"1,027",879,0,0,946,"1,029",945,"1,028",945
35580-ECB011,35580ECB011, A,"ACTUATOR ASSY, SHIFT CONTROL",使用中,かんばん,1Y,第１工場,手配,Ｐ,1,アイシン精機（株）,12,半田工場,――,Ｍ,1,第１,1Y,安城第１工場,TP-342 ｾﾝﾖｳ,6,0.9,3,1,4,8.04,,,,,"9,254",22,"8,882",21,"7,398",18,"9,215",21,396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,411,0,0,412,457,426,456,397,0,0,411,445,411,452,405,,"9,254","8,882","7,398","9,215",396,408,0,0,397,432,390,439,396,0,0,444,410,450,409,411,0,0,412,457,426,456,397,0,0,411,445,411,452,405
1040 052 001Z,1040052001Z, D,"PLUG, W/HEAD STRAIGHT SCREW",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,200,0.53,3,1,6,5.76,,,,,"11,959",22,"12,035",21,"9,576",18,"10,991",21,523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540,,"11,959","12,035","9,576","10,991",523,537,0,0,522,596,530,590,522,0,0,583,510,579,510,535,0,0,508,572,520,571,482,0,0,535,584,534,576,540
1040 183 011P,1040183011P, C,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,500,0.54,3,1,6,5.76,,,,,"27,762",22,"26,646",21,"22,194",18,"27,645",21,"1,188","1,224",0,0,"1,191","1,296","1,170","1,317","1,188",0,0,"1,332","1,230","1,350","1,227","1,233",0,0,"1,236","1,371","1,278","1,368","1,191",0,0,"1,233","1,335","1,233","1,356","1,215",,"27,762","26,646","22,194","27,645","1,188","1,224",0,0,"1,191","1,296","1,170","1,317","1,188",0,0,"1,332","1,230","1,350","1,227","1,233",0,0,"1,236","1,371","1,278","1,368","1,191",0,0,"1,233","1,335","1,233","1,356","1,215"
3040 052 001B,3040052001B, C,"PLUG, W/HEAD STRAIGHT SCREW",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,500,0.52,3,1,6,5.76,,,,,"96,815",22,"95,707",21,"77,476",18,"91,815",21,"4,199","4,317",0,0,"4,198","4,708","4,210","4,706","4,194",0,0,"4,691","4,190","4,695","4,186","4,323",0,0,"4,188","4,688","4,304","4,679","3,998",0,0,"4,319","4,700","4,314","4,688","4,320",,"96,815","95,707","77,476","91,815","4,199","4,317",0,0,"4,198","4,708","4,210","4,706","4,194",0,0,"4,691","4,190","4,695","4,186","4,323",0,0,"4,188","4,688","4,304","4,679","3,998",0,0,"4,319","4,700","4,314","4,688","4,320"
90105-06A003,9010506A003, A,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"2,000",0.52,3,1,6,5.76,,,,,"37,020",22,"35,532",21,"29,596",18,"36,860",21,"1,584","1,632",0,0,"1,588","1,728","1,560","1,756","1,584",0,0,"1,776","1,640","1,800","1,636","1,648",0,0,"1,648","1,828","1,704","1,824","1,588",0,0,"1,644","1,780","1,644","1,808","1,620",,"37,020","35,532","29,596","36,860","1,584","1,632",0,0,"1,588","1,728","1,560","1,756","1,584",0,0,"1,776","1,640","1,800","1,636","1,648",0,0,"1,648","1,828","1,704","1,824","1,588",0,0,"1,644","1,780","1,644","1,808","1,620"
90105-06A089,9010506A089,,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,500",0.5,3,1,6,5.76,,,,,"42,428",22,"41,836",21,"33,950",18,"40,412",21,"1,838","1,890",0,0,"1,838","2,056","1,840","2,058","1,836",0,0,"2,054","1,840","2,058","1,838","1,894",0,0,"1,840","2,058","1,892","2,054","1,758",0,0,"1,892","2,058","1,890","2,056","1,890",,"42,428","41,836","33,950","40,412","1,838","1,890",0,0,"1,838","2,056","1,840","2,058","1,836",0,0,"2,054","1,840","2,058","1,838","1,894",0,0,"1,840","2,058","1,892","2,054","1,758",0,0,"1,892","2,058","1,890","2,056","1,890"
90105-08A014,9010508A014, B,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,500,0.54,3,1,6,5.76,,,,,"802,285",22,"792,305",21,"642,005",18,"762,165",21,"34,780","35,760",0,0,"34,775","38,960","34,850","38,965","34,740",0,0,"38,860","34,750","38,910","34,715","35,820",0,0,"34,740","38,875","35,710","38,800","33,175",0,0,"35,785","38,935","35,745","38,860","35,775",,"802,285","792,305","642,005","762,165","34,780","35,760",0,0,"34,775","38,960","34,850","38,965","34,740",0,0,"38,860","34,750","38,910","34,715","35,820",0,0,"34,740","38,875","35,710","38,800","33,175",0,0,"35,785","38,935","35,745","38,860","35,775"
90105-08A042,9010508A042, D,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,300,0.53,3,1,6,5.76,,,,,"46,275",22,"44,415",21,"36,995",18,"46,075",21,"1,980","2,040",0,0,"1,985","2,160","1,950","2,195","1,980",0,0,"2,220","2,050","2,250","2,045","2,060",0,0,"2,060","2,285","2,130","2,280","1,985",0,0,"2,055","2,225","2,055","2,260","2,025",,"46,275","44,415","36,995","46,075","1,980","2,040",0,0,"1,985","2,160","1,950","2,195","1,980",0,0,"2,220","2,050","2,250","2,045","2,060",0,0,"2,060","2,285","2,130","2,280","1,985",0,0,"2,055","2,225","2,055","2,260","2,025"
90105-12A018,9010512A018,,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,200,0.54,3,1,6,5.76,,,,,"291,588",22,"286,548",21,"233,296",18,"279,332",21,"12,612","12,972",0,0,"12,616","14,064","12,600","14,104","12,600",0,0,"14,100","12,680","14,148","12,664","13,012",0,0,"12,688","14,176","13,056","14,148","12,136",0,0,"12,996","14,128","12,984","14,144","12,960",,"291,588","286,548","233,296","279,332","12,612","12,972",0,0,"12,616","14,064","12,600","14,104","12,600",0,0,"14,100","12,680","14,148","12,664","13,012",0,0,"12,688","14,176","13,056","14,148","12,136",0,0,"12,996","14,128","12,984","14,144","12,960"
