,品番,変更後）正常1,変更後）正常2,変更後）正常3,変更後）正常4,変更後）異常1,変更後）異常2,変更後）異常3,変更後）異常4,品名,収容数,仕入先名/工場名,A,B,C,整備室,箱種,箱サイズ,箱重量,手配区分,変更後）かんばん数,変更後）社内LT,変更後）基準在庫日数（基準在庫枚数込み）,変更後）社内LT-基準在庫日数（基準在庫枚数込み）,変更後）日量数平均,変更後）計算社内かんばん数,変更後）計算社内かんばん数MAX,変更後）基準在庫日数
97,9034114A004,0.0,0.0,28.57142857142857,14.285714285714285,0.0,42.857142857142854,14.285714285714285,14.285714285714285,"COVER, DETENT SPRING",200.0,サンコール（株）,1.0,1.0,2.26,1Y,TP131ﾌﾀﾅｼ,0.006,2.6,手配,7.0,2.24,1.780800195169554,0.4591998048304462,8198.0,9.198,9.744533333333333,0.5
98,9034118060,0.0,0.0,0.0,0.0,11.11111111111111,11.11111111111111,33.33333333333333,33.33333333333333,"SHAFT, OUTPUT",4.0,アイシン機工（株）,1.0,6.0,4.92,1Y,TP341ﾌﾀﾅｼ,0.017,10.5,手配,9.0,2.5900000000000007,1.3434482758620694,1.2465517241379314,10440.0,26.752,33.711999999999996,0.74
99,9034118090,0.0,8.571428571428571,0.0,22.857142857142858,20.0,22.857142857142858,17.142857142857142,17.142857142857142,"SHAFT, OUTPUT",6.0,アイシン機工（株）,1.0,6.0,4.92,1Y,TP341ﾌﾀﾅｼ,0.017,9.6,手配,35.0,1.92,1.5540573022856543,0.3659426977143456,18638.0,36.5484,42.761066666666665,0.54
100,9034118A024,0.0,8.333333333333332,12.5,16.666666666666664,12.5,12.5,29.166666666666668,29.166666666666668,"(FO), OUTPUT SHAFT",64.0,愛知製鋼（株）,1.0,1.0,1.0,1Y,,0.0,0.0,直送,25.0,2.085,1.7268965517241384,0.3581034482758616,10440.0,30.144000000000002,31.884,0.52
101,9036324A003,0.0,1.3986013986013985,10.48951048951049,31.11888111888112,29.72027972027972,18.88111888111888,8.391608391608392,8.391608391608392,"(FO), OUTPUT SHAFT",64.0,愛知製鋼（株）,1.0,1.0,1.0,1Y,,0.0,0.0,直送,298.0,0.8300000000000001,0.7963552085874636,0.03364479141253651,8198.0,273.02454545454543,282.3404545454545,0.74
102,9036324A004,0.0,1.2875536480686696,7.510729613733906,13.519313304721031,25.321888412017167,33.69098712446352,13.090128755364807,13.090128755364807,"TUBE, TRANSAXLE LUBE APPLY",80.0,（株）メタルテック,1.0,1.0,1.9,1Y,TP332ﾌﾀﾅｼ,0.022000000000000002,2.9,手配,488.0,0.98,0.7738019100761967,0.20619808992380328,18638.0,454.52466666666663,470.0563333333333,0.74
103,9036324A005,0.0,0.0,1.1594202898550725,5.797101449275362,13.91304347826087,37.391304347826086,33.6231884057971,33.6231884057971,"TUBE, TRANSAXLE LUBE APPLY",70.0,（株）メタルテック,1.0,1.0,1.9,1Y,TP332ﾌﾀﾅｼ,0.022000000000000002,2.74,手配,363.0,1.06,0.734252873563214,0.32574712643678605,10440.0,323.69090909090914,335.5545454545455,0.69
104,9036340A010,0.0,0.0,3.3639143730886847,14.067278287461773,28.74617737003058,29.357798165137616,19.571865443425075,19.571865443425075,"TUBE, TRANSAXLE LUBE APPLY",40.0,（株）メタルテック,1.0,1.0,1.9,1Y,TP332ﾌﾀﾅｼ,0.022000000000000002,3.3,手配,342.0,1.13,0.8752076403047545,0.2547923596952454,37276.0,343.14349999999996,354.79224999999997,0.74
105,9036345A004,0.0,0.0,3.90625,7.8125,6.25,6.25,30.46875,30.46875,"TUBE, TRANSAXLE LUBE APPLY",60.0,（株）メタルテック,1.0,1.0,1.9,1Y,TP332ﾌﾀﾅｼ,0.022000000000000002,3.5,手配,128.0,1.3749999999999998,0.7414057302285644,0.6335942697714354,18638.0,133.5368888888889,174.9546666666667,0.64
106,9036628A005,0.0,0.0,0.9615384615384616,7.6923076923076925,16.346153846153847,11.538461538461538,19.230769230769234,19.230769230769234,"TUBE, DIFFERENTIAL GEAR LUBE APPLY",50.0,（株）メタルテック,1.0,1.0,1.9,1Y,TP332ﾌﾀﾅｼ,0.022000000000000002,2.5,手配,104.0,1.3400000000000003,0.7736960234203465,0.5663039765796538,8198.0,85.71266666666666,113.03933333333333,0.62
107,9036628A006,0.0,0.0,0.0,4.166666666666666,8.333333333333332,13.88888888888889,23.61111111111111,23.61111111111111,"SHAFT SUB-ASSY, OIL PUMP DRIVE",150.0,（株）オーハシテクニカ,1.0,1.0,1.97,1Y,TP331.5ﾌﾀﾅｼ,0.017,6.85,手配,72.0,1.6500000000000001,0.8249280312271295,0.8250719687728706,8198.0,64.5345,85.0295,0.62
108,9036628A007,0.0,0.0,0.0,4.0,6.0,5.0,25.0,25.0,CAP,1000.0,（株）青山製作所,1.0,1.0,1.0,1Y,,0.0,0.0,直送,100.0,1.66,0.7148275862068956,0.9451724137931043,10440.0,83.64999999999999,112.64999999999999,0.57
109,9036628A008,0.0,0.0,0.0,1.4492753623188406,5.797101449275362,8.695652173913043,14.492753623188406,14.492753623188406,CAP,2000.0,イワタボルト（株）,1.0,1.0,1.0,1Y,,0.0,0.0,直送,69.0,1.79,0.7811494252873551,1.0088505747126448,10440.0,61.552,82.432,0.58
110,9036630A017,0.0,0.0,0.0,3.6458333333333335,8.854166666666668,4.6875,29.166666666666668,29.166666666666668,"COVER, MOTOR HOUSING",36.0,（株）アイシン福井,1.0,24.0,19.68,1Y,Aﾊﾟﾚﾌﾀﾅｼ,0.68,140.0,手配,193.0,1.4900000000000007,0.6811245841828532,0.8088754158171475,18638.0,156.31666666666663,208.08888888888885,0.6
111,9036630A018,0.0,0.0,0.0,1.5189873417721518,0.5063291139240507,10.379746835443038,24.556962025316455,24.556962025316455,"COVER, MOTOR HOUSING",16.0,（株）アイシン福井,1.0,24.0,19.68,1Y,Aﾊﾟﾚﾌﾀﾅｼ,0.68,137.704,手配,396.0,1.12,0.46844725828951983,0.6515527417104803,18638.0,169.76105263157896,267.85578947368424,0.34
112,9036652A003,0.0,0.0,0.0,4.132231404958678,5.785123966942149,3.3057851239669422,19.00826446280992,19.00826446280992,"(CA), MOTOR HOUSING COVER",30.0,アイシン軽金属（株）,1.0,1.0,1.0,1Y,,0.0,0.0,直送,121.0,1.6800000000000006,0.6906896551724149,0.9893103448275857,10440.0,100.17999999999999,134.98,0.57
113,9036652A004,0.0,0.0,0.0,0.8264462809917356,4.958677685950414,7.43801652892562,23.140495867768596,23.140495867768596,"(CA), MOTOR HOUSING COVER",30.0,アイシン軽金属（株）,1.0,1.0,1.0,1Y,,0.0,0.0,直送,121.0,1.6400000000000006,0.6967241379310334,0.9432758620689672,10440.0,95.45714285714286,128.6,0.57
114,9036658A001,0.0,0.0,0.7042253521126761,6.338028169014084,15.492957746478872,10.56338028169014,40.140845070422536,40.140845070422536,"(CA), MOTOR HOUSING COVER",35.0,アイシン軽金属（株）,1.0,1.0,1.0,1Y,,0.0,0.0,直送,143.0,1.1350000000000007,0.6852720175652581,0.44972798243474255,8198.0,104.84133333333332,141.2768888888889,0.57
115,9036658A002,0.0,0.0,0.0,2.857142857142857,12.571428571428573,12.571428571428573,40.57142857142857,40.57142857142857,"(CA), MOTOR HOUSING COVER",35.0,アイシン軽金属（株）,1.0,1.0,1.0,1Y,,0.0,0.0,直送,175.0,1.2400000000000002,0.6822176140522063,0.557782385947794,8198.0,135.35611111111112,180.90055555555557,0.59
116,9036659A009,0.0,0.0,0.5,4.5,12.0,17.25,16.5,16.5,"(CA), MOTOR HOUSING COVER",42.0,アイシン軽金属（株）,1.0,1.0,1.0,1Y,,0.462,217.0,直送,401.0,1.25,0.630562292091433,0.619437707908567,18638.0,306.45611111111106,410.0005555555555,0.59
117,9036659A010,0.0,0.0,0.7462686567164178,3.482587064676617,5.223880597014925,13.432835820895523,20.8955223880597,20.8955223880597,"COVER, MOTOR HOUSING",20.0,（株）アイシン福井,1.0,24.0,19.68,1Y,Aﾊﾟﾚﾌﾀﾅｼ,0.68,138.9,手配,402.0,1.3200000000000005,0.6305622920914331,0.6894377079085674,18638.0,306.45611111111106,410.0005555555555,0.59
118,9050827A011,4.761904761904762,19.047619047619047,4.761904761904762,19.047619047619047,19.047619047619047,0.0,14.285714285714285,14.285714285714285,"GEAR ASSY, DIFFERENTIAL",2.0,武蔵精密工業（株）,1.0,1.0,1.0,1Y,ｻﾝﾎﾞｯｸｽ＃24A,0.031,14.2,手配,23.0,1.4200000000000002,1.2923200780678212,0.12767992193217892,8198.0,32.9722,33.99695,0.78
119,9052409A003,0.0,0.0,0.0,0.0,66.66666666666666,0.0,33.33333333333333,33.33333333333333,"GEAR ASSY, DIFFERENTIAL",2.0,（株）オンド,1.0,4.0,4.0,1Y,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,0.033,16.99,手配,3.0,2.4800000000000004,2.0608001951695543,0.41919980483044617,8198.0,13.78888,14.198780000000001,0.78
120,9056439A005,0.0,26.666666666666668,6.666666666666667,0.0,26.666666666666668,13.333333333333334,26.666666666666668,26.666666666666668,"GEAR ASSY, DIFFERENTIAL",2.0,（株）オンド,1.0,4.0,4.0,1Y,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,0.033,14.51,手配,16.0,2.31,1.8925668449197852,0.41743315508021483,6545.0,63.868500000000004,76.9585,0.93
121,9056439A006,0.0,50.0,25.0,25.0,0.0,0.0,0.0,0.0,"CLAMP, TUBE",300.0,サトープレス工業（株）,1.0,1.0,1.78,1Y,AW131ﾌﾀﾅｼ,0.006,1.545,手配,9.0,1.8350000000000002,3.646688227684346,-1.811688227684346,2319.0,24.5667,29.204700000000003,0.93
122,9056450A002,4.0,44.0,44.0,8.0,0.0,0.0,0.0,0.0,"WIRE, TRANSMISSION",100.0,矢崎総業（株）,1.0,1.0,1.79,1Y,TP332ﾌﾀｱﾘ,0.024,9.3,手配,31.0,2.39,4.393441451346892,-2.0034414513468914,1819.0,19.916700000000002,23.554700000000004,0.93
123,9056451A087,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"WIRE, TRANSMISSION",6.0,（株）ＢｌｕＥ　Ｎｅｘｕｓ,1.0,5.0,2.75,1Y,TP342ﾌﾀｱﾘ,0.022000000000000002,2.42,手配,1.0,2.93,20.74132075471698,-17.81132075471698,318.0,5.9574,6.5934,0.93
124,9056455A045,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,"WIRE, TRANSMISSION",100.0,矢崎総業（株）,1.0,1.0,1.79,1Y,TP332ﾌﾀｱﾘ,0.024,9.3,手配,2.0,2.91,7.028741529525653,-4.118741529525653,1033.0,12.606900000000001,14.672900000000002,0.93
125,9056457A136,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,"WIRE, TRANSMISSION",8.0,（株）ＢｌｕＥ　Ｎｅｘｕｓ,1.0,5.0,2.75,1Y,TP342ﾌﾀｱﾘ,0.036000000000000004,4.27,手配,2.0,2.895,4.12634703196347,-1.23134703196347,1971.0,21.3303,25.2723,0.93
126,9056457A137,44.44444444444444,44.44444444444444,11.11111111111111,0.0,0.0,0.0,0.0,0.0,"WIRE, TRANSMISSION",8.0,（株）ＢｌｕＥ　Ｎｅｘｕｓ,1.0,5.0,2.75,1Y,TP342ﾌﾀｱﾘ,0.036000000000000004,4.31,手配,11.0,1.83,7.155296442687749,-5.3252964426877485,1012.0,12.4116,14.4356,0.93
127,9056457A138,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"WIRE, TRANSMISSION",100.0,矢崎総業（株）,1.0,1.0,1.79,1Y,TP332ﾌﾀｱﾘ,0.024,5.8,手配,3.0,2.14,23.922700729927012,-21.78270072992701,274.0,5.5482000000000005,6.0962000000000005,0.93
128,9056463A033,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"WIRE, TRANSMISSION",6.0,（株）ＢｌｕＥ　Ｎｅｘｕｓ,1.0,5.0,2.75,1Y,TP332ﾌﾀｱﾘ,0.024,4.31,手配,5.0,2.89,23.922700729927012,-21.03270072992701,274.0,5.5482000000000005,6.0962000000000005,0.93
129,9056463A034,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"WIRE, TRANSMISSION",6.0,（株）ＢｌｕＥ　Ｎｅｘｕｓ,1.0,5.0,2.75,1Y,TP332ﾌﾀｱﾘ,0.024,4.31,手配,11.0,2.19,57.18,-54.99,112.0,4.0416,4.2656,0.93
