,品番,変更後）正常1,変更後）正常2,変更後）正常3,変更後）正常4,変更後）異常1,変更後）異常2,変更後）異常3,変更後）異常4,品名,収容数,仕入先名/工場名,A,B,C,整備室,箱種,箱サイズ,箱重量,手配区分,変更後）かんばん数,変更後）社内LT,変更後）基準在庫日数（基準在庫枚数込み）,変更後）社内LT-基準在庫日数（基準在庫枚数込み）,変更後）日量数平均,変更後）計算社内かんばん数,変更後）計算社内かんばん数MAX,変更後）基準在庫日数
2030052002N    ,,,,,,,,,,,,,,,,,,,,,37.0,1.58,,,,,,
3040052001B    ,,,,,,,,,,,,,,,,,,,,,115.0,0.75,,,,,,
33490ECB010    ,,,,,,,,,,,,,,,,,,,,,1748.0,0.9500000000000002,,,,,,
33490ECE010    ,,,,,,,,,,,,,,,,,,,,,2183.0,1.1500000000000004,,,,,,
34989ECB020    ,,,,,,,,,,,,,,,,,,,,,6.0,1.9800000000000004,,,,,,
34989ECB030    ,,,,,,,,,,,,,,,,,,,,,3.0,3.56,,,,,,
34989ECE020    ,,,,,,,,,,,,,,,,,,,,,1.0,4.31,,,,,,
35141ECB010    ,,,,,,,,,,,,,,,,,,,,,326.0,0.5699999999999998,,,,,,
35141ECE010    ,,,,,,,,,,,,,,,,,,,,,194.0,1.03,,,,,,
35145ECB010    ,,,,,,,,,,,,,,,,,,,,,52.0,1.95,,,,,,
35145ECE010    ,,,,,,,,,,,,,,,,,,,,,70.0,1.8000000000000003,,,,,,
35145ECE020    ,,,,,,,,,,,,,,,,,,,,,71.0,1.5199999999999996,,,,,,
35165ECE010    ,,,,,,,,,,,,,,,,,,,,,24.0,1.6099999999999999,,,,,,
35174ECB010    ,,,,,,,,,,,,,,,,,,,,,311.0,1.0599999999999998,,,,,,
35174ECE010    ,,,,,,,,,,,,,,,,,,,,,166.0,1.3000000000000003,,,,,,
35174ECE020    ,,,,,,,,,,,,,,,,,,,,,72.0,1.5599999999999998,,,,,,
3519510A010    ,,,,,,,,,,,,,,,,,,,,,4.0,2.71,,,,,,
35195ECE010    ,,,,,,,,,,,,,,,,,,,,,25.0,2.72,,,,,,
35195TFG010    ,,,,,,,,,,,,,,,,,,,,,29.0,2.545,,,,,,
35198ECE010    ,,,,,,,,,,,,,,,,,,,,,27.0,1.65,,,,,,
35300ECB010    ,,,,,,,,,,,,,,,,,,,,,812.0,2.225,,,,,,
35312ECB010    ,,,,,,,,,,,,,,,,,,,,,91.0,1.31,,,,,,
35352ECB010    ,,,,,,,,,,,,,,,,,,,,,4.0,1.6850000000000005,,,,,,
3539450A010    ,,,,,,,,,,,,,,,,,,,,,2.0,2.2600000000000002,,,,,,
35409ECB010    ,,,,,,,,,,,,,,,,,,,,,21.0,1.95,,,,,,
35441ECB010    ,,,,,,,,,,,,,,,,,,,,,260.0,1.5,,,,,,
35441TFA010    ,,,,,,,,,,,,,,,,,,,,,51.0,1.59,,,,,,
3548255A010    ,,,,,,,,,,,,,,,,,,,,,17.0,1.56,,,,,,
35501ECB010    ,,,,,,,,,,,,,,,,,,,,,55.0,1.3999999999999997,,,,,,
35505ECB010    ,,,,,,,,,,,,,,,,,,,,,267.0,0.9699999999999998,,,,,,
35556ECB010    ,,,,,,,,,,,,,,,,,,,,,54.0,1.395,,,,,,
35557ECB010    ,,,,,,,,,,,,,,,,,,,,,125.0,1.44,,,,,,
35580ECB011    ,,,,,,,,,,,,,,,,,,,,,832.0,1.5749999999999997,,,,,,
35595ECB010    ,,,,,,,,,,,,,,,,,,,,,160.0,1.0749999999999997,,,,,,
3559850A010    ,,,,,,,,,,,,,,,,,,,,,58.0,1.3300000000000003,,,,,,
35771ECB010    ,,,,,,,,,,,,,,,,,,,,,1709.0,0.5900000000000001,,,,,,
35771ECE010    ,,,,,,,,,,,,,,,,,,,,,1336.0,0.7,,,,,,
35847ECB010    ,,,,,,,,,,,,,,,,,,,,,90.0,1.3999999999999997,,,,,,
35847ECB020    ,,,,,,,,,,,,,,,,,,,,,89.0,1.1900000000000004,,,,,,
35847ECE010    ,,,,,,,,,,,,,,,,,,,,,190.0,1.67,,,,,,
35847ECE020    ,,,,,,,,,,,,,,,,,,,,,120.0,1.7399999999999998,,,,,,
35882ECB010    ,,,,,,,,,,,,,,,,,,,,,144.0,1.29,,,,,,
36108ECB010    ,,,,,,,,,,,,,,,,,,,,,31.0,1.41,,,,,,
39171ECB010    ,,,,,,,,,,,,,,,,,,,,,320.0,0.57,,,,,,
39171ECE010    ,,,,,,,,,,,,,,,,,,,,,192.0,0.97,,,,,,
41310ECB010    ,,,,,,,,,,,,,,,,,,,,,3372.0,0.77,,,,,,
41310ECE010    ,,,,,,,,,,,,,,,,,,,,,3908.0,1.1,,,,,,
5040056001E    ,,,,,,,,,,,,,,,,,,,,,97.0,1.6099999999999994,,,,,,
82125ECB010    ,,,,,,,,,,,,,,,,,,,,,58.0,1.545,,,,,,
82125ECE010    ,,,,,,,,,,,,,,,,,,,,,70.0,1.4249999999999998,,,,,,
82821CWA030    ,,,,,,,,,,,,,,,,,,,,,44.0,2.73,,,,,,
82821ECB010    ,,,,,,,,,,,,,,,,,,,,,18.0,2.375,,,,,,
82821ECB020    ,,,,,,,,,,,,,,,,,,,,,41.0,2.7700000000000005,,,,,,
82821ECB040    ,,,,,,,,,,,,,,,,,,,,,53.0,1.66,,,,,,
82821ECB050    ,,,,,,,,,,,,,,,,,,,,,100.0,2.565,,,,,,
82821ECE010    ,,,,,,,,,,,,,,,,,,,,,61.0,3.75,,,,,,
82821XAE010    ,,,,,,,,,,,,,,,,,,,,,95.0,2.6700000000000004,,,,,,
82821XAE020    ,,,,,,,,,,,,,,,,,,,,,9.0,2.2500000000000004,,,,,,
82824ECB010    ,,,,,,,,,,,,,,,,,,,,,205.0,1.05,,,,,,
82824ECB020    ,,,,,,,,,,,,,,,,,,,,,359.0,1.2400000000000002,,,,,,
82824ECE010    ,,,,,,,,,,,,,,,,,,,,,180.0,1.06,,,,,,
9010506A003    ,,,,,,,,,,,,,,,,,,,,,5.0,2.4400000000000004,,,,,,
9010506A089    ,,,,,,,,,,,,,,,,,,,,,8.0,2.9200000000000004,,,,,,
9010508A014    ,,,,,,,,,,,,,,,,,,,,,1110.0,0.92,,,,,,
9010508A042    ,,,,,,,,,,,,,,,,,,,,,108.0,0.72,,,,,,
9010512A018    ,,,,,,,,,,,,,,,,,,,,,1050.0,0.7899999999999998,,,,,,
9011906908,,,,,,,,,,,,,,,,,,,,,5.0,1.76,,,,,,
9011906A065    ,,,,,,,,,,,,,,,,,,,,,35.0,1.4999999999999998,,,,,,
9014908A008    ,,,,,,,,,,,,,,,,,,,,,43.0,1.1349999999999998,,,,,,
9015905A007    ,,,,,,,,,,,,,,,,,,,,,29.0,1.69,,,,,,
9015906A021    ,,,,,,,,,,,,,,,,,,,,,95.0,1.11,,,,,,
9015906A022    ,,,,,,,,,,,,,,,,,,,,,142.0,1.1349999999999998,,,,,,
9015906A023    ,,,,,,,,,,,,,,,,,,,,,17.0,2.315,,,,,,
9020150A002    ,,,,,,,,,,,,,,,,,,,,,42.0,1.37,,,,,,
9020156A001    ,,,,,,,,,,,,,,,,,,,,,40.0,1.37,,,,,,
9020156A002    ,,,,,,,,,,,,,,,,,,,,,58.0,1.14,,,,,,
9025006A007    ,,,,,,,,,,,,,,,,,,,,,47.0,1.225,,,,,,
9030106A018    ,,,,,,,,,,,,,,,,,,,,,25.0,1.56,,,,,,
9030111A014    ,,,,,,,,,,,,,,,,,,,,,56.0,1.7600000000000002,,,,,,
9030115A011    ,,,,,,,,,,,,,,,,,,,,,8.0,1.685,,,,,,
9030117A010    ,,,,,,,,,,,,,,,,,,,,,9.0,1.85,,,,,,
9030119A010    ,,,,,,,,,,,,,,,,,,,,,8.0,1.85,,,,,,
9030119A011    ,,,,,,,,,,,,,,,,,,,,,58.0,1.2100000000000002,,,,,,
9031150A014    ,,,,,,,,,,,,,,,,,,,,,175.0,1.0100000000000002,,,,,,
9031150A015    ,,,,,,,,,,,,,,,,,,,,,177.0,0.8800000000000001,,,,,,
9033904A002    ,,,,,,,,,,,,,,,,,,,,,7.0,2.25,,,,,,
9034108A006    ,,,,,,,,,,,,,,,,,,,,,47.0,1.3199999999999998,,,,,,
9034108A010    ,,,,,,,,,,,,,,,,,,,,,5.0,1.5500000000000007,,,,,,
9034114A004    ,,,,,,,,,,,,,,,,,,,,,7.0,2.24,,,,,,
9034118060,,,,,,,,,,,,,,,,,,,,,9.0,2.5900000000000007,,,,,,
9034118090,,,,,,,,,,,,,,,,,,,,,35.0,1.92,,,,,,
9034118A024    ,,,,,,,,,,,,,,,,,,,,,25.0,2.085,,,,,,
9036324A003    ,,,,,,,,,,,,,,,,,,,,,298.0,0.8300000000000001,,,,,,
9036324A004    ,,,,,,,,,,,,,,,,,,,,,488.0,0.98,,,,,,
9036324A005    ,,,,,,,,,,,,,,,,,,,,,363.0,1.06,,,,,,
9036340A010    ,,,,,,,,,,,,,,,,,,,,,342.0,1.13,,,,,,
9036345A004    ,,,,,,,,,,,,,,,,,,,,,128.0,1.3749999999999998,,,,,,
9036628A005    ,,,,,,,,,,,,,,,,,,,,,104.0,1.3400000000000003,,,,,,
9036628A006    ,,,,,,,,,,,,,,,,,,,,,72.0,1.6500000000000001,,,,,,
9036628A007    ,,,,,,,,,,,,,,,,,,,,,100.0,1.66,,,,,,
9036628A008    ,,,,,,,,,,,,,,,,,,,,,69.0,1.79,,,,,,
9036630A017    ,,,,,,,,,,,,,,,,,,,,,193.0,1.4900000000000007,,,,,,
9036630A018    ,,,,,,,,,,,,,,,,,,,,,396.0,1.12,,,,,,
9036652A003    ,,,,,,,,,,,,,,,,,,,,,121.0,1.6800000000000006,,,,,,
9036652A004    ,,,,,,,,,,,,,,,,,,,,,121.0,1.6400000000000006,,,,,,
9036658A001    ,,,,,,,,,,,,,,,,,,,,,143.0,1.1350000000000007,,,,,,
9036658A002    ,,,,,,,,,,,,,,,,,,,,,175.0,1.2400000000000002,,,,,,
9036659A009    ,,,,,,,,,,,,,,,,,,,,,401.0,1.25,,,,,,
9036659A010    ,,,,,,,,,,,,,,,,,,,,,402.0,1.3200000000000005,,,,,,
9050827A011    ,,,,,,,,,,,,,,,,,,,,,23.0,1.4200000000000002,,,,,,
9052409A003    ,,,,,,,,,,,,,,,,,,,,,3.0,2.4800000000000004,,,,,,
9056439A005    ,,,,,,,,,,,,,,,,,,,,,16.0,2.31,,,,,,
9056439A006    ,,,,,,,,,,,,,,,,,,,,,9.0,1.8350000000000002,,,,,,
9056450A002    ,,,,,,,,,,,,,,,,,,,,,31.0,2.39,,,,,,
9056451A084    ,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
9056451A087    ,,,,,,,,,,,,,,,,,,,,,1.0,2.93,,,,,,
9056455A045    ,,,,,,,,,,,,,,,,,,,,,2.0,2.91,,,,,,
9056457A136    ,,,,,,,,,,,,,,,,,,,,,2.0,2.895,,,,,,
9056457A137    ,,,,,,,,,,,,,,,,,,,,,11.0,1.83,,,,,,
9056457A138    ,,,,,,,,,,,,,,,,,,,,,3.0,2.14,,,,,,
9056463A033    ,,,,,,,,,,,,,,,,,,,,,5.0,2.89,,,,,,
9056463A034    ,,,,,,,,,,,,,,,,,,,,,11.0,2.19,,,,,,
9056463A035    ,,,,,,,,,,,,,,,,,,,,,11.0,1.61,,,,,,
9056463A036    ,,,,,,,,,,,,,,,,,,,,,7.0,1.31,,,,,,
9056463A037    ,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
9093003179,,,,,,,,,,,,,,,,,,,,,13.0,2.17,,,,,,
9094906A012    ,,,,,,,,,,,,,,,,,,,,,86.0,1.34,,,,,,
9155180614,,,,,,,,,,,,,,,,,,,,,38.0,1.5500000000000005,,,,,,
9155180640,,,,,,,,,,,,,,,,,,,,,12.0,1.5700000000000005,,,,,,
9161140614,,,,,,,,,,,,,,,,,,,,,89.0,0.9850000000000001,,,,,,
9167180618,,,,,,,,,,,,,,,,,,,,,30.0,1.64,,,,,,
G1144ECB010    ,,,,,,,,,,,,,,,,,,,,,1056.0,1.21,,,,,,
G1144ECE010    ,,,,,,,,,,,,,,,,,,,,,982.0,1.5300000000000002,,,,,,
G1163ECB010    ,,,,,,,,,,,,,,,,,,,,,157.0,0.72,,,,,,
G1163ECE010    ,,,,,,,,,,,,,,,,,,,,,326.0,0.8700000000000001,,,,,,
G117362010     ,,,,,,,,,,,,,,,,,,,,,710.0,1.6900000000000004,,,,,,
G1174ECB010    ,,,,,,,,,,,,,,,,,,,,,108.0,1.6799999999999995,,,,,,
G1174ECE010    ,,,,,,,,,,,,,,,,,,,,,120.0,2.1149999999999998,,,,,,
G1250ECB010    ,,,,,,,,,,,,,,,,,,,,,58.0,1.4100000000000006,,,,,,
G1250ECC010    ,,,,,,,,,,,,,,,,,,,,,32.0,2.0549999999999997,,,,,,
G1250ECE010    ,,,,,,,,,,,,,,,,,,,,,110.0,1.6600000000000001,,,,,,
G9201ECB030    ,,,,,,,,,,,,,,,,,,,,,659.0,1.67,,,,,,
G9201ECE010    ,,,,,,,,,,,,,,,,,,,,,751.0,1.7400000000000002,,,,,,
G9210ECB010    ,,,,,,,,,,,,,,,,,,,,,779.0,,,,,,,
G9210ECC010    ,,,,,,,,,,,,,,,,,,,,,453.0,,,,,,,
G9210ECE010    ,,,,,,,,,,,,,,,,,,,,,496.0,,,,,,,
G9210ECE020    ,,,,,,,,,,,,,,,,,,,,,881.0,,,,,,,
G9210ECE030    ,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,
