,品番,変更前）正常1,変更前）正常2,変更前）正常3,変更前）正常4,変更前）異常1,変更前）異常2,変更前）異常3,変更前）異常4,変更前）異常5,変更後）正常1,変更後）正常2,変更後）正常3,変更後）正常4,変更後）異常1,変更後）異常2,変更後）異常3,変更後）異常4,変更後）異常5,差分）正常1,差分）正常2,差分）正常3,差分）正常4,差分）異常1,差分）異常2,差分）異常3,差分）異常4,差分）異常5,品名,収容数,仕入先名/工場名,A,B,C,整備室,箱種,箱サイズ,箱重量,手配区分,変更前）かんばん数,変更後）かんばん数,変更前）社内LT,変更後）社内LT,差分）社内LT,変更前）基準在庫日数（基準在庫枚数込み）,変更前）社内LT-基準在庫日数（基準在庫枚数込み）,変更後）基準在庫日数（基準在庫枚数込み）,変更後）社内LT-基準在庫日数（基準在庫枚数込み）,変更前）日量数平均,変更前）計算社内かんばん数,変更前）計算社内かんばん数MAX,変更後）日量数平均,変更後）計算社内かんばん数,変更後）計算社内かんばん数MAX,変更前）基準在庫日数,変更後）基準在庫日数,変更前）便Ave,変更後）便Ave
46,36108ECB010,0,14.28571429,14.28571429,57.14285714,0,0,14.28571429,0,0,0,28.57142857,14.28571429,14.28571429,0,28.57142857,0,0,14.28571429,0,14.28571429,0,-42.85714286,0,28.57142857,-14.28571429,0,14.28571429,"SHAFT SUB-ASSY, OIL PUMP DRIVE",150,（株）オーハシテクニカ,1,1,1.97,1Y,TP331.5ﾌﾀﾅｼ,0.017,6.85,手配,7,7,1.51,0.99,-0.52,1.909692058,-0.399692058,1.024240059,-0.034240059,424.8,12.0624,14.8944,413.4,9.8192,12.5752,0.84,0.64,2.832,2.756
47,41310ECB010,0,2.57985258,12.77641278,18.67321867,16.09336609,25.92137592,13.26781327,9.582309582,1.105651106,0,1.979045402,13.62048894,23.39930151,38.06752037,11.87427241,6.868451688,1.280558789,2.910360885,0,-0.600807178,0.844076164,4.72608284,21.97415428,-14.04710351,-6.39936158,-8.301750793,1.804709779,"GEAR ASSY, DIFFERENTIAL",2,（株）オンド,1,4,4,1Y,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,0.033,16.99,手配,814,871,1.39,0.77,-0.62,1.114262561,0.275737439,0.700246402,0.069753598,424.8,1171.2,1224.3,413.4,715.115,766.79,1.1,0.69,53.1,51.675
48,41310ECE010,0,1.541425819,4.816955684,29.76878613,28.70905588,26.49325626,4.527938343,3.564547206,0.578034682,0,1.669941061,4.223968566,8.644400786,20.23575639,20.53045187,30.0589391,10.11787819,4.518664047,0,0.128515242,-0.592987118,-21.12438534,-8.473299492,-5.962804396,25.53100075,6.553330986,3.940629365,"GEAR ASSY, DIFFERENTIAL",2,（株）オンド,1,4,4,1Y,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,0.033,14.51,手配,1040,1018,1.23,1.03,-0.2,1.111037712,0.118962288,0.712068966,0.317931034,543.4,1497.35,1565.275,532,934,1000.5,1.1,0.7,67.925,66.5
49,5040056001E,0,0,14.28571429,19.04761905,38.0952381,14.28571429,9.523809524,4.761904762,0,0,0,8,12,16,4,48,12,0,0,0,-6.285714286,-7.047619048,-22.0952381,-10.28571429,38.47619048,7.238095238,0,"CLAMP, TUBE",300,サトープレス工業（株）,1,1,1.78,1Y,AW131ﾌﾀﾅｼ,0.006,1.545,手配,21,25,1.29,1.64,0.35,1.247876823,0.042123177,1.04108807,0.59891193,2124,23.532,30.612,2067,22.981,29.871,0.82,0.58,7.08,6.89
50,82125ECB010,0,0,23.07692308,0,15.38461538,30.76923077,23.07692308,7.692307692,0,0,0,16.66666667,16.66666667,8.333333333,8.333333333,0,16.66666667,33.33333333,0,0,-6.41025641,16.66666667,-7.051282051,-22.43589744,-23.07692308,8.974358974,33.33333333,"WIRE, TRANSMISSION",100,矢崎総業（株）,1,1,1.79,1Y,TP332ﾌﾀｱﾘ,0.024,9.3,手配,13,12,2.02,1.685,-0.335,1.533128039,0.486871961,0.836160039,0.848839961,424.8,15.3192,19.5672,413.4,12.9886,17.1226,0.82,0.58,4.248,4.134
51,82125ECE010,0,0,12.5,18.75,12.5,25,12.5,12.5,6.25,0,5.882352941,5.882352941,11.76470588,0,11.76470588,5.882352941,41.17647059,17.64705882,0,5.882352941,-6.617647059,-6.985294118,-12.5,-13.23529412,-6.617647059,28.67647059,11.39705882,"WIRE, TRANSMISSION",100,矢崎総業（株）,1,1,1.79,1Y,TP332ﾌﾀｱﾘ,0.024,5.8,手配,16,17,1.76,1.62,-0.14,1.371885609,0.388114391,0.781149425,0.838850575,543.4,18.7586,24.1926,532,16.428,21.748,0.82,0.58,5.434,5.32
52,82821CWA030,0,0,0,0,0,0,55.55555556,44.44444444,0,0,0,0,0,0,10,20,30,40,0,0,0,0,0,10,-35.55555556,-14.44444444,40,"COVER, CONNECTOR",200,石黒ゴム工業（株）,1,2,3.64,1Y,TP332ﾌﾀﾅｼ,0.022,1.42,手配,9,10,3.3,3.04,-0.26,1.692347949,1.607652051,1.109059783,1.930940217,967.4,23.07355,25.49205,945.4,20.61705,22.98055,1.07,0.83,2.4185,2.3635
53,82821ECB010,0,0,0,0,0,25,75,0,0,0,0,0,0,20,0,0,80,0,0,0,0,0,20,-25,-75,80,0,"COVER, CONNECTOR",400,石黒ゴム工業（株）,1,2,3.64,1Y,TP332ﾌﾀﾅｼ,0.022,3.01,手配,4,5,3.945,3.12,-0.825,2.314461205,1.630538795,1.387999785,1.732000215,968.2,13.045075,14.255325,945.4,10.808525,11.990275,1.07,0.83,1.21025,1.18175
54,82821ECB020,0,0,0,0,10,10,60,20,0,0,0,0,0,0,0,20,60,20,0,0,0,0,-10,-10,-40,40,20,"COVER, CONNECTOR",200,石黒ゴム工業（株）,1,2,3.64,1Y,TP131ﾌﾀﾅｼ,0.006,3.01,手配,10,10,2.865,3.115,0.25,1.692230602,1.172769398,1.148999893,1.966000107,968.2,24.05835,26.47885,945.4,21.56245,23.92595,1.07,0.87,2.4205,2.3635
55,82821ECB040,0,0,25,16.66666667,16.66666667,0,41.66666667,0,0,0,0,8.333333333,8.333333333,8.333333333,41.66666667,16.66666667,16.66666667,0,0,0,-16.66666667,-8.333333333,-8.333333333,41.66666667,-25,16.66666667,0,"COVER, CONNECTOR",100,石黒ゴム工業（株）,1,2,3.64,1Y,TP342ﾌﾀﾅｼ,0.033,3.3,手配,12,12,2.085,1.64,-0.445,1.783128039,0.301871961,1.147150525,0.492849475,424.8,20.6292,22.7532,413.4,18.1561,20.2231,1.07,0.83,2.124,2.067
56,82821ECB050,0,0,0,0,4.347826087,8.695652174,17.39130435,69.56521739,0,0,0,0,0,0,0,12.5,70.83333333,16.66666667,0,0,0,0,-4.347826087,-8.695652174,-4.891304348,1.268115942,16.66666667,"COVER, CONNECTOR",100,石黒ゴム工業（株）,1,2,3.64,1Y,TP332ﾌﾀﾅｼ,0.022,3.1,手配,23,24,3.16,2.615,-0.545,1.381173975,1.778826025,0.969529892,1.645470108,967.4,43.1471,47.9841,945.4,40.2341,44.9611,1.07,0.83,4.837,4.727
