,品番,変更前）正常1,変更前）正常2,変更前）正常3,変更前）正常4,変更前）異常1,変更前）異常2,変更前）異常3,変更前）異常4,変更前）異常5,変更後）正常1,変更後）正常2,変更後）正常3,変更後）正常4,変更後）異常1,変更後）異常2,変更後）異常3,変更後）異常4,変更後）異常5,差分）正常1,差分）正常2,差分）正常3,差分）正常4,差分）異常1,差分）異常2,差分）異常3,差分）異常4,差分）異常5,品名,収容数,仕入先名/工場名,A,B,C,整備室,箱種,箱サイズ,箱重量,手配区分,変更前）かんばん数,変更後）かんばん数,変更前）社内LT,変更後）社内LT,差分）社内LT,変更前）基準在庫日数（基準在庫枚数込み）,変更前）社内LT-基準在庫日数（基準在庫枚数込み）,変更後）基準在庫日数（基準在庫枚数込み）,変更後）社内LT-基準在庫日数（基準在庫枚数込み）,変更前）日量数平均,変更前）計算社内かんばん数,変更前）計算社内かんばん数MAX,変更後）日量数平均,変更後）計算社内かんばん数,変更後）計算社内かんばん数MAX,変更前）基準在庫日数,変更後）基準在庫日数,変更前）便Ave,変更後）便Ave
69,9011906A065,0,14.28571429,0,42.85714286,14.28571429,14.28571429,14.28571429,0,0,0,0,0,0,0,37.5,25,37.5,0,0,-14.28571429,0,-42.85714286,-14.28571429,23.21428571,10.71428571,37.5,0,"BOLT, FLANGE W/WASHER",1000,（株）青山製作所,1,6,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,11.83,手配,7,8,1.74,1.425,-0.315,1.777051004,-0.037051004,0.905576779,0.519423221,2904.6,10.69719,11.18129,2836.2,8.51593,8.98863,0.74,0.53,0.4841,0.4727
70,9014908A008,0,9.090909091,36.36363636,18.18181818,0,9.090909091,18.18181818,9.090909091,0,0,0,0,40,0,13.33333333,13.33333333,20,13.33333333,0,-9.090909091,-36.36363636,21.81818182,0,4.242424242,-4.848484848,10.90909091,13.33333333,SCREW,800,（株）青山製作所,1,6,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,10.59,手配,11,15,1.48,1.14,-0.34,1.569640803,-0.089640803,0.820461423,0.319538577,2904.6,12.43995,13.045075,2836.2,10.21765,10.808525,0.74,0.52,0.605125,0.590875
71,9015905A007,0,0,14.28571429,28.57142857,28.57142857,14.28571429,0,14.28571429,0,0,0,0,25,50,12.5,0,12.5,0,0,0,-14.28571429,-3.571428571,21.42857143,-1.785714286,0,-1.785714286,0,"SCREW, W/WASHER",2000,（株）青山製作所,1,6,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,9.43,手配,7,8,1.78,1.96,0.18,1.777246582,0.002753418,1.656972201,0.303027799,5804.4,10.69083,11.17453,5672.4,10.51593,10.98863,0.74,0.53,0.4837,0.4727
72,9015906A021,0,4,12,16,12,16,28,12,0,0,16,20,4,16,32,12,0,0,0,12,8,-12,4,16,-16,-12,0,"SCREW, W/WASHER",1200,（株）青山製作所,1,6,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,9.71,手配,25,25,1.52,1.2,-0.32,1.182623775,0.337376225,1.000708091,0.199291909,8163.4,20.68736667,21.82117222,7976.6,20.28263333,21.39049444,0.74,0.52,1.133805556,1.107861111
73,9015906A022,0,0,5.555555556,11.11111111,27.77777778,30.55555556,22.22222222,2.777777778,0,0,2.777777778,2.777777778,11.11111111,30.55555556,41.66666667,11.11111111,0,0,0,2.777777778,-2.777777778,0,2.777777778,11.11111111,-11.11111111,-2.777777778,0,"SCREW, W/WASHER",1500,（株）青山製作所,1,6,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,10.13,手配,36,36,1.355,1.075,-0.28,1.051144635,0.303855365,0.848055377,0.226944623,14520,27.684,29.29733333,14181,27.1077,28.68336667,0.74,0.51,1.613333333,1.575666667
74,9015906A023,0,60,40,0,0,0,0,0,0,0,0,20,20,40,20,0,0,0,0,-60,-20,20,40,20,0,0,0,"SCREW, W/WASHER",1300,（株）青山製作所,1,6,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,9.67,手配,5,5,0.91,2.11,1.2,2.088420556,-1.178420556,1.985063862,0.124936138,2902.2,8.8044,9.176476923,2836.2,8.6724,9.036015385,0.74,0.52,0.372076923,0.363615385
75,9020150A002,0,0,14.28571429,28.57142857,14.28571429,28.57142857,14.28571429,0,0,0,0,9.090909091,18.18181818,9.090909091,9.090909091,27.27272727,27.27272727,0,0,0,-5.194805195,-10.38961039,-5.194805195,-19.48051948,12.98701299,27.27272727,0,"WASHER, PLATE",100,（株）ムロコーポレーション,1,1,0.73,1Y,TP131ﾌﾀﾅｼ,0.006,6.9,手配,7,11,2.03,1.87,-0.16,1.643128039,0.386871961,0.986160039,0.883839961,424.8,18.0804,22.3284,413.4,16.0891,20.2231,0.93,0.73,4.248,4.134
76,9020156A001,0,7.142857143,28.57142857,14.28571429,14.28571429,21.42857143,14.28571429,0,0,0,0,11.11111111,11.11111111,11.11111111,11.11111111,22.22222222,33.33333333,0,0,-7.142857143,-17.46031746,-3.174603175,-3.174603175,-10.31746032,7.936507937,33.33333333,0,"WASHER, PLATE",100,（株）ムロコーポレーション,1,1,0.73,1Y,TP131ﾌﾀﾅｼ,0.006,13.86,手配,14,9,1.775,1.9,0.125,1.643128039,0.131871961,1.006160039,0.893839961,424.8,18.5052,22.7532,413.4,16.5025,20.6365,0.93,0.75,4.248,4.134
77,9020156A002,0,11.11111111,33.33333333,11.11111111,0,22.22222222,22.22222222,0,0,0,0,7.142857143,14.28571429,21.42857143,21.42857143,14.28571429,21.42857143,0,0,-11.11111111,-26.19047619,3.174603175,21.42857143,-0.793650794,-7.936507937,21.42857143,0,"WASHER, PLATE",100,（株）ムロコーポレーション,1,1,0.73,1Y,TP131ﾌﾀﾅｼ,0.006,10.47,手配,9,14,1.2,1.335,0.135,1.481885609,-0.281885609,0.931149425,0.403850575,543.4,22.2907,27.7247,532,20.418,25.738,0.93,0.73,5.434,5.32
78,9025006A007,0,0,7.692307692,30.76923077,0,7.692307692,38.46153846,15.38461538,0,0,0,7.692307692,15.38461538,30.76923077,15.38461538,15.38461538,0,15.38461538,0,0,0,-15.38461538,30.76923077,7.692307692,-23.07692308,-15.38461538,15.38461538,"PIN, STRAIGHT",200,（株）ギフ加藤製作所,1,2,3.8,1Y,AW131ﾌﾀﾅｼ,0.005,0.84,手配,13,13,2.48,1.19,-1.29,1.613128039,0.866871961,1.016160039,0.173839961,849.6,19.1424,21.2664,826.8,16.7092,18.7762,0.9,0.76,2.124,2.067
79,9030106A018,0,0,0,0,20,20,60,0,0,0,40,0,0,40,20,0,0,0,0,40,0,0,20,0,-60,0,0,"RING, O",2000,ＮＯＫ（株）,1,2,3.52,1Y,TP131ﾌﾀﾅｼ,0.006,0.6,手配,5,5,3.01,2.11,-0.9,1.972072704,1.037927296,1.830853085,0.279146915,5147.2,10.20608,11.49288,5021.8,10.03052,11.28597,0.8,0.56,1.2868,1.25545
80,9030111A014,0,6.666666667,6.666666667,26.66666667,0,13.33333333,33.33333333,13.33333333,0,0,0,7.692307692,7.692307692,15.38461538,23.07692308,23.07692308,23.07692308,0,0,-6.666666667,1.025641026,-18.97435897,15.38461538,9.743589744,-10.25641026,9.743589744,0,"RING, O",1000,ＮＯＫ（株）,1,2,3.52,1Y,TP131ﾌﾀﾅｼ,0.006,0.6,手配,15,13,2.02,1.81,-0.21,1.422230602,0.597769398,1.236038202,0.573961798,4841,16.5548,18.9753,4727,16.2356,18.5991,0.8,0.56,2.4205,2.3635
81,9030115A011,0,100,0,0,0,0,0,0,0,0,0,0,33.33333333,33.33333333,0,33.33333333,0,0,0,-100,0,33.33333333,33.33333333,0,33.33333333,0,0,"RING, O",1000,ＮＯＫ（株）,1,2,3.52,1Y,TP131ﾌﾀﾅｼ,0.006,0.7,手配,1,3,1.02,1.68,0.66,3.559428046,-2.539428046,1.565747126,0.114252874,1086.8,6.04304,6.58644,1064,3.9792,4.5112,0.8,0.56,0.5434,0.532
82,9030117A010,0,0,33.33333333,0,66.66666667,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,66.66666667,0,-66.66666667,0,0,0,0,"RING, O",1000,ＮＯＫ（株）,1,2,3.52,1Y,TP131ﾌﾀﾅｼ,0.006,0.8,手配,3,2,3.27,1.88,-1.39,2.966136073,0.303863927,2.887592786,-1.007592786,1393,6.7611,7.4576,1358.8,6.66876,7.34816,0.8,0.54,0.6965,0.6794
83,9030119A011,0,15.38461538,7.692307692,23.07692308,7.692307692,7.692307692,30.76923077,7.692307692,0,0,0,7.142857143,28.57142857,14.28571429,7.142857143,14.28571429,21.42857143,7.142857143,0,-15.38461538,-0.549450549,5.494505495,6.593406593,-0.549450549,-16.48351648,13.73626374,7.142857143,"RING, O",200,ＮＯＫ（株）,1,2,3.52,1Y,TP131ﾌﾀﾅｼ,0.006,0.58,手配,13,14,1.75,1.08,-0.67,1.513128039,0.236871961,0.796160039,0.283839961,849.6,14.4696,16.5936,826.8,12.1618,14.2288,0.8,0.54,2.124,2.067
84,9031150A014,0,0,2.380952381,11.9047619,11.9047619,23.80952381,40.47619048,9.523809524,0,0,0,2.325581395,11.62790698,11.62790698,23.25581395,32.55813953,16.27906977,2.325581395,0,0,-0.055370986,-0.276854928,-0.276854928,-0.553709856,-7.918050941,6.755260244,2.325581395,"SEAL, TYPE T OIL",84,ＮＯＫ（株）,1,2,3.52,1Y,ｻﾝﾎﾞｯｸｽ＃24Bﾌﾀﾅｼ,0.021,5.258,手配,42,43,1.615,0.98,-0.635,1.061336853,0.553663147,0.634645348,0.345354652,968.2,34.12071429,39.88380952,945.4,31.38785714,37.0152381,0.8,0.54,5.763095238,5.627380952
85,9031150A015,0,0,13.63636364,22.72727273,15.90909091,18.18181818,11.36363636,18.18181818,0,0,0,0,25,22.72727273,15.90909091,18.18181818,13.63636364,4.545454545,0,0,-13.63636364,2.272727273,6.818181818,-2.272727273,6.818181818,-4.545454545,4.545454545,"SEAL, TYPE T OIL",84,ＮＯＫ（株）,1,2,3.52,1Y,ｻﾝﾎﾞｯｸｽ＃24Bﾌﾀﾅｼ,0.021,5.56,手配,44,44,1.285,0.8,-0.485,1.061336853,0.223663147,0.624645348,0.175354652,968.2,33.54440476,39.3075,945.4,30.82511905,36.4525,0.8,0.53,5.763095238,5.627380952
86,9033904A002,0,50,50,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,-50,-50,0,0,50,0,50,0,CAP,1000,サトープレス工業（株）,1,1,1.78,1Y,AW131ﾌﾀﾅｼ,0.006,0.97,手配,2,2,1.94,3.39,1.45,3.931153012,-1.991153012,1.736730336,1.653269664,968.2,5.95301,6.92121,945.4,3.88347,4.82887,0.82,0.61,0.9682,0.9454
87,9034108A006,0,0,8.333333333,8.333333333,33.33333333,25,25,0,0,0,9.090909091,18.18181818,18.18181818,27.27272727,9.090909091,9.090909091,0,9.090909091,0,9.090909091,9.848484848,9.848484848,-6.060606061,-15.90909091,-15.90909091,0,9.090909091,"PLUG, W/HEAD STRAIGHT SCREW",1000,（株）杉浦製作所,1,2,1.06,1Y,TP331ﾌﾀﾅｼ,0.012,7.4,手配,12,11,1.915,1.4,-0.515,1.471299529,0.443700471,1.291329305,0.108670695,4297.6,14.38864,16.53744,4195,14.11675,16.21425,0.77,0.53,2.1488,2.0975
88,9034114A004,0,0,100,0,0,0,0,0,0,0,0,50,0,0,50,0,0,0,0,0,-50,0,0,50,0,0,0,"PLUG, W/HEAD STRAIGHT SCREW",500,（株）青山製作所,1,6,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,11.33,手配,1,2,2.48,1.875,-0.605,4.305640194,-1.825640194,1.780800195,0.094199805,424.8,5.124,5.2656,413.4,3.067,3.2048,0.74,0.5,0.1416,0.1378
89,9034118060,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,-100,0,0,"PLUG, W/HEAD STRAIGHT SCREW",300,住友商事（株）鉄鋼部輸送機材,1,1,3,1Y,TP331ﾌﾀﾅｼ,0.012,13.56,手配,1,1,4.11,1.94,-2.17,2.595656827,1.514343173,1.343448276,0.596551724,543.4,9.701933333,11.51326667,532,7.561333333,9.334666667,0.94,0.74,1.811333333,1.773333333
90,9034118090,0,10,10,20,30,10,20,0,0,0,0,0,22.22222222,11.11111111,66.66666667,0,0,0,0,-10,-10,2.222222222,-18.88888889,56.66666667,-20,0,0,"PLUG, W/HEAD STRAIGHT SCREW",300,（株）杉浦製作所,1,2,1.06,1Y,TP331ﾌﾀﾅｼ,0.012,10.36,手配,10,9,1.89,2.04,0.15,1.703345904,0.186654096,1.554057302,0.485942698,968.2,11.7138,13.32746667,945.4,11.5086,13.08426667,0.77,0.54,1.613666667,1.575666667
91,9034118A024,0,20,0,80,0,0,0,0,0,0,0,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,0,0,-20,16.66666667,-63.33333333,16.66666667,16.66666667,16.66666667,16.66666667,0,"PLUG, W/HEAD STRAIGHT SCREW",200,（株）青山製作所,1,6,5.76,1Y,TP131ﾌﾀﾅｼ,0.006,6.27,手配,5,6,1.56,2.085,0.525,1.843771218,-0.283771218,1.726896552,0.358103448,543.4,10.0642,10.51703333,532,9.916,10.35933333,0.74,0.52,0.452833333,0.443333333
92,9036324A003,0,0,7.792207792,11.68831169,35.06493506,37.66233766,7.792207792,0,0,0,3.846153846,14.1025641,37.17948718,29.48717949,11.53846154,3.846153846,0,0,0,3.846153846,6.31035631,25.49117549,-5.577755578,-26.12387612,-3.946053946,0,0,"BEARING, RADIAL BALL",22,日本精工（株）,1,8,9,1Y,ﾃﾝﾊﾞｺ10ﾌﾀﾅｼ,0.015,12.85,手配,77,78,1.09,0.78,-0.31,0.896888169,0.193111831,0.796355209,-0.016355209,424.8,74.44363636,76.85727273,413.4,69.58681818,71.93568182,0.74,0.74,2.413636364,2.348863636
93,9036324A004,0,0,0,3.968253968,27.77777778,35.71428571,32.53968254,0,0,0,3.937007874,11.81102362,16.53543307,41.73228346,20.47244094,2.362204724,1.57480315,1.57480315,0,3.937007874,11.81102362,12.5671791,13.95450569,-15.24184477,-30.17747782,1.57480315,1.57480315,"BEARING, RADIAL BALL",30,日本精工（株）,1,8,9,1Y,ﾃﾝﾊﾞｺ10ﾌﾀﾅｼ,0.015,9.978,手配,126,127,1.15,0.86,-0.29,0.83333459,0.31666541,0.77380191,0.08619809,968.2,122.4113333,126.4455,945.4,116.0236667,119.9628333,0.74,0.74,4.034166667,3.939166667
94,9036324A005,0,0,3.260869565,5.434782609,15.2173913,39.13043478,36.95652174,0,0,0,0,2.127659574,10.63829787,26.59574468,32.9787234,23.40425532,1.063829787,3.191489362,0,0,-1.133209991,5.203515264,11.37835338,-6.151711378,-13.55226642,1.063829787,3.191489362,"BEARING, RADIAL BALL",22,日本精工（株）,1,8,9,1Y,ｻﾝﾎﾞｯｸｽ＃K-10Bﾌﾀﾅｼ,0.015,11.86,手配,92,94,1.23,0.99,-0.24,0.861414834,0.368585166,0.734252874,0.255747126,543.4,94.39,97.4775,532,83.21818182,86.24090909,0.74,0.69,3.0875,3.022727273
95,9036340A010,0,0,0,4.494382022,14.60674157,35.95505618,44.94382022,0,0,0,0,6.666666667,24.44444444,38.88888889,24.44444444,3.333333333,1.111111111,1.111111111,0,0,6.666666667,19.95006242,24.28214732,-11.51061174,-41.61048689,1.111111111,1.111111111,"BEARING, RADIAL BALL",80,日本精工（株）,1,8,9,1Y,ｻﾝﾎﾞｯｸｽ＃K-10Bﾌﾀﾅｼ,0.015,9.301,手配,89,90,1.3,0.99,-0.31,0.88444612,0.41555388,0.87520764,0.11479236,1936.4,94.979,98.004625,1890.8,89.26775,92.222125,0.76,0.74,3.025625,2.954375
96,9036345A004,0,0,0,3.333333333,0,26.66666667,43.33333333,26.66666667,0,0,0,13.33333333,13.33333333,6.666666667,3.333333333,33.33333333,16.66666667,13.33333333,0,0,13.33333333,10,6.666666667,-23.33333333,-10,-10,13.33333333,"BEARING, RADIAL BALL",90,岡谷鋼機（株）,1,1,2.29,1Y,ｻﾝﾎﾞｯｸｽ＃9Bﾌﾀﾅｼ,0.013,12,手配,30,30,2.095,1.24,-0.855,1.150003771,0.944996229,0.74140573,0.49859427,968.2,37.42488889,48.18266667,945.4,34.61422222,45.11866667,0.87,0.64,10.75777778,10.50444444
97,9036628A005,0,0,4.166666667,12.5,8.333333333,25,29.16666667,20.83333333,0,0,0,0,16.66666667,12.5,4.166666667,12.5,50,4.166666667,0,0,-4.166666667,4.166666667,4.166666667,-20.83333333,-16.66666667,29.16666667,4.166666667,"RACE, TAPERED ROLLER BEARING, INNER",60,（株）ジェイテクト,1,1,1.9,1Y,ｻﾝﾎﾞｯｸｽ＃9Fﾌﾀﾅｼ,0.013,11.26,手配,24,24,1.95,1.565,-0.385,1.237876823,0.712123177,0.773696023,0.791303977,424.8,25.302,32.382,413.4,22.359,29.249,0.81,0.62,7.08,6.89
98,9036628A006,0,0,6.25,12.5,18.75,25,12.5,25,0,0,0,0,0,0,13.33333333,26.66666667,46.66666667,13.33333333,0,0,-6.25,-12.5,-18.75,-11.66666667,14.16666667,21.66666667,13.33333333,"RACE, TAPERED ROLLER BEARING, OUTER",80,（株）ジェイテクト,1,1,1.9,1Y,ｻﾝﾎﾞｯｸｽ＃9Fﾌﾀﾅｼ,0.013,10.94,手配,16,15,1.885,1.85,-0.035,1.380502431,0.504497569,0.824928031,1.025071969,424.8,19.7265,25.0365,413.4,17.01925,22.18675,0.81,0.62,5.31,5.1675
99,9036628A007,0,0,8.333333333,8.333333333,4.166666667,12.5,16.66666667,45.83333333,4.166666667,0,0,0,4.166666667,4.166666667,4.166666667,25,29.16666667,33.33333333,0,0,-8.333333333,-4.166666667,0,-8.333333333,8.333333333,-16.66666667,29.16666667,"RACE, TAPERED ROLLER BEARING, INNER",72,（株）ジェイテクト,1,1,1.9,1Y,ｻﾝﾎﾞｯｸｽ＃9Fﾌﾀﾅｼ,0.013,11.644,手配,24,24,2.425,1.68,-0.745,1.207357639,1.217642361,0.714827586,0.965172414,543.4,24.88694444,32.43416667,532,22.05833333,29.44722222,0.81,0.57,7.547222222,7.388888889
100,9036628A008,0,0,6.25,0,12.5,12.5,43.75,25,0,0,0,0,0,12.5,0,18.75,37.5,31.25,0,0,-6.25,0,0,-12.5,-25,12.5,31.25,"RACE, TAPERED ROLLER BEARING, OUTER",100,（株）ジェイテクト,1,1,1.9,1Y,ｻﾝﾎﾞｯｸｽ＃9Fﾌﾀﾅｼ,0.013,10.1,手配,16,16,2.35,1.88,-0.47,1.361885609,0.988114391,0.781149425,1.098850575,543.4,19.0303,24.4643,532,16.428,21.748,0.81,0.58,5.434,5.32
101,9036630A017,0,0,0,12.24489796,12.24489796,10.20408163,32.65306122,30.6122449,2.040816327,0,0,0,4.255319149,10.63829787,0,25.53191489,42.55319149,17.0212766,0,0,0,-7.98957881,-1.606600087,-10.20408163,-7.121146331,11.94094659,14.98046027,"RACE, TAPERED ROLLER BEARING, OUTER",72,（株）ジェイテクト,1,1,1.9,1Y,ｻﾝﾎﾞｯｸｽ＃9Fﾌﾀﾅｼ,0.013,10.492,手配,49,47,1.8,1.61,-0.19,1.034003017,0.765996983,0.681124584,0.928875416,968.2,44.01402778,57.46125,945.4,40.39166667,53.52222222,0.81,0.6,13.44722222,13.13055556
102,9036630A018,0,0,0,0,3.96039604,11.88118812,27.72277228,50.4950495,5.940594059,0,0,0,2.06185567,0,14.43298969,28.86597938,35.05154639,19.58762887,0,0,0,2.06185567,-3.96039604,2.551801572,1.143207104,-15.44350311,13.64703481,"RACE, TAPERED ROLLER BEARING, INNER",38,（株）ジェイテクト,1,1,1.9,1Y,ｻﾝﾎﾞｯｸｽ＃9Fﾌﾀﾅｼ,0.013,9.51,手配,101,97,1.33,1.07,-0.26,0.658223814,0.671776186,0.468447258,0.601552742,968.2,46.31421053,71.79315789,945.4,45.29421053,70.17315789,0.54,0.34,25.47894737,24.87894737
103,9036652A003,0,0,3.571428571,7.142857143,3.571428571,3.571428571,32.14285714,50,0,0,0,0,3.333333333,16.66666667,3.333333333,20,23.33333333,33.33333333,0,0,-3.571428571,-3.80952381,13.0952381,-0.238095238,-12.14285714,-26.66666667,33.33333333,"RACE, TAPERED ROLLER BEARING, INNER",60,（株）ジェイテクト,1,1,1.9,1Y,ｻﾝﾎﾞｯｸｽ＃9Fﾌﾀﾅｼ,0.013,11.98,手配,28,30,2.275,1.645,-0.63,1.141131365,1.133868635,0.690689655,0.954310345,543.4,29.26433333,38.321,532,26.27,35.13666667,0.81,0.57,9.056666667,8.866666667
104,9036652A004,0,0,7.142857143,7.142857143,3.571428571,3.571428571,25,53.57142857,0,0,0,0,0,10.34482759,13.79310345,34.48275862,34.48275862,6.896551724,0,0,-7.142857143,-7.142857143,6.773399015,10.22167488,9.482758621,-19.08866995,6.896551724,"RACE, TAPERED ROLLER BEARING, OUTER",63,（株）ジェイテクト,1,1,1.9,1Y,ｻﾝﾎﾞｯｸｽ＃9Fﾌﾀﾅｼ,0.013,7,手配,28,29,2.36,1.31,-1.05,1.157687934,1.202312066,0.696724138,0.613275862,543.4,28.01365079,36.63904762,532,25.06666667,33.51111111,0.81,0.57,8.625396825,8.444444444
105,9036658A001,0,0,2.857142857,17.14285714,17.14285714,5.714285714,40,17.14285714,0,0,0,2.941176471,11.76470588,23.52941176,11.76470588,29.41176471,11.76470588,8.823529412,0,0,0.084033613,-5.378151261,6.386554622,6.050420168,-10.58823529,-5.378151261,8.823529412,"RACE, TAPERED ROLLER BEARING, INNER",45,（株）ジェイテクト,1,1,1.9,1Y,ｻﾝﾎﾞｯｸｽ＃9Fﾌﾀﾅｼ,0.013,9.79,手配,35,34,1.76,0.975,-0.785,1.130907618,0.629092382,0.685272018,0.289727982,424.8,30.376,39.816,413.4,27.182,36.36866667,0.81,0.57,9.44,9.186666667
106,9036658A002,0,0,0,6.818181818,18.18181818,9.090909091,52.27272727,13.63636364,0,0,0,0,2.5,12.5,10,47.5,20,7.5,0,0,0,-4.318181818,-5.681818182,0.909090909,-4.772727273,6.363636364,7.5,"RACE, TAPERED ROLLER BEARING, OUTER",36,（株）ジェイテクト,1,1,1.9,1Y,ｻﾝﾎﾞｯｸｽ＃9Fﾌﾀﾅｼ,0.013,5.668,手配,44,40,1.77,1.205,-0.565,1.066726094,0.703273906,0.682217614,0.522782386,424.8,38.4,50.2,413.4,34.87583333,46.35916667,0.81,0.59,11.8,11.48333333
107,9036659A009,0,0,0,3.96039604,11.88118812,20.79207921,26.73267327,32.67326733,3.96039604,0,0,2.040816327,8.163265306,20.40816327,20.40816327,15.30612245,22.44897959,11.2244898,0,0,2.040816327,4.202869267,8.526975146,-0.383915943,-11.42655082,-10.22428773,7.264093756,"RACE, TAPERED ROLLER BEARING, INNER",36,（株）ジェイテクト,1,1,1.9,1Y,ｻﾝﾎﾞｯｸｽ＃9Fﾌﾀﾅｼ,0.013,9.88,手配,101,98,1.69,0.92,-0.77,0.922001508,0.767998492,0.630562292,0.289437708,968.2,83.68333333,110.5777778,945.4,78.47027778,104.7313889,0.81,0.59,26.89444444,26.26111111
108,9036659A010,0,0,2,3,11,21,33,26,4,0,0,2.02020202,4.04040404,4.04040404,14.14141414,20.2020202,42.42424242,13.13131313,0,0,0.02020202,1.04040404,-6.95959596,-6.858585859,-12.7979798,16.42424242,9.131313131,"RACE, TAPERED ROLLER BEARING, OUTER",36,（株）ジェイテクト,1,1,1.9,1Y,ｻﾝﾎﾞｯｸｽ＃9Fﾌﾀﾅｼ,0.013,7.144,手配,101,99,1.64,1.31,-0.33,0.922001508,0.717998492,0.630562292,0.679437708,968.2,83.68333333,110.5777778,945.4,78.47027778,104.7313889,0.81,0.59,26.89444444,26.26111111
109,9050827A011,0,16.66666667,16.66666667,33.33333333,0,0,33.33333333,0,0,0,33.33333333,0,0,50,0,0,16.66666667,0,0,16.66666667,-16.66666667,-33.33333333,50,0,-33.33333333,16.66666667,0,"SPRING, TORSION",200,（株）東郷製作所,1,8,11.12,1Y,TP331ﾌﾀﾅｼ,0.012,4.48,手配,6,6,1.92,1.435,-0.485,2.206256078,-0.286256078,1.292320078,0.142679922,424.8,11.2836,11.5491,413.4,9.0613,9.319675,0.78,0.78,0.2655,0.258375
110,9093003179,0,0,0,33.33333333,0,33.33333333,33.33333333,0,0,0,0,50,0,0,0,0,0,50,0,0,50,-33.33333333,0,-33.33333333,-33.33333333,0,50,"PLUG, BREATHER",500,（株）青山製作所,1,6,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,9.18,手配,3,2,3.42,2.765,-0.655,2.295576506,1.124423494,1.197499732,1.567500268,968.2,7.841,8.163733333,945.4,5.727,6.042133333,0.74,0.5,0.322733333,0.315133333
111,9094906A012,4.347826087,13.04347826,8.695652174,17.39130435,21.73913043,13.04347826,21.73913043,0,0,0,10,10,5,30,10,20,15,0,-4.347826087,-3.043478261,1.304347826,-12.39130435,8.260869565,-3.043478261,-1.739130435,15,0,"CLAMP, WIRING",500,中庸スプリング（株）,1,2,2.34,1Y,AW131ﾌﾀﾅｼ,0.006,1.85,手配,24,20,1.395,1.34,-0.055,1.262693526,0.132306474,1.081327677,0.258672323,3329.4,22.64346,25.97286,3249.6,22.17264,25.42224,0.81,0.59,3.3294,3.2496
112,9155180614,0,0,18.18181818,45.45454545,18.18181818,0,18.18181818,0,0,0,30,20,20,10,20,0,0,0,0,30,1.818181818,-25.45454545,-8.181818182,20,-18.18181818,0,0,"BOLT, FLANGE",1500,（株）青山製作所,1,6,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,10.13,手配,11,10,1.44,1.245,-0.195,1.69776174,-0.25776174,1.579055284,-0.334055284,4722.4,11.50032,12.02503111,4608.4,11.29512,11.80716444,0.74,0.54,0.524711111,0.512044444
113,9155180640,0,0,50,0,50,0,0,0,0,0,0,50,0,25,25,0,0,0,0,0,0,0,-25,25,0,0,0,"BOLT, FLANGE",1000,（株）青山製作所,1,6,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,11.53,手配,2,4,2.145,2.1,-0.045,2.295576506,-0.150576506,2.230095504,-0.130095504,1936.4,8.22828,8.551013333,1890.8,8.10516,8.420293333,0.74,0.54,0.322733333,0.315133333
114,9161140614,0,4.761904762,9.523809524,23.80952381,23.80952381,28.57142857,9.523809524,0,0,0,4,20,32,20,16,8,0,0,0,-0.761904762,10.47619048,8.19047619,-3.80952381,-12.57142857,-1.523809524,0,0,"BOLT, W/WASHER",2500,（株）青山製作所,1,6,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,13.08,手配,21,25,1.44,0.89,-0.55,1.226117658,0.213882342,1.048154845,-0.158154845,15491.2,19.110848,20.14359467,15126.4,18.731456,19.73988267,0.74,0.52,1.032746667,1.008426667
115,9167180618,0,14.28571429,0,28.57142857,28.57142857,14.28571429,14.28571429,0,0,12.5,0,12.5,25,12.5,12.5,25,0,0,12.5,-14.28571429,12.5,-3.571428571,-16.07142857,-1.785714286,10.71428571,0,0,"BOLT, FLANGE W/WASHER",1000,（株）青山製作所,1,6,5.76,1Y,TP331ﾌﾀﾅｼ,0.012,9.43,手配,7,8,1.9,1.595,-0.305,1.777051004,0.122948996,1.656730336,-0.061730336,2904.6,10.69719,11.18129,2836.2,10.51593,10.98863,0.74,0.53,0.4841,0.4727
