品番,引当回収,検収入庫,入庫出庫,出庫組立,小計
G1173-62010,0.08,0.34,0.41,0.03,0.86
Y0217-82011,0.08,#N/A,#N/A,0.03,#N/A
35195-10A010,0.09,0.26,0.27,0.03,0.65
35505-ECB010,0.09,0.23,0.27,0.03,0.62
90949-06A012,0.09,0.22,0.27,0.03,0.61
34989-ECB010,0.08,0.37,0.34,0.03,0.82
34989-ECB020,0.08,0.37,0.34,0.03,0.82
34989-ECB030,0.08,0.36,0.34,0.03,0.81
34989-ECC010,0.08,0.34,0.34,0.03,0.79
34989-ECE010,0.08,0.28,0.34,0.03,0.73
34989-ECE020,0.08,0.38,0.34,0.03,0.83
90508-27A011,0.09,0.16,0.24,0.03,0.52
90524-09A003,0.09,0.25,0.24,0.03,0.61
90331-14006,0.08,#N/A,0.3,0.03,#N/A
2030 044 001J,0.09,0.18,0.26,0.03,0.56
90301-06A018,0.09,0.20,0.26,0.03,0.58
90301-11A014,0.09,0.20,0.26,0.03,0.58
90301-15A011,0.09,0.20,0.26,0.03,0.58
90301-17A010,0.09,0.18,0.26,0.05,0.58
90301-19A010,0.09,0.22,0.26,0.03,0.6
90301-19A011,0.09,0.18,0.26,0.03,0.56
90311-50A014,0.09,0.18,0.26,0.03,0.56
90311-50A015,0.09,0.17,0.26,0.03,0.55
G1250-ECB010,0.09,0.17,0.6,0.03,0.89
G1250-ECC010,0.09,0.17,0.6,0.03,0.89
G1250-ECE010,0.09,0.18,0.6,0.03,0.9
90363-24A003,0.09,0.20,0.22,0.02,0.53
90363-24A004,0.09,0.22,0.22,0.02,0.55
90363-24A005,0.09,0.18,0.22,0.02,0.51
35165-ECE010,0.08,0.30,0.23,0.03,0.64
35394-50A010,0.08,0.31,0.3,0.05,0.74
90250-06027,0.08,0.23,0.29,0.03,0.63
90201-50A002,0.08,0.22,0.18,0.05,0.53
90201-56A001,0.08,0.24,0.18,0.05,0.55
90201-56A002,0.08,0.22,0.18,0.05,0.53
82125-ECB010,0.08,0.20,0.28,0.03,0.59
82125-ECE010,0.08,0.20,0.28,0.03,0.59
82824-ECB010,0.08,0.19,0.28,0.03,0.58
82824-ECB020,0.08,0.20,0.28,0.05,0.61
G1144-ECE010,0.08,0.20,0.28,0.03,0.59
35847-ECB010,0.08,0.12,0.29,0.03,0.52
35847-ECB020,0.08,0.11,0.29,0.03,0.51
35847-ECE010,0.08,0.11,0.29,0.03,0.51
35847-ECE020,0.08,0.10,0.29,0.03,0.5
35882-ECB010,0.08,0.11,0.29,0.03,0.51
35441-ECB010,0.08,0.25,0.32,0.03,0.68
35441-TFA010,0.08,0.25,0.32,0.03,0.68
35409-ECB010,0.08,0.23,0.33,0.03,0.67
