品番,加工図符号,設変符号,品名,ステータス,発注区分,整備室,整備室名,手配区分,工程内外製,工程コード,仕入先名/工場名,発送場所,発送場所名,受給区分,後工程内外製,後工程コード,後工程仕入先名/工場名,受入場所,受入場所名,箱種類,収容数,基準在庫日数,基準在庫枚数,サイクル間隔,サイクル回数,サイクル情報,更新,更新者,最終更新日時,マイナス必要数有無,当月必要数,当月稼働日数,翌月必要数,翌月稼働日数,翌々月必要数,翌々月稼働日数,翌々々月必要数,翌々々月稼働日数,1(水),2(木),3(金),4(土),5(日),6(月),7(火),8(水),9(木),10(金),11(土),12(日),13(月),14(火),15(水),16(木),17(金),18(土),19(日),20(月),21(火),22(水),23(木),24(金),25(土),26(日),27(月),28(火),29(水),30(木),31(金),当月計算数,翌月計算数,翌々月計算数,翌々々月計算数,1(水),2(木),3(金),4(土),5(日),6(月),7(火),8(水),9(木),10(金),11(土),12(日),13(月),14(火),15(水),16(木),17(金),18(土),19(日),20(月),21(火),22(水),23(木),24(金),25(土),26(日),27(月),28(火),29(水),30(木),31(金)
90331-06A003,, B,"PLUG, TIGHT",使用中,かんばん,1Y,第１工場,手配,Ｐ,2020,サトープレス工業（株）,01,本社工場,――,Ｍ,01,第１,1Y,安城第１工場,AW-131 ｾﾝﾖｳ,"5,000",0.67,3,1,01,1.78,,,,,"11,879",23.0,"10,556",20.0,"10,701",18.0,"12,540",22.0,533,527,519,0,0,427,433,427,427,421,0,0,535,529,529,517,529,0,0,528,540,528,574,534,0,0,570,570,558,600,524,"11,879","10,556","10,701","12,540",533,527,519,0,0,427,433,427,427,421,0,0,535,529,529,517,529,0,0,528,540,528,574,534,0,0,570,570,558,600,524
90339-04A002,, A,CAP,使用中,かんばん,1Y,第１工場,手配,Ｐ,2020,サトープレス工業（株）,01,本社工場,――,Ｍ,01,第１,1Y,安城第１工場,AW-131 ｾﾝﾖｳ,"1,000",0.61,3,1,01,1.78,,,,,"21,371",23.0,"17,626",20.0,"18,637",18.0,"23,130",22.0,934,933,931,0,0,927,926,926,925,925,0,0,925,925,925,925,925,0,0,925,925,925,989,925,0,0,925,925,925,989,866,"21,371","17,626","18,637","23,130",934,933,931,0,0,927,926,926,925,925,0,0,925,925,925,925,925,0,0,925,925,925,989,925,0,0,925,925,925,989,866
90339-04A003,, A,CAP,使用中,かんばん,1Y,第１工場,手配,Ｐ,2020,サトープレス工業（株）,01,本社工場,――,Ｍ,01,第１,1Y,安城第１工場,AW-131 ｾﾝﾖｳ,"2,000",0.6,3,1,01,1.78,,,,,"18,984",23.0,"14,140",20.0,"15,872",18.0,"21,180",22.0,802,812,824,0,0,"1,000",986,998,996,"1,008",0,0,780,792,792,816,792,0,0,794,770,794,830,782,0,0,710,710,734,778,684,"18,984","14,140","15,872","21,180",802,812,824,0,0,"1,000",986,998,996,"1,008",0,0,780,792,792,816,792,0,0,794,770,794,830,782,0,0,710,710,734,778,684
35145-ECB010,, A,"PLATE, OIL",使用中,かんばん,1Y,第１工場,手配,Ｐ,2036,三共鋼業（株）,01,東浦南工場,――,Ｍ,01,第１,1Y,安城第１工場,AW-131 ｾﾝﾖｳ,100,0.62,3,1,01,1.74,,,,,"9,492",23.0,"7,070",20.0,"7,936",18.0,"10,590",22.0,401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342,"9,492","7,070","7,936","10,590",401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342
35145-ECE010,, A,"PLATE, OIL",使用中,かんばん,1Y,第１工場,手配,Ｐ,2036,三共鋼業（株）,01,東浦南工場,――,Ｍ,01,第１,1Y,安城第１工場,AW-131 ｾﾝﾖｳ,100,0.65,3,1,01,1.74,,,,,"11,879",23.0,"10,556",20.0,"10,701",18.0,"12,540",22.0,533,527,519,0,0,427,433,427,427,421,0,0,535,529,529,517,529,0,0,528,540,528,574,534,0,0,570,570,558,600,524,"11,879","10,556","10,701","12,540",533,527,519,0,0,427,433,427,427,421,0,0,535,529,529,517,529,0,0,528,540,528,574,534,0,0,570,570,558,600,524
35195-ECE010,,,"CLAMP, TUBE",使用中,かんばん,1Y,第１工場,手配,Ｐ,2036,三共鋼業（株）,01,東浦南工場,――,Ｍ,01,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,400,0.62,3,1,01,1.74,,,,,"23,758",23.0,"21,112",20.0,"21,402",18.0,"25,080",22.0,"1,066","1,054","1,038",0,0,854,866,854,854,842,0,0,"1,070","1,058","1,058","1,034","1,058",0,0,"1,056","1,080","1,056","1,148","1,068",0,0,"1,140","1,140","1,116","1,200","1,048","23,758","21,112","21,402","25,080","1,066","1,054","1,038",0,0,854,866,854,854,842,0,0,"1,070","1,058","1,058","1,034","1,058",0,0,"1,056","1,080","1,056","1,148","1,068",0,0,"1,140","1,140","1,116","1,200","1,048"
35195-TFG010,, A,"CLAMP, TRANSAXLE APPLY TUBE, NO.1",使用中,かんばん,1Y,第１工場,手配,Ｐ,2036,三共鋼業（株）,01,東浦南工場,――,Ｍ,01,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,400,0.62,3,1,01,1.74,,,,,"23,758",23.0,"21,112",20.0,"21,402",18.0,"25,080",22.0,"1,066","1,054","1,038",0,0,854,866,854,854,842,0,0,"1,070","1,058","1,058","1,034","1,058",0,0,"1,056","1,080","1,056","1,148","1,068",0,0,"1,140","1,140","1,116","1,200","1,048","23,758","21,112","21,402","25,080","1,066","1,054","1,038",0,0,854,866,854,854,842,0,0,"1,070","1,058","1,058","1,034","1,058",0,0,"1,056","1,080","1,056","1,148","1,068",0,0,"1,140","1,140","1,116","1,200","1,048"
35771-ECB010,, C,"SHAFT, OUTPUT",使用中,かんばん,1Y,第１工場,手配,Ｐ,2038,アイシン機工（株）,06,吉良工場,――,Ｍ,01,第１,1Y,安城第１工場,TP-341 ﾊﾝﾖｳ,4,0.78,3,1,06,4.92,,,,,"9,492",23.0,"7,070",20.0,"7,936",18.0,"10,590",22.0,401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342,"9,492","7,070","7,936","10,590",401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342
35771-ECE010,, D,"SHAFT, OUTPUT",使用中,かんばん,1Y,第１工場,手配,Ｐ,2038,アイシン機工（株）,06,吉良工場,――,Ｍ,01,第１,1Y,安城第１工場,TP-341 ﾊﾝﾖｳ,6,0.78,3,1,06,4.92,,,,,"11,879",23.0,"10,556",20.0,"10,701",18.0,"12,540",22.0,533,527,519,0,0,427,433,427,427,421,0,0,535,529,529,517,529,0,0,528,540,528,574,534,0,0,570,570,558,600,524,"11,879","10,556","10,701","12,540",533,527,519,0,0,427,433,427,427,421,0,0,535,529,529,517,529,0,0,528,540,528,574,534,0,0,570,570,558,600,524
35141-ECB010,, D,"CASE, TRANSAXLE",使用中,かんばん,1Y,第１工場,手配,Ｐ,2041,（株）アイシン福井,01,本社工場,――,Ｍ,01,第１,1Y,安城第１工場,Aﾊﾟﾚ ﾊﾝﾖｳ,16,0.62,3,1,24,19.68,,,,,"9,492",23.0,"7,070",20.0,"7,936",18.0,"10,590",22.0,401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342,"9,492","7,070","7,936","10,590",401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342
35141-ECE010,, B,"CASE, TRANSAXLE",使用中,かんばん,1Y,第１工場,手配,Ｐ,2041,（株）アイシン福井,01,本社工場,――,Ｍ,01,第１,1Y,安城第１工場,Aﾊﾟﾚ ﾊﾝﾖｳ,20,0.63,3,1,24,19.68,,,,,"11,879",23.0,"10,556",20.0,"10,701",18.0,"12,540",22.0,533,527,519,0,0,427,433,427,427,421,0,0,535,529,529,517,529,0,0,528,540,528,574,534,0,0,570,570,558,600,524,"11,879","10,556","10,701","12,540",533,527,519,0,0,427,433,427,427,421,0,0,535,529,529,517,529,0,0,528,540,528,574,534,0,0,570,570,558,600,524
39171-ECB010,, B,"COVER, MOTOR HOUSING",使用中,かんばん,1Y,第１工場,手配,Ｐ,2041,（株）アイシン福井,01,本社工場,――,Ｍ,01,第１,1Y,安城第１工場,Aﾊﾟﾚ ﾊﾝﾖｳ,16,0.62,3,1,24,19.68,,,,,"9,492",23.0,"7,070",20.0,"7,936",18.0,"10,590",22.0,401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342,"9,492","7,070","7,936","10,590",401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342
39171-ECE010,, A,"COVER, MOTOR HOUSING",使用中,かんばん,1Y,第１工場,手配,Ｐ,2041,（株）アイシン福井,01,本社工場,――,Ｍ,01,第１,1Y,安城第１工場,Aﾊﾟﾚ ﾊﾝﾖｳ,20,0.63,3,1,24,19.68,,,,,"11,879",23.0,"10,556",20.0,"10,701",18.0,"12,540",22.0,533,527,519,0,0,427,433,427,427,421,0,0,535,529,529,517,529,0,0,528,540,528,574,534,0,0,570,570,558,600,524,"11,879","10,556","10,701","12,540",533,527,519,0,0,427,433,427,427,421,0,0,535,529,529,517,529,0,0,528,540,528,574,534,0,0,570,570,558,600,524
01912-ECB060,,,"CAP, SHIPPING",使用中,かんばん,1Y,第１工場,手配,Ｐ,2242,新光ゴム工業（株）,01,本社,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,400,0.78,3,1,01,3.25,,,,,"9,492",23.0,"7,070",20.0,"7,936",18.0,"10,590",22.0,401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342,"9,492","7,070","7,936","10,590",401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342
2030 052 002N,, A,"PLUG, W/HEAD STRAIGHT SCREW",使用中,かんばん,1Y,第１工場,手配,Ｐ,2408,（株）杉浦製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,300,0.5,3,1,02,1.06,,,,,"21,371",23.0,"17,626",20.0,"18,637",18.0,"23,130",22.0,934,933,931,0,0,927,926,926,925,925,0,0,925,925,925,925,925,0,0,925,925,925,989,925,0,0,925,925,925,989,866,"21,371","17,626","18,637","23,130",934,933,931,0,0,927,926,926,925,925,0,0,925,925,925,925,925,0,0,925,925,925,989,925,0,0,925,925,925,989,866
90116-06048,, G,"BOLT, STUD",使用中,かんばん,1Y,第１工場,手配,Ｐ,2408,（株）杉浦製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"3,000",0.61,3,1,02,1.06,,,,,"18,167",23.0,"16,313",20.0,"16,770",18.0,"19,748",22.0,822,810,795,0,0,739,751,739,745,727,0,0,805,811,799,787,787,0,0,750,780,762,854,774,0,0,821,821,804,900,784,"18,167","16,313","16,770","19,748",822,810,795,0,0,739,751,739,745,727,0,0,805,811,799,787,787,0,0,750,780,762,854,774,0,0,821,821,804,900,784
90341-08A006,,,"PLUG, W/HEAD STRAIGHT SCREW",使用中,かんばん,1Y,第１工場,手配,Ｐ,2408,（株）杉浦製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,000",0.53,3,1,02,1.06,,,,,"94,976",23.0,"77,574",20.0,"82,484",18.0,"103,110",22.0,"4,137","4,138","4,136",0,0,"4,208","4,197","4,203","4,198","4,204",0,0,"4,090","4,096","4,096","4,108","4,096",0,0,"4,097","4,085","4,097","4,371","4,091",0,0,"4,055","4,055","4,067","4,345","3,806","94,976","77,574","82,484","103,110","4,137","4,138","4,136",0,0,"4,208","4,197","4,203","4,198","4,204",0,0,"4,090","4,096","4,096","4,108","4,096",0,0,"4,097","4,085","4,097","4,371","4,091",0,0,"4,055","4,055","4,067","4,345","3,806"
90341-08A010,,,"PLUG, W/HEAD STRAIGHT SCREW",使用中,かんばん,1Y,第１工場,手配,Ｐ,2408,（株）杉浦製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,000",0.47,3,1,02,1.06,,,,,"18,984",23.0,"14,140",20.0,"15,872",18.0,"21,180",22.0,802,812,824,0,0,"1,000",986,998,996,"1,008",0,0,780,792,792,816,792,0,0,794,770,794,830,782,0,0,710,710,734,778,684,"18,984","14,140","15,872","21,180",802,812,824,0,0,"1,000",986,998,996,"1,008",0,0,780,792,792,816,792,0,0,794,770,794,830,782,0,0,710,710,734,778,684
90341-18090,,,"PLUG, W/HEAD STRAIGHT SCREW",使用中,かんばん,1Y,第１工場,手配,Ｐ,2408,（株）杉浦製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,300,0.54,3,1,02,1.06,,,,,"21,371",23.0,"17,626",20.0,"18,637",18.0,"23,130",22.0,934,933,931,0,0,927,926,926,925,925,0,0,925,925,925,925,925,0,0,925,925,925,989,925,0,0,925,925,925,989,866,"21,371","17,626","18,637","23,130",934,933,931,0,0,927,926,926,925,925,0,0,925,925,925,925,925,0,0,925,925,925,989,925,0,0,925,925,925,989,866
35598-50A010,, A,"PIN SUB-ASSY, PARKING LOCK",使用中,かんばん,1Y,第１工場,手配,Ｐ,2411,アイコー（株）,01,,――,Ｍ,01,第１,1Y,安城第１工場,AW-131 ｾﾝﾖｳ,100,0.9,3,1,02,3.92,,,,,"9,492",23.0,"7,070",20.0,"7,936",18.0,"10,590",22.0,401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342,"9,492","7,070","7,936","10,590",401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342
90341-18060,, C,"PLUG, W/HEAD STRAIGHT SCREW",使用中,かんばん,1Y,第１工場,手配,Ｐ,2502,住友商事（株）鉄鋼部輸送機材,01,鉄鋼部輸送機材,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,300,0.74,3,1,01,3,,,,,"11,879",23.0,"10,556",20.0,"10,701",18.0,"12,540",22.0,533,527,519,0,0,427,433,427,427,421,0,0,535,529,529,517,529,0,0,528,540,528,574,534,0,0,570,570,558,600,524,"11,879","10,556","10,701","12,540",533,527,519,0,0,427,433,427,427,421,0,0,535,529,529,517,529,0,0,528,540,528,574,534,0,0,570,570,558,600,524
G1174-ECB010,, A,"WIRE, MOTOR REVOLUTION SENSOR",使用中,かんばん,1Y,第１工場,手配,Ｐ,2506,住友電装（株）,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-362 ﾊﾝﾖｳ,50,0.85,3,1,01,2.28,,,,,"9,492",23.0,"7,070",20.0,"7,936",18.0,"10,590",22.0,401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342,"9,492","7,070","7,936","10,590",401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342
G1174-ECE010,, A,"WIRE, MOTOR REVOLUTION SENSOR",使用中,かんばん,1Y,第１工場,手配,Ｐ,2506,住友電装（株）,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-362 ﾊﾝﾖｳ,50,0.87,3,1,01,2.28,,,,,"11,879",23.0,"10,556",20.0,"10,701",18.0,"12,540",22.0,533,527,519,0,0,427,433,427,427,421,0,0,535,529,529,517,529,0,0,528,540,528,574,534,0,0,570,570,558,600,524,"11,879","10,556","10,701","12,540",533,527,519,0,0,427,433,427,427,421,0,0,535,529,529,517,529,0,0,528,540,528,574,534,0,0,570,570,558,600,524
82824-ECE010,,,"CONNECTOR, WIRING HARNESS",使用中,かんばん,1Y,第１工場,手配,Ｐ,2506,住友電装（株）,04,四日市物流センター,――,Ｍ,01,第１,1Y,安城第１工場,TP-332 ﾊﾝﾖｳ,45,0.36,3,1,01,3.25,,,,,"11,879",23.0,"10,556",20.0,"10,701",18.0,"12,540",22.0,533,527,519,0,0,427,433,427,427,421,0,0,535,529,529,517,529,0,0,528,540,528,574,534,0,0,570,570,558,600,524,"11,879","10,556","10,701","12,540",533,527,519,0,0,427,433,427,427,421,0,0,535,529,529,517,529,0,0,528,540,528,574,534,0,0,570,570,558,600,524
G1144-ECB010,, A,"TERMINAL, MOTOR CABLE",使用中,かんばん,1Y,第１工場,手配,Ｐ,2508,住友電気工業（株）,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,6,0.63,3,1,01,2.28,,,,,"9,492",23.0,"7,070",20.0,"7,936",18.0,"10,590",22.0,401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342,"9,492","7,070","7,936","10,590",401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342
G1173-62010,,,"SENSOR, MOTOR REVOLUTION",使用中,かんばん,1Y,第１工場,手配,Ｐ,3102,多摩川精機販売（株）,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331-5 ﾊﾝﾖｳ,18,0.85,3,1,01,3.05,,,,,"21,371",23.0,"17,626",20.0,"18,637",18.0,"23,130",22.0,934,933,931,0,0,927,926,926,925,925,0,0,925,925,925,925,925,0,0,925,925,925,989,925,0,0,925,925,925,989,866,"21,371","17,626","18,637","23,130",934,933,931,0,0,927,926,926,925,925,0,0,925,925,925,925,925,0,0,925,925,925,989,925,0,0,925,925,925,989,866
Y0217-82011,,,"CAP, SHIPPING",使用中,かんばん,1Y,第１工場,手配,Ｐ,3227,（株）チューゲン,01,本社工場,――,Ｍ,01,第１,1Y,安城第１工場,TP-332 ﾊﾝﾖｳ,400,0.54,3,1,01,2.19,,,,,"9,492",23.0,"7,070",20.0,"7,936",18.0,"10,590",22.0,401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342,"9,492","7,070","7,936","10,590",401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342
35195-10A010,, A,"CLAMP, TRANSAXLE APPLY TUBE, NO.1",使用中,かんばん,1Y,第１工場,手配,Ｐ,3236,中庸スプリング（株）,01,,――,Ｍ,01,第１,1Y,安城第１工場,AW-131 ｾﾝﾖｳ,600,0.63,3,1,02,2.34,,,,,"9,492",23.0,"7,070",20.0,"7,936",18.0,"10,590",22.0,401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342,"9,492","7,070","7,936","10,590",401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342
35505-ECB010,,,"LEVER SUB-ASSY, PARKING LOCK",使用中,かんばん,1Y,第１工場,手配,Ｐ,3236,中庸スプリング（株）,01,,――,Ｍ,01,第１,1Y,安城第１工場,AW-131 ｾﾝﾖｳ,24,0.81,3,1,02,2.34,,,,,"9,492",23.0,"7,070",20.0,"7,936",18.0,"10,590",22.0,401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342,"9,492","7,070","7,936","10,590",401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342
90949-06A012,,,"CLAMP, WIRING",使用中,かんばん,1Y,第１工場,手配,Ｐ,3236,中庸スプリング（株）,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,500,0.59,3,1,02,2.34,,,,,"73,605",23.0,"59,948",20.0,"63,847",18.0,"79,980",22.0,"3,203","3,205","3,205",0,0,"3,281","3,271","3,277","3,273","3,279",0,0,"3,165","3,171","3,171","3,183","3,171",0,0,"3,172","3,160","3,172","3,382","3,166",0,0,"3,130","3,130","3,142","3,356","2,940","73,605","59,948","63,847","79,980","3,203","3,205","3,205",0,0,"3,281","3,271","3,277","3,273","3,279",0,0,"3,165","3,171","3,171","3,183","3,171",0,0,"3,172","3,160","3,172","3,382","3,166",0,0,"3,130","3,130","3,142","3,356","2,940"
34989-ECB010,,,LABEL,使用中,かんばん,1Y,第１工場,手配,Ｐ,3407,（株）槌屋,01,知立工場,――,Ｍ,01,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,500,0.81,3,1,01,2.33,,,,,"6,103",23.0,"3,851",20.0,"4,042",18.0,"6,056",22.0,261,261,267,0,0,331,331,331,330,336,0,0,252,252,252,264,258,0,0,247,241,253,259,253,0,0,229,223,229,239,204,"6,103","3,851","4,042","6,056",261,261,267,0,0,331,331,331,330,336,0,0,252,252,252,264,258,0,0,247,241,253,259,253,0,0,229,223,229,239,204
34989-ECB020,, A,LABEL,使用中,かんばん,1Y,第１工場,手配,Ｐ,3407,（株）槌屋,01,知立工場,――,Ｍ,01,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,500,0.81,3,1,01,2.33,,,,,"21,367",23.0,"17,624",20.0,"18,635",18.0,"23,130",22.0,932,932,930,0,0,927,926,926,925,925,0,0,925,925,925,925,925,0,0,925,925,925,989,925,0,0,925,925,925,989,866,"21,367","17,624","18,635","23,130",932,932,930,0,0,927,926,926,925,925,0,0,925,925,925,925,925,0,0,925,925,925,989,925,0,0,925,925,925,989,866
34989-ECB030,, A,LABEL,使用中,かんばん,1Y,第１工場,手配,Ｐ,3407,（株）槌屋,01,知立工場,――,Ｍ,01,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,"1,000",0.8,3,1,01,2.33,,,,,"21,367",23.0,"17,624",20.0,"18,635",18.0,"23,130",22.0,932,932,930,0,0,927,926,926,925,925,0,0,925,925,925,925,925,0,0,925,925,925,989,925,0,0,925,925,925,989,866,"21,367","17,624","18,635","23,130",932,932,930,0,0,927,926,926,925,925,0,0,925,925,925,925,925,0,0,925,925,925,989,925,0,0,925,925,925,989,866
34989-ECC010,,,LABEL,使用中,かんばん,1Y,第１工場,手配,Ｐ,3407,（株）槌屋,01,知立工場,――,Ｍ,01,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,500,0.78,3,1,01,2.33,,,,,"3,388",23.0,"3,218",20.0,"3,893",18.0,"4,534",22.0,139,145,145,0,0,169,162,168,168,168,0,0,138,144,144,144,138,0,0,150,144,144,156,138,0,0,126,132,138,150,138,"3,388","3,218","3,893","4,534",139,145,145,0,0,169,162,168,168,168,0,0,138,144,144,144,138,0,0,150,144,144,156,138,0,0,126,132,138,150,138
34989-ECE010,,,LABEL,使用中,かんばん,1Y,第１工場,手配,Ｐ,3407,（株）槌屋,01,知立工場,――,Ｍ,01,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,500,0.72,3,1,01,2.33,,,,,"3,449",23.0,"3,325",20.0,"4,001",18.0,"4,655",22.0,151,145,144,0,0,174,180,174,180,174,0,0,144,150,144,144,138,0,0,126,132,132,160,132,0,0,143,137,137,162,146,"3,449","3,325","4,001","4,655",151,145,144,0,0,174,180,174,180,174,0,0,144,150,144,144,138,0,0,126,132,132,160,132,0,0,143,137,137,162,146
34989-ECE020,, A,LABEL,使用中,かんばん,1Y,第１工場,手配,Ｐ,3407,（株）槌屋,01,知立工場,――,Ｍ,01,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,500,0.82,3,1,01,2.33,,,,,"5,562",23.0,"4,776",20.0,"4,600",18.0,"5,297",22.0,242,242,241,0,0,115,115,115,109,115,0,0,265,247,259,247,271,0,0,300,300,294,294,294,0,0,313,313,307,300,264,"5,562","4,776","4,600","5,297",242,242,241,0,0,115,115,115,109,115,0,0,265,247,259,247,271,0,0,300,300,294,294,294,0,0,313,313,307,300,264
34989-ECE030,,,LABEL,使用中,かんばん,1Y,第１工場,手配,Ｐ,3407,（株）槌屋,01,知立工場,――,Ｍ,01,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,500,0.8,3,1,01,2.33,,,,,"2,865",23.0,"2,454",20.0,"2,099",18.0,"2,588",22.0,139,139,133,0,0,138,138,138,138,132,0,0,126,132,126,126,120,0,0,102,108,102,120,108,0,0,114,120,114,138,114,"2,865","2,454","2,099","2,588",139,139,133,0,0,138,138,138,138,132,0,0,126,132,126,126,120,0,0,102,108,102,120,108,0,0,114,120,114,138,114
90508-27A011,,,"SPRING, TORSION",使用中,かんばん,1Y,第１工場,手配,Ｐ,3836,（株）東郷製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,200,0.78,3,1,08,11.12,,,,,"9,492",23.0,"7,070",20.0,"7,936",18.0,"10,590",22.0,401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342,"9,492","7,070","7,936","10,590",401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342
90524-09A003,,,"SPRING, RETAINER",使用中,かんばん,1Y,第１工場,手配,Ｐ,3836,（株）東郷製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,500,0.78,3,1,08,11.12,,,,,"9,492",23.0,"7,070",20.0,"7,936",18.0,"10,590",22.0,401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342,"9,492","7,070","7,936","10,590",401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342
90331-14006,, A,"PLUG, TIGHT",使用中,かんばん,1Y,第１工場,手配,Ｐ,4125,ナミコー（株）,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"2,000",0.94,3,1,01,3.25,,,,,"5,562",23.0,"4,776",20.0,"4,600",18.0,"5,297",22.0,242,242,241,0,0,115,115,115,109,115,0,0,265,247,259,247,271,0,0,300,300,294,294,294,0,0,313,313,307,300,264,"5,562","4,776","4,600","5,297",242,242,241,0,0,115,115,115,109,115,0,0,265,247,259,247,271,0,0,300,300,294,294,294,0,0,313,313,307,300,264
2030 044 001J,, E,"SEAL, TYPE T OIL",使用中,かんばん,1Y,第１工場,手配,Ｐ,4241,ＮＯＫ（株）,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,400,0.54,3,1,02,3.52,,,,,"9,492",23.0,"7,070",20.0,"7,936",18.0,"10,590",22.0,401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342,"9,492","7,070","7,936","10,590",401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342
