品番,加工図符号,設変符号,品名,ステータス,発注区分,整備室,整備室名,手配区分,工程内外製,工程コード,仕入先名/工場名,発送場所,発送場所名,受給区分,後工程内外製,後工程コード,後工程仕入先名/工場名,受入場所,受入場所名,箱種類,収容数,基準在庫日数,基準在庫枚数,サイクル間隔,サイクル回数,サイクル情報,更新,更新者,最終更新日時,マイナス必要数有無,当月必要数,当月稼働日数,翌月必要数,翌月稼働日数,翌々月必要数,翌々月稼働日数,翌々々月必要数,翌々々月稼働日数,1(水),2(木),3(金),4(土),5(日),6(月),7(火),8(水),9(木),10(金),11(土),12(日),13(月),14(火),15(水),16(木),17(金),18(土),19(日),20(月),21(火),22(水),23(木),24(金),25(土),26(日),27(月),28(火),29(水),30(木),31(金),当月計算数,翌月計算数,翌々月計算数,翌々々月計算数,1(水),2(木),3(金),4(土),5(日),6(月),7(火),8(水),9(木),10(金),11(土),12(日),13(月),14(火),15(水),16(木),17(金),18(土),19(日),20(月),21(火),22(水),23(木),24(金),25(土),26(日),27(月),28(火),29(水),30(木),31(金)
90119-06908,, A,"BOLT, W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"2,000",0.54,3,1,06,5.76,,,,,"30,863",23.0,"24,696",20.0,"26,573",18.0,"33,720",22.0,"1,335","1,339","1,343",0,0,"1,427","1,419","1,425","1,423","1,429",0,0,"1,315","1,321","1,321","1,333","1,321",0,0,"1,322","1,310","1,322","1,404","1,316",0,0,"1,280","1,280","1,292","1,378","1,208","30,863","24,696","26,573","33,720","1,335","1,339","1,343",0,0,"1,427","1,419","1,425","1,423","1,429",0,0,"1,315","1,321","1,321","1,333","1,321",0,0,"1,322","1,310","1,322","1,404","1,316",0,0,"1,280","1,280","1,292","1,378","1,208"
90119-06A065,,,"BOLT, FLANGE W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,000",0.53,3,1,06,5.76,,,,,"64,113",23.0,"52,878",20.0,"55,911",18.0,"69,390",22.0,"2,802","2,799","2,793",0,0,"2,781","2,778","2,778","2,775","2,775",0,0,"2,775","2,775","2,775","2,775","2,775",0,0,"2,775","2,775","2,775","2,967","2,775",0,0,"2,775","2,775","2,775","2,967","2,598","64,113","52,878","55,911","69,390","2,802","2,799","2,793",0,0,"2,781","2,778","2,778","2,775","2,775",0,0,"2,775","2,775","2,775","2,775","2,775",0,0,"2,775","2,775","2,775","2,967","2,775",0,0,"2,775","2,775","2,775","2,967","2,598"
90148-60027,, B,"SCREW, HEX LOBULAR",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"2,000",0.56,3,1,06,5.76,,,,,"9,492",23.0,"7,070",20.0,"7,936",18.0,"10,590",22.0,401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342,"9,492","7,070","7,936","10,590",401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342
90149-08A008,, B,SCREW,使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,800,0.52,3,1,06,5.76,,,,,"64,113",23.0,"52,878",20.0,"55,911",18.0,"69,390",22.0,"2,802","2,799","2,793",0,0,"2,781","2,778","2,778","2,775","2,775",0,0,"2,775","2,775","2,775","2,775","2,775",0,0,"2,775","2,775","2,775","2,967","2,775",0,0,"2,775","2,775","2,775","2,967","2,598","64,113","52,878","55,911","69,390","2,802","2,799","2,793",0,0,"2,781","2,778","2,778","2,775","2,775",0,0,"2,775","2,775","2,775","2,775","2,775",0,0,"2,775","2,775","2,775","2,967","2,775",0,0,"2,775","2,775","2,775","2,967","2,598"
90159-05A007,,,"SCREW, W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"2,000",0.53,3,1,06,5.76,,,,,"128,184",23.0,"105,738",20.0,"111,804",18.0,"138,780",22.0,"5,586","5,586","5,574",0,0,"5,562","5,556","5,556","5,550","5,550",0,0,"5,550","5,550","5,550","5,550","5,550",0,0,"5,550","5,550","5,550","5,934","5,550",0,0,"5,550","5,550","5,550","5,934","5,196","128,184","105,738","111,804","138,780","5,586","5,586","5,574",0,0,"5,562","5,556","5,556","5,550","5,550",0,0,"5,550","5,550","5,550","5,550","5,550",0,0,"5,550","5,550","5,550","5,934","5,550",0,0,"5,550","5,550","5,550","5,934","5,196"
90159-06A021,,,"SCREW, W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,200",0.52,3,1,06,5.76,,,,,"180,400",23.0,"148,052",20.0,"157,006",18.0,"195,630",22.0,"7,847","7,853","7,843",0,0,"7,916","7,901","7,907","7,898","7,904",0,0,"7,790","7,796","7,796","7,808","7,796",0,0,"7,797","7,785","7,797","8,327","7,791",0,0,"7,755","7,755","7,767","8,301","7,270","180,400","148,052","157,006","195,630","7,847","7,853","7,843",0,0,"7,916","7,901","7,907","7,898","7,904",0,0,"7,790","7,796","7,796","7,808","7,796",0,0,"7,797","7,785","7,797","8,327","7,791",0,0,"7,755","7,755","7,767","8,301","7,270"
90159-06A022,,,"SCREW, W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,500",0.51,3,1,06,5.76,,,,,"320,505",23.0,"264,360",20.0,"279,525",18.0,"346,950",22.0,"13,980","13,980","13,950",0,0,"13,905","13,890","13,890","13,875","13,875",0,0,"13,875","13,875","13,875","13,875","13,875",0,0,"13,875","13,875","13,875","14,835","13,875",0,0,"13,875","13,875","13,875","14,835","12,990","320,505","264,360","279,525","346,950","13,980","13,980","13,950",0,0,"13,905","13,890","13,890","13,875","13,875",0,0,"13,875","13,875","13,875","13,875","13,875",0,0,"13,875","13,875","13,875","14,835","13,875",0,0,"13,875","13,875","13,875","14,835","12,990"
90159-06A023,, A,"SCREW, W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,300",0.52,3,1,06,5.76,,,,,"64,092",23.0,"52,869",20.0,"55,902",18.0,"69,390",22.0,"2,793","2,793","2,787",0,0,"2,781","2,778","2,778","2,775","2,775",0,0,"2,775","2,775","2,775","2,775","2,775",0,0,"2,775","2,775","2,775","2,967","2,775",0,0,"2,775","2,775","2,775","2,967","2,598","64,092","52,869","55,902","69,390","2,793","2,793","2,787",0,0,"2,781","2,778","2,778","2,775","2,775",0,0,"2,775","2,775","2,775","2,775","2,775",0,0,"2,775","2,775","2,775","2,967","2,775",0,0,"2,775","2,775","2,775","2,967","2,598"
90341-14A004,,,"PLUG, W/HEAD STRAIGHT SCREW",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,500,0.5,3,1,06,5.76,,,,,"9,492",23.0,"7,070",20.0,"7,936",18.0,"10,590",22.0,401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342,"9,492","7,070","7,936","10,590",401,406,412,0,0,500,493,499,498,504,0,0,390,396,396,408,396,0,0,397,385,397,415,391,0,0,355,355,367,389,342
90341-18A024,,,"PLUG, W/HEAD STRAIGHT SCREW",使用中,かんばん,1Y,第１工場,手配,Ｐ,0024,（株）青山製作所,01,,――,Ｍ,01,第１,1Y,安城第１工場,TP-131 ﾊﾝﾖｳ,200,0.52,3,1,06,5.76,,,,,"11,879",23.0,"10,556",20.0,"10,701",18.0,"12,540",22.0,533,527,519,0,0,427,433,427,427,421,0,0,535,529,529,517,529,0,0,528,540,528,574,534,0,0,570,570,558,600,524,"11,879","10,556","10,701","12,540",533,527,519,0,0,427,433,427,427,421,0,0,535,529,529,517,529,0,0,528,540,528,574,534,0,0,570,570,558,600,524
