品番,加工図符号,設変符号,品名,ステータス,発注区分,整備室,整備室名,手配区分,工程内外製,工程コード,仕入先名/工場名,発送場所,発送場所名,受給区分,後工程内外製,後工程コード,後工程仕入先名/工場名,受入場所,受入場所名,箱種類,収容数,基準在庫日数,基準在庫枚数,サイクル間隔,サイクル回数,サイクル情報,更新,更新者,最終更新日時,マイナス必要数有無,当月必要数,当月稼働日数,翌月必要数,翌月稼働日数,翌々月必要数,翌々月稼働日数,翌々々月必要数,翌々々月稼働日数,1(金),2(土),3(日),4(月),5(火),6(水),7(木),8(金),9(土),10(日),11(月),12(火),13(水),14(木),15(金),16(土),17(日),18(月),19(火),20(水),21(木),22(金),23(土),24(日),25(月),26(火),27(水),28(木),29(金),30(土),,当月計算数,翌月計算数,翌々月計算数,翌々々月計算数,1(金),2(土),3(日),4(月),5(火),6(水),7(木),8(金),9(土),10(日),11(月),12(火),13(水),14(木),15(金),16(土),17(日),18(月),19(火),20(水),21(木),22(金),23(土),24(日),25(月),26(火),27(水),28(木),29(金),30(土)
90105-12A018,9010512A018,,"BOLT, FLANGE",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,200,0.74,3,1,6,5.76,,,65.3,13060,"256,448",21,"252,156",22,"289,660",22,0,20,"12,132",0,0,"12,996","12,984","13,020","12,984","13,008",0,0,"11,672","13,032","11,684","13,060","11,688",0,0,"12,072","12,060","12,064","12,036","11,220",0,0,"12,060","12,060","11,284","12,052","11,280",0,,"256,448","252,156","289,660",0,"12,132",0,0,"12,996","12,984","13,020","12,984","13,008",0,0,"11,672","13,032","11,684","13,060","11,688",0,0,"12,072","12,060","12,064","12,036","11,220",0,0,"12,060","12,060","11,284","12,052","11,280",0
90119-06908,9011906908, A,"BOLT, W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"2,000",0.54,3,1,6,5.76,,,0.6855,1371,"26,836",21,"25,955",22,"30,343",22,0,20,"1,273",0,0,"1,357","1,356","1,363","1,356","1,362",0,0,"1,228","1,368","1,229","1,371","1,230",0,0,"1,262","1,261","1,258","1,255","1,175",0,0,"1,261","1,261","1,177","1,257","1,176",0,,"26,836","25,955","30,343",0,"1,273",0,0,"1,357","1,356","1,363","1,356","1,362",0,0,"1,228","1,368","1,229","1,371","1,230",0,0,"1,262","1,261","1,258","1,255","1,175",0,0,"1,261","1,261","1,177","1,257","1,176",0
90119-06A065,9011906A065,,"BOLT, FLANGE W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,000",0.53,1,1,6,5.76,,,2.841,2841,"55,914",21,"55,626",22,"63,108",22,0,20,"2,640",0,0,"2,838","2,835","2,838","2,835","2,835",0,0,"2,535","2,835","2,538","2,841","2,538",0,0,"2,634","2,631","2,637","2,631","2,445",0,0,"2,631","2,631","2,466","2,634","2,466",0,,"55,914","55,626","63,108",0,"2,640",0,0,"2,838","2,835","2,838","2,835","2,835",0,0,"2,535","2,835","2,538","2,841","2,538",0,0,"2,634","2,631","2,637","2,631","2,445",0,0,"2,631","2,631","2,466","2,634","2,466",0
90148-60027,9014860027, B,"SCREW, HEX LOBULAR",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"2,000",0.56,1,1,6,5.76,,,0.212,424,"8,198",21,"7,413",22,"9,307",22,0,20,393,0,0,411,411,417,411,417,0,0,383,423,383,424,384,0,0,384,384,379,378,360,0,0,384,384,355,379,354,0,,"8,198","7,413","9,307",0,393,0,0,411,411,417,411,417,0,0,383,423,383,424,384,0,0,384,384,379,378,360,0,0,384,384,355,379,354,0
90149-08A008,9014908A008, B,SCREW,使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,800,0.52,1,1,6,5.76,,,3.55125,2841,"55,914",21,"55,626",22,"63,234",22,0,20,"2,640",0,0,"2,838","2,835","2,838","2,835","2,835",0,0,"2,535","2,835","2,538","2,841","2,538",0,0,"2,634","2,631","2,637","2,631","2,445",0,0,"2,631","2,631","2,466","2,634","2,466",0,,"55,914","55,626","63,234",0,"2,640",0,0,"2,838","2,835","2,838","2,835","2,835",0,0,"2,535","2,835","2,538","2,841","2,538",0,0,"2,634","2,631","2,637","2,631","2,445",0,0,"2,631","2,631","2,466","2,634","2,466",0
90159-05A007,9015905A007,,"SCREW, W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"2,000",0.53,3,1,6,5.76,,,2.838,5676,"111,804",21,"111,228",22,"126,444",22,0,20,"5,280",0,0,"5,676","5,670","5,676","5,670","5,670",0,0,"5,070","5,670","5,070","5,676","5,070",0,0,"5,262","5,262","5,274","5,262","4,890",0,0,"5,262","5,262","4,932","5,268","4,932",0,,"111,804","111,228","126,444",0,"5,280",0,0,"5,676","5,670","5,676","5,670","5,670",0,0,"5,070","5,670","5,070","5,676","5,070",0,0,"5,262","5,262","5,274","5,262","4,890",0,0,"5,262","5,262","4,932","5,268","4,932",0
90159-06A017,9015906A017,,"SCREW, W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,000",0.53,3,1,6,5.76,,,0,0,0,21,0,22,126,22,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90159-06A021,9015906A021,,"SCREW, W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,200",0.52,3,1,6,5.76,,,6.659166667,7991,"157,268",21,"155,715",22,"177,897",22,0,20,"7,433",0,0,"7,979","7,971","7,985","7,971","7,977",0,0,"7,143","7,983","7,143","7,991","7,143",0,0,"7,400","7,400","7,411","7,394","6,880",0,0,"7,400","7,400","6,931","7,403","6,930",0,,"157,268","155,715","177,897",0,"7,433",0,0,"7,979","7,971","7,985","7,971","7,977",0,0,"7,143","7,983","7,143","7,991","7,143",0,0,"7,400","7,400","7,411","7,394","6,880",0,0,"7,400","7,400","6,931","7,403","6,930",0
90159-06A022,9015906A022,,"SCREW, W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,500",0.51,3,1,6,5.76,,,9.46,14190,"279,540",21,"278,100",22,"316,140",22,0,20,"13,200",0,0,"14,190","14,175","14,190","14,175","14,175",0,0,"12,675","14,175","12,690","14,190","12,690",0,0,"13,155","13,155","13,185","13,155","12,225",0,0,"13,155","13,155","12,330","13,170","12,330",0,,"279,540","278,100","316,140",0,"13,200",0,0,"14,190","14,175","14,190","14,175","14,175",0,0,"12,675","14,175","12,690","14,190","12,690",0,0,"13,155","13,155","13,185","13,155","12,225",0,0,"13,155","13,155","12,330","13,170","12,330",0
90159-06A023,9015906A023, A,"SCREW, W/WASHER",使用中,かんばん,1Y,第１工場,手配,Ｐ,24,（株）青山製作所,1,,――,Ｍ,1,第１,1Y,安城第１工場,TP-331 ﾊﾝﾖｳ,"1,300",0.52,3,1,6,5.76,,,2.183076923,2838,"55,902",21,"55,614",22,"63,222",22,0,20,"2,640",0,0,"2,838","2,835","2,838","2,835","2,835",0,0,"2,535","2,835","2,535","2,838","2,535",0,0,"2,631","2,631","2,637","2,631","2,445",0,0,"2,631","2,631","2,466","2,634","2,466",0,,"55,902","55,614","63,222",0,"2,640",0,0,"2,838","2,835","2,838","2,835","2,835",0,0,"2,535","2,835","2,535","2,838","2,535",0,0,"2,631","2,631","2,637","2,631","2,445",0,0,"2,631","2,631","2,466","2,634","2,466",0
