,JIKANWARI_KBN,KUMI_CD,LINE_DATE,LINE_DATE_修正済,PLAN_PRODUCT_CNT,PRODUCT_CNT,TYOKU_KBN(1),時間割区分_開始時刻,生産台数_加重平均済,計画生産台数_加重平均済,調整日時,計画達成率_加重平均済,日時
2018,11,NH12,2023-11-08,2023-11-08,0.0,0.0,1,18:30,49.0,49.0,18:00:00,1.0,2023-11-08 18:00:00
2022,12,NH12,2023-11-08,2023-11-08,0.0,0.0,1,19:30,0.0,0.0,19:00:00,,2023-11-08 19:00:00
2026,13,NH12,2023-11-08,2023-11-08,0.0,0.0,1,20:30,0.0,0.0,20:00:00,,2023-11-08 20:00:00
1977,1,NH11,2023-11-08,2023-11-08,0.0,0.0,2,21:00,0.0,0.0,21:00:00,,2023-11-08 21:00:00
1981,2,NH11,2023-11-08,2023-11-08,120.0,120.0,2,22:00,120.0,120.0,22:00:00,1.0,2023-11-08 22:00:00
1985,3,NH11,2023-11-08,2023-11-08,130.0,130.0,2,23:00,130.0,130.0,23:00:00,1.0,2023-11-08 23:00:00
1989,4,NH11,2023-11-08,2023-11-09,108.0,108.0,2,0:00,108.0,108.0,00:00:00,1.0,2023-11-09 00:00:00
1993,5,NH11,2023-11-08,2023-11-09,128.0,128.0,2,1:00,128.0,128.0,01:00:00,1.0,2023-11-09 01:00:00
1997,6,NH11,2023-11-08,2023-11-09,0.0,0.0,2,2:00,0.0,0.0,02:00:00,,2023-11-09 02:00:00
2001,7,NH11,2023-11-08,2023-11-09,122.0,122.0,2,3:00,122.0,122.0,03:00:00,1.0,2023-11-09 03:00:00
2005,8,NH11,2023-11-08,2023-11-09,130.0,130.0,2,4:00,130.0,130.0,04:00:00,1.0,2023-11-09 04:00:00
2009,9,NH11,2023-11-08,2023-11-09,106.0,106.0,2,5:00,106.0,106.0,05:00:00,1.0,2023-11-09 05:00:00
2013,10,NH11,2023-11-08,2023-11-09,98.0,98.0,2,6:00,98.0,98.0,06:00:00,1.0,2023-11-09 06:00:00
2017,11,NH11,2023-11-08,2023-11-09,0.0,0.0,2,7:00,0.0,0.0,07:00:00,,2023-11-09 07:00:00
2030,1,NH12,2023-11-09,2023-11-09,120.0,120.0,1,8:30,60.0,60.0,08:00:00,1.0,2023-11-09 08:00:00
2034,2,NH12,2023-11-09,2023-11-09,130.0,120.0,1,9:30,60.0,65.0,09:00:00,0.9230769230769231,2023-11-09 09:00:00
2038,3,NH12,2023-11-09,2023-11-09,108.0,103.0,1,10:30,111.5,114.0,10:00:00,0.9780701754385965,2023-11-09 10:00:00
2042,4,NH12,2023-11-09,2023-11-09,130.0,121.0,1,11:30,125.5,130.0,11:00:00,0.9653846153846154,2023-11-09 11:00:00
2046,5,NH12,2023-11-09,2023-11-09,0.0,0.0,1,12:30,54.0,54.0,12:00:00,1.0,2023-11-09 12:00:00
2050,6,NH12,2023-11-09,2023-11-09,98.0,94.0,1,13:25,111.0,113.0,13:00:00,0.9823008849557522,2023-11-09 13:00:00
2054,7,NH12,2023-11-09,2023-11-09,130.0,130.0,1,14:20,86.66666666666666,86.66666666666666,14:00:00,1.0,2023-11-09 14:00:00
2058,8,NH12,2023-11-09,2023-11-09,106.0,106.0,1,15:20,111.33333333333331,111.33333333333331,15:00:00,1.0,2023-11-09 15:00:00
2062,9,NH12,2023-11-09,2023-11-09,120.0,108.0,1,16:20,115.33333333333333,123.33333333333333,16:00:00,0.9351351351351351,2023-11-09 16:00:00
2066,10,NH12,2023-11-09,2023-11-09,0.0,0.0,1,17:20,35.33333333333333,35.33333333333333,17:00:00,1.0,2023-11-09 17:00:00
2070,11,NH12,2023-11-09,2023-11-09,0.0,0.0,1,18:30,49.0,49.0,18:00:00,1.0,2023-11-09 18:00:00
2074,12,NH12,2023-11-09,2023-11-09,0.0,0.0,1,19:30,0.0,0.0,19:00:00,,2023-11-09 19:00:00
2078,13,NH12,2023-11-09,2023-11-09,0.0,0.0,1,20:30,0.0,0.0,20:00:00,,2023-11-09 20:00:00
2029,1,NH11,2023-11-09,2023-11-09,0.0,0.0,2,21:00,0.0,0.0,21:00:00,,2023-11-09 21:00:00
2033,2,NH11,2023-11-09,2023-11-09,120.0,120.0,2,22:00,120.0,120.0,22:00:00,1.0,2023-11-09 22:00:00
2037,3,NH11,2023-11-09,2023-11-09,130.0,130.0,2,23:00,130.0,130.0,23:00:00,1.0,2023-11-09 23:00:00
2041,4,NH11,2023-11-09,2023-11-10,108.0,108.0,2,0:00,108.0,108.0,00:00:00,1.0,2023-11-10 00:00:00
2045,5,NH11,2023-11-09,2023-11-10,128.0,128.0,2,1:00,128.0,128.0,01:00:00,1.0,2023-11-10 01:00:00
2049,6,NH11,2023-11-09,2023-11-10,0.0,0.0,2,2:00,0.0,0.0,02:00:00,,2023-11-10 02:00:00
2053,7,NH11,2023-11-09,2023-11-10,122.0,122.0,2,3:00,122.0,122.0,03:00:00,1.0,2023-11-10 03:00:00
2057,8,NH11,2023-11-09,2023-11-10,130.0,130.0,2,4:00,130.0,130.0,04:00:00,1.0,2023-11-10 04:00:00
2061,9,NH11,2023-11-09,2023-11-10,106.0,106.0,2,5:00,106.0,106.0,05:00:00,1.0,2023-11-10 05:00:00
2065,10,NH11,2023-11-09,2023-11-10,98.0,98.0,2,6:00,98.0,98.0,06:00:00,1.0,2023-11-10 06:00:00
2069,11,NH11,2023-11-09,2023-11-10,0.0,0.0,2,7:00,0.0,0.0,07:00:00,,2023-11-10 07:00:00
2082,1,NH12,2023-11-10,2023-11-10,120.0,120.0,1,8:30,60.0,60.0,08:00:00,1.0,2023-11-10 08:00:00
2086,2,NH12,2023-11-10,2023-11-10,130.0,130.0,1,9:30,65.0,65.0,09:00:00,1.0,2023-11-10 09:00:00
2090,3,NH12,2023-11-10,2023-11-10,108.0,108.0,1,10:30,114.0,114.0,10:00:00,1.0,2023-11-10 10:00:00
2094,4,NH12,2023-11-10,2023-11-10,130.0,130.0,1,11:30,130.0,130.0,11:00:00,1.0,2023-11-10 11:00:00
2098,5,NH12,2023-11-10,2023-11-10,0.0,0.0,1,12:30,54.0,54.0,12:00:00,1.0,2023-11-10 12:00:00
2102,6,NH12,2023-11-10,2023-11-10,98.0,98.0,1,13:25,113.0,113.0,13:00:00,1.0,2023-11-10 13:00:00
2106,7,NH12,2023-11-10,2023-11-10,130.0,130.0,1,14:20,86.66666666666666,86.66666666666666,14:00:00,1.0,2023-11-10 14:00:00
2110,8,NH12,2023-11-10,2023-11-10,106.0,72.0,1,15:20,88.66666666666666,111.33333333333331,15:00:00,0.7964071856287426,2023-11-10 15:00:00
2114,9,NH12,2023-11-10,2023-11-10,120.0,100.0,1,16:20,109.99999999999999,123.33333333333333,16:00:00,0.8918918918918918,2023-11-10 16:00:00
2118,10,NH12,2023-11-10,2023-11-10,0.0,0.0,1,17:20,35.33333333333333,35.33333333333333,17:00:00,1.0,2023-11-10 17:00:00
2122,11,NH12,2023-11-10,2023-11-10,0.0,0.0,1,18:30,49.0,49.0,18:00:00,1.0,2023-11-10 18:00:00
2126,12,NH12,2023-11-10,2023-11-10,0.0,0.0,1,19:30,0.0,0.0,19:00:00,,2023-11-10 19:00:00
2130,13,NH12,2023-11-10,2023-11-10,0.0,0.0,1,20:30,0.0,0.0,20:00:00,,2023-11-10 20:00:00
2081,1,NH11,2023-11-10,2023-11-10,0.0,0.0,2,21:00,0.0,0.0,21:00:00,,2023-11-10 21:00:00
2085,2,NH11,2023-11-10,2023-11-10,120.0,120.0,2,22:00,120.0,120.0,22:00:00,1.0,2023-11-10 22:00:00
2089,3,NH11,2023-11-10,2023-11-10,130.0,130.0,2,23:00,130.0,130.0,23:00:00,1.0,2023-11-10 23:00:00
2093,4,NH11,2023-11-10,2023-11-11,108.0,108.0,2,0:00,108.0,108.0,00:00:00,1.0,2023-11-11 00:00:00
2097,5,NH11,2023-11-10,2023-11-11,128.0,128.0,2,1:00,128.0,128.0,01:00:00,1.0,2023-11-11 01:00:00
2101,6,NH11,2023-11-10,2023-11-11,0.0,0.0,2,2:00,0.0,0.0,02:00:00,,2023-11-11 02:00:00
2105,7,NH11,2023-11-10,2023-11-11,122.0,122.0,2,3:00,122.0,122.0,03:00:00,1.0,2023-11-11 03:00:00
2109,8,NH11,2023-11-10,2023-11-11,130.0,130.0,2,4:00,130.0,130.0,04:00:00,1.0,2023-11-11 04:00:00
2113,9,NH11,2023-11-10,2023-11-11,106.0,106.0,2,5:00,106.0,106.0,05:00:00,1.0,2023-11-11 05:00:00
2117,10,NH11,2023-11-10,2023-11-11,98.0,98.0,2,6:00,98.0,98.0,06:00:00,1.0,2023-11-11 06:00:00
2121,11,NH11,2023-11-10,2023-11-11,0.0,0.0,2,7:00,0.0,0.0,07:00:00,,2023-11-11 07:00:00
2134,1,NH12,2023-11-11,2023-11-11,120.0,0.0,1,8:30,0.0,60.0,08:00:00,0.0,2023-11-11 08:00:00
2138,2,NH12,2023-11-11,2023-11-11,130.0,0.0,1,9:30,0.0,65.0,09:00:00,0.0,2023-11-11 09:00:00
2142,3,NH12,2023-11-11,2023-11-11,108.0,0.0,1,10:30,0.0,114.0,10:00:00,0.0,2023-11-11 10:00:00
2146,4,NH12,2023-11-11,2023-11-11,130.0,0.0,1,11:30,0.0,130.0,11:00:00,0.0,2023-11-11 11:00:00
2150,5,NH12,2023-11-11,2023-11-11,0.0,0.0,1,12:30,0.0,54.0,12:00:00,0.0,2023-11-11 12:00:00
2154,6,NH12,2023-11-11,2023-11-11,98.0,0.0,1,13:25,0.0,113.0,13:00:00,0.0,2023-11-11 13:00:00
2158,7,NH12,2023-11-11,2023-11-11,130.0,0.0,1,14:20,0.0,86.66666666666666,14:00:00,0.0,2023-11-11 14:00:00
2162,8,NH12,2023-11-11,2023-11-11,106.0,0.0,1,15:20,0.0,111.33333333333331,15:00:00,0.0,2023-11-11 15:00:00
2166,9,NH12,2023-11-11,2023-11-11,120.0,0.0,1,16:20,0.0,123.33333333333333,16:00:00,0.0,2023-11-11 16:00:00
2170,10,NH12,2023-11-11,2023-11-11,0.0,0.0,1,17:20,0.0,35.33333333333333,17:00:00,0.0,2023-11-11 17:00:00
2174,11,NH12,2023-11-11,2023-11-11,0.0,0.0,1,18:30,0.0,49.0,18:00:00,0.0,2023-11-11 18:00:00
2178,12,NH12,2023-11-11,2023-11-11,0.0,0.0,1,19:30,0.0,0.0,19:00:00,,2023-11-11 19:00:00
2182,13,NH12,2023-11-11,2023-11-11,0.0,0.0,1,20:30,0.0,0.0,20:00:00,,2023-11-11 20:00:00
2133,1,NH11,2023-11-11,2023-11-11,0.0,0.0,2,21:00,0.0,0.0,21:00:00,,2023-11-11 21:00:00
2137,2,NH11,2023-11-11,2023-11-11,120.0,0.0,2,22:00,0.0,120.0,22:00:00,0.0,2023-11-11 22:00:00
2141,3,NH11,2023-11-11,2023-11-11,130.0,0.0,2,23:00,0.0,130.0,23:00:00,0.0,2023-11-11 23:00:00
2145,4,NH11,2023-11-11,2023-11-12,108.0,0.0,2,0:00,0.0,108.0,00:00:00,0.0,2023-11-12 00:00:00
2149,5,NH11,2023-11-11,2023-11-12,128.0,0.0,2,1:00,0.0,128.0,01:00:00,0.0,2023-11-12 01:00:00
2153,6,NH11,2023-11-11,2023-11-12,0.0,0.0,2,2:00,0.0,0.0,02:00:00,,2023-11-12 02:00:00
2157,7,NH11,2023-11-11,2023-11-12,122.0,0.0,2,3:00,0.0,122.0,03:00:00,0.0,2023-11-12 03:00:00
2161,8,NH11,2023-11-11,2023-11-12,130.0,0.0,2,4:00,0.0,130.0,04:00:00,0.0,2023-11-12 04:00:00
2165,9,NH11,2023-11-11,2023-11-12,106.0,0.0,2,5:00,0.0,106.0,05:00:00,0.0,2023-11-12 05:00:00
2169,10,NH11,2023-11-11,2023-11-12,98.0,0.0,2,6:00,0.0,98.0,06:00:00,0.0,2023-11-12 06:00:00
2173,11,NH11,2023-11-11,2023-11-12,0.0,0.0,2,7:00,0.0,0.0,07:00:00,,2023-11-12 07:00:00
2184,1,NH11,2023-11-12,2023-11-12,120.0,0.0,1,8:30,0.0,60.0,08:00:00,0.0,2023-11-12 08:00:00
2188,2,NH11,2023-11-12,2023-11-12,130.0,0.0,1,9:30,0.0,125.0,09:00:00,0.0,2023-11-12 09:00:00
2192,3,NH11,2023-11-12,2023-11-12,108.0,0.0,1,10:30,0.0,119.0,10:00:00,0.0,2023-11-12 10:00:00
2196,4,NH11,2023-11-12,2023-11-12,130.0,0.0,1,11:30,0.0,119.0,11:00:00,0.0,2023-11-12 11:00:00
2200,5,NH11,2023-11-12,2023-11-12,0.0,0.0,1,12:30,0.0,65.0,12:00:00,0.0,2023-11-12 12:00:00
2204,6,NH11,2023-11-12,2023-11-12,98.0,0.0,1,13:25,0.0,49.0,13:00:00,0.0,2023-11-12 13:00:00
2208,7,NH11,2023-11-12,2023-11-12,130.0,0.0,1,14:20,0.0,119.33333333333331,14:00:00,0.0,2023-11-12 14:00:00
2212,8,NH11,2023-11-12,2023-11-12,106.0,0.0,1,15:20,0.0,113.99999999999999,15:00:00,0.0,2023-11-12 15:00:00
2216,9,NH11,2023-11-12,2023-11-12,120.0,0.0,1,16:20,0.0,115.33333333333333,16:00:00,0.0,2023-11-12 16:00:00
2220,10,NH11,2023-11-12,2023-11-12,0.0,0.0,1,17:20,0.0,40.0,17:00:00,0.0,2023-11-12 17:00:00
2224,11,NH11,2023-11-12,2023-11-12,0.0,0.0,1,18:30,0.0,0.0,18:00:00,,2023-11-12 18:00:00
2228,12,NH11,2023-11-12,2023-11-12,0.0,0.0,1,19:30,0.0,0.0,19:00:00,,2023-11-12 19:00:00
2232,13,NH11,2023-11-12,2023-11-12,0.0,0.0,1,20:30,0.0,0.0,20:00:00,,2023-11-12 20:00:00
2187,1,NH12,2023-11-12,2023-11-12,0.0,0.0,2,21:00,0.0,0.0,21:00:00,,2023-11-12 21:00:00
2191,2,NH12,2023-11-12,2023-11-12,120.0,0.0,2,22:00,0.0,120.0,22:00:00,0.0,2023-11-12 22:00:00
2195,3,NH12,2023-11-12,2023-11-12,130.0,0.0,2,23:00,0.0,130.0,23:00:00,0.0,2023-11-12 23:00:00
2199,4,NH12,2023-11-12,2023-11-13,108.0,0.0,2,0:00,0.0,108.0,00:00:00,0.0,2023-11-13 00:00:00
2203,5,NH12,2023-11-12,2023-11-13,128.0,0.0,2,1:00,0.0,128.0,01:00:00,0.0,2023-11-13 01:00:00
2207,6,NH12,2023-11-12,2023-11-13,0.0,0.0,2,2:00,0.0,0.0,02:00:00,,2023-11-13 02:00:00
2211,7,NH12,2023-11-12,2023-11-13,122.0,0.0,2,3:00,0.0,122.0,03:00:00,0.0,2023-11-13 03:00:00
2215,8,NH12,2023-11-12,2023-11-13,130.0,0.0,2,4:00,0.0,130.0,04:00:00,0.0,2023-11-13 04:00:00
2219,9,NH12,2023-11-12,2023-11-13,106.0,0.0,2,5:00,0.0,106.0,05:00:00,0.0,2023-11-13 05:00:00
2223,10,NH12,2023-11-12,2023-11-13,98.0,0.0,2,6:00,0.0,98.0,06:00:00,0.0,2023-11-13 06:00:00
2227,11,NH12,2023-11-12,2023-11-13,0.0,0.0,2,7:00,0.0,0.0,07:00:00,,2023-11-13 07:00:00
2236,1,NH11,2023-11-13,2023-11-13,120.0,120.0,1,8:30,60.0,60.0,08:00:00,1.0,2023-11-13 08:00:00
2240,2,NH11,2023-11-13,2023-11-13,130.0,124.0,1,9:30,122.0,125.0,09:00:00,0.976,2023-11-13 09:00:00
2244,3,NH11,2023-11-13,2023-11-13,108.0,98.0,1,10:30,111.0,119.0,10:00:00,0.9327731092436975,2023-11-13 10:00:00
2248,4,NH11,2023-11-13,2023-11-13,130.0,129.0,1,11:30,113.5,119.0,11:00:00,0.9537815126050421,2023-11-13 11:00:00
2252,5,NH11,2023-11-13,2023-11-13,0.0,0.0,1,12:30,64.5,65.0,12:00:00,0.9923076923076923,2023-11-13 12:00:00
2256,6,NH11,2023-11-13,2023-11-13,54.0,19.0,1,13:25,9.5,27.0,13:00:00,0.35185185185185186,2023-11-13 13:00:00
2260,7,NH11,2023-11-13,2023-11-13,130.0,65.0,1,14:20,49.666666666666664,104.66666666666666,14:00:00,0.4745222929936306,2023-11-13 14:00:00
2264,8,NH11,2023-11-13,2023-11-13,106.0,36.0,1,15:20,45.666666666666664,113.99999999999999,15:00:00,0.40058479532163743,2023-11-13 15:00:00
2268,9,NH11,2023-11-13,2023-11-13,120.0,58.0,1,16:20,50.666666666666664,115.33333333333333,16:00:00,0.4393063583815029,2023-11-13 16:00:00
2272,10,NH11,2023-11-13,2023-11-13,0.0,2.0,1,17:20,20.666666666666664,40.0,17:00:00,0.5166666666666666,2023-11-13 17:00:00
2276,11,NH11,2023-11-13,2023-11-13,0.0,0.0,1,18:30,1.0,0.0,18:00:00,inf,2023-11-13 18:00:00
2280,12,NH11,2023-11-13,2023-11-13,0.0,0.0,1,19:30,0.0,0.0,19:00:00,,2023-11-13 19:00:00
2284,13,NH11,2023-11-13,2023-11-13,0.0,0.0,1,20:30,0.0,0.0,20:00:00,,2023-11-13 20:00:00
2239,1,NH12,2023-11-13,2023-11-13,0.0,0.0,2,21:00,0.0,0.0,21:00:00,,2023-11-13 21:00:00
2243,2,NH12,2023-11-13,2023-11-13,120.0,18.0,2,22:00,18.0,120.0,22:00:00,0.15,2023-11-13 22:00:00
2247,3,NH12,2023-11-13,2023-11-13,130.0,2.0,2,23:00,2.0,130.0,23:00:00,0.015384615384615385,2023-11-13 23:00:00
2251,4,NH12,2023-11-13,2023-11-14,108.0,22.0,2,0:00,22.0,108.0,00:00:00,0.2037037037037037,2023-11-14 00:00:00
2255,5,NH12,2023-11-13,2023-11-14,128.0,80.0,2,1:00,80.0,128.0,01:00:00,0.625,2023-11-14 01:00:00
2259,6,NH12,2023-11-13,2023-11-14,0.0,0.0,2,2:00,0.0,0.0,02:00:00,,2023-11-14 02:00:00
2263,7,NH12,2023-11-13,2023-11-14,122.0,70.0,2,3:00,70.0,122.0,03:00:00,0.5737704918032787,2023-11-14 03:00:00
2267,8,NH12,2023-11-13,2023-11-14,130.0,94.0,2,4:00,94.0,130.0,04:00:00,0.7230769230769231,2023-11-14 04:00:00
2271,9,NH12,2023-11-13,2023-11-14,106.0,66.0,2,5:00,66.0,106.0,05:00:00,0.6226415094339622,2023-11-14 05:00:00
2275,10,NH12,2023-11-13,2023-11-14,98.0,68.0,2,6:00,68.0,98.0,06:00:00,0.6938775510204082,2023-11-14 06:00:00
2279,11,NH12,2023-11-13,2023-11-14,0.0,0.0,2,7:00,0.0,0.0,07:00:00,,2023-11-14 07:00:00
2288,1,NH11,2023-11-14,2023-11-14,120.0,96.0,1,8:30,48.0,60.0,08:00:00,0.8,2023-11-14 08:00:00
2292,2,NH11,2023-11-14,2023-11-14,130.0,104.0,1,9:30,100.0,125.0,09:00:00,0.8,2023-11-14 09:00:00
2296,3,NH11,2023-11-14,2023-11-14,108.0,94.0,1,10:30,99.0,119.0,10:00:00,0.8319327731092437,2023-11-14 10:00:00
2300,4,NH11,2023-11-14,2023-11-14,130.0,114.0,1,11:30,104.0,119.0,11:00:00,0.8739495798319328,2023-11-14 11:00:00
2304,5,NH11,2023-11-14,2023-11-14,0.0,0.0,1,12:30,57.0,65.0,12:00:00,0.8769230769230769,2023-11-14 12:00:00
2308,6,NH11,2023-11-14,2023-11-14,98.0,96.0,1,13:25,48.0,49.0,13:00:00,0.9795918367346939,2023-11-14 13:00:00
2312,7,NH11,2023-11-14,2023-11-14,130.0,78.0,1,14:20,84.0,119.33333333333331,14:00:00,0.7039106145251398,2023-11-14 14:00:00
2316,8,NH11,2023-11-14,2023-11-14,106.0,106.0,1,15:20,96.66666666666666,113.99999999999999,15:00:00,0.847953216374269,2023-11-14 15:00:00
2320,9,NH11,2023-11-14,2023-11-14,120.0,116.0,1,16:20,112.66666666666666,115.33333333333333,16:00:00,0.976878612716763,2023-11-14 16:00:00
2324,10,NH11,2023-11-14,2023-11-14,0.0,0.0,1,17:20,38.666666666666664,40.0,17:00:00,0.9666666666666666,2023-11-14 17:00:00
2328,11,NH11,2023-11-14,2023-11-14,0.0,0.0,1,18:30,0.0,0.0,18:00:00,,2023-11-14 18:00:00
2332,12,NH11,2023-11-14,2023-11-14,0.0,0.0,1,19:30,0.0,0.0,19:00:00,,2023-11-14 19:00:00
2336,13,NH11,2023-11-14,2023-11-14,0.0,0.0,1,20:30,0.0,0.0,20:00:00,,2023-11-14 20:00:00
2291,1,NH12,2023-11-14,2023-11-14,0.0,0.0,2,21:00,0.0,0.0,21:00:00,,2023-11-14 21:00:00
2295,2,NH12,2023-11-14,2023-11-14,120.0,120.0,2,22:00,120.0,120.0,22:00:00,1.0,2023-11-14 22:00:00
2299,3,NH12,2023-11-14,2023-11-14,130.0,130.0,2,23:00,130.0,130.0,23:00:00,1.0,2023-11-14 23:00:00
2303,4,NH12,2023-11-14,2023-11-15,108.0,108.0,2,0:00,108.0,108.0,00:00:00,1.0,2023-11-15 00:00:00
2307,5,NH12,2023-11-14,2023-11-15,128.0,128.0,2,1:00,128.0,128.0,01:00:00,1.0,2023-11-15 01:00:00
2311,6,NH12,2023-11-14,2023-11-15,0.0,0.0,2,2:00,0.0,0.0,02:00:00,,2023-11-15 02:00:00
2315,7,NH12,2023-11-14,2023-11-15,122.0,122.0,2,3:00,122.0,122.0,03:00:00,1.0,2023-11-15 03:00:00
2319,8,NH12,2023-11-14,2023-11-15,130.0,130.0,2,4:00,130.0,130.0,04:00:00,1.0,2023-11-15 04:00:00
2323,9,NH12,2023-11-14,2023-11-15,106.0,106.0,2,5:00,106.0,106.0,05:00:00,1.0,2023-11-15 05:00:00
2327,10,NH12,2023-11-14,2023-11-15,108.0,108.0,2,6:00,108.0,108.0,06:00:00,1.0,2023-11-15 06:00:00
2331,11,NH12,2023-11-14,2023-11-15,108.0,108.0,2,7:00,108.0,108.0,07:00:00,1.0,2023-11-15 07:00:00
2340,1,NH11,2023-11-15,2023-11-15,120.0,120.0,1,8:30,60.0,60.0,08:00:00,1.0,2023-11-15 08:00:00
2344,2,NH11,2023-11-15,2023-11-15,130.0,130.0,1,9:30,125.0,125.0,09:00:00,1.0,2023-11-15 09:00:00
2348,3,NH11,2023-11-15,2023-11-15,108.0,108.0,1,10:30,119.0,119.0,10:00:00,1.0,2023-11-15 10:00:00
2352,4,NH11,2023-11-15,2023-11-15,130.0,130.0,1,11:30,119.0,119.0,11:00:00,1.0,2023-11-15 11:00:00
2356,5,NH11,2023-11-15,2023-11-15,0.0,0.0,1,12:30,65.0,65.0,12:00:00,1.0,2023-11-15 12:00:00
2360,6,NH11,2023-11-15,2023-11-15,0.0,0.0,1,13:25,0.0,0.0,13:00:00,,2023-11-15 13:00:00
2364,7,NH11,2023-11-15,2023-11-15,96.0,96.0,1,14:20,64.0,64.0,14:00:00,1.0,2023-11-15 14:00:00
2368,8,NH11,2023-11-15,2023-11-15,108.0,108.0,1,15:20,104.0,104.0,15:00:00,1.0,2023-11-15 15:00:00
2372,9,NH11,2023-11-15,2023-11-15,118.0,116.0,1,16:20,113.33333333333333,114.66666666666666,16:00:00,0.9883720930232559,2023-11-15 16:00:00
2376,10,NH11,2023-11-15,2023-11-15,0.0,0.0,1,17:20,38.666666666666664,39.33333333333333,17:00:00,0.9830508474576272,2023-11-15 17:00:00
2380,11,NH11,2023-11-15,2023-11-15,0.0,0.0,1,18:30,0.0,0.0,18:00:00,,2023-11-15 18:00:00
2384,12,NH11,2023-11-15,2023-11-15,0.0,2.0,1,19:30,1.0,0.0,19:00:00,inf,2023-11-15 19:00:00
2388,13,NH11,2023-11-15,2023-11-15,0.0,0.0,1,20:30,1.0,0.0,20:00:00,inf,2023-11-15 20:00:00
2343,1,NH12,2023-11-15,2023-11-15,0.0,0.0,2,21:00,0.0,0.0,21:00:00,,2023-11-15 21:00:00
2347,2,NH12,2023-11-15,2023-11-15,120.0,120.0,2,22:00,120.0,120.0,22:00:00,1.0,2023-11-15 22:00:00
2351,3,NH12,2023-11-15,2023-11-15,130.0,130.0,2,23:00,130.0,130.0,23:00:00,1.0,2023-11-15 23:00:00
2355,4,NH12,2023-11-15,2023-11-16,108.0,108.0,2,0:00,108.0,108.0,00:00:00,1.0,2023-11-16 00:00:00
2359,5,NH12,2023-11-15,2023-11-16,128.0,127.0,2,1:00,127.0,128.0,01:00:00,0.9921875,2023-11-16 01:00:00
2363,6,NH12,2023-11-15,2023-11-16,0.0,0.0,2,2:00,0.0,0.0,02:00:00,,2023-11-16 02:00:00
2367,7,NH12,2023-11-15,2023-11-16,122.0,122.0,2,3:00,122.0,122.0,03:00:00,1.0,2023-11-16 03:00:00
2371,8,NH12,2023-11-15,2023-11-16,130.0,108.0,2,4:00,108.0,130.0,04:00:00,0.8307692307692308,2023-11-16 04:00:00
2375,9,NH12,2023-11-15,2023-11-16,106.0,81.0,2,5:00,81.0,106.0,05:00:00,0.7641509433962265,2023-11-16 05:00:00
2379,10,NH12,2023-11-15,2023-11-16,98.0,99.0,2,6:00,99.0,98.0,06:00:00,1.010204081632653,2023-11-16 06:00:00
2383,11,NH12,2023-11-15,2023-11-16,0.0,1.0,2,7:00,1.0,0.0,07:00:00,inf,2023-11-16 07:00:00
2392,1,NH11,2023-11-16,2023-11-16,120.0,114.0,1,8:30,57.0,60.0,08:00:00,0.95,2023-11-16 08:00:00
2396,2,NH11,2023-11-16,2023-11-16,130.0,130.0,1,9:30,122.0,125.0,09:00:00,0.976,2023-11-16 09:00:00
2400,3,NH11,2023-11-16,2023-11-16,108.0,100.0,1,10:30,115.0,119.0,10:00:00,0.9663865546218487,2023-11-16 10:00:00
2404,4,NH11,2023-11-16,2023-11-16,130.0,130.0,1,11:30,115.0,119.0,11:00:00,0.9663865546218487,2023-11-16 11:00:00
2408,5,NH11,2023-11-16,2023-11-16,0.0,0.0,1,12:30,65.0,65.0,12:00:00,1.0,2023-11-16 12:00:00
2412,6,NH11,2023-11-16,2023-11-16,98.0,98.0,1,13:25,49.0,49.0,13:00:00,1.0,2023-11-16 13:00:00
2416,7,NH11,2023-11-16,2023-11-16,130.0,130.0,1,14:20,119.33333333333331,119.33333333333331,14:00:00,1.0,2023-11-16 14:00:00
2420,8,NH11,2023-11-16,2023-11-16,106.0,106.0,1,15:20,113.99999999999999,113.99999999999999,15:00:00,1.0,2023-11-16 15:00:00
2424,9,NH11,2023-11-16,2023-11-16,120.0,120.0,1,16:20,115.33333333333333,115.33333333333333,16:00:00,1.0,2023-11-16 16:00:00
2428,10,NH11,2023-11-16,2023-11-16,0.0,0.0,1,17:20,40.0,40.0,17:00:00,1.0,2023-11-16 17:00:00
2432,11,NH11,2023-11-16,2023-11-16,0.0,0.0,1,18:30,0.0,0.0,18:00:00,,2023-11-16 18:00:00
2436,12,NH11,2023-11-16,2023-11-16,0.0,0.0,1,19:30,0.0,0.0,19:00:00,,2023-11-16 19:00:00
2440,13,NH11,2023-11-16,2023-11-16,0.0,0.0,1,20:30,0.0,0.0,20:00:00,,2023-11-16 20:00:00
2395,1,NH12,2023-11-16,2023-11-16,0.0,0.0,2,21:00,0.0,0.0,21:00:00,,2023-11-16 21:00:00
2399,2,NH12,2023-11-16,2023-11-16,120.0,120.0,2,22:00,120.0,120.0,22:00:00,1.0,2023-11-16 22:00:00
2403,3,NH12,2023-11-16,2023-11-16,130.0,130.0,2,23:00,130.0,130.0,23:00:00,1.0,2023-11-16 23:00:00
2407,4,NH12,2023-11-16,2023-11-17,108.0,108.0,2,0:00,108.0,108.0,00:00:00,1.0,2023-11-17 00:00:00
2411,5,NH12,2023-11-16,2023-11-17,128.0,86.0,2,1:00,86.0,128.0,01:00:00,0.671875,2023-11-17 01:00:00
