,仕入先名,発送場所名,受入,1便_早着,1便_定刻,1便_遅着,2便_早着,2便_定刻,2便_遅着,3便_早着,3便_定刻,3便_遅着,4便_早着,4便_定刻,4便_遅着,5便_早着,5便_定刻,5便_遅着,6便_早着,6便_定刻,6便_遅着,7便_早着,7便_定刻,7便_遅着,8便_早着,8便_定刻,8便_遅着,9便_早着,9便_定刻,9便_遅着,10便_早着,10便_定刻,10便_遅着,11便_早着,11便_定刻,11便_遅着,12便_早着,12便_定刻,12便_遅着
40,アイシン・エィ・ダブリュ工業（株）,本社工場,1Y,09:20:00,11:20:00,13:20:00,13:20:00,15:20:00,17:20:00,20:20:00,22:20:00,00:20:00,01:20:00,03:20:00,05:20:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
42,新光ゴム工業（株）,本社,1Y,13:00:00,15:00:00,17:00:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
44,（株）杉浦製作所,< NULL >,1Y,07:20:00,09:20:00,11:20:00,15:50:00,17:50:00,19:50:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
46,アイコー（株）,< NULL >,1Y,07:20:00,09:20:00,11:20:00,12:05:00,14:05:00,16:05:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
48,住友商事（株）鉄鋼部輸送機材,鉄鋼部輸送機材,1Y,21:40:00,23:40:00,01:40:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
50,住友電装（株）,< NULL >,1Y,10:40:00,12:40:00,14:40:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
52,住友電装（株）,四日市物流センター,1Y,13:00:00,15:00:00,17:00:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
54,住友電気工業（株）,< NULL >,1Y,10:40:00,12:40:00,14:40:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
56,多摩川精機販売（株）,< NULL >,1Y,12:10:00,14:10:00,16:10:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
58,中庸スプリング（株）,< NULL >,1Y,04:45:00,06:45:00,08:45:00,18:10:00,20:10:00,22:10:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
60,（株）槌屋,知立工場,1Y,14:50:00,16:50:00,18:50:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
62,（株）東郷製作所,< NULL >,1Y,07:30:00,09:30:00,11:30:00,09:20:00,11:20:00,13:20:00,13:00:00,15:00:00,17:00:00,15:30:00,17:30:00,19:30:00,19:00:00,21:00:00,23:00:00,21:20:00,23:20:00,01:20:00,01:00:00,03:00:00,05:00:00,03:30:00,05:30:00,07:30:00,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >,< NULL >
