,“úŽž,‰×–ðŽžŠÔ_•Ö_01,‰×–ðŽžŠÔ_•Ö_02,‰×–ðŽžŠÔ_•Ö_03,‰×–ðŽžŠÔ_•Ö_04,‰×–ðŽžŠÔ_•Ö_05,‰×–ðŽžŠÔ_•Ö_06,‰×–ðŽžŠÔ_•Ö_0K,‰×–ðŽžŠÔ,‰×–ðŽžŠÔ(t-1),‰×–ðŽžŠÔ(t-2),‰×–ðŽžŠÔ(t-3),‰×–ðŽžŠÔ(t-4),‰×–ðŽžŠÔ(t-5),‰×–ðŽžŠÔ(t-6),‰×–ðŽžŠÔ(t-7)
34,2023-10-02 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.70226666666667,0.0,0.0,0.0,0.0,0.0,0.0
35,2023-10-02 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.70226666666667,0.0,0.0,0.0,0.0,0.0
36,2023-10-02 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.70226666666667,0.0,0.0,0.0,0.0
37,2023-10-02 13:00:00,0.0,47.665,0.0,0.0,0.0,0.0,0.0,47.665,0.0,0.0,0.0,34.70226666666667,0.0,0.0,0.0
38,2023-10-02 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.665,0.0,0.0,0.0,34.70226666666667,0.0,0.0
39,2023-10-02 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.665,0.0,0.0,0.0,34.70226666666667,0.0
40,2023-10-02 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.665,0.0,0.0,0.0,34.70226666666667
41,2023-10-02 17:00:00,0.0,0.0,0.7548833333333335,0.0,0.0,0.0,0.0,0.7548833333333335,0.0,0.0,0.0,47.665,0.0,0.0,0.0
42,2023-10-02 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7548833333333335,0.0,0.0,0.0,47.665,0.0,0.0
43,2023-10-02 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7548833333333335,0.0,0.0,0.0,47.665,0.0
