,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）,基準在庫日数,基準在庫枚数,箱種類,A,B,C,収容数,納入便,社内LT（検収～回収LT）,日量数（箱数）,仕入先名,かんばん数,実績LT/設計値LT,順立装置在庫量-設計値MIN,不等ピッチ,順立装置在庫量-設計値MAX,AVAILABLE_RATE
23,35174ECB010    ,2023,36,15.833333333333334,0.7333333333333333,0.775,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,20,2.489795918367347,1.5977551020408167,18.540306122448953,（株）浅賀井製作所,98,1.836500117288295,3.652440306122444,0.13,9.214532142857129,95.28500000000001
24,35174ECE010    ,2023,36,16.141666666666666,0.45,0.5,0.87,1.0,ＴＰ３３２フタナシ,1.0,4.0,6.88,40,2.5245901639344264,2.4591803278688524,11.795491803278694,（株）浅賀井製作所,61,2.8266440550216694,2.3237118852459027,0.13,5.862359426229511,95.28500000000001
25,35174ECE020    ,2023,36,9.525,0.20833333333333334,0.23333333333333334,0.63,3.0,ＴＰ３３１フタナシ,1.0,4.0,6.88,90,2.5925925925925926,2.7692592592592598,5.349794238683126,（株）浅賀井製作所,27,4.3956496178718405,1.0539094650205758,0.13,2.6588477366255137,95.28500000000001
26,3519510A010    ,2023,36,2.7,0.016666666666666666,0.025,0.63,1.0,ＡＷ１３１フタナシ,1.0,2.0,2.34,600,2.0,6.995,0.6575,中庸スプリング（株）,2,11.103174603174603,0.10980249999999998,0.1,0.47142749999999994,95.28500000000001
27,35195ECE010    ,2023,36,6.841666666666667,0.1,0.1,0.62,3.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400,1.0,3.4149999999999996,2.1704166666666675,三共鋼業（株）,12,5.508064516129032,0.594694166666667,0.0,2.873631666666668,95.28500000000001
28,35195TFG010    ,2023,36,5.783333333333333,0.09166666666666666,0.1,0.62,1.0,ＴＰ１３１フタナシ,1.0,1.0,1.74,400,1.0,3.9600000000000004,2.3183333333333334,三共鋼業（株）,12,6.387096774193549,0.6352233333333335,0.0,3.0694733333333333,95.28500000000001
29,35198ECE010    ,2023,36,5.958333333333333,0.1,0.1,0.58,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,200,1.0,3.6149999999999998,2.390833333333333,サトープレス工業（株）,12,6.232758620689655,0.6646516666666668,0.0,3.1750266666666667,95.28500000000001
30,35300ECB010    ,2023,36,118.98333333333333,2.691666666666667,2.933333333333333,0.91,3.0,TP341ﾌﾀﾅｼ,1.0,4.0,8.04,12,2.523936170212766,3.0633244680851033,69.78856382978701,アイシン精機（株）,376,3.366290624269344,15.772215425531863,0.14,36.70878457446797,95.28500000000001
31,35312ECB010    ,2023,36,6.158333333333333,0.25,0.24166666666666667,0.59,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.9,63,1.0,2.085000000000001,5.999999999999999,（株）旭工業所,30,3.5338983050847474,1.74,0.0,8.04,95.28500000000001
32,35352ECB010    ,2023,36,1.675,0.025,0.025,0.64,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.97,504,1.0,6.376666666666666,0.7632275132275131,五興商事（株）,3,9.963541666666666,0.2266785714285714,0.0,1.0280674603174602,95.28500000000001
33,3539450A010    ,2023,36,2.511520737327189,0.027649769585253458,0.027649769585253458,0.71,3.0,サンボックスＣ３フタナシ,1.0,1.0,1.88,2000,1.0,5.63,0.89625,ミズショー（株）,4,7.929577464788733,0.25812,0.0,1.1991825,95.28500000000001
34,35409ECB010    ,2023,36,5.058333333333334,0.058333333333333334,0.075,0.66,1.0,ＴＰ１３１フタナシ,1.0,1.0,2.26,200,1.0,2.9857142857142853,1.7707142857142857,サンコール（株）,7,4.523809523809523,0.5772528571428571,0.0,2.436502857142857,95.28500000000001
35,35441ECB010    ,2023,36,27.7,0.7416666666666667,0.7583333333333333,0.67,3.0,ＴＰ３３１フタナシ,1.0,1.0,2.14,48,1.0,2.3641573033707877,17.594101123595497,（株）ニフコ,89,3.528592990105653,5.524547752808987,0.0,23.99835393258426,95.28500000000001
36,35441TFA010    ,2023,36,6.258333333333334,0.13333333333333333,0.15,0.67,1.0,ＴＰ３３１フタナシ,1.0,1.0,2.14,100,1.0,2.9087499999999995,3.7681250000000004,（株）ニフコ,16,4.341417910447761,1.1831912500000001,0.0,5.1397225,95.28500000000001
37,3548255A010    ,2023,36,6.025,0.05,0.06666666666666667,0.57,1.0,ＡＷ１３１フタナシ,1.0,1.0,1.78,300,1.0,6.03,1.6905555555555554,サトープレス工業（株）,6,10.578947368421053,0.4699744444444445,0.0,2.2450577777777774,95.28500000000001
38,35501ECB010    ,2023,36,5.041666666666667,0.15833333333333333,0.15833333333333333,0.6,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.38,100,1.0,2.3284210526315783,3.831578947368422,大橋鉄工（株）,19,3.880701754385964,0.9119157894736845,0.0,4.935073684210527,95.28500000000001
39,35505ECB010    ,2023,36,14.733333333333333,0.6333333333333333,0.65,0.81,1.0,ＴＰ１３１フタナシ,1.0,2.0,2.34,24,1.475609756097561,1.64890243902439,15.395325203252034,中庸スプリング（株）,82,2.0356820234869013,2.5710193089430895,0.1,11.038448170731709,95.28500000000001
40,35556ECB010    ,2023,36,4.325,0.14166666666666666,0.15,0.75,1.0,ＡＷ１３１フタナシ,1.0,2.0,3.8,100,1.55,2.203333333333333,3.6327777777777785,（株）ギフ加藤製作所,20,2.9377777777777774,0.8718666666666668,0.12,2.869894444444445,95.28500000000001
41,35557ECB010    ,2023,36,8.816666666666666,0.31666666666666665,0.3416666666666667,0.89,1.0,ＴＰ１３１フタナシ,1.0,2.0,4.94,46,1.4390243902439024,1.8727027027027028,7.877203290246766,小川工業（株）,41,2.1041603401153965,2.3395293772032897,0.05,6.67199118683901,95.28500000000001
42,35580ECB011    ,2023,36,55.49166666666667,1.9333333333333333,2.55,0.9,3.0,ＴＰ３４２フタアリ,1.0,4.0,8.04,6,2.4567164179104477,3.581377245508986,60.81137724550896,アイシン精機（株）,335,3.97930805056554,13.743371257485023,0.14,31.986784431137714,95.28500000000001
43,35595ECB010    ,2023,36,9.4,0.375,0.39166666666666666,0.57,1.0,ＴＰ３３１フタナシ,1.0,1.0,1.78,40,1.0,1.6204444444444435,9.310555555555554,サトープレス工業（株）,45,2.8428849902534097,2.5883344444444445,0.0,12.364417777777776,95.28500000000001
44,3559850A010    ,2023,36,2.3916666666666666,0.07916666666666666,0.075,0.9,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.92,100,1.4210526315789473,2.1310526315789473,3.8347368421052637,アイコー（株）,19,2.3678362573099414,0.9433452631578949,0.32,3.0524505263157904,95.28500000000001
45,35771ECB010    ,2023,36,27.691666666666666,3.6416666666666666,3.825,0.79,3.0,ＴＰ３４１フタナシ,1.0,6.0,4.92,4,3.6023622047244093,0.8001425661914452,92.71894093686355,アイシン機工（株）,508,1.0128386913815761,9.14826883910387,0.12,29.23737270875764,95.28500000000001
46,35771ECE010    ,2023,36,48.858333333333334,3.175,3.3333333333333335,0.79,2.0,ＴＰ３４１フタナシ,1.0,6.0,4.92,6,3.6159090909090907,1.2344470588235295,79.70470588235317,アイシン機工（株）,440,1.5625912137006701,7.864197647058846,0.12,25.133550588235366,95.28500000000001
47,35847ECB010    ,2023,36,7.391666666666667,0.21666666666666667,0.23333333333333334,0.51,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,80,1.0,2.2418518518518518,4.724537037037039,（株）メタルテック,27,4.3957879448075525,1.3701157407407414,0.0,6.3308796296296315,95.28500000000001
48,35847ECB020    ,2023,36,7.683333333333334,0.19166666666666668,0.225,0.5,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,70,1.0,2.0791304347826083,5.072049689440993,（株）メタルテック,23,4.158260869565217,1.470894409937888,0.0,6.7965465838509305,95.28500000000001
49,35847ECE010    ,2023,36,19.383333333333333,0.49166666666666664,0.5,0.5,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,40,1.0,2.2540000000000004,12.00708333333334,（株）メタルテック,60,4.508000000000001,3.4820541666666687,0.0,16.089491666666675,95.28500000000001
50,35847ECE020    ,2023,36,14.191666666666666,0.3416666666666667,0.3333333333333333,0.49,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,60,1.0,2.6036585365853666,7.828048780487806,（株）メタルテック,41,5.3135888501742174,2.2701341463414635,0.0,10.489585365853658,95.28500000000001
51,35882ECB010    ,2023,36,9.866666666666667,0.325,0.35,0.5,1.0,ＴＰ３３２フタナシ,1.0,1.0,1.9,50,1.0,1.8157500000000002,7.346000000000004,（株）メタルテック,40,3.6315000000000004,2.1303400000000012,0.0,9.843640000000004,95.28500000000001
52,36108ECB010    ,2023,36,4.55,0.1,0.10833333333333334,0.64,1.0,ＴＰ３３１．５フタナシ,1.0,1.0,1.97,150,1.0,2.854166666666666,2.5038888888888895,（株）オーハシテクニカ,12,4.459635416666666,0.7436550000000002,0.0,3.3727383333333343,95.28500000000001
53,41310ECB010    ,2023,36,55.68333333333333,8.15,7.7,0.69,2.0,サンボックス＃２４Ａフタアリ,1.0,4.0,4.0,2,2.52324431256182,0.9455072463768084,187.22017837235228,（株）オンド,1011,1.3703003570678383,23.402522296544035,0.05,79.56857580824972,95.28500000000001
54,41310ECE010    ,2023,36,143.29166666666666,9.791666666666666,10.016666666666667,0.7,3.0,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1.0,4.0,4.0,2,2.532046332046332,1.3497294938917965,236.94851657940663,（株）オンド,1295,1.9281849912739952,29.61856457242583,0.05,100.70311954624782,95.28500000000001
55,5040056001E    ,2023,36,4.846153846153846,0.27350427350427353,0.24786324786324787,0.58,3.0,AW131ﾌﾀﾅｼ,1.0,1.0,1.78,300,1.0,2.0909374999999994,5.558333333333331,サトープレス工業（株）,32,3.6050646551724133,1.5452166666666662,0.0,7.381466666666663,95.28500000000001
56,82125ECB010    ,2023,36,5.516666666666667,0.13333333333333333,0.16666666666666666,0.58,1.0,ＴＰ３３２フタアリ,1.0,1.0,1.79,100,1.0,2.2831249999999996,3.5725000000000007,矢崎総業（株）,16,3.936422413793103,0.9967275000000003,0.0,4.747852500000001,95.28500000000001
57,82125ECE010    ,2023,36,8.05,0.2,0.19166666666666668,0.58,1.0,ＴＰ３３２フタアリ,1.0,1.0,1.79,100,1.0,2.611249999999999,4.750000000000003,矢崎総業（株）,24,4.502155172413792,1.325250000000001,0.0,6.312750000000004,95.28500000000001
58,82821CWA030    ,2023,36,10.358333333333333,0.175,0.18333333333333332,0.83,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,200,1.4761904761904763,3.9542857142857146,4.156190476190476,石黒ゴム工業（株）,21,4.764199655765921,0.9642361904761906,0.29,3.2501409523809524,95.28500000000001
59,82821ECB010    ,2023,36,4.683333333333334,0.09166666666666666,0.08333333333333333,0.83,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,400,1.4545454545454546,4.533636363636363,2.080454545454546,石黒ゴム工業（株）,11,5.4622124863088715,0.4826654545454548,0.29,1.626915454545455,95.28500000000001
60,82821ECB020    ,2023,36,10.466666666666667,0.18333333333333332,0.175,0.87,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.64,200,1.5238095238095237,4.100952380952381,4.1811904761904755,石黒ゴム工業（株）,21,4.713738368910783,0.9700361904761904,0.29,3.2696909523809516,95.28500000000001
61,82821ECB040    ,2023,36,4.4,0.15,0.15,0.83,1.0,ＴＰ３４２フタナシ,1.0,2.0,3.64,100,1.5,2.42,3.603333333333334,石黒ゴム工業（株）,18,2.9156626506024095,0.8359733333333337,0.29,2.8178066666666672,95.28500000000001
62,82821ECB050    ,2023,36,18.808333333333334,0.35,0.36666666666666664,0.83,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,100,1.5476190476190477,3.3988095238095237,8.335952380952376,石黒ゴム工業（株）,42,4.0949512335054505,1.9339409523809517,0.29,6.518714761904759,95.28500000000001
63,82821ECE010    ,2023,36,33.9,0.4083333333333333,0.4,1.07,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,50,1.489795918367347,5.085510204081634,9.210612244897964,石黒ゴム工業（株）,49,4.752813274842648,2.1368620408163284,0.29,7.202698775510209,95.28500000000001
64,82821XAE010    ,2023,36,21.1,0.375,0.36666666666666664,0.87,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.64,100,1.488888888888889,3.5655555555555547,8.367333333333328,石黒ゴム工業（株）,45,4.098339719029373,1.9412213333333324,0.29,6.5432546666666624,95.28500000000001
65,82821XAE020    ,2023,36,1.6833333333333333,0.03333333333333333,0.03333333333333333,0.81,1.0,ＴＰ３３２フタナシ,1.0,2.0,3.64,400,1.5,4.5525,0.9812500000000001,石黒ゴム工業（株）,4,5.62037037037037,0.22765000000000005,0.29,0.7673375000000001,95.28500000000001
66,82824ECB010    ,2023,36,9.88135593220339,0.4830508474576271,0.4661016949152542,0.57,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.79,32,1.0,1.5154385964912278,11.417214912280702,矢崎総業（株）,57,2.6586642043705755,3.185402960526316,0.0,15.173478618421054,95.28500000000001
67,82824ECB020    ,2023,36,23.091666666666665,0.9166666666666666,0.8916666666666667,0.58,1.0,ＴＰ３３１フタアリ,1.0,1.0,1.79,40,1.0,1.7963636363636368,21.01750000000002,矢崎総業（株）,110,3.097178683385581,5.863882500000006,0.0,27.932257500000027,95.28500000000001
68,82824ECE010    ,2023,36,15.95,0.43333333333333335,0.44166666666666665,0.36,1.0,ＴＰ３３２,1.0,1.0,3.25,45,1.0,1.9705660377358485,10.504821802935009,住友電装（株）,53,5.473794549266246,4.464549266247379,0.0,15.494612159329137,95.28500000000001
69,9010506A003    ,2023,36,2.2666666666666666,0.025,0.03333333333333333,0.52,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,2000,5.5,7.8566666666666665,0.5266666666666667,（株）青山製作所,4,15.108974358974358,0.059337777777777795,0.08,0.17344888888888893,95.28500000000001
70,9010506A089    ,2023,36,3.1333333333333333,0.03333333333333333,0.05,0.5,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,1500,3.8,4.59,0.9551999999999999,（株）青山製作所,5,9.18,0.10761920000000001,0.08,0.31457919999999995,95.28500000000001
71,9010508A014    ,2023,36,27.629166666666666,1.65,1.6666666666666667,0.54,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,500,3.3693181818181817,1.2531976744186042,64.2875290697676,（株）青山製作所,352,2.320736434108526,7.2430616085271495,0.08,21.172026240310128,95.28500000000001
72,9010508A042    ,2023,36,1.7741935483870968,0.3225806451612903,0.23655913978494625,0.53,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,300,3.121212121212121,0.8706060606060607,6.209090909090905,（株）青山製作所,33,1.642652944539737,0.6995575757575754,0.08,2.044860606060605,95.28500000000001
73,9010512A018    ,2023,36,33.075,2.408333333333333,2.45,0.74,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,200,3.514018691588785,1.1786538461538447,58.78749999999991,（株）青山製作所,321,1.5927754677754657,6.623391666666656,0.08,19.360683333333302,95.28500000000001
74,9011906A065    ,2023,36,3.075,0.1,0.10833333333333334,0.53,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,1000,3.4166666666666665,2.3175,2.5492500000000002,（株）青山製作所,12,4.3726415094339615,0.2872155,0.08,0.8395530000000001,95.28500000000001
75,9014908A008    ,2023,36,4.683333333333334,0.16666666666666666,0.13333333333333333,0.52,1.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,800,2.9565217391304346,2.5399999999999996,3.349602272727273,（株）青山製作所,23,4.884615384615383,0.37738852272727275,0.08,1.103135681818182,95.28500000000001
76,9015905A007    ,2023,36,4.483333333333333,0.10833333333333334,0.1,0.53,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,2000,3.230769230769231,3.3453846153846163,2.134846153846154,（株）青山製作所,13,6.3120464441219175,0.24052600000000002,0.08,0.703076,95.28500000000001
77,9015906A021    ,2023,36,4.033333333333333,0.25833333333333336,0.25,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,1200,3.3333333333333335,1.6628125000000002,6.121458333333335,（株）青山製作所,33,3.1977163461538467,0.6896843055555557,0.08,2.016000277777778,95.28500000000001
78,9015906A022    ,2023,36,6.233333333333333,0.35,0.35833333333333334,0.51,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,1500,3.4,1.3858139534883722,8.653720930232552,（株）青山製作所,45,2.7172822617419063,0.9749858914728675,0.08,2.8499587596899207,95.28500000000001
79,9015906A023    ,2023,36,5.091666666666667,0.09166666666666666,0.1,0.52,3.0,ＴＰ３３１フタナシ,1.0,6.0,5.76,1300,2.6363636363636362,3.2990000000000004,2.11176923076923,（株）青山製作所,11,6.344230769230769,0.23792599999999992,0.08,0.6954759999999998,95.28500000000001
80,9020150A002    ,2023,36,5.216666666666667,0.14166666666666666,0.16666666666666666,0.73,1.0,ＴＰ１３１フタナシ,1.0,1.0,0.73,100,1.0,2.4717647058823538,3.8117647058823536,（株）ムロコーポレーション,21,3.3859790491539092,0.6594352941176472,0.0,4.661788235294118,95.28500000000001
81,9020156A001    ,2023,36,5.425,0.11666666666666667,0.16666666666666666,0.75,1.0,ＴＰ１３１フタナシ,1.0,1.0,0.73,100,1.0,3.036428571428572,3.4792857142857145,（株）ムロコーポレーション,19,4.048571428571429,0.6019164285714287,0.0,4.255166428571429,95.28500000000001
82,9020156A002    ,2023,36,4.129310344827586,0.16379310344827586,0.19827586206896552,0.73,1.0,ＴＰ１３１フタナシ,1.0,1.0,0.73,100,1.0,2.1605263157894736,5.006315789473686,（株）ムロコーポレーション,25,2.9596250901225667,0.8660926315789479,0.0,6.122724210526319,95.28500000000001
83,9025006A007    ,2023,36,2.2872340425531914,0.18085106382978725,0.14893617021276595,0.76,1.0,ＡＷ１３１フタナシ,1.0,2.0,3.8,200,1.4782608695652173,2.4939999999999998,2.9825,（株）ギフ加藤製作所,23,3.2815789473684207,0.7158,0.12,2.356175,95.28500000000001
84,9030106A018    ,2023,36,2.808333333333333,0.1,0.09166666666666666,0.56,3.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,2000,1.6363636363636365,4.427272727272728,2.4711363636363632,ＮＯＫ（株）,11,7.9058441558441555,0.558476818181818,0.03,1.9176018181818177,95.28500000000001
85,9030111A014    ,2023,36,6.208333333333333,0.18333333333333332,0.16666666666666666,0.56,3.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,1000,1.5909090909090908,2.937272727272727,4.251363636363636,ＮＯＫ（株）,22,5.245129870129869,0.9608081818181816,0.03,3.2990581818181814,95.28500000000001
86,9030115A011    ,2023,36,2.8333333333333335,0.05,0.041666666666666664,0.56,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,1000,1.3333333333333333,4.778333333333333,1.0346666666666666,ＮＯＫ（株）,6,8.532738095238095,0.23383466666666664,0.03,0.8029013333333332,95.28500000000001
87,9030117A010    ,2023,36,3.9583333333333335,0.05,0.05,0.54,3.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,1000,1.5714285714285714,6.102857142857142,1.2842857142857145,ＮＯＫ（株）,7,11.3015873015873,0.29024857142857147,0.03,0.9966057142857145,95.28500000000001
88,9030119A010    ,2023,36,2.3333333333333335,0.025,0.041666666666666664,0.58,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,1000,2.0,5.2875,0.979,ＮＯＫ（株）,4,9.116379310344827,0.22125399999999998,0.03,0.759704,95.28500000000001
89,9030119A011    ,2023,36,4.05,0.15,0.14166666666666666,0.54,1.0,ＴＰ１３１フタナシ,1.0,2.0,3.52,200,1.6111111111111112,1.8505555555555557,3.6477777777777782,ＮＯＫ（株）,18,3.4269547325102883,0.8243977777777778,0.03,2.8306755555555556,95.28500000000001
90,9031150A014    ,2023,36,6.533333333333333,0.43333333333333335,0.43333333333333335,0.54,1.0,サンボックス＃２４Ｂフタナシ,1.0,2.0,3.52,84,1.5925925925925926,1.7037037037037035,9.833112874779541,ＮＯＫ（株）,54,3.155006858710562,2.222283509700176,0.03,7.630495590828924,95.28500000000001
91,9031150A015    ,2023,36,5.683333333333334,0.43333333333333335,0.43333333333333335,0.53,1.0,サンボックス＃２４Ｂフタナシ,1.0,2.0,3.52,84,1.537037037037037,1.4577777777777772,10.056437389770723,ＮＯＫ（株）,54,2.7505241090146737,2.2727548500881833,0.03,7.803795414462081,95.28500000000001
92,9033904A002    ,2023,36,2.575,0.041666666666666664,0.025,0.61,1.0,AW131ﾌﾀﾅｼ,1.0,1.0,1.78,1000,1.0,4.718,0.9256,サトープレス工業（株）,5,7.7344262295081965,0.25731680000000007,0.0,1.2291968000000002,95.28500000000001
