,品番,Year,Week_Number,在庫数（箱）,入庫数（箱）,出庫数（箱）
0,019120LC030    ,2023,36,11.9,0.21666666666666667,0.20833333333333334
1,019120LC030    ,2023,37,11.475,0.23333333333333334,0.2
2,019120LC030    ,2023,38,11.2,0.225,0.20833333333333334
3,019120LC030    ,2023,39,11.083333333333334,0.23333333333333334,0.20833333333333334
4,019120LC040    ,2023,36,3.0833333333333335,0.025,0.03333333333333333
5,019120LC040    ,2023,37,1.3243243243243243,0.0,0.02702702702702703
6,019120LC050    ,2023,36,5.141666666666667,0.025,0.016666666666666666
7,019120LC050    ,2023,37,3.941666666666667,0.016666666666666666,0.025
8,019120LC050    ,2023,38,5.441666666666666,0.025,0.025
9,019120LC050    ,2023,39,5.516666666666667,0.025,0.016666666666666666
10,019120LC060    ,2023,36,8.175,0.1,0.1
11,019120LC060    ,2023,37,7.966666666666667,0.11666666666666667,0.1
12,019120LC060    ,2023,38,8.666666666666666,0.10833333333333334,0.10833333333333334
13,019120LC060    ,2023,39,8.983333333333333,0.10833333333333334,0.1
14,019120LC070    ,2023,36,8.083333333333334,0.1,0.1
15,019120LC070    ,2023,37,8.108333333333333,0.10833333333333334,0.1
16,019120LC070    ,2023,38,7.983333333333333,0.11666666666666667,0.10833333333333334
17,019120LC070    ,2023,39,8.383333333333333,0.10833333333333334,0.10833333333333334
18,019128GA010    ,2023,36,40.88333333333333,0.725,0.7083333333333334
19,019128GA010    ,2023,37,40.166666666666664,0.7333333333333333,0.6833333333333333
20,019128GA010    ,2023,38,36.766666666666666,0.6166666666666667,0.65
21,019128GA010    ,2023,39,39.84166666666667,0.7,0.6833333333333333
22,01912ECB010    ,2023,36,12.775,0.25,0.23333333333333334
23,01912ECB010    ,2023,37,12.9,0.23333333333333334,0.23333333333333334
24,01912ECB010    ,2023,38,11.633333333333333,0.20833333333333334,0.21666666666666667
25,01912ECB010    ,2023,39,14.3,0.23333333333333334,0.24166666666666667
26,01912ECB040    ,2023,36,29.358333333333334,0.7083333333333334,0.7
27,01912ECB040    ,2023,37,26.675,0.7666666666666667,0.675
28,01912ECB040    ,2023,38,27.116666666666667,0.6916666666666667,0.6583333333333333
29,01912ECB040    ,2023,39,26.816666666666666,0.7833333333333333,0.6916666666666667
30,01912ECB060    ,2023,36,2.441666666666667,0.03333333333333333,0.041666666666666664
31,01912ECB060    ,2023,37,1.6333333333333333,0.041666666666666664,0.03333333333333333
32,01912ECB060    ,2023,38,1.4705882352941178,0.049019607843137254,0.029411764705882353
33,01912ECB060    ,2023,39,1.349056603773585,0.0660377358490566,0.009433962264150943
34,01912TFA050    ,2023,36,7.283333333333333,0.075,0.06666666666666667
35,01912TFA050    ,2023,37,7.375,0.075,0.06666666666666667
36,01912TFA050    ,2023,38,7.141666666666667,0.075,0.075
37,01912TFA050    ,2023,39,7.433333333333334,0.06666666666666667,0.06666666666666667
38,0355045013U    ,2023,36,1.0,0.03333333333333333,0.0
39,0355045013U    ,2023,37,1.0,0.0,0.008333333333333333
40,0355045013U    ,2023,38,1.85,0.008333333333333333,0.008333333333333333
41,0355045013U    ,2023,39,2.0,0.0,0.0
42,0355052005L    ,2023,36,1.0,0.0136986301369863,0.0136986301369863
43,0355052005L    ,2023,37,1.2,0.008333333333333333,0.0
44,0355052005L    ,2023,38,2.0083333333333333,0.008333333333333333,0.008333333333333333
45,0355052005L    ,2023,39,2.7916666666666665,0.0,0.008333333333333333
46,0355113017A    ,2023,36,1.0,0.0,0.0
