品番,Year,Week_Number,基準在庫日数,基準在庫枚数,箱種類,B,日量数（箱数）,収容数,納入便,社内LT（検収〜回収LT）,仕入先名,かんばん数
01912ECB010    ,2023,37,0.85,1.0,ＴＰ３３２フタナシ,2.0,5.633333333333334,300,1.1666666666666667,2.44,石黒ゴム工業（株）,6
01912ECB010    ,2023,37,0.85,1.0,ＴＰ３３２フタナシ,2.0,5.846666666666667,300,1.5555555555555556,4.764444444444444,石黒ゴム工業（株）,9
01912ECB010    ,2023,37,0.85,1.0,ＴＰ３３２フタナシ,2.0,5.86,300,1.6,5.072,石黒ゴム工業（株）,5
01912ECB010    ,2023,37,0.85,1.0,ＴＰ３３２フタナシ,2.0,6.3,300,2.0,1.1499999999999995,石黒ゴム工業（株）,1
01912ECB010    ,2023,37,0.85,1.0,ＴＰ３３２フタナシ,2.0,6.306666666666667,300,1.3333333333333333,2.568333333333333,石黒ゴム工業（株）,6
01912ECB010    ,2023,38,0.85,1.0,ＴＰ３３２フタナシ,2.0,0.0,300,1.5,3.155,石黒ゴム工業（株）,2
01912ECB010    ,2023,38,0.85,1.0,ＴＰ３３２フタナシ,2.0,5.433333333333334,300,1.3333333333333333,2.671666666666667,石黒ゴム工業（株）,6
01912ECB010    ,2023,38,0.85,1.0,ＴＰ３３２フタナシ,2.0,5.846666666666667,300,1.4,3.15,石黒ゴム工業（株）,10
01912ECB010    ,2023,38,0.85,1.0,ＴＰ３３２フタナシ,2.0,5.8533333333333335,300,2.0,4.6675,石黒ゴム工業（株）,4
01912ECB010    ,2023,38,0.85,1.0,ＴＰ３３２フタナシ,2.0,5.86,300,1.0,2.3399999999999994,石黒ゴム工業（株）,1
01912ECB010    ,2023,38,0.85,1.0,ＴＰ３３２フタナシ,2.0,6.246666666666667,300,1.5,4.653333333333333,石黒ゴム工業（株）,6
01912ECB010    ,2023,38,0.85,1.0,ＴＰ３３２フタナシ,2.0,6.253333333333333,300,2.0,5.49,石黒ゴム工業（株）,1
01912ECB010    ,2023,39,0.85,1.0,ＴＰ３３２フタナシ,2.0,0.0,300,1.5384615384615385,4.765384615384614,石黒ゴム工業（株）,13
01912ECB010    ,2023,39,0.85,1.0,ＴＰ３３２フタナシ,2.0,5.48,300,1.4,2.284,石黒ゴム工業（株）,5
01912ECB010    ,2023,39,0.85,1.0,ＴＰ３３２フタナシ,2.0,5.8533333333333335,300,1.0,2.345,石黒ゴム工業（株）,2
01912ECB010    ,2023,39,0.85,1.0,ＴＰ３３２フタナシ,2.0,6.253333333333333,300,1.8,3.0,石黒ゴム工業（株）,5
01912ECB010    ,2023,39,0.85,1.0,ＴＰ３３２フタナシ,2.0,6.3,300,1.0,6.129999999999999,石黒ゴム工業（株）,2
01912ECB010    ,2023,39,0.85,1.0,ＴＰ３３２フタナシ,2.0,6.306666666666667,300,1.75,5.7375,石黒ゴム工業（株）,4
01912ECB040    ,2023,35,0.25,1.0,ＴＰ３４２フタナシ,1.0,18.9,50,1.0,4.886363636363636,愛産樹脂工業（株）,11
01912ECB040    ,2023,35,0.25,1.0,ＴＰ３４２フタナシ,1.0,18.92,50,1.0,4.128571428571428,愛産樹脂工業（株）,7
01912ECB040    ,2023,36,0.25,1.0,ＴＰ３４２フタナシ,1.0,0.0,50,1.0,1.8650000000000002,愛産樹脂工業（株）,8
01912ECB040    ,2023,36,0.25,1.0,ＴＰ３４２フタナシ,1.0,16.9,50,1.0,3.4829999999999997,愛産樹脂工業（株）,10
01912ECB040    ,2023,36,0.25,1.0,ＴＰ３４２フタナシ,1.0,16.92,50,1.0,5.185,愛産樹脂工業（株）,4
01912ECB040    ,2023,36,0.25,1.0,ＴＰ３４２フタナシ,1.0,18.9,50,1.0,2.195,愛産樹脂工業（株）,48
01912ECB040    ,2023,36,0.25,1.0,ＴＰ３４２フタナシ,1.0,18.92,50,1.0,1.0192307692307687,愛産樹脂工業（株）,13
01912ECB040    ,2023,36,0.25,1.0,ＴＰ３４２フタナシ,1.0,18.94,50,1.0,5.586666666666666,愛産樹脂工業（株）,3
01912ECB040    ,2023,37,0.25,1.0,ＴＰ３４２フタナシ,1.0,0.0,50,1.0,2.1224999999999996,愛産樹脂工業（株）,8
01912ECB040    ,2023,37,0.25,1.0,ＴＰ３４２フタナシ,1.0,16.92,50,1.0,1.5410344827586206,愛産樹脂工業（株）,29
01912ECB040    ,2023,37,0.25,1.0,ＴＰ３４２フタナシ,1.0,17.54,50,1.0,4.214666666666667,愛産樹脂工業（株）,15
01912ECB040    ,2023,37,0.25,1.0,ＴＰ３４２フタナシ,1.0,17.56,50,1.0,3.4922222222222223,愛産樹脂工業（株）,9
01912ECB040    ,2023,37,0.25,1.0,ＴＰ３４２フタナシ,1.0,17.58,50,1.0,4.996,愛産樹脂工業（株）,5
01912ECB040    ,2023,37,0.25,1.0,ＴＰ３４２フタナシ,1.0,18.9,50,1.0,0.9169999999999996,愛産樹脂工業（株）,10
01912ECB040    ,2023,37,0.25,1.0,ＴＰ３４２フタナシ,1.0,18.94,50,1.0,1.232941176470588,愛産樹脂工業（株）,17
01912ECB040    ,2023,38,0.25,1.0,ＴＰ３４２フタナシ,1.0,0.0,50,1.0,1.625714285714286,愛産樹脂工業（株）,7
01912ECB040    ,2023,38,0.25,1.0,ＴＰ３４２フタナシ,1.0,16.3,50,1.0,2.026470588235294,愛産樹脂工業（株）,17
01912ECB040    ,2023,38,0.25,1.0,ＴＰ３４２フタナシ,1.0,17.54,50,1.0,2.4045161290322583,愛産樹脂工業（株）,31
01912ECB040    ,2023,38,0.25,1.0,ＴＰ３４２フタナシ,1.0,17.56,50,1.0,4.63,愛産樹脂工業（株）,4
01912ECB040    ,2023,38,0.25,1.0,ＴＰ３４２フタナシ,1.0,17.58,50,1.0,1.5,愛産樹脂工業（株）,13
01912ECB040    ,2023,38,0.25,1.0,ＴＰ３４２フタナシ,1.0,18.74,50,1.0,3.6525000000000003,愛産樹脂工業（株）,12
01912ECB040    ,2023,39,0.25,1.0,ＴＰ３４２フタナシ,1.0,0.0,50,1.0,3.312758620689655,愛産樹脂工業（株）,29
01912ECB040    ,2023,39,0.25,1.0,ＴＰ３４２フタナシ,1.0,16.44,50,1.0,1.7670588235294118,愛産樹脂工業（株）,17
01912ECB040    ,2023,39,0.25,1.0,ＴＰ３４２フタナシ,1.0,17.56,50,1.0,1.497142857142857,愛産樹脂工業（株）,14
01912ECB040    ,2023,39,0.25,1.0,ＴＰ３４２フタナシ,1.0,18.74,50,1.0,0.8075000000000002,愛産樹脂工業（株）,8
01912ECB040    ,2023,39,0.25,1.0,ＴＰ３４２フタナシ,1.0,18.76,50,1.0,1.7017647058823528,愛産樹脂工業（株）,17
01912ECB040    ,2023,39,0.25,1.0,ＴＰ３４２フタナシ,1.0,18.9,50,1.0,5.577500000000001,愛産樹脂工業（株）,4
01912ECB040    ,2023,39,0.25,1.0,ＴＰ３４２フタナシ,1.0,18.92,50,1.0,4.918,愛産樹脂工業（株）,5
01912ECB060    ,2023,36,0.78,1.0,ＴＰ３３１フタナシ,1.0,0.9275,400,1.0,7.039999999999999,新光ゴム工業（株）,1
01912ECB060    ,2023,36,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0275,400,1.0,6.300000000000001,新光ゴム工業（株）,1
01912ECB060    ,2023,36,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.03,400,1.0,5.99,新光ゴム工業（株）,1
01912ECB060    ,2023,36,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0425,400,1.0,2.38,新光ゴム工業（株）,1
01912ECB060    ,2023,37,0.78,1.0,ＴＰ３３１フタナシ,1.0,0.9275,400,1.0,1.96,新光ゴム工業（株）,1
01912ECB060    ,2023,37,0.78,1.0,ＴＰ３３１フタナシ,1.0,0.93,400,1.0,2.8200000000000003,新光ゴム工業（株）,1
01912ECB060    ,2023,37,0.78,1.0,ＴＰ３３１フタナシ,1.0,0.945,400,1.0,5.1499999999999995,新光ゴム工業（株）,2
01912ECB060    ,2023,37,0.78,1.0,ＴＰ３３１フタナシ,1.0,0.9475,400,1.0,5.3100000000000005,新光ゴム工業（株）,1
01912ECB060    ,2023,38,0.78,1.0,ＴＰ３３１フタナシ,1.0,0.0,400,1.0,6.604999999999999,新光ゴム工業（株）,2
01912ECB060    ,2023,38,0.78,1.0,ＴＰ３３１フタナシ,1.0,0.945,400,1.0,2.2699999999999996,新光ゴム工業（株）,1
01912ECB060    ,2023,38,0.78,1.0,ＴＰ３３１フタナシ,1.0,0.9675,400,1.0,4.43,新光ゴム工業（株）,1
01912ECB060    ,2023,38,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.05,400,1.0,7.369999999999999,新光ゴム工業（株）,1
01912ECB060    ,2023,39,0.78,1.0,ＴＰ３３１フタナシ,1.0,0.0,400,1.0,3.72,新光ゴム工業（株）,1
01912ECB060    ,2023,39,0.78,1.0,ＴＰ３３１フタナシ,1.0,0.885,400,1.0,2.5700000000000003,新光ゴム工業（株）,1
01912ECB060    ,2023,39,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0275,400,1.0,7.3199999999999985,新光ゴム工業（株）,4
01912ECB060    ,2023,39,0.78,1.0,ＴＰ３３１フタナシ,1.0,1.0525,400,1.0,2.5700000000000003,新光ゴム工業（株）,1
